,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,standard,LR,0.602040816327,0.15582538097,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.701,0.0851410594249,"[ 0.65  0.6   0.5   0.6   0.65  0.7   0.6   0.75  0.8   0.7   0.75  0.55
  0.8   0.65  0.75  0.55  0.75  0.65  0.8   0.85  0.85  0.55  0.8   0.7
  0.75  0.7   0.7   0.85  0.75  0.7   0.65  0.7   0.85  0.7   0.75  0.75
  0.7   0.65  0.8   0.55  0.75  0.7   0.75  0.65  0.65  0.65  0.8   0.65
  0.65  0.7 ]",0.676445578231,0.186452860237,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.743248611111,0.142610222469,"[ 0.75        0.56        0.55        0.60416667  0.69791667  0.921875
  0.67708333  0.71        0.76190476  0.71875     0.64285714  0.64        0.875
  0.3452381   0.9375      0.72222222  0.828125    0.328125    0.92708333
  0.90625     0.93        0.54761905  0.84        0.80208333  0.64583333
  0.84        0.78571429  0.99        0.81        0.6547619   0.60416667
  0.76190476  0.96428571  0.75        0.72619048  0.89583333  0.80952381
  0.671875    0.95833333  0.63541667  0.6547619   0.828125    0.77083333
  0.69791667  0.67708333  0.77        0.9375      0.67        0.66666667
  0.76190476]"
1,BNU_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,standard,SGD,0.612244897959,0.129921287448,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.588,0.128280941687,"[ 0.6   0.45  0.4   0.5   0.6   0.7   0.6   0.55  0.55  0.55  0.4   0.55
  0.8   0.35  0.45  0.65  0.55  0.6   0.65  0.75  0.85  0.55  0.7   0.6
  0.5   0.5   0.5   0.85  0.65  0.7   0.5   0.85  0.65  0.45  0.8   0.8
  0.5   0.55  0.75  0.5   0.6   0.5   0.65  0.55  0.4   0.45  0.65  0.5
  0.4   0.7 ]",0.682653061224,0.20652797172,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.71501765873,0.150329515583,"[ 0.71875     0.5         0.49        0.5625      0.60416667  0.875       0.625
  0.74        0.70238095  0.64583333  0.55952381  0.59        0.8125
  0.38095238  0.9375      0.55555556  0.859375    0.3125      0.85416667
  0.9375      0.89        0.51190476  0.83        0.8125      0.59375     0.74
  0.80952381  1.          0.76        0.72619048  0.54166667  0.79761905
  0.95238095  0.73958333  0.78571429  0.875       0.82142857  0.640625
  0.84375     0.63541667  0.58333333  0.859375    0.73958333  0.67708333
  0.67708333  0.71        0.875       0.58        0.64583333  0.83333333]"
2,BNU_1_deter_csa_con_ROIv_scale125,binar,degrees,standard,LR,0.69387755102,0.0940216285697,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681,0.111754194552,"[ 0.8   0.65  0.6   0.7   0.55  0.7   0.55  0.6   0.9   0.65  0.5   0.65
  0.75  0.4   0.7   0.65  0.65  0.5   0.65  0.8   0.8   0.55  0.7   0.6
  0.6   0.75  0.8   0.85  0.75  0.75  0.55  0.7   0.7   0.8   0.75  0.9
  0.6   0.75  0.9   0.65  0.65  0.7   0.5   0.65  0.55  0.75  0.8   0.75
  0.75  0.55]",0.740306122449,0.122967281044,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.73273234127,0.168467005449,"[ 0.875       0.62        0.7         0.76041667  0.73958333  0.953125
  0.54166667  0.63        0.86904762  0.75        0.47619048  0.64        1.
  0.23809524  0.89583333  0.77777778  1.          0.265625    0.6875
  0.80208333  0.95        0.5         0.81        0.83333333  0.70833333
  0.73        0.9047619   0.92        0.86        0.73809524  0.5
  0.86904762  0.79761905  0.77083333  0.77380952  0.88541667  0.69047619
  0.84375     0.82291667  0.59375     0.57142857  0.578125    0.75
  0.72916667  0.5         0.97        0.71875     0.79        0.78125
  0.52380952]"
3,BNU_1_deter_csa_con_ROIv_scale125,binar,degrees,standard,SGD,0.714285714286,0.125762977583,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.673,0.124181319046,"[ 0.7   0.65  0.75  0.8   0.65  0.55  0.6   0.45  0.85  0.7   0.5   0.65
  0.75  0.35  0.7   0.65  0.55  0.4   0.55  0.8   0.85  0.55  0.65  0.65
  0.55  0.7   0.8   0.85  0.75  0.7   0.45  0.65  0.65  0.8   0.75  0.9
  0.7   0.7   0.85  0.6   0.65  0.7   0.8   0.75  0.5   0.8   0.8   0.7
  0.7   0.55]",0.783333333333,0.108882048353,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.751658333333,0.159028690045,"[ 0.875       0.65        0.73        0.8125      0.79166667  0.96875
  0.59375     0.58        0.8452381   0.79166667  0.39285714  0.61
  0.953125    0.41666667  0.95833333  0.91666667  1.          0.28125
  0.72916667  0.85416667  0.93        0.42857143  0.81        0.84375
  0.69791667  0.67        0.8452381   0.89        0.85        0.75
  0.61458333  0.86904762  0.83333333  0.77083333  0.78571429  0.86458333
  0.69047619  0.84375     0.80208333  0.6875      0.63095238  0.640625
  0.84375     0.82291667  0.47916667  0.94        0.73958333  0.85        0.8125
  0.5952381 ]"
4,BNU_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,standard,LR,0.673469387755,0.0868912818865,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.67,0.103440804328,"[ 0.65  0.65  0.5   0.7   0.8   0.65  0.65  0.7   0.7   0.65  0.65  0.5
  0.8   0.55  0.7   0.6   0.7   0.65  0.75  0.75  0.95  0.6   0.65  0.7
  0.6   0.65  0.6   0.9   0.75  0.65  0.65  0.75  0.55  0.55  0.75  0.9
  0.65  0.65  0.65  0.5   0.7   0.55  0.75  0.6   0.4   0.75  0.8   0.65
  0.7   0.65]",0.733843537415,0.12330981072,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.748449007937,0.161811685073,"[ 0.85416667  0.65        0.65        0.75        0.72916667  0.984375
  0.63541667  0.75        0.89285714  0.83333333  0.47619048  0.62        1.
  0.30952381  0.94791667  0.69444444  0.96875     0.296875    0.60416667
  0.89583333  0.99        0.53571429  0.73        0.80208333  0.625       0.84
  0.94047619  0.94        0.91        0.8452381   0.61458333  0.79761905
  0.82142857  0.79166667  0.66666667  0.91666667  0.60714286  0.796875
  0.95833333  0.625       0.61904762  0.6875      0.66666667  0.76041667
  0.63541667  0.89        0.77083333  0.79        0.78125     0.52380952]"
5,BNU_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,standard,SGD,0.724489795918,0.0803974002028,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.583,0.151198544967,"[ 0.8   0.6   0.6   0.4   0.7   0.25  0.8   0.6   0.55  0.5   0.5   0.5
  0.55  0.25  0.55  0.2   0.35  0.65  0.6   0.85  0.9   0.55  0.6   0.45
  0.6   0.65  0.65  0.6   0.7   0.5   0.4   0.55  0.7   0.5   0.55  0.75
  0.6   0.65  0.9   0.65  0.65  0.35  0.45  0.7   0.6   0.7   0.75  0.55
  0.6   0.55]",0.76037414966,0.147304586457,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.752059920635,0.167596298273,"[ 0.82291667  0.74        0.67        0.82291667  0.6875      0.96875     0.5
  0.53        0.69047619  0.83333333  0.45238095  0.68        1.
  0.32142857  0.98958333  0.88888889  0.90625     0.296875    0.5
  0.94791667  0.95        0.52380952  0.78        0.85416667  0.84375     0.75
  0.92857143  0.86        0.87        0.66666667  0.69791667  0.86904762
  0.80952381  0.82291667  0.75        0.89583333  0.60714286  0.84375
  0.9375      0.65625     0.5952381   0.640625    0.98958333  0.76041667
  0.60416667  0.86        0.70833333  0.85        0.83333333  0.5952381 ]"
6,BNU_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,LR,0.663265306122,0.173302574189,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.653,0.113758516165,"[ 0.7   0.75  0.6   0.5   0.5   0.5   0.55  0.65  0.7   0.6   0.8   0.55
  0.8   0.35  0.7   0.6   0.7   0.6   0.45  0.75  0.75  0.5   0.85  0.8
  0.9   0.65  0.7   0.6   0.6   0.6   0.65  0.8   0.6   0.8   0.55  0.75
  0.7   0.65  0.75  0.65  0.6   0.65  0.7   0.6   0.5   0.65  0.5   0.85
  0.7   0.7 ]",0.69693877551,0.0818978208152,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.716346031746,0.150156270317,"[ 0.67708333  0.72        0.78        0.67708333  0.63541667  0.703125
  0.58333333  0.66        0.79761905  0.67708333  0.77380952  0.67        0.875
  0.20238095  0.83333333  0.52777778  0.96875     0.671875    0.66666667
  0.875       0.95        0.45238095  0.66        0.71875     0.94791667
  0.52        0.83333333  0.84        0.87        0.75        0.73958333
  0.80952381  0.8452381   0.70833333  0.79761905  0.83333333  0.63095238
  0.859375    0.78125     0.66666667  0.48809524  0.765625    0.89583333
  0.6875      0.44791667  0.77        0.44791667  0.79        0.82291667
  0.51190476]"
7,BNU_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,SGD,0.673469387755,0.0669990326653,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.644,0.117320075008,"[ 0.7   0.65  0.65  0.75  0.65  0.45  0.6   0.65  0.8   0.75  0.7   0.55
  0.75  0.55  0.8   0.45  0.5   0.65  0.75  0.8   0.75  0.55  0.7   0.55
  0.7   0.35  0.75  0.8   0.65  0.75  0.7   0.75  0.7   0.75  0.55  0.7
  0.5   0.65  0.65  0.6   0.45  0.65  0.7   0.75  0.4   0.7   0.35  0.75
  0.6   0.6 ]",0.716156462585,0.113308485212,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.645070634921,0.152392155164,"[ 0.59375     0.68        0.75        0.55208333  0.63541667  0.59375
  0.70833333  0.61        0.83333333  0.60416667  0.6547619   0.51
  0.578125    0.70238095  0.625       0.05555556  0.890625    0.65625
  0.79166667  0.85416667  0.53        0.5         0.59        0.57291667
  0.80208333  0.72        0.73809524  0.76        0.73        0.54761905
  0.48958333  0.6547619   0.85714286  0.78125     0.82142857  0.65625
  0.45238095  0.921875    0.53125     0.52083333  0.48809524  0.703125
  0.80208333  0.69791667  0.42708333  0.75        0.36458333  0.69        0.75
  0.52380952]"
8,BNU_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,LR,0.69387755102,0.109093038865,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.683,0.103252118622,"[ 0.65  0.6   0.75  0.7   0.75  0.65  0.55  0.55  0.9   0.65  0.65  0.65
  0.9   0.4   0.7   0.7   0.75  0.65  0.6   0.8   0.8   0.6   0.65  0.65
  0.65  0.7   0.75  0.8   0.85  0.75  0.45  0.75  0.8   0.8   0.75  0.75
  0.65  0.8   0.75  0.55  0.6   0.7   0.55  0.6   0.6   0.8   0.65  0.6
  0.65  0.6 ]",0.740136054422,0.101681211592,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.736248015873,0.140115007087,"[ 0.8125      0.63        0.78        0.70833333  0.6875      0.828125
  0.69791667  0.58        0.89285714  0.84375     0.6547619   0.7         1.
  0.38095238  0.75        0.80555556  0.9375      0.484375    0.73958333
  0.91666667  0.9         0.55952381  0.78        0.85416667  0.8125      0.68
  0.9047619   0.88        0.82        0.83333333  0.47916667  0.82142857
  0.89285714  0.75        0.76190476  0.90625     0.71428571  0.828125
  0.79166667  0.54166667  0.60714286  0.671875    0.57291667  0.6875
  0.46875     0.91        0.59375     0.64        0.77083333  0.54761905]"
9,BNU_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,SGD,0.69387755102,0.147722462914,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.624,0.111462998345,"[ 0.6   0.45  0.75  0.7   0.75  0.35  0.65  0.6   0.75  0.75  0.6   0.6
  0.55  0.55  0.55  0.35  0.45  0.6   0.65  0.75  0.75  0.45  0.65  0.6
  0.7   0.5   0.7   0.65  0.8   0.7   0.55  0.6   0.65  0.75  0.65  0.85
  0.55  0.55  0.75  0.7   0.7   0.5   0.6   0.7   0.55  0.8   0.6   0.6
  0.55  0.5 ]",0.768367346939,0.11743798228,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.731692261905,0.132795246746,"[ 0.82291667  0.57        0.73        0.67708333  0.73958333  0.84375
  0.67708333  0.53        0.9047619   0.80208333  0.58333333  0.67        0.9375
  0.51190476  0.65625     0.75        0.96875     0.453125    0.75
  0.91666667  0.75        0.51190476  0.81        0.82291667  0.70833333
  0.53        0.88095238  0.9         0.83        0.71428571  0.65625
  0.8452381   0.86904762  0.76041667  0.79761905  0.86458333  0.73809524
  0.828125    0.83333333  0.58333333  0.69047619  0.734375    0.8125      0.75
  0.42708333  0.92        0.60416667  0.64        0.72916667  0.54761905]"
