,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.622448979592,0.0914453742253,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.584,0.0862786184405,"[ 0.7   0.45  0.75  0.45  0.55  0.55  0.55  0.55  0.55  0.75  0.5   0.6
  0.55  0.6   0.7   0.6   0.5   0.65  0.65  0.6   0.5   0.6   0.75  0.45
  0.45  0.65  0.55  0.6   0.65  0.65  0.65  0.5   0.6   0.7   0.7   0.45
  0.6   0.5   0.6   0.55  0.45  0.55  0.55  0.45  0.55  0.65  0.5   0.65
  0.7   0.65]",0.633503401361,0.106535511362,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.613723412698,0.129275904991,"[ 0.70833333  0.44        0.8         0.5         0.47916667  0.3125
  0.65625     0.71        0.76190476  0.70833333  0.58333333  0.66
  0.546875    0.4047619   0.64583333  0.44444444  0.75        0.34375
  0.71875     0.6875      0.6         0.51190476  0.82        0.46875
  0.48958333  0.62        0.76190476  0.69        0.68        0.86904762
  0.6875      0.63095238  0.61904762  0.625       0.6547619   0.46875
  0.67857143  0.734375    0.66666667  0.57291667  0.30952381  0.5625
  0.66666667  0.53125     0.60416667  0.83        0.5         0.67
  0.64583333  0.6547619 ]"
1,BNU_1_deter_csa_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.642857142857,0.0897211603877,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.574,0.122979673117,"[ 0.5   0.65  0.55  0.5   0.35  0.5   0.4   0.5   0.65  0.6   0.35  0.7
  0.45  0.5   0.65  0.5   0.75  0.55  0.65  0.65  0.65  0.4   0.55  0.75
  0.5   0.45  0.5   0.65  0.75  0.55  0.45  0.5   0.8   0.8   0.45  0.55
  0.6   0.35  0.7   0.6   0.45  0.7   0.65  0.6   0.55  0.85  0.6   0.6
  0.45  0.75]",0.68005952381,0.0602355513062,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.619931746032,0.135994749837,"[ 0.71354167  0.42        0.555       0.359375    0.515625    0.4765625
  0.5625      0.74        0.74404762  0.80729167  0.76190476  0.66
  0.546875    0.35714286  0.52604167  0.61111111  0.703125    0.40625
  0.73958333  0.734375    0.72        0.82142857  0.685       0.43229167
  0.625       0.665       0.70238095  0.745       0.66        0.77380952
  0.65625     0.5952381   0.3452381   0.47916667  0.46428571  0.36979167
  0.73809524  0.8359375   0.625       0.63541667  0.36309524  0.796875
  0.64583333  0.67708333  0.65625     0.745       0.65625     0.725
  0.65104167  0.56547619]"
2,BNU_1_deter_csa_con_aparc150+subcort,binar,degrees,standard,LR,0.612244897959,0.0410706363214,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.616,0.111552678139,"[ 0.7   0.65  0.6   0.7   0.5   0.4   0.5   0.65  0.65  0.7   0.35  0.6
  0.5   0.5   0.65  0.8   0.65  0.75  0.6   0.55  0.75  0.65  0.6   0.65
  0.65  0.5   0.65  0.5   0.8   0.7   0.5   0.45  0.7   0.65  0.45  0.55
  0.55  0.65  0.75  0.55  0.55  0.85  0.85  0.55  0.6   0.8   0.6   0.65
  0.6   0.5 ]",0.685629251701,0.0773535263874,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.712863095238,0.157749232985,"[ 0.8125      0.64        0.71        0.69791667  0.5         1.          0.6875
  0.75        0.60714286  0.90625     0.26190476  0.78        0.875
  0.33333333  0.91666667  0.83333333  0.90625     0.375       0.84375
  0.6875      0.89        0.4047619   0.78        0.80208333  0.70833333
  0.77        0.73809524  0.77        0.93        0.72619048  0.5
  0.64285714  0.78571429  0.79166667  0.53571429  0.66666667  0.57142857
  0.765625    0.70833333  0.8125      0.69047619  0.859375    0.875
  0.57291667  0.5625      0.89        0.70833333  0.69        0.65625
  0.71428571]"
3,BNU_1_deter_csa_con_aparc150+subcort,binar,degrees,standard,SGD,0.65306122449,0.00645362787789,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.58,0.133790881603,"[ 0.55  0.75  0.7   0.75  0.5   0.3   0.6   0.5   0.7   0.6   0.35  0.7
  0.35  0.35  0.8   0.45  0.45  0.6   0.6   0.7   0.55  0.35  0.7   0.6
  0.65  0.6   0.65  0.6   0.8   0.65  0.65  0.6   0.65  0.65  0.45  0.5
  0.45  0.45  0.7   0.45  0.55  0.85  0.65  0.7   0.45  0.75  0.4   0.65
  0.4   0.6 ]",0.715051020408,0.0860334926218,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.643514880952,0.137664549197,"[ 0.85416667  0.67        0.65        0.72916667  0.46875     0.875
  0.64583333  0.5         0.5952381   0.80208333  0.38095238  0.64
  0.828125    0.44047619  0.91666667  0.66666667  0.78125     0.421875
  0.64583333  0.64583333  0.69        0.41666667  0.62        0.70833333
  0.64583333  0.72        0.72619048  0.72        0.79        0.72619048
  0.5625      0.57142857  0.5952381   0.5625      0.46428571  0.52083333
  0.55952381  0.5625      0.70833333  0.77083333  0.6547619   0.984375
  0.76041667  0.48958333  0.53125     0.8         0.66666667  0.5
  0.57291667  0.41666667]"
4,BNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.612244897959,0.0740606718096,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.694,0.0967677632272,"[ 0.7   0.75  0.7   0.75  0.5   0.65  0.65  0.65  0.8   0.75  0.5   0.6
  0.65  0.65  0.8   0.85  0.7   0.75  0.7   0.7   0.85  0.6   0.65  0.7
  0.65  0.85  0.65  0.75  0.85  0.8   0.5   0.55  0.85  0.75  0.8   0.75
  0.55  0.75  0.65  0.6   0.65  0.85  0.75  0.65  0.65  0.75  0.6   0.6
  0.55  0.75]",0.697448979592,0.109409931502,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.685411111111,0.152200409812,"[ 0.80208333  0.68        0.68        0.66666667  0.45833333  0.9375      0.625
  0.74        0.57142857  0.84375     0.27380952  0.72        0.859375
  0.35714286  0.89583333  0.80555556  0.8125      0.46875     0.67708333
  0.59375     0.76        0.30952381  0.79        0.77083333  0.75        0.77
  0.78571429  0.74        0.92        0.66666667  0.53125     0.5
  0.77380952  0.75        0.51190476  0.64583333  0.6547619   0.765625
  0.73958333  0.77083333  0.61904762  0.875       0.89583333  0.46875
  0.58333333  0.86        0.66666667  0.68        0.60416667  0.64285714]"
5,BNU_1_deter_csa_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.622448979592,0.0833368040371,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.584,0.132453765518,"[ 0.7   0.65  0.6   0.5   0.55  0.25  0.5   0.7   0.6   0.7   0.2   0.7
  0.4   0.45  0.65  0.7   0.4   0.45  0.7   0.45  0.65  0.6   0.75  0.6
  0.7   0.6   0.65  0.5   0.8   0.5   0.4   0.5   0.7   0.7   0.55  0.6
  0.55  0.65  0.8   0.5   0.55  0.7   0.8   0.45  0.5   0.8   0.45  0.6
  0.6   0.6 ]",0.707653061224,0.0924224675785,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.692113492063,0.142604594462,"[ 0.67708333  0.6         0.53        0.78125     0.41666667  1.
  0.66666667  0.77        0.77380952  0.85416667  0.25        0.65
  0.703125    0.57142857  0.875       0.80555556  0.921875    0.453125
  0.79166667  0.63541667  0.58        0.53571429  0.87        0.77083333
  0.77083333  0.84        0.79761905  0.57        0.83        0.67857143
  0.65625     0.53571429  0.86904762  0.65625     0.61904762  0.65625
  0.57142857  0.71875     0.73958333  0.72916667  0.70238095  0.828125
  0.84375     0.59375     0.55208333  0.89        0.71875     0.56
  0.55208333  0.64285714]"
6,BNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.602040816327,0.0622365333958,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.557,0.110458136866,"[ 0.55  0.6   0.6   0.35  0.35  0.25  0.6   0.55  0.5   0.45  0.65  0.6
  0.4   0.6   0.45  0.55  0.45  0.5   0.5   0.65  0.55  0.55  0.65  0.75
  0.7   0.55  0.55  0.65  0.7   0.75  0.55  0.45  0.65  0.7   0.45  0.55
  0.5   0.5   0.55  0.6   0.5   0.65  0.8   0.6   0.4   0.65  0.5   0.55
  0.45  0.7 ]",0.648979591837,0.0516907353709,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.566739484127,0.131210355889,"[ 0.58333333  0.56        0.59        0.36458333  0.36458333  0.53125
  0.63541667  0.52        0.63095238  0.45833333  0.55952381  0.89
  0.328125    0.64285714  0.5         0.61111111  0.40625     0.46875
  0.58333333  0.67708333  0.54        0.60714286  0.63        0.71875
  0.76041667  0.47        0.6547619   0.73        0.76        0.6547619
  0.29166667  0.42857143  0.52380952  0.66666667  0.28571429  0.57291667
  0.52380952  0.6875      0.65625     0.72916667  0.30952381  0.375
  0.63541667  0.60416667  0.5         0.69        0.65625     0.61
  0.55208333  0.60714286]"
7,BNU_1_deter_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.602040816327,0.0895081453533,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.528,0.133476589708,"[ 0.45  0.55  0.6   0.45  0.3   0.3   0.6   0.5   0.5   0.55  0.65  0.7
  0.35  0.65  0.45  0.1   0.45  0.45  0.5   0.7   0.55  0.55  0.6   0.75
  0.7   0.5   0.55  0.6   0.75  0.7   0.4   0.45  0.6   0.65  0.4   0.55
  0.35  0.35  0.65  0.6   0.45  0.6   0.7   0.6   0.4   0.55  0.5   0.7
  0.5   0.35]",0.643452380952,0.0435000553861,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.565868055556,0.12978846291,"[ 0.59375     0.57        0.59        0.36458333  0.36458333  0.5
  0.64583333  0.52        0.63095238  0.46875     0.57142857  0.88
  0.328125    0.61904762  0.48958333  0.61111111  0.40625     0.453125
  0.59375     0.67708333  0.55        0.5952381   0.63        0.71875
  0.73958333  0.47        0.6547619   0.74        0.76        0.6547619
  0.29166667  0.41666667  0.52380952  0.66666667  0.28571429  0.57291667
  0.53571429  0.6875      0.63541667  0.72916667  0.32142857  0.390625
  0.64583333  0.60416667  0.48958333  0.68        0.65625     0.61
  0.55208333  0.60714286]"
8,BNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.632653061224,0.0663221697502,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.661,0.0965867485735,"[ 0.75  0.75  0.7   0.75  0.5   0.55  0.55  0.65  0.75  0.8   0.5   0.6
  0.7   0.5   0.65  0.8   0.65  0.7   0.8   0.6   0.7   0.65  0.65  0.65
  0.6   0.8   0.6   0.55  0.8   0.8   0.5   0.6   0.65  0.75  0.5   0.7
  0.6   0.6   0.7   0.65  0.65  0.9   0.8   0.6   0.65  0.75  0.55  0.6
  0.6   0.65]",0.676105442177,0.0619192148319,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.697238690476,0.123810384082,"[ 0.77083333  0.68        0.64        0.6875      0.45833333  0.875       0.625
  0.75        0.69047619  0.82291667  0.53571429  0.72        0.828125
  0.38095238  0.91666667  0.83333333  0.703125    0.453125    0.8125
  0.6875      0.8         0.4047619   0.71        0.77083333  0.71875     0.79
  0.73809524  0.75        0.89        0.73809524  0.57291667  0.51190476
  0.77380952  0.625       0.54761905  0.61458333  0.71428571  0.6875
  0.83333333  0.79166667  0.66666667  0.71875     0.875       0.66666667
  0.65625     0.88        0.57291667  0.65        0.66666667  0.6547619 ]"
9,BNU_1_deter_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.673469387755,0.0302893018516,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.59,0.101488915651,"[ 0.6   0.65  0.55  0.5   0.45  0.4   0.6   0.55  0.55  0.65  0.6   0.55
  0.45  0.5   0.7   0.3   0.5   0.55  0.65  0.7   0.65  0.5   0.75  0.75
  0.6   0.55  0.55  0.6   0.8   0.65  0.5   0.55  0.6   0.6   0.4   0.55
  0.55  0.5   0.65  0.5   0.7   0.7   0.75  0.6   0.6   0.7   0.55  0.65
  0.7   0.75]",0.726445578231,0.0349653722087,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.665018849206,0.128858284682,"[ 0.60416667  0.72        0.73        0.65625     0.42708333  0.890625
  0.5625      0.6         0.72619048  0.6875      0.5         0.65
  0.890625    0.5         0.84375     0.88888889  0.703125    0.546875
  0.70833333  0.60416667  0.76        0.60714286  0.72        0.69791667
  0.60416667  0.61        0.61904762  0.64        0.89        0.71428571
  0.46875     0.53571429  0.6547619   0.61458333  0.55952381  0.44791667
  0.66666667  0.484375    0.90625     0.8125      0.53571429  0.84375
  0.86458333  0.79166667  0.58333333  0.82        0.66666667  0.51
  0.64583333  0.53571429]"
