,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.65306122449,0.0697154460439,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.716,0.0896883492991,"[ 0.75  0.75  0.6   0.55  0.65  0.85  0.65  0.75  0.65  0.75  0.8   0.75
  0.65  0.55  0.7   0.8   0.8   0.7   0.65  0.8   0.7   0.65  0.8   0.7
  0.65  0.75  0.8   0.75  0.85  0.7   0.6   0.7   0.9   0.8   0.75  0.75
  0.7   0.65  0.85  0.8   0.55  0.8   0.7   0.6   0.55  0.8   0.85  0.55
  0.7   0.7 ]",0.73656462585,0.085066022887,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.815961706349,0.108818356604,"[ 0.86458333  0.81        0.76        0.625       0.8125      1.
  0.82291667  0.86        0.70238095  0.875       0.94047619  0.82        0.75
  0.60714286  0.8125      0.80555556  0.921875    0.734375    0.80208333
  0.92708333  0.87        0.66666667  0.87        0.83333333  0.75        0.87
  0.91666667  0.9         0.95        0.73809524  0.61458333  0.79761905
  0.91666667  0.89583333  0.80952381  0.92708333  0.86904762  0.9375
  0.94791667  0.79166667  0.51190476  0.953125    0.77083333  0.67708333
  0.69791667  0.9         0.95833333  0.73        0.85416667  0.61904762]"
1,BNU_1_deter_csd_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.704081632653,0.10788266345,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.711,0.119703801109,"[ 0.7   0.8   0.7   0.65  0.55  0.9   0.7   0.85  0.6   0.85  0.85  0.75
  0.65  0.45  0.8   0.8   0.85  0.7   0.85  0.85  0.6   0.7   0.8   0.7
  0.65  0.6   0.75  0.7   0.9   0.6   0.55  0.65  0.75  0.75  0.8   0.7
  0.7   0.7   0.9   0.7   0.35  0.8   0.7   0.65  0.55  0.85  0.75  0.45
  0.75  0.65]",0.781547619048,0.0959259017582,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.789284722222,0.120250791659,"[ 0.76041667  0.81        0.84        0.64583333  0.625       0.984375
  0.83333333  0.92        0.73809524  0.91666667  0.85714286  0.78        0.8125
  0.52380952  0.92708333  0.69444444  0.890625    0.734375    0.89583333
  0.83333333  0.76        0.82142857  0.82        0.76041667  0.71875     0.74
  0.89285714  0.81        0.93        0.67857143  0.65625     0.6547619
  0.91666667  0.82291667  0.89285714  0.90625     0.86904762  0.9375
  0.95833333  0.76041667  0.41666667  0.84375     0.79166667  0.66666667
  0.57291667  0.88        0.90625     0.61        0.79166667  0.6547619 ]"
2,BNU_1_deter_csd_con_ROIv_scale60,binar,degrees,standard,LR,0.755102040816,0.0821483146312,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.735,0.106887791632,"[ 0.8   0.8   0.85  0.7   0.85  0.55  0.8   0.8   0.8   0.95  0.75  0.95
  0.8   0.6   0.7   0.85  0.7   0.7   0.6   0.75  0.75  0.75  0.75  0.7
  0.85  0.8   0.85  0.8   0.75  0.8   0.45  0.6   0.85  0.65  0.7   0.65
  0.6   0.7   0.85  0.8   0.6   0.75  0.85  0.65  0.5   0.75  0.75  0.75
  0.6   0.6 ]",0.79906462585,0.101766620689,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.83703015873,0.119648220693,"[ 0.9375      0.9         0.89        0.8125      0.89583333  0.90625     0.75
  0.9         0.86904762  0.98958333  0.92857143  0.99        0.96875
  0.73809524  0.70833333  0.97222222  0.859375    0.6875      0.5625
  0.91666667  0.92        0.72619048  0.88        0.84375     0.94791667
  0.89        0.96428571  0.9         0.85        0.82142857  0.45833333
  0.70238095  0.95238095  0.89583333  0.83333333  0.76041667  0.78571429
  0.75        0.95833333  0.94791667  0.58333333  0.859375    0.92708333
  0.72916667  0.63541667  0.86        0.89583333  0.81        0.9375
  0.64285714]"
3,BNU_1_deter_csd_con_ROIv_scale60,binar,degrees,standard,SGD,0.734693877551,0.0783790382436,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.717,0.10844814429,"[ 0.75  0.8   0.7   0.6   0.75  0.75  0.75  0.8   0.85  0.8   0.75  0.8
  0.65  0.5   0.75  0.85  0.65  0.6   0.6   0.8   0.75  0.75  0.85  0.7
  0.7   0.65  0.85  0.9   0.65  0.65  0.6   0.65  0.75  0.75  0.8   0.7
  0.55  0.75  0.95  0.65  0.65  0.85  0.9   0.5   0.6   0.75  0.8   0.6
  0.65  0.45]",0.844642857143,0.0622571813741,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.811544246032,0.114977419414,"[ 0.82291667  0.93        0.81        0.67708333  0.91666667  0.984375
  0.84375     0.9         0.85714286  0.86458333  0.77380952  0.91
  0.765625    0.58333333  0.88541667  0.94444444  0.875       0.8125
  0.71875     0.92708333  0.82        0.77380952  0.88        0.79166667
  0.73958333  0.73        0.91666667  0.92        0.7         0.71428571
  0.59375     0.71428571  0.88095238  0.85416667  0.8452381   0.80208333
  0.80952381  0.84375     1.          0.8125      0.61904762  0.921875
  0.95833333  0.51041667  0.625       0.86        0.94791667  0.8
  0.85416667  0.53571429]"
4,BNU_1_deter_csd_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.704081632653,0.118164851422,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.711,0.106906501205,"[ 0.75  0.75  0.75  0.7   0.8   0.6   0.8   0.85  0.75  0.9   0.75  0.85
  0.75  0.65  0.65  0.8   0.65  0.75  0.55  0.75  0.75  0.7   0.7   0.7
  0.8   0.65  0.85  0.8   0.7   0.75  0.45  0.55  0.85  0.65  0.75  0.65
  0.65  0.7   0.85  0.8   0.4   0.7   0.85  0.6   0.5   0.75  0.75  0.75
  0.55  0.6 ]",0.784863945578,0.0771387871756,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.818226587302,0.115889351842,"[ 0.9375      0.91        0.85        0.8125      0.875       0.875
  0.72916667  0.91        0.83333333  0.94791667  0.86904762  0.98
  0.953125    0.73809524  0.71875     0.80555556  0.875       0.78125
  0.57291667  0.88541667  0.87        0.69047619  0.87        0.88541667
  0.9375      0.83        0.92857143  0.9         0.85        0.76190476
  0.46875     0.66666667  0.91666667  0.88541667  0.82142857  0.75
  0.77380952  0.78125     0.91666667  0.92708333  0.48809524  0.859375
  0.94791667  0.67708333  0.61458333  0.88        0.85416667  0.79
  0.85416667  0.6547619 ]"
5,BNU_1_deter_csd_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.734693877551,0.044139124347,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.699,0.114232219623,"[ 0.7   0.7   0.75  0.65  0.75  0.5   0.7   0.85  0.65  0.85  0.75  0.7
  0.7   0.7   0.75  0.85  0.55  0.6   0.55  0.8   0.7   0.7   0.75  0.75
  0.6   0.7   0.8   0.9   0.7   0.6   0.65  0.45  0.8   0.7   0.8   0.75
  0.55  0.8   0.9   0.65  0.45  0.8   0.85  0.5   0.5   0.7   0.9   0.65
  0.7   0.6 ]",0.823299319728,0.0761110000631,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.821868253968,0.118444435345,"[ 0.92708333  0.85        0.91        0.65625     0.88541667  0.9375
  0.73958333  0.81        0.78571429  0.89583333  0.89285714  1.          0.890625
  0.72619048  0.80208333  0.97222222  0.78125     0.75        0.69791667
  0.89583333  0.89        0.76190476  0.91        0.77083333  0.89583333
  0.85        0.9047619   0.92        0.82        0.76190476  0.51041667
  0.63095238  0.91666667  0.86458333  0.77380952  0.73958333  0.83333333
  0.8125      0.98958333  0.90625     0.42857143  0.765625    0.96875
  0.70833333  0.65625     0.93        0.94791667  0.88        0.89583333
  0.64285714]"
6,BNU_1_deter_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.622448979592,0.0932866149114,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.642,0.104575331699,"[ 0.7   0.6   0.55  0.45  0.75  0.55  0.65  0.6   0.65  0.5   0.65  0.75
  0.55  0.5   0.6   0.65  0.6   0.7   0.6   0.7   0.7   0.6   0.75  0.55
  0.55  0.75  0.75  0.65  0.75  0.75  0.6   0.75  0.85  0.75  0.8   0.7
  0.5   0.55  0.8   0.55  0.5   0.8   0.7   0.35  0.6   0.7   0.7   0.5
  0.65  0.65]",0.66862244898,0.123344628668,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.719500992063,0.138107312908,"[ 0.92708333  0.68        0.57        0.51041667  0.82291667  0.953125
  0.73958333  0.69        0.66666667  0.57291667  0.80952381  0.87        0.78125
  0.4047619   0.6875      0.80555556  0.84375     0.578125    0.66666667
  0.92708333  0.82        0.55952381  0.85        0.63541667  0.55208333
  0.76        0.8452381   0.78        0.77        0.64285714  0.55208333
  0.76190476  0.8452381   0.78125     0.73809524  0.79166667  0.70238095
  0.609375    0.94791667  0.59375     0.38095238  0.75        0.79166667
  0.5625      0.51041667  0.74        0.86458333  0.67        0.96875
  0.69047619]"
7,BNU_1_deter_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.622448979592,0.109759116812,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.615,0.12816005618,"[ 0.6   0.65  0.55  0.55  0.7   0.4   0.55  0.6   0.5   0.55  0.55  0.8
  0.55  0.45  0.65  0.7   0.5   0.7   0.6   0.8   0.65  0.6   0.75  0.5
  0.5   0.8   0.8   0.75  0.75  0.45  0.6   0.45  0.8   0.7   0.55  0.6
  0.35  0.65  0.8   0.6   0.4   0.8   0.75  0.5   0.6   0.7   0.9   0.45
  0.55  0.5 ]",0.66862244898,0.115374439833,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.70512202381,0.150006642692,"[ 0.92708333  0.67        0.53        0.5         0.8125      0.953125
  0.77083333  0.69        0.51190476  0.57291667  0.77380952  0.88
  0.765625    0.36904762  0.64583333  0.75        0.859375    0.59375
  0.67708333  0.9375      0.75        0.54761905  0.84        0.625
  0.48958333  0.77        0.8452381   0.76        0.77        0.64285714
  0.54166667  0.76190476  0.8452381   0.76041667  0.76190476  0.75
  0.70238095  0.578125    0.9375      0.55208333  0.32142857  0.796875
  0.8125      0.52083333  0.48958333  0.73        0.85416667  0.66
  0.95833333  0.69047619]"
8,BNU_1_deter_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.734693877551,0.0454052968598,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.749,0.117256129904,"[ 0.8   0.7   0.85  0.75  0.85  0.6   0.75  0.75  0.9   0.95  0.8   0.75
  0.85  0.6   0.6   0.9   0.75  0.7   0.55  0.9   0.75  0.8   0.8   0.8
  0.9   0.9   0.8   0.8   0.75  0.9   0.4   0.7   0.85  0.7   0.7   0.65
  0.65  0.75  0.85  0.85  0.6   0.8   0.85  0.65  0.5   0.7   0.75  0.75
  0.75  0.5 ]",0.811394557823,0.0777212093808,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.850174404762,0.0850122917387,"[ 0.88541667  0.85        0.87        0.80208333  0.89583333  0.921875
  0.86458333  0.94        0.82142857  0.94791667  0.95238095  0.91        0.90625
  0.73809524  0.88541667  1.          0.9375      0.796875    0.79166667
  0.92708333  0.88        0.72619048  0.85        0.85416667  0.78125     0.84
  0.91666667  0.88        0.93        0.73809524  0.70833333  0.72619048
  0.89285714  0.8125      0.82142857  0.85416667  0.82142857  0.875
  0.97916667  0.88541667  0.6547619   0.890625    0.86458333  0.76041667
  0.63541667  0.87        1.          0.81        0.92708333  0.67857143]"
9,BNU_1_deter_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.785714285714,0.0775181933148,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.694,0.135513836932,"[ 0.65  0.8   0.85  0.7   0.8   0.45  0.75  0.85  0.7   0.8   0.7   0.75
  0.5   0.65  0.85  0.95  0.55  0.45  0.6   0.8   0.75  0.7   0.75  0.7
  0.65  0.85  0.7   0.8   0.7   0.65  0.45  0.55  0.75  0.7   0.75  0.8
  0.55  0.8   0.8   0.75  0.4   0.45  0.9   0.65  0.55  0.8   0.95  0.55
  0.65  0.5 ]",0.852891156463,0.0841132891363,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.795376190476,0.129929949724,"[ 0.77083333  0.75        0.6         0.64583333  0.85416667  1.
  0.91666667  0.84        0.78571429  0.80208333  0.88095238  0.96
  0.828125    0.86904762  0.82291667  1.          1.          0.53125
  0.80208333  0.79166667  0.77        0.64285714  0.81        0.76041667
  0.73958333  0.84        0.85714286  0.82        0.77        0.64285714
  0.4375      0.70238095  0.94047619  0.86458333  0.80952381  0.76041667
  0.91666667  0.828125    1.          0.88541667  0.66666667  0.75        0.875
  0.67708333  0.5625      0.91        0.94791667  0.8         0.85416667
  0.47619048]"
