,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,standard,LR,0.602040816327,0.10249897146,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.602,0.119146968069,"[ 0.75  0.55  0.55  0.65  0.5   0.45  0.55  0.75  0.55  0.5   0.55  0.55
  0.6   0.45  0.65  0.7   0.75  0.65  0.55  0.7   0.7   0.4   0.65  0.75
  0.6   0.65  0.7   0.65  0.5   0.4   0.3   0.6   0.65  0.55  0.6   0.55
  0.8   0.55  0.75  0.5   0.75  0.3   0.7   0.65  0.5   0.55  0.85  0.7
  0.7   0.6 ]",0.658928571429,0.13166782377,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.647396230159,0.142013505136,"[ 0.83333333  0.73        0.58        0.52083333  0.5         0.484375
  0.61458333  0.81        0.48809524  0.59375     0.6547619   0.57
  0.640625    0.44047619  0.72916667  0.72222222  0.671875    0.28125
  0.72916667  0.77083333  0.79        0.46428571  0.72        0.84375
  0.61458333  0.7         0.78571429  0.77        0.58        0.53571429
  0.39583333  0.63095238  0.66666667  0.625       0.69047619  0.70833333
  0.94047619  0.5625      0.91666667  0.60416667  0.52380952  0.34375
  0.77083333  0.64583333  0.53125     0.68        0.89583333  0.76
  0.76041667  0.54761905]"
1,BNU_1_deter_dti_con_ROIv_scale33,binar,bag_of_edges,standard,SGD,0.673469387755,0.0839040570309,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.473,0.139359247989,"[ 0.6   0.45  0.5   0.4   0.45  0.55  0.8   0.55  0.3   0.5   0.45  0.6
  0.25  0.4   0.4   0.15  0.45  0.25  0.6   0.5   0.6   0.3   0.5   0.55
  0.5   0.6   0.4   0.8   0.45  0.25  0.4   0.55  0.4   0.55  0.45  0.4
  0.45  0.3   0.75  0.5   0.3   0.3   0.5   0.45  0.5   0.5   0.8   0.5
  0.55  0.4 ]",0.698894557823,0.144999622503,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.648265277778,0.130072350036,"[ 0.69791667  0.51        0.52        0.51041667  0.51041667  0.53125
  0.86458333  0.84        0.53571429  0.66666667  0.6547619   0.55
  0.609375    0.55952381  0.70833333  0.72222222  0.78125     0.65625
  0.73958333  0.59375     0.67        0.46428571  0.62        0.79166667
  0.69791667  0.72        0.72619048  0.86        0.64        0.44047619
  0.30208333  0.54761905  0.63095238  0.67708333  0.76190476  0.58333333
  0.8452381   0.546875    0.90625     0.64583333  0.64285714  0.359375
  0.77083333  0.66666667  0.5         0.62        0.69791667  0.74        0.71875
  0.85714286]"
2,BNU_1_deter_dti_con_ROIv_scale33,binar,degrees,standard,LR,0.642857142857,0.0961268058961,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.613,0.11739250402,"[ 0.5   0.55  0.45  0.55  0.35  0.35  0.5   0.55  0.7   0.55  0.55  0.75
  0.7   0.55  0.55  0.75  0.6   0.55  0.8   0.7   0.65  0.45  0.85  0.8
  0.6   0.65  0.7   0.65  0.5   0.65  0.45  0.4   0.7   0.7   0.5   0.55
  0.8   0.65  0.75  0.65  0.6   0.55  0.65  0.65  0.55  0.75  0.75  0.6
  0.75  0.6 ]",0.729506802721,0.0966941768806,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.641964087302,0.139695545995,"[ 0.55208333  0.5         0.67        0.54166667  0.53125     0.421875
  0.46875     0.73        0.69047619  0.63541667  0.35714286  0.8         0.796875
  0.48809524  0.5625      0.63888889  0.703125    0.609375    0.8125
  0.78125     0.71        0.3452381   0.73        0.73958333  0.625       0.49
  0.77380952  0.81        0.45        0.83333333  0.61458333  0.57142857
  0.89285714  0.75        0.66666667  0.64583333  0.82142857  0.734375
  0.83333333  0.64583333  0.42857143  0.53125     0.625       0.69791667
  0.4375      0.76        0.70833333  0.63        0.86458333  0.44047619]"
3,BNU_1_deter_dti_con_ROIv_scale33,binar,degrees,standard,SGD,0.65306122449,0.118507033068,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.597,0.11506954419,"[ 0.5   0.5   0.5   0.6   0.45  0.3   0.55  0.6   0.65  0.55  0.55  0.75
  0.6   0.55  0.65  0.6   0.6   0.45  0.7   0.7   0.7   0.35  0.8   0.75
  0.5   0.65  0.7   0.8   0.5   0.7   0.5   0.35  0.7   0.6   0.5   0.5
  0.65  0.7   0.75  0.65  0.6   0.45  0.65  0.65  0.5   0.75  0.7   0.55
  0.7   0.6 ]",0.741666666667,0.0588443361394,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.645668849206,0.140628353843,"[ 0.57291667  0.54        0.67        0.57291667  0.52083333  0.484375
  0.52083333  0.71        0.70238095  0.64583333  0.35714286  0.81
  0.796875    0.5         0.59375     0.63888889  0.734375    0.59375
  0.84375     0.79166667  0.7         0.3452381   0.73        0.65625
  0.60416667  0.51        0.76190476  0.85        0.46        0.85714286
  0.625       0.5952381   0.89285714  0.76041667  0.66666667  0.60416667
  0.83333333  0.71875     0.85416667  0.625       0.41666667  0.5
  0.61458333  0.69791667  0.42708333  0.75        0.72916667  0.64
  0.86458333  0.39285714]"
4,BNU_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,standard,LR,0.673469387755,0.132605084644,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.601,0.105114223586,"[ 0.5   0.55  0.45  0.7   0.45  0.4   0.6   0.65  0.8   0.55  0.6   0.75
  0.65  0.55  0.5   0.75  0.6   0.55  0.75  0.7   0.55  0.35  0.65  0.65
  0.5   0.6   0.6   0.75  0.45  0.7   0.45  0.45  0.7   0.65  0.55  0.6
  0.75  0.7   0.7   0.6   0.6   0.55  0.5   0.5   0.55  0.7   0.7   0.6
  0.75  0.6 ]",0.77593537415,0.1256908779,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.665690873016,0.150760158858,"[ 0.64583333  0.57        0.61        0.5625      0.29166667  0.421875
  0.66666667  0.71        0.6547619   0.76041667  0.67857143  0.84        0.59375
  0.42857143  0.75        0.47222222  0.703125    0.453125    0.79166667
  0.82291667  0.7         0.36904762  0.88        0.8125      0.67708333
  0.71        0.72619048  0.85        0.53        0.92857143  0.54166667
  0.5         0.70238095  0.71875     0.6547619   0.69791667  0.83333333
  0.578125    0.92708333  0.72916667  0.52380952  0.40625     0.72916667
  0.75        0.5         0.81        0.75        0.83        0.89583333
  0.5952381 ]"
5,BNU_1_deter_dti_con_ROIv_scale33,binar,closeness_centrality,standard,SGD,0.663265306122,0.115616242603,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.535,0.140801278403,"[ 0.4   0.55  0.35  0.6   0.35  0.3   0.7   0.7   0.55  0.6   0.5   0.65
  0.5   0.55  0.6   0.6   0.5   0.45  0.55  0.75  0.55  0.25  0.6   0.65
  0.45  0.55  0.5   0.75  0.5   0.3   0.35  0.4   0.65  0.55  0.5   0.65
  0.65  0.35  0.85  0.6   0.55  0.25  0.7   0.5   0.4   0.7   0.8   0.6
  0.5   0.35]",0.771683673469,0.110446198694,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.671962698413,0.150666159991,"[ 0.58333333  0.5         0.58        0.60416667  0.38541667  0.359375
  0.6875      0.69        0.58333333  0.79166667  0.69047619  0.83
  0.703125    0.48809524  0.80208333  0.61111111  0.703125    0.53125
  0.83333333  0.875       0.75        0.33333333  0.8         0.71875
  0.625       0.76        0.77380952  0.95        0.51        0.89285714
  0.44791667  0.55952381  0.80952381  0.79166667  0.63095238  0.63541667
  0.92857143  0.625       0.875       0.64583333  0.53571429  0.421875
  0.67708333  0.72916667  0.48958333  0.84        0.70833333  0.78
  0.85416667  0.66666667]"
6,BNU_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,standard,LR,0.571428571429,0.0505076272276,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.552,0.108148046677,"[ 0.5   0.45  0.65  0.3   0.5   0.55  0.4   0.55  0.6   0.6   0.5   0.7
  0.5   0.55  0.65  0.7   0.45  0.55  0.55  0.75  0.55  0.45  0.45  0.6
  0.5   0.45  0.65  0.6   0.55  0.45  0.4   0.4   0.65  0.75  0.55  0.55
  0.45  0.45  0.75  0.5   0.45  0.5   0.75  0.65  0.45  0.6   0.6   0.8
  0.6   0.5 ]",0.594897959184,0.05571228442,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.563246626984,0.146420163433,"[ 0.53125     0.37        0.77        0.45833333  0.40625     0.75        0.40625
  0.58        0.3452381   0.57291667  0.39285714  0.81        0.53125
  0.53571429  0.66666667  0.61111111  0.546875    0.375       0.73958333
  0.78125     0.53        0.44047619  0.44        0.78125     0.58333333
  0.41        0.73809524  0.54        0.72        0.29761905  0.44791667
  0.39285714  0.58333333  0.65625     0.55952381  0.51041667  0.6547619
  0.609375    0.875       0.39583333  0.38095238  0.546875    0.86458333
  0.5625      0.38541667  0.71        0.58333333  0.73        0.55208333
  0.5       ]"
7,BNU_1_deter_dti_con_ROIv_scale33,binar,betweenness_centrality,standard,SGD,0.591836734694,0.0362847220492,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.511,0.114581848475,"[ 0.5   0.6   0.55  0.25  0.5   0.4   0.45  0.45  0.55  0.6   0.55  0.55
  0.45  0.45  0.5   0.55  0.5   0.4   0.5   0.8   0.5   0.3   0.45  0.55
  0.55  0.45  0.65  0.55  0.35  0.5   0.4   0.4   0.6   0.6   0.65  0.5
  0.45  0.35  0.65  0.45  0.5   0.45  0.7   0.6   0.3   0.55  0.7   0.8
  0.55  0.4 ]",0.596088435374,0.091249856969,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.553761706349,0.1411324284,"[ 0.51041667  0.45        0.71        0.44791667  0.35416667  0.671875
  0.47916667  0.53        0.4047619   0.51041667  0.45238095  0.82
  0.421875    0.55952381  0.65625     0.55555556  0.4375      0.328125
  0.72916667  0.76041667  0.56        0.38095238  0.46        0.80208333
  0.54166667  0.54        0.73809524  0.57        0.69        0.33333333
  0.44791667  0.48809524  0.53571429  0.73958333  0.57142857  0.45833333
  0.67857143  0.546875    0.86458333  0.38541667  0.39285714  0.546875
  0.80208333  0.53125     0.29166667  0.65        0.60416667  0.75
  0.52083333  0.47619048]"
8,BNU_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,standard,LR,0.642857142857,0.0729986176988,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.615,0.0955248658727,"[ 0.6   0.5   0.55  0.4   0.65  0.45  0.6   0.6   0.75  0.55  0.6   0.65
  0.75  0.45  0.5   0.75  0.7   0.5   0.75  0.6   0.75  0.4   0.55  0.65
  0.65  0.6   0.65  0.7   0.5   0.7   0.5   0.6   0.85  0.6   0.6   0.65
  0.7   0.7   0.6   0.65  0.7   0.65  0.65  0.6   0.55  0.65  0.5   0.6
  0.65  0.7 ]",0.717091836735,0.100103386529,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673004761905,0.118961021772,"[ 0.625       0.51        0.64        0.5         0.5625      0.546875
  0.61458333  0.7         0.80952381  0.67708333  0.63095238  0.75        0.84375
  0.5         0.69791667  0.66666667  0.703125    0.59375     0.80208333
  0.79166667  0.73        0.35714286  0.71        0.72916667  0.60416667
  0.61        0.73809524  0.8         0.56        0.89285714  0.59375
  0.78571429  0.8452381   0.77083333  0.61904762  0.70833333  0.82142857
  0.6875      0.88541667  0.67708333  0.46428571  0.59375     0.64583333
  0.67708333  0.51041667  0.74        0.71875     0.68        0.86458333
  0.46428571]"
9,BNU_1_deter_dti_con_ROIv_scale33,binar,eigenvector_centrality,standard,SGD,0.642857142857,0.0984574910864,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.544,0.114734476074,"[ 0.65  0.55  0.35  0.4   0.4   0.45  0.6   0.55  0.55  0.55  0.6   0.75
  0.6   0.45  0.65  0.55  0.55  0.55  0.5   0.7   0.6   0.3   0.7   0.6
  0.45  0.45  0.55  0.65  0.45  0.55  0.35  0.4   0.5   0.7   0.6   0.45
  0.5   0.55  0.85  0.45  0.5   0.4   0.7   0.5   0.5   0.6   0.65  0.75
  0.6   0.4 ]",0.717261904762,0.0581822021824,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.646386309524,0.123263484123,"[ 0.46875     0.44        0.69        0.45833333  0.58333333  0.5625
  0.6875      0.7         0.72619048  0.65625     0.42857143  0.65
  0.796875    0.5         0.58333333  0.75        0.71875     0.609375
  0.84375     0.78125     0.78        0.35714286  0.6         0.6875
  0.66666667  0.82        0.69047619  0.59        0.62        0.82142857
  0.5625      0.75        0.78571429  0.73958333  0.66666667  0.64583333
  0.72619048  0.6875      0.89583333  0.67708333  0.55952381  0.578125
  0.6875      0.6875      0.48958333  0.69        0.34375     0.56
  0.77083333  0.54761905]"
