,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.591836734694,0.103297253355,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.572,0.102547549946,"[ 0.6   0.5   0.5   0.65  0.6   0.35  0.7   0.55  0.6   0.7   0.55  0.5
  0.55  0.45  0.5   0.35  0.6   0.55  0.55  0.65  0.75  0.55  0.65  0.55
  0.6   0.6   0.75  0.7   0.65  0.6   0.45  0.35  0.45  0.55  0.5   0.65
  0.45  0.65  0.55  0.6   0.35  0.5   0.7   0.65  0.7   0.65  0.75  0.55
  0.6   0.55]",0.640306122449,0.16731652166,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.67806765873,0.160810802029,"[ 0.88541667  0.67        0.68        0.80208333  0.42708333  0.5
  0.77083333  0.61        0.57142857  0.70833333  0.53571429  0.69
  0.765625    0.57142857  0.73958333  0.80555556  0.671875    0.625
  0.89583333  0.76041667  0.79        0.26190476  0.71        0.75
  0.64583333  0.58        0.9047619   0.76        0.7         0.58333333
  0.39583333  0.38095238  0.82142857  0.8125      0.57142857  0.71875
  0.82142857  0.9375      0.71875     0.69791667  0.63095238  0.640625
  0.54166667  0.61458333  0.72916667  0.99        0.63541667  0.24
  0.98958333  0.64285714]"
1,BNU_1_proba_csa_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.642857142857,0.0677630927179,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.581,0.143488675511,"[ 0.7   0.7   0.85  0.75  0.35  0.5   0.7   0.55  0.45  0.75  0.45  0.65
  0.45  0.6   0.6   0.55  0.5   0.45  0.75  0.7   0.75  0.3   0.7   0.75
  0.4   0.5   0.45  0.65  0.55  0.55  0.4   0.45  0.6   0.55  0.35  0.6
  0.65  0.9   0.7   0.65  0.35  0.5   0.6   0.55  0.6   0.85  0.55  0.3
  0.7   0.6 ]",0.676955782313,0.150481681355,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.671917460317,0.157127315137,"[ 0.72916667  0.75        0.7         0.85416667  0.30208333  0.59375
  0.8125      0.63        0.53571429  0.77083333  0.55952381  0.64
  0.640625    0.58333333  0.72916667  0.86111111  0.703125    0.578125
  0.85416667  0.78125     0.75        0.23809524  0.81        0.71875
  0.63541667  0.74        0.82142857  0.75        0.61        0.57142857
  0.40625     0.48809524  0.77380952  0.79166667  0.52380952  0.59375
  0.80952381  0.9375      0.67708333  0.65625     0.60714286  0.609375
  0.61458333  0.625       0.75        0.94        0.63541667  0.26        1.
  0.64285714]"
2,BNU_1_proba_csa_con_ROIv_scale60,binar,degrees,standard,LR,0.642857142857,0.0729986176988,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.646,0.141364776377,"[ 0.75  0.75  0.6   0.8   0.45  0.55  0.8   0.55  0.85  0.55  0.65  0.6
  0.55  0.55  0.65  0.7   0.65  0.5   0.8   0.85  0.75  0.35  0.85  0.75
  0.45  0.3   0.8   0.55  0.7   0.85  0.45  0.45  0.7   0.7   0.55  0.75
  0.6   0.75  0.75  0.65  0.5   0.5   0.6   0.55  0.7   0.9   0.75  0.45
  0.8   0.7 ]",0.633673469388,0.119081949617,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.666532142857,0.181456733812,"[ 0.80208333  0.7         0.56        0.82291667  0.5         0.703125
  0.97916667  0.67        0.88095238  0.48958333  0.58333333  0.74        0.71875
  0.57142857  0.72916667  0.75        0.875       0.484375    0.80208333
  0.91666667  0.86        0.42857143  0.81        0.60416667  0.57291667
  0.66        0.88095238  0.55        0.63        0.58333333  0.4375
  0.20238095  0.80952381  0.67708333  0.53571429  0.59375     0.92857143
  0.984375    0.59375     0.60416667  0.39285714  0.515625    0.53125
  0.61458333  0.67708333  0.96        0.23958333  0.45        0.875
  0.8452381 ]"
3,BNU_1_proba_csa_con_ROIv_scale60,binar,degrees,standard,SGD,0.642857142857,0.175125481414,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.599,0.137655366768,"[ 0.75  0.65  0.7   0.7   0.55  0.25  0.75  0.6   0.7   0.65  0.75  0.7
  0.35  0.6   0.65  0.55  0.5   0.35  0.55  0.85  0.8   0.5   0.8   0.6
  0.4   0.5   0.6   0.65  0.55  0.55  0.35  0.35  0.65  0.75  0.65  0.65
  0.6   0.7   0.8   0.6   0.45  0.4   0.6   0.45  0.65  0.7   0.45  0.6
  0.7   0.75]",0.652891156463,0.167681443172,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.709436904762,0.163746287762,"[ 0.91666667  0.71        0.7         0.78125     0.52083333  0.5625
  0.9375      0.78        0.82142857  0.64583333  0.58333333  0.69
  0.640625    0.61904762  0.75        0.83333333  0.75        0.484375
  0.875       0.82291667  0.88        0.39285714  0.83        0.78125
  0.59375     0.53        0.96428571  0.68        0.65        0.52380952
  0.39583333  0.44047619  0.92857143  0.8125      0.6547619   0.84375
  0.91666667  0.953125    0.66666667  0.60416667  0.3452381   0.734375
  0.64583333  0.71875     0.73958333  0.97        0.57291667  0.47
  0.92708333  0.88095238]"
4,BNU_1_proba_csa_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.632653061224,0.125670951391,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.657,0.131533265754,"[ 0.7   0.75  0.7   0.7   0.5   0.55  0.8   0.55  0.8   0.6   0.7   0.65
  0.5   0.55  0.7   0.75  0.65  0.6   0.85  0.8   0.7   0.4   0.8   0.75
  0.5   0.35  0.75  0.55  0.65  0.85  0.45  0.45  0.7   0.75  0.6   0.7
  0.6   0.75  0.8   0.7   0.5   0.55  0.65  0.6   0.75  0.95  0.7   0.4
  0.85  0.7 ]",0.630272108844,0.164377940621,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.686654166667,0.148120944754,"[ 0.80208333  0.7         0.66        0.76041667  0.5         0.625       0.9375
  0.7         0.83333333  0.63541667  0.5952381   0.68        0.734375
  0.58333333  0.6875      0.83333333  0.796875    0.390625    0.86458333
  0.82291667  0.83        0.3452381   0.84        0.79166667  0.60416667
  0.5         0.82142857  0.58        0.64        0.58333333  0.41666667
  0.36904762  0.86904762  0.73958333  0.70238095  0.82291667  0.80952381
  0.890625    0.66666667  0.66666667  0.42857143  0.671875    0.63541667
  0.67708333  0.73958333  0.96        0.54166667  0.55        0.85416667
  0.64285714]"
5,BNU_1_proba_csa_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.663265306122,0.138994591643,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.603,0.125063983624,"[ 0.75  0.7   0.7   0.65  0.5   0.35  0.75  0.55  0.65  0.65  0.75  0.55
  0.45  0.55  0.8   0.65  0.45  0.5   0.7   0.95  0.75  0.4   0.75  0.65
  0.45  0.45  0.6   0.65  0.6   0.55  0.5   0.35  0.65  0.75  0.6   0.55
  0.55  0.5   0.75  0.6   0.45  0.45  0.6   0.65  0.6   0.75  0.45  0.6
  0.65  0.7 ]",0.672448979592,0.159014414855,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.725066071429,0.156673407762,"[ 0.89583333  0.71        0.72        0.76041667  0.53125     0.609375
  0.94791667  0.82        0.83333333  0.67708333  0.5952381   0.68        0.6875
  0.63095238  0.70833333  0.83333333  0.8125      0.546875    0.86458333
  0.83333333  0.83        0.41666667  0.89        0.82291667  0.61458333
  0.5         0.92857143  0.68        0.69        0.52380952  0.46875
  0.4047619   0.96428571  0.80208333  0.75        0.89583333  0.9047619
  0.984375    0.65625     0.64583333  0.44047619  0.78125     0.65625
  0.69791667  0.77083333  0.99        0.5625      0.5         0.9375
  0.8452381 ]"
6,BNU_1_proba_csa_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.642857142857,0.186415039343,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.678,0.108240473022,"[ 0.7   0.75  0.65  0.65  0.7   0.4   0.85  0.65  0.75  0.65  0.7   0.75
  0.55  0.6   0.8   0.8   0.7   0.7   0.8   0.75  0.65  0.4   0.7   0.85
  0.55  0.6   0.65  0.7   0.55  0.85  0.55  0.5   0.8   0.8   0.8   0.75
  0.8   0.7   0.65  0.75  0.55  0.65  0.65  0.6   0.7   0.7   0.55  0.5
  0.7   0.8 ]",0.653741496599,0.203898798486,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.732411706349,0.138899721364,"[ 0.85416667  0.73        0.78        0.71875     0.60416667  0.671875
  0.91666667  0.71        0.95238095  0.59375     0.80952381  0.78        0.90625
  0.52380952  0.875       0.88888889  0.75        0.578125    0.88541667
  0.82291667  0.83        0.33333333  0.8         0.77083333  0.78125     0.68
  0.76190476  0.77        0.51        0.67857143  0.44791667  0.54761905
  0.92857143  0.875       0.8452381   0.82291667  0.91666667  0.765625
  0.66666667  0.70833333  0.64285714  0.71875     0.78125     0.76041667
  0.63541667  0.79        0.5         0.47        0.875       0.6547619 ]"
7,BNU_1_proba_csa_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.683673469388,0.120208143177,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.657,0.126099167325,"[ 0.55  0.75  0.5   0.5   0.6   0.35  0.95  0.65  0.7   0.85  0.7   0.8
  0.6   0.65  0.75  0.65  0.5   0.55  0.75  0.6   0.7   0.4   0.8   0.65
  0.55  0.6   0.65  0.75  0.5   0.75  0.45  0.45  0.75  0.8   0.8   0.75
  0.7   0.6   0.7   0.65  0.65  0.65  0.8   0.8   0.75  0.75  0.6   0.45
  0.65  0.8 ]",0.672278911565,0.205111224425,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.729480555556,0.140281787071,"[ 0.85416667  0.79        0.74        0.60416667  0.5         0.625
  0.84375     0.75        0.97619048  0.77083333  0.83333333  0.84
  0.890625    0.55952381  0.85416667  0.86111111  0.578125    0.625
  0.82291667  0.90625     0.81        0.30952381  0.75        0.78125
  0.8125      0.58        0.75        0.7         0.57        0.69047619
  0.47916667  0.64285714  0.82142857  0.85416667  0.89285714  0.73958333
  0.86904762  0.796875    0.65625     0.72916667  0.71428571  0.609375
  0.78125     0.97916667  0.63541667  0.7         0.41666667  0.56        0.84375
  0.77380952]"
8,BNU_1_proba_csa_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.673469387755,0.101346846538,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.6,0.13638181697,"[ 0.75  0.6   0.55  0.75  0.5   0.6   0.9   0.6   0.8   0.5   0.7   0.65
  0.6   0.65  0.65  0.6   0.55  0.55  0.85  0.85  0.65  0.35  0.8   0.55
  0.5   0.65  0.65  0.4   0.45  0.65  0.55  0.25  0.65  0.6   0.5   0.5
  0.7   0.6   0.7   0.55  0.4   0.45  0.5   0.5   0.5   0.9   0.5   0.45
  0.65  0.7 ]",0.67287414966,0.139746572862,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.682990674603,0.177813899615,"[ 0.9375      0.78        0.56        0.82291667  0.51041667  0.640625
  0.9375      0.71        0.82142857  0.52083333  0.47619048  0.74        0.6875
  0.64285714  0.78125     0.69444444  0.90625     0.515625    0.82291667
  0.95833333  0.76        0.39285714  0.92        0.63541667  0.66666667
  0.67        0.88095238  0.48        0.62        0.53571429  0.5625
  0.16666667  0.88095238  0.67708333  0.63095238  0.55208333  0.95238095
  0.96875     0.6875      0.65625     0.39285714  0.515625    0.61458333
  0.67708333  0.64583333  0.98        0.36458333  0.59        0.84375
  0.76190476]"
9,BNU_1_proba_csa_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.673469387755,0.135773519544,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.613,0.141354165131,"[ 0.6   0.6   0.65  0.75  0.7   0.55  0.8   0.6   0.7   0.45  0.6   0.6
  0.6   0.4   0.6   0.6   0.45  0.55  0.65  0.8   0.75  0.3   0.85  0.75
  0.55  0.4   0.8   0.45  0.6   0.8   0.5   0.35  0.7   0.7   0.4   0.7
  0.45  0.7   0.8   0.6   0.35  0.55  0.55  0.55  0.7   0.9   0.65  0.5
  0.8   0.7 ]",0.697789115646,0.156251081721,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.701493055556,0.163388498044,"[ 0.96875     0.67        0.67        0.82291667  0.53125     0.5625
  0.92708333  0.72        0.75        0.625       0.57142857  0.7         0.625
  0.60714286  0.75        0.77777778  0.703125    0.46875     0.80208333
  0.875       0.8         0.41666667  0.91        0.77083333  0.64583333
  0.5         0.92857143  0.67        0.73        0.55952381  0.52083333
  0.32142857  0.95238095  0.83333333  0.5952381   0.71875     0.9047619
  0.984375    0.6875      0.66666667  0.38095238  0.796875    0.61458333
  0.61458333  0.72916667  0.98        0.625       0.4         0.92708333
  0.76190476]"
