,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.714285714286,0.10296070624,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.73,0.127279220614,"[ 0.85  0.85  0.8   0.6   0.65  0.65  0.6   0.8   0.8   0.7   0.95  0.8
  0.55  0.75  0.6   0.9   0.7   0.7   0.75  0.8   0.75  0.65  0.8   0.7
  0.8   0.55  0.9   0.85  0.85  0.75  0.5   0.5   0.9   0.85  0.8   1.    0.7
  0.7   0.85  0.65  0.4   0.7   0.65  0.45  0.65  0.8   0.85  0.7   0.75
  0.7 ]",0.738095238095,0.0957893273705,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.764594444444,0.170903103881,"[ 0.89583333  0.85        0.81        0.59375     0.60416667  0.890625
  0.82291667  0.94        0.60714286  0.71875     0.98809524  0.78
  0.546875    0.72619048  0.73958333  0.88888889  0.796875    0.4375
  0.82291667  0.77083333  0.61        0.42857143  0.87        0.95833333
  0.69791667  0.56        0.91666667  0.92        0.93        0.76190476
  0.65625     0.46428571  0.9047619   0.9375      0.61904762  1.
  0.92857143  0.9375      0.95833333  0.71875     0.38095238  0.828125
  0.73958333  0.48958333  0.65625     0.9         0.94791667  0.9         0.9375
  0.44047619]"
1,BNU_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.683673469388,0.13168581605,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.652,0.133775932066,"[ 0.85  0.7   0.9   0.5   0.4   0.55  0.55  0.75  0.6   0.65  0.7   0.65
  0.35  0.6   0.6   0.75  0.7   0.75  0.7   0.65  0.8   0.5   0.75  0.65
  0.5   0.5   0.65  0.7   0.8   0.6   0.55  0.35  0.6   0.9   0.75  0.65
  0.7   0.75  0.85  0.55  0.4   0.7   0.65  0.45  0.75  0.8   0.7   0.7
  0.85  0.6 ]",0.762414965986,0.115180924044,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.769576785714,0.158024914021,"[ 0.875       0.8         0.87        0.6875      0.41666667  0.921875
  0.82291667  0.97        0.53571429  0.70833333  0.9047619   0.74
  0.484375    0.75        0.6875      0.91666667  0.8125      0.640625
  0.8125      0.94791667  0.63        0.41666667  0.87        0.91666667
  0.61458333  0.65        0.89285714  0.77        0.95        0.71428571
  0.77083333  0.48809524  0.80952381  0.95833333  0.66666667  0.91666667
  0.9047619   0.90625     0.86458333  0.77083333  0.3452381   0.90625
  0.84375     0.55208333  0.76041667  0.87        0.95833333  0.87
  0.89583333  0.69047619]"
2,BNU_1_proba_csd_con_ROIv_scale60,binar,degrees,standard,LR,0.795918367347,0.12850662442,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.723,0.106869078783,"[ 0.85  0.75  0.85  0.8   0.5   0.65  0.7   0.8   0.7   0.7   0.7   0.65
  0.65  0.75  0.8   0.75  0.7   0.65  0.5   0.75  0.7   0.7   0.95  0.8
  0.55  0.65  0.8   0.75  0.8   0.8   0.6   0.5   0.9   0.85  0.75  0.75
  0.75  0.6   0.85  0.8   0.7   0.8   0.7   0.45  0.7   0.85  0.7   0.75
  0.85  0.6 ]",0.817346938776,0.122052978334,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.807010119048,0.137572154745,"[ 0.9375      0.78        0.84        0.82291667  0.5625      0.90625
  0.95833333  0.88        0.76190476  0.80208333  0.79761905  0.73        0.8125
  0.73809524  0.76041667  0.83333333  0.953125    0.5625      0.76041667
  0.86458333  0.84        0.80952381  0.94        0.91666667  0.61458333
  0.72        0.97619048  0.91        0.94        0.80952381  0.57291667
  0.38095238  0.98809524  0.89583333  0.70238095  0.92708333  0.86904762
  0.90625     0.96875     0.86458333  0.53571429  0.90625     0.78125
  0.54166667  0.65625     0.88        0.92708333  0.86        0.97916667
  0.66666667]"
3,BNU_1_proba_csd_con_ROIv_scale60,binar,degrees,standard,SGD,0.826530612245,0.0392558858401,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.692,0.11417530381,"[ 0.7   0.65  0.85  0.8   0.5   0.65  0.85  0.9   0.65  0.55  0.65  0.7
  0.55  0.8   0.65  0.7   0.7   0.6   0.55  0.75  0.7   0.8   0.85  0.8
  0.45  0.7   0.7   0.7   0.85  0.75  0.5   0.4   0.8   0.7   0.7   0.85
  0.65  0.6   0.85  0.65  0.65  0.85  0.7   0.5   0.75  0.65  0.75  0.6
  0.75  0.65]",0.833928571429,0.114485038235,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.79761031746,0.138364365356,"[ 0.9375      0.74        0.92        0.90625     0.60416667  0.921875
  0.95833333  0.79        0.70238095  0.82291667  0.82142857  0.79        0.875
  0.75        0.73958333  0.77777778  0.875       0.59375     0.76041667
  0.79166667  0.87        0.78571429  0.86        0.86458333  0.55208333
  0.69        0.92857143  0.92        0.94        0.82142857  0.51041667
  0.32142857  0.98809524  0.92708333  0.72619048  0.9375      0.82142857
  0.875       0.92708333  0.85416667  0.58333333  0.890625    0.6875
  0.55208333  0.66666667  0.89        0.91666667  0.91        0.90625
  0.67857143]"
4,BNU_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.765306122449,0.154920678068,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.724,0.104995237987,"[ 0.8   0.75  0.8   0.75  0.55  0.65  0.75  0.8   0.7   0.7   0.65  0.7
  0.65  0.8   0.8   0.75  0.7   0.6   0.55  0.75  0.7   0.65  0.95  0.8
  0.55  0.65  0.85  0.7   0.85  0.8   0.6   0.55  0.95  0.8   0.8   0.75
  0.75  0.65  0.9   0.75  0.6   0.8   0.7   0.5   0.7   0.9   0.7   0.65
  0.85  0.6 ]",0.807057823129,0.124687119994,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.797743849206,0.134383172437,"[ 0.97916667  0.74        0.83        0.82291667  0.54166667  0.90625
  0.9375      0.84        0.70238095  0.77083333  0.78571429  0.72        0.78125
  0.76190476  0.76041667  0.80555556  0.9375      0.59375     0.78125
  0.84375     0.84        0.79761905  0.94        0.89583333  0.59375     0.69
  0.95238095  0.87        0.92        0.82142857  0.625       0.36904762
  0.96428571  0.89583333  0.69047619  0.91666667  0.85714286  0.921875
  0.95833333  0.85416667  0.54761905  0.90625     0.77083333  0.53125
  0.66666667  0.88        0.89583333  0.86        0.95833333  0.6547619 ]"
5,BNU_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.795918367347,0.064464531921,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.701,0.11022250224,"[ 0.8   0.65  0.9   0.75  0.65  0.65  0.75  0.7   0.65  0.5   0.6   0.65
  0.65  0.6   0.8   0.8   0.75  0.6   0.5   0.8   0.75  0.8   0.85  0.7
  0.65  0.7   0.75  0.6   0.85  0.85  0.7   0.55  0.9   0.75  0.65  0.75
  0.7   0.65  0.75  0.8   0.45  0.85  0.7   0.6   0.45  0.7   0.85  0.8
  0.65  0.55]",0.846853741497,0.106611382265,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781346825397,0.147360060786,"[ 0.98958333  0.75        0.93        0.82291667  0.45833333  0.921875    1.
  0.94        0.69047619  0.69791667  0.70238095  0.77        0.796875
  0.77380952  0.63541667  0.80555556  0.953125    0.5625      0.63541667
  0.77083333  0.89        0.8452381   0.82        0.9375      0.61458333
  0.62        0.8452381   0.97        0.89        0.83333333  0.75
  0.41666667  0.92857143  0.89583333  0.57142857  0.6875      0.86904762
  0.953125    0.83333333  0.88541667  0.52380952  0.90625     0.69791667
  0.625       0.46875     0.79        0.9375      0.74        0.91666667
  0.79761905]"
6,BNU_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.765306122449,0.106310882767,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.687,0.113053084876,"[ 0.65  0.65  0.75  0.75  0.6   0.7   0.8   0.9   0.6   0.7   0.9   0.65
  0.65  0.6   0.5   0.7   0.55  0.55  0.7   0.7   0.75  0.8   0.85  0.7
  0.45  0.65  0.75  0.75  0.75  0.75  0.45  0.7   0.8   0.7   0.55  0.8
  0.75  0.4   0.7   0.75  0.55  0.75  0.7   0.5   0.65  0.85  0.7   0.65
  0.85  0.75]",0.779591836735,0.107546675841,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.755384325397,0.122879794308,"[ 0.88541667  0.66        0.85        0.625       0.67708333  0.8125
  0.88541667  0.88        0.6547619   0.67708333  0.96428571  0.75        0.75
  0.57142857  0.59375     0.72222222  0.71875     0.46875     0.79166667
  0.88541667  0.86        0.8452381   0.92        0.83333333  0.55208333
  0.67        0.82142857  0.73        0.83        0.79761905  0.44791667
  0.53571429  0.85714286  0.83333333  0.60714286  0.92708333  0.83333333
  0.8125      0.84375     0.76041667  0.6547619   0.796875    0.91666667
  0.625       0.71875     0.83        0.77083333  0.66        0.91666667
  0.73809524]"
7,BNU_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.795918367347,0.0512353748,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.72,0.11313708499,"[ 0.7   0.65  0.75  0.7   0.7   0.6   0.75  0.95  0.7   0.7   0.9   0.9
  0.8   0.55  0.55  0.7   0.55  0.55  0.7   0.85  0.75  0.85  0.85  0.7
  0.6   0.65  0.75  0.7   0.85  0.85  0.5   0.65  0.75  0.8   0.6   0.75
  0.75  0.45  0.8   0.8   0.65  0.75  0.8   0.55  0.65  0.8   0.9   0.65
  0.85  0.75]",0.804846938776,0.100355437407,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.747379166667,0.119341796858,"[ 0.91666667  0.68        0.82        0.53125     0.77083333  0.828125
  0.90625     0.91        0.64285714  0.64583333  0.92857143  0.76
  0.703125    0.66666667  0.59375     0.75        0.71875     0.5
  0.72916667  0.89583333  0.74        0.80952381  0.93        0.82291667
  0.47916667  0.6         0.77380952  0.72        0.78        0.78571429
  0.48958333  0.54761905  0.80952381  0.79166667  0.61904762  0.90625
  0.8452381   0.796875    0.83333333  0.72916667  0.60714286  0.75
  0.86458333  0.69791667  0.70833333  0.86        0.84375     0.72
  0.89583333  0.71428571]"
8,BNU_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.775510204082,0.134058488979,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.764,0.098,"[ 0.9   0.75  0.8   0.75  0.6   0.7   0.8   0.9   0.7   0.75  0.7   0.7
  0.7   0.8   0.75  0.85  0.8   0.65  0.7   0.7   0.75  0.75  0.85  0.9
  0.55  0.7   0.9   0.9   0.9   0.75  0.6   0.55  0.95  0.85  0.8   0.8
  0.7   0.65  0.8   0.8   0.7   0.8   0.75  0.6   0.8   0.85  0.8   0.9
  0.9   0.65]",0.836054421769,0.110981344001,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.825638888889,0.121336202094,"[ 0.92708333  0.79        0.88        0.82291667  0.59375     0.90625
  0.95833333  0.9         0.78571429  0.84375     0.79761905  0.84
  0.890625    0.75        0.8125      0.86111111  0.953125    0.609375
  0.79166667  0.82291667  0.84        0.80952381  0.89        0.91666667
  0.625       0.77        0.96428571  0.94        0.93        0.89285714
  0.63541667  0.44047619  0.97619048  0.92708333  0.73809524  0.88541667
  0.88095238  0.890625    0.94791667  0.875       0.6547619   0.90625     0.75
  0.60416667  0.66666667  0.89        0.92708333  0.98        0.94791667
  0.64285714]"
9,BNU_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.795918367347,0.084952341731,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.7,0.117046999107,"[ 0.75  0.85  0.85  0.8   0.4   0.65  0.7   0.85  0.7   0.7   0.65  0.6
  0.55  0.75  0.8   0.8   0.7   0.55  0.55  0.65  0.7   0.8   0.7   0.75
  0.65  0.65  0.65  0.6   0.8   0.85  0.45  0.45  0.85  0.8   0.7   0.65
  0.7   0.55  0.9   0.8   0.6   0.8   0.75  0.5   0.7   0.7   0.75  0.85
  0.85  0.65]",0.858928571429,0.0927867177995,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.799715873016,0.139681917637,"[ 0.9375      0.83        0.92        0.90625     0.65625     0.90625
  0.96875     0.91        0.58333333  0.84375     0.61904762  0.89
  0.671875    0.64285714  0.71875     0.80555556  0.953125    0.59375
  0.625       0.72916667  0.74        0.80952381  0.85        0.89583333
  0.71875     0.9         0.85714286  0.97        0.9         0.75        0.65625
  0.32142857  0.95238095  0.9375      0.75        0.79166667  0.86904762
  0.828125    0.97916667  0.94791667  0.64285714  0.953125    0.80208333
  0.70833333  0.63541667  0.84        0.89583333  0.96        0.86458333
  0.54761905]"
