,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.663265306122,0.102904508045,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.625,0.112361025271,"[ 0.6   0.75  0.55  0.65  0.4   0.5   0.7   0.6   0.7   0.7   0.55  0.6
  0.6   0.35  0.6   0.55  0.6   0.65  0.8   0.6   0.75  0.6   0.65  0.7
  0.5   0.65  0.8   0.8   0.5   0.6   0.55  0.55  0.65  0.8   0.5   0.45
  0.45  0.65  0.45  0.8   0.65  0.7   0.55  0.75  0.85  0.55  0.65  0.7
  0.65  0.75]",0.761139455782,0.120066879969,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.662166071429,0.155754079588,"[ 0.78125     0.86        0.75        0.5625      0.41666667  0.578125
  0.75        0.67        0.77380952  0.8125      0.17857143  0.57        0.78125
  0.23809524  0.70833333  0.75        0.5         0.625       0.875
  0.65625     0.7         0.61904762  0.62        0.52083333  0.61458333
  0.95        0.75        0.88        0.53        0.5         0.57291667
  0.57142857  0.69047619  0.72916667  0.5         0.52083333  0.75        0.75
  0.47916667  0.89583333  0.60714286  0.65625     0.58333333  0.72916667
  0.89583333  0.64        0.625       0.82        0.84375     0.72619048]"
1,BNU_1_deter_csd_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.69387755102,0.156662102899,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.612,0.134372616258,"[ 0.7   0.7   0.65  0.45  0.4   0.75  0.7   0.8   0.7   0.55  0.6   0.6
  0.4   0.45  0.55  0.5   0.7   0.5   0.7   0.5   0.65  0.65  0.6   0.6
  0.45  0.75  0.65  0.55  0.3   0.9   0.7   0.35  0.7   0.7   0.55  0.6
  0.8   0.85  0.75  0.3   0.6   0.65  0.6   0.5   0.6   0.75  0.55  0.6
  0.8   0.65]",0.83018707483,0.103504632991,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.655581547619,0.171855988148,"[ 0.65625     0.5         0.86        0.44791667  0.73958333  0.65625
  0.35416667  0.71        0.61904762  0.70833333  0.39285714  0.71        0.65625
  0.16666667  0.36458333  1.          0.53125     0.546875    0.80208333
  0.5625      0.64        0.35714286  0.64        0.59375     0.61458333
  0.68        0.80952381  0.92        0.51        0.54761905  0.65625
  0.67857143  0.66666667  0.70833333  0.55952381  0.625       0.92857143
  0.921875    0.46875     0.80208333  0.57142857  0.765625    0.61458333
  0.75        0.90625     0.83        0.84375     0.82        0.86458333
  0.5       ]"
2,BNU_1_deter_csd_con_ROIv_scale125,max,degrees,standard,LR,0.642857142857,0.105945692673,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.607,0.102474387044,"[ 0.8   0.55  0.6   0.65  0.55  0.45  0.55  0.55  0.7   0.6   0.65  0.85
  0.65  0.35  0.5   0.55  0.65  0.5   0.65  0.55  0.55  0.45  0.65  0.65
  0.6   0.55  0.7   0.55  0.45  0.75  0.55  0.55  0.75  0.7   0.55  0.55
  0.65  0.7   0.7   0.65  0.75  0.75  0.6   0.45  0.75  0.7   0.55  0.45
  0.6   0.6 ]",0.677551020408,0.120255233121,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.629360912698,0.153632042469,"[ 0.94791667  0.56        0.64        0.59375     0.59375     0.21875
  0.5625      0.52        0.70238095  0.69791667  0.72619048  0.88        0.625
  0.30952381  0.38541667  0.77777778  0.65625     0.453125    0.63541667
  0.59375     0.43        0.27380952  0.72        0.59375     0.625       0.64
  0.8452381   0.53        0.51        0.60714286  0.61458333  0.64285714
  0.80952381  0.71875     0.69047619  0.65625     0.85714286  0.796875
  0.73958333  0.72916667  0.63095238  0.828125    0.57291667  0.5         0.78125
  0.75        0.78125     0.45        0.63541667  0.42857143]"
3,BNU_1_deter_csd_con_ROIv_scale125,max,degrees,standard,SGD,0.632653061224,0.0724497780289,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.525,0.145688022843,"[ 0.75  0.6   0.45  0.7   0.35  0.55  0.4   0.4   0.5   0.45  0.4   0.55
  0.4   0.45  0.35  0.6   0.55  0.3   0.55  0.4   0.45  0.15  0.3   0.65
  0.55  0.4   0.5   0.55  0.55  0.55  0.6   0.35  0.6   0.5   0.45  0.7
  0.7   0.75  0.65  0.85  0.6   0.35  0.6   0.65  0.7   0.55  0.65  0.75
  0.25  0.65]",0.678996598639,0.116241661441,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524047619048,0.130931739039,"[ 0.5         0.5         0.5         0.625       0.5         0.578125    0.5
  0.53        0.83333333  0.52083333  0.78571429  0.5         0.75
  0.33333333  0.36458333  0.91666667  0.46875     0.640625    0.73958333
  0.64583333  0.43        0.16666667  0.5         0.5         0.5         0.5
  0.5         0.5         0.54        0.5         0.5         0.5         0.5
  0.5         0.5         0.75        0.5         0.5         0.5         0.5
  0.5         0.5         0.39583333  0.1875      0.5         0.5         0.5
  0.5         0.5         0.5       ]"
4,BNU_1_deter_csd_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.622448979592,0.118692375703,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.55,0.116619037897,"[ 0.75  0.4   0.5   0.65  0.5   0.3   0.45  0.35  0.6   0.55  0.5   0.5
  0.7   0.55  0.5   0.3   0.7   0.4   0.45  0.35  0.55  0.55  0.45  0.5
  0.6   0.7   0.65  0.5   0.55  0.65  0.4   0.5   0.7   0.5   0.55  0.6
  0.5   0.6   0.6   0.7   0.65  0.6   0.6   0.7   0.7   0.7   0.45  0.4
  0.6   0.75]",0.605527210884,0.183105025118,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.575994444444,0.141603138928,"[ 0.84375     0.36        0.54        0.75        0.4375      0.3125
  0.48958333  0.52        0.48809524  0.58333333  0.5         0.55        0.8125
  0.44047619  0.47916667  0.47222222  0.765625    0.328125    0.64583333
  0.36458333  0.66        0.33333333  0.51        0.51041667  0.58333333
  0.71        0.71428571  0.56        0.47        0.55952381  0.51041667
  0.51190476  0.75        0.52083333  0.61904762  0.60416667  0.88095238
  0.59375     0.59375     0.63541667  0.70238095  0.5625      0.61458333
  0.73958333  0.76041667  0.83        0.39583333  0.43        0.5         0.75      ]"
5,BNU_1_deter_csd_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.571428571429,0.0934353184302,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.466,0.131316411769,"[ 0.6   0.55  0.5   0.5   0.5   0.2   0.55  0.45  0.3   0.45  0.5   0.4
  0.4   0.45  0.35  0.15  0.6   0.15  0.5   0.6   0.55  0.2   0.35  0.6
  0.35  0.55  0.45  0.6   0.4   0.55  0.5   0.2   0.55  0.5   0.45  0.55
  0.5   0.55  0.75  0.65  0.7   0.4   0.5   0.4   0.45  0.6   0.45  0.45
  0.35  0.5 ]",0.628316326531,0.138194570166,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5117875,0.166295987601,"[ 0.53125     0.36        0.68        0.625       0.28125     0.359375
  0.42708333  0.45        0.5         0.27083333  0.48809524  0.33        0.59375
  0.46428571  0.375       0.25        0.625       0.484375    0.61458333
  0.625       0.43        0.29761905  0.27        0.60416667  0.33333333
  0.45        0.69047619  0.69        0.16        0.48809524  0.47916667
  0.48809524  0.42857143  0.47916667  0.69047619  0.66666667  0.69047619
  0.21875     0.59375     0.80208333  0.94047619  0.578125    0.66666667
  0.64583333  0.51041667  0.75        0.39583333  0.41        0.65625     0.75      ]"
6,BNU_1_deter_csd_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.65306122449,0.0717195240441,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.62,0.13152946438,"[ 0.75  0.45  0.6   0.35  0.55  0.6   0.6   0.65  0.75  0.6   0.6   0.75
  0.8   0.4   0.55  0.6   0.8   0.7   0.6   0.7   0.7   0.45  0.4   0.8
  0.7   0.6   0.7   0.7   0.45  0.7   0.4   0.6   0.75  0.7   0.7   0.6
  0.5   0.75  0.7   0.65  0.75  0.45  0.7   0.75  0.4   0.75  0.6   0.4
  0.4   0.85]",0.696428571429,0.0663304660441,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.68671765873,0.145695303402,"[ 0.86458333  0.67        0.58        0.39583333  0.55208333  0.765625
  0.51041667  0.84        0.83333333  0.69791667  0.5952381   0.82        0.71875
  0.32142857  0.61458333  0.72222222  0.75        0.5625      0.89583333
  0.76041667  0.76        0.55952381  0.47        0.82291667  0.76041667
  0.69        0.82142857  0.76        0.53        0.72619048  0.57291667
  0.63095238  0.78571429  0.71875     0.78571429  0.71875     0.61904762
  0.875       0.875       0.75        0.77380952  0.46875     0.75
  0.80208333  0.59375     0.84        0.67708333  0.33        0.46875
  0.92857143]"
7,BNU_1_deter_csd_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.663265306122,0.0767080331936,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.601,0.133600149701,"[ 0.65  0.7   0.5   0.4   0.45  0.3   0.6   0.65  0.75  0.5   0.5   0.65
  0.8   0.45  0.6   0.4   0.7   0.4   0.5   0.6   0.7   0.55  0.45  0.7
  0.7   0.8   0.65  0.6   0.55  0.55  0.45  0.45  0.7   0.7   0.65  0.75
  0.55  0.8   0.65  0.8   0.85  0.35  0.65  0.75  0.45  0.7   0.55  0.55
  0.55  0.8 ]",0.678146258503,0.0842159072144,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.654961111111,0.151979973676,"[ 0.67708333  0.6         0.57        0.42708333  0.54166667  0.546875
  0.72916667  0.77        0.77380952  0.54166667  0.48809524  0.71        0.59375
  0.32142857  0.73958333  0.55555556  0.703125    0.375       0.86458333
  0.5625      0.89        0.57142857  0.43        0.71875     0.70833333
  0.87        0.95238095  0.63        0.54        0.63095238  0.38541667
  0.57142857  0.69047619  0.77083333  0.70238095  0.70833333  0.70238095
  0.984375    0.79166667  0.89583333  0.76190476  0.484375    0.72916667
  0.8125      0.57291667  0.69        0.63541667  0.43        0.5625
  0.83333333]"
8,BNU_1_deter_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.632653061224,0.134179254646,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.607,0.118747631555,"[ 0.55  0.55  0.6   0.55  0.4   0.4   0.5   0.65  0.55  0.6   0.7   0.75
  0.5   0.6   0.5   0.75  0.65  0.5   0.5   0.55  0.4   0.5   0.75  0.6
  0.55  0.35  0.55  0.55  0.6   0.7   0.6   0.35  0.8   0.8   0.6   0.65
  0.6   0.8   0.75  0.75  0.65  0.65  0.7   0.55  0.8   0.7   0.7   0.65
  0.55  0.8 ]",0.681462585034,0.192423751031,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.748550793651,0.122042267652,"[ 0.95833333  0.78        0.57        0.625       0.80208333  0.578125
  0.59375     0.95        0.79761905  0.78125     0.75        0.86
  0.609375    0.66666667  0.48958333  0.69444444  0.609375    0.671875
  0.59375     0.59375     0.56        0.55952381  0.84        0.73958333
  0.72916667  0.63        0.8452381   0.75        0.58        0.82142857
  0.66666667  0.79761905  0.86904762  0.90625     0.85714286  0.79166667
  0.88095238  0.953125    0.77083333  0.82291667  0.75        0.765625
  0.875       0.65625     0.9375      0.76        0.875       0.84
  0.72916667  0.89285714]"
9,BNU_1_deter_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.663265306122,0.102352132812,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.604,0.119933314805,"[ 0.4   0.8   0.45  0.7   0.8   0.45  0.55  0.5   0.65  0.6   0.6   0.65
  0.65  0.65  0.5   0.5   0.45  0.6   0.5   0.55  0.4   0.5   0.6   0.75
  0.6   0.65  0.8   0.65  0.6   0.8   0.6   0.45  0.55  0.8   0.7   0.55
  0.55  0.75  0.7   0.6   0.7   0.4   0.65  0.5   0.45  0.6   0.85  0.5
  0.6   0.8 ]",0.743537414966,0.159212251781,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723171428571,0.141449395608,"[ 0.5         0.81        0.55        0.625       0.5         0.59375
  0.60416667  0.84        0.80952381  0.72916667  0.72619048  0.86        0.625
  0.67857143  0.48958333  0.83333333  0.65625     0.734375    0.65625
  0.57291667  0.56        0.39285714  0.72        0.69791667  0.83333333
  0.63        0.86904762  0.71        0.61        0.86904762  0.60416667
  0.83333333  0.83333333  0.5         0.5         0.77083333  0.88095238
  1.          0.75        0.83333333  0.82142857  0.734375    0.91666667
  0.64583333  0.89583333  0.77        0.90625     0.92        0.875
  0.88095238]"
