,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_ROIv_scale33,max,bag_of_edges,standard,LR,0.622448979592,0.150868649619,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.572,0.131969693491,"[ 0.5   0.45  0.5   0.65  0.15  0.55  0.3   0.65  0.6   0.6   0.5   0.6
  0.7   0.5   0.6   0.65  0.55  0.3   0.6   0.7   0.55  0.4   0.55  0.4
  0.5   0.7   0.65  0.45  0.6   0.6   0.3   0.65  0.85  0.5   0.6   0.65
  0.65  0.7   0.7   0.7   0.55  0.5   0.8   0.65  0.5   0.7   0.55  0.65
  0.75  0.6 ]",0.716156462585,0.165336170319,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.640315674603,0.186381494022,"[ 0.70833333  0.53        0.64        0.76041667  0.6875      0.25
  0.14583333  0.69        0.76190476  0.66666667  0.5         0.83
  0.484375    0.47619048  0.82291667  0.52777778  0.625       0.390625
  0.5625      0.59375     0.65        0.          0.54        0.60416667
  0.57291667  0.6         0.5952381   0.88        0.64        0.95238095
  0.54166667  0.8452381   0.83333333  0.57291667  0.60714286  0.41666667
  0.72619048  0.90625     0.67708333  0.83333333  0.83333333  0.671875
  0.8125      0.79166667  0.67708333  0.85        0.53125     0.67        0.625
  0.9047619 ]"
1,BNU_1_deter_dti_con_ROIv_scale33,max,bag_of_edges,standard,SGD,0.673469387755,0.176605635953,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.489,0.180080537538,"[ 0.7   0.55  0.7   0.65  0.35  0.2   0.15  0.6   0.55  0.6   0.4   0.65
  0.3   0.25  0.35  0.2   0.2   0.3   0.5   0.55  0.7   0.2   0.6   0.65
  0.55  0.4   0.5   0.7   0.35  0.4   0.3   0.55  0.3   0.5   0.5   0.45
  0.45  0.2   0.6   0.9   0.6   0.3   0.5   0.75  0.75  0.75  0.6   0.65
  0.6   0.4 ]",0.759183673469,0.135214670359,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.63959484127,0.158745713069,"[ 0.53125     0.43        0.47        0.78125     0.41666667  0.25
  0.41666667  0.74        0.44047619  0.82291667  0.22619048  0.6         0.5625
  0.46428571  0.8125      0.61111111  0.515625    0.515625    0.80208333
  0.71875     0.63        0.60714286  0.73        0.64583333  0.70833333
  0.7         0.6547619   0.65        0.67        0.75        0.59375
  0.72619048  0.73809524  0.58333333  0.64285714  0.39583333  0.92857143
  0.5625      0.70833333  0.80208333  0.76190476  0.59375     0.89583333
  0.89583333  0.73958333  0.86        0.58333333  0.53        0.88541667
  0.67857143]"
2,BNU_1_deter_dti_con_ROIv_scale33,max,degrees,standard,LR,0.673469387755,0.115220303986,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.633,0.121494855858,"[ 0.45  0.45  0.55  0.65  0.3   0.55  0.5   0.55  0.65  0.7   0.6   0.65
  0.7   0.6   0.7   0.5   0.75  0.6   0.75  0.55  0.7   0.4   0.55  0.7
  0.8   0.5   0.7   0.7   0.4   0.7   0.6   0.55  0.8   0.55  0.7   0.7
  0.6   0.7   0.8   0.9   0.8   0.5   0.7   0.65  0.75  0.65  0.75  0.55
  0.75  0.75]",0.737329931973,0.157921297887,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.694214285714,0.158392693961,"[ 0.73958333  0.57        0.71        0.91666667  0.48958333  0.34375
  0.625       0.63        0.82142857  0.89583333  0.5         0.72
  0.765625    0.67857143  0.70833333  0.83333333  0.65625     0.484375
  0.84375     0.51041667  0.58        0.20238095  0.81        0.78125
  0.72916667  0.61        0.78571429  0.66        0.45        0.94047619
  0.59375     0.6547619   0.96428571  0.73958333  0.51190476  0.77083333
  0.82142857  0.59375     0.80208333  0.9375      0.85714286  0.5625
  0.67708333  0.59375     0.63541667  0.87        0.80208333  0.69
  0.92708333  0.71428571]"
3,BNU_1_deter_dti_con_ROIv_scale33,max,degrees,standard,SGD,0.69387755102,0.173978843735,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.622,0.153022874107,"[ 0.5   0.4   0.5   0.9   0.3   0.6   0.5   0.55  0.75  0.65  0.55  0.7
  0.5   0.65  0.75  0.6   0.65  0.55  0.75  0.65  0.65  0.15  0.65  0.5
  0.45  0.5   0.75  0.6   0.45  0.85  0.6   0.5   0.85  0.65  0.7   0.75
  0.5   0.55  0.7   0.8   0.8   0.35  0.65  0.75  0.5   0.75  0.8   0.7
  0.8   0.85]",0.792431972789,0.11409403404,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.691248809524,0.168035461996,"[ 0.77083333  0.6         0.7         0.94791667  0.59375     0.453125
  0.58333333  0.62        0.85714286  0.82291667  0.5         0.67        0.75
  0.76190476  0.58333333  0.83333333  0.625       0.40625     0.92708333
  0.5         0.69        0.19047619  0.77        0.80208333  0.625       0.58
  0.80952381  0.82        0.39        0.96428571  0.51041667  0.60714286
  0.94047619  0.76041667  0.54761905  0.78125     0.77380952  0.546875
  0.70833333  0.97916667  0.9047619   0.4375      0.6875      0.625
  0.66666667  0.92        0.72916667  0.67        0.91666667  0.70238095]"
4,BNU_1_deter_dti_con_ROIv_scale33,max,closeness_centrality,standard,LR,0.632653061224,0.169799107113,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.618,0.120316249942,"[ 0.45  0.65  0.55  0.7   0.5   0.6   0.6   0.65  0.65  0.75  0.55  0.55
  0.5   0.55  0.65  0.5   0.7   0.5   0.6   0.45  0.65  0.35  0.65  0.7
  0.55  0.5   0.8   0.55  0.6   0.8   0.45  0.5   0.75  0.75  0.5   0.7
  0.55  0.7   0.75  0.9   0.6   0.45  0.75  0.6   0.5   0.8   0.8   0.6
  0.85  0.6 ]",0.712329931973,0.187551408643,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.666816468254,0.161700179564,"[ 0.5625      0.54        0.62        0.85416667  0.4375      0.375
  0.78125     0.67        0.70238095  0.83333333  0.67857143  0.58        0.5625
  0.69047619  0.79166667  0.22222222  0.828125    0.546875    0.70833333
  0.48958333  0.73        0.27380952  0.66        0.79166667  0.57291667
  0.59        0.85714286  0.62        0.68        0.82142857  0.40625
  0.54761905  0.85714286  0.66666667  0.57142857  0.78125     0.63095238
  0.828125    0.77083333  0.95833333  0.77380952  0.6875      0.85416667
  0.65625     0.54166667  0.87        0.88541667  0.54        0.90625
  0.53571429]"
5,BNU_1_deter_dti_con_ROIv_scale33,max,closeness_centrality,standard,SGD,0.663265306122,0.118521675919,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.643,0.111359777299,"[ 0.4   0.65  0.6   0.8   0.55  0.65  0.65  0.65  0.7   0.75  0.7   0.6
  0.5   0.6   0.7   0.55  0.65  0.45  0.65  0.55  0.7   0.4   0.65  0.7
  0.6   0.6   0.7   0.6   0.65  0.75  0.45  0.6   0.7   0.65  0.5   0.7
  0.55  0.75  0.75  0.9   0.6   0.45  0.8   0.75  0.55  0.8   0.8   0.65
  0.85  0.65]",0.736479591837,0.146629461046,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.695595238095,0.149702286874,"[ 0.54166667  0.6         0.64        0.90625     0.48958333  0.375
  0.79166667  0.71        0.75        0.84375     0.71428571  0.59        0.46875
  0.78571429  0.82291667  0.41666667  0.734375    0.578125    0.72916667
  0.5625      0.77        0.32142857  0.68        0.80208333  0.65625     0.63
  0.82142857  0.72        0.69        0.80952381  0.38541667  0.60714286
  0.82142857  0.63541667  0.55952381  0.80208333  0.6547619   0.90625
  0.80208333  0.95833333  0.76190476  0.6875      0.88541667  0.76041667
  0.60416667  0.88        0.875       0.59        0.9375      0.71428571]"
6,BNU_1_deter_dti_con_ROIv_scale33,max,betweenness_centrality,standard,LR,0.663265306122,0.123211908964,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.603,0.118915936695,"[ 0.7   0.6   0.6   0.7   0.4   0.45  0.8   0.6   0.7   0.6   0.45  0.6
  0.7   0.65  0.7   0.55  0.8   0.65  0.4   0.6   0.65  0.45  0.55  0.6
  0.45  0.35  0.55  0.65  0.7   0.7   0.45  0.5   0.7   0.35  0.65  0.75
  0.6   0.9   0.5   0.6   0.8   0.55  0.6   0.55  0.7   0.5   0.7   0.6
  0.65  0.6 ]",0.734778911565,0.105429760488,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.647712301587,0.147043653484,"[ 0.6875      0.63        0.56        0.82291667  0.54166667  0.453125
  0.84375     0.6         0.9047619   0.625       0.72619048  0.52        0.75
  0.54761905  0.625       0.30555556  0.796875    0.671875    0.52083333
  0.69791667  0.73        0.60714286  0.68        0.57291667  0.44791667
  0.63        0.77380952  0.75        0.56        0.54761905  0.44791667
  0.60714286  0.78571429  0.48958333  0.77380952  0.89583333  0.46428571
  1.          0.44791667  0.5         1.          0.796875    0.72916667
  0.625       0.65625     0.72        0.70833333  0.52        0.55208333
  0.53571429]"
7,BNU_1_deter_dti_con_ROIv_scale33,max,betweenness_centrality,standard,SGD,0.683673469388,0.0841450127677,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.593,0.102961157725,"[ 0.65  0.65  0.65  0.7   0.5   0.45  0.65  0.65  0.7   0.75  0.45  0.6
  0.8   0.55  0.55  0.55  0.6   0.6   0.5   0.5   0.6   0.35  0.6   0.65
  0.55  0.4   0.65  0.75  0.65  0.55  0.55  0.65  0.65  0.55  0.65  0.75
  0.55  0.8   0.5   0.55  0.75  0.55  0.7   0.45  0.55  0.6   0.45  0.65
  0.55  0.4 ]",0.718537414966,0.128538248652,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.638943055556,0.135210751929,"[ 0.72916667  0.55        0.75        0.78125     0.57291667  0.5
  0.77083333  0.54        0.82142857  0.69791667  0.5952381   0.61
  0.734375    0.52380952  0.625       0.36111111  0.734375    0.59375     0.5
  0.6875      0.68        0.45238095  0.7         0.61458333  0.52083333
  0.53        0.89285714  0.74        0.59        0.61904762  0.4375
  0.77380952  0.77380952  0.54166667  0.73809524  0.8125      0.52380952
  0.9375      0.60416667  0.45833333  0.8452381   0.890625    0.76041667
  0.52083333  0.5625      0.56        0.67708333  0.56        0.59375
  0.35714286]"
8,BNU_1_deter_dti_con_ROIv_scale33,max,eigenvector_centrality,standard,LR,0.704081632653,0.0330824936484,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.609,0.143767172887,"[ 0.6   0.45  0.7   0.9   0.3   0.45  0.7   0.55  0.55  0.7   0.65  0.65
  0.6   0.45  0.75  0.45  0.75  0.35  0.85  0.65  0.65  0.4   0.55  0.55
  0.75  0.45  0.6   0.4   0.6   0.8   0.5   0.55  0.7   0.6   0.5   0.7
  0.45  0.55  0.7   0.9   0.8   0.45  0.75  0.75  0.4   0.75  0.7   0.5
  0.65  0.75]",0.721853741497,0.0729271402208,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.641156150794,0.154327373353,"[ 0.72916667  0.53        0.7         0.96875     0.34375     0.40625
  0.70833333  0.69        0.72619048  0.73958333  0.57142857  0.63
  0.640625    0.52380952  0.77083333  0.61111111  0.5625      0.28125
  0.85416667  0.69791667  0.69        0.28571429  0.67        0.5
  0.64583333  0.54        0.67857143  0.28        0.58        0.80952381
  0.6875      0.5952381   0.75        0.60416667  0.58333333  0.70833333
  0.88095238  0.5625      0.77083333  0.84375     0.69047619  0.40625
  0.78125     0.82291667  0.47916667  0.82        0.63541667  0.56
  0.76041667  0.75      ]"
9,BNU_1_deter_dti_con_ROIv_scale33,max,eigenvector_centrality,standard,SGD,0.704081632653,0.0414491755339,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.6,0.142478068488,"[ 0.55  0.45  0.7   0.95  0.4   0.45  0.65  0.55  0.65  0.7   0.65  0.7
  0.55  0.45  0.75  0.4   0.65  0.35  0.85  0.7   0.6   0.4   0.6   0.55
  0.5   0.45  0.6   0.4   0.5   0.8   0.55  0.45  0.7   0.55  0.55  0.65
  0.45  0.65  0.6   0.9   0.65  0.45  0.7   0.8   0.4   0.8   0.7   0.5
  0.65  0.8 ]",0.735459183673,0.0794230205367,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.607568849206,0.170572821104,"[ 0.71875     0.44        0.7         0.98958333  0.27083333  0.484375
  0.61458333  0.65        0.70238095  0.79166667  0.36904762  0.57
  0.609375    0.52380952  0.73958333  0.30555556  0.78125     0.328125
  0.92708333  0.5         0.49        0.30952381  0.55        0.42708333
  0.48958333  0.62        0.64285714  0.28        0.5         0.72619048
  0.67708333  0.5952381   0.70238095  0.66666667  0.44047619  0.6875
  0.8452381   0.59375     0.69791667  0.88541667  0.70238095  0.53125
  0.82291667  0.80208333  0.34375     0.72        0.61458333  0.57
  0.66666667  0.76190476]"
