,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.632653061224,0.12476550266,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.604,0.152590956482,"[ 0.65  0.5   0.55  0.65  0.65  0.25  0.15  0.65  0.75  0.8   0.5   0.7
  0.65  0.55  0.7   0.45  0.7   0.6   0.6   0.6   0.6   0.15  0.6   0.55
  0.6   0.5   0.5   0.75  0.55  0.9   0.45  0.65  0.75  0.5   0.5   0.55
  0.45  0.9   0.55  0.7   0.8   0.65  0.7   0.7   0.6   0.65  0.75  0.55
  0.6   0.85]",0.71037414966,0.166386078541,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.646520436508,0.189363297112,"[ 0.75        0.57        0.62        0.75        0.57291667  0.109375
  0.10416667  0.56        0.86904762  0.83333333  0.4047619   0.8         0.515625
  0.5         0.77083333  0.52777778  0.65625     0.515625    0.70833333
  0.69791667  0.63        0.04761905  0.76        0.58333333  0.64583333
  0.51        0.73809524  0.8         0.62        0.82142857  0.51041667
  0.77380952  0.76190476  0.61458333  0.47619048  0.44791667  0.66666667
  0.90625     0.78125     0.77083333  0.76190476  0.71875     0.84375
  0.8125      0.66666667  0.81        0.75        0.68        0.60416667
  0.97619048]"
1,BNU_1_deter_dti_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.683673469388,0.117102673902,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.569,0.145907504947,"[ 0.55  0.25  0.45  0.65  0.25  0.55  0.4   0.55  0.75  0.65  0.7   0.55
  0.45  0.6   0.75  0.55  0.65  0.4   0.65  0.7   0.45  0.1   0.65  0.5
  0.55  0.65  0.55  0.8   0.55  0.65  0.45  0.7   0.7   0.5   0.65  0.35
  0.7   0.4   0.7   0.6   0.7   0.4   0.8   0.55  0.5   0.75  0.6   0.7
  0.65  0.55]",0.731547619048,0.128524434754,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.605555357143,0.199322754157,"[ 0.625       0.46        0.51        0.63541667  0.6875      0.109375
  0.125       0.64        0.77380952  0.78125     0.41666667  0.71        0.3125
  0.51190476  0.76041667  0.5         0.703125    0.          0.6875
  0.65625     0.55        0.13095238  0.59        0.53125     0.63541667
  0.67        0.6547619   0.76        0.52        0.88095238  0.58333333
  0.72619048  0.67857143  0.67708333  0.44047619  0.45833333  0.67857143
  0.671875    0.625       0.78125     0.55952381  0.90625     0.85416667
  0.82291667  0.73958333  0.74        0.59375     0.63        0.59375
  0.98809524]"
2,BNU_1_deter_dti_con_aparc68+subcort,max,degrees,standard,LR,0.65306122449,0.154987874202,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.622,0.107777548682,"[ 0.55  0.4   0.6   0.75  0.4   0.55  0.45  0.5   0.65  0.7   0.65  0.7
  0.65  0.45  0.7   0.55  0.55  0.55  0.7   0.6   0.6   0.4   0.55  0.7
  0.65  0.5   0.7   0.6   0.5   0.75  0.55  0.5   0.8   0.65  0.65  0.75
  0.65  0.6   0.65  0.9   0.8   0.55  0.65  0.7   0.7   0.65  0.65  0.65
  0.7   0.75]",0.715051020408,0.148902271874,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.652553769841,0.156972396362,"[ 0.625       0.47        0.68        0.89583333  0.34375     0.3125
  0.57291667  0.64        0.73809524  0.84375     0.5         0.77        0.65625
  0.58333333  0.69791667  0.86111111  0.515625    0.484375    0.78125
  0.55208333  0.49        0.16666667  0.73        0.70833333  0.71875     0.59
  0.71428571  0.64        0.44        0.91666667  0.57291667  0.57142857
  0.8452381   0.70833333  0.5952381   0.76041667  0.71428571  0.46875
  0.72916667  0.92708333  0.80952381  0.515625    0.67708333  0.66666667
  0.63541667  0.78        0.77083333  0.64        0.875       0.72619048]"
3,BNU_1_deter_dti_con_aparc68+subcort,max,degrees,standard,SGD,0.69387755102,0.101278330353,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.606,0.110742945599,"[ 0.5   0.35  0.65  0.75  0.5   0.55  0.5   0.55  0.7   0.65  0.65  0.7
  0.55  0.65  0.6   0.65  0.65  0.45  0.75  0.7   0.6   0.3   0.65  0.65
  0.55  0.4   0.7   0.6   0.5   0.8   0.5   0.55  0.75  0.65  0.5   0.75
  0.5   0.5   0.7   0.8   0.65  0.5   0.65  0.7   0.55  0.65  0.7   0.55
  0.75  0.6 ]",0.778656462585,0.127503230843,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.663070039683,0.15409390981,"[ 0.79166667  0.46        0.68        0.86458333  0.34375     0.453125
  0.6875      0.65        0.72619048  0.78125     0.46428571  0.71
  0.609375    0.63095238  0.67708333  0.88888889  0.671875    0.421875
  0.875       0.5625      0.62        0.1547619   0.71        0.65625
  0.71875     0.6         0.70238095  0.65        0.43        0.97619048
  0.5625      0.69047619  0.85714286  0.69791667  0.54761905  0.69791667
  0.69047619  0.53125     0.82291667  0.94791667  0.73809524  0.484375
  0.64583333  0.63541667  0.625       0.85        0.75        0.7
  0.76041667  0.75      ]"
4,BNU_1_deter_dti_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.663265306122,0.120654845506,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.607,0.113582569085,"[ 0.6   0.65  0.65  0.65  0.4   0.55  0.75  0.55  0.7   0.7   0.75  0.6
  0.5   0.6   0.7   0.5   0.65  0.5   0.7   0.4   0.55  0.35  0.55  0.65
  0.6   0.45  0.55  0.55  0.6   0.75  0.5   0.6   0.8   0.7   0.45  0.7
  0.55  0.7   0.7   0.8   0.5   0.45  0.8   0.65  0.65  0.6   0.75  0.4
  0.75  0.6 ]",0.730697278912,0.168547305994,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.653975396825,0.164425053452,"[ 0.54166667  0.46        0.58        0.8125      0.28125     0.296875
  0.82291667  0.62        0.77380952  0.88541667  0.66666667  0.64        0.46875
  0.71428571  0.79166667  0.22222222  0.71875     0.515625    0.75
  0.54166667  0.69        0.32142857  0.66        0.76041667  0.69791667
  0.66        0.79761905  0.52        0.65        0.77380952  0.4375
  0.54761905  0.8452381   0.66666667  0.47619048  0.73958333  0.66666667
  0.890625    0.73958333  0.98958333  0.66666667  0.671875    0.80208333
  0.6875      0.55208333  0.85        0.84375     0.59        0.78125
  0.61904762]"
5,BNU_1_deter_dti_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.704081632653,0.142520659768,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.638,0.116430236623,"[ 0.6   0.65  0.45  0.65  0.4   0.55  0.7   0.65  0.8   0.7   0.75  0.65
  0.5   0.75  0.65  0.5   0.55  0.55  0.65  0.6   0.55  0.5   0.65  0.7
  0.7   0.65  0.65  0.5   0.55  0.9   0.5   0.6   0.75  0.7   0.5   0.7
  0.45  0.85  0.7   0.9   0.6   0.6   0.65  0.5   0.7   0.65  0.85  0.6
  0.85  0.6 ]",0.809268707483,0.13254233725,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.66744265873,0.160163124899,"[ 0.71875     0.6         0.59        0.75        0.32291667  0.125       0.875
  0.62        0.73809524  0.8125      0.73809524  0.79        0.5
  0.8452381   0.80208333  0.30555556  0.640625    0.515625    0.78125
  0.53125     0.6         0.46428571  0.76        0.72916667  0.64583333
  0.78        0.85714286  0.56        0.7         0.77380952  0.54166667
  0.60714286  0.86904762  0.69791667  0.48809524  0.75        0.57142857
  0.90625     0.78125     0.97916667  0.64285714  0.546875    0.65625
  0.625       0.59375     0.81        0.83333333  0.61        0.77083333
  0.61904762]"
6,BNU_1_deter_dti_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.591836734694,0.0500705227121,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.519,0.131106826672,"[ 0.65  0.4   0.55  0.65  0.45  0.25  0.5   0.55  0.45  0.7   0.3   0.5
  0.65  0.5   0.8   0.6   0.55  0.4   0.3   0.45  0.45  0.3   0.6   0.7
  0.55  0.55  0.45  0.5   0.55  0.6   0.55  0.25  0.5   0.45  0.4   0.7
  0.5   0.65  0.45  0.7   0.65  0.4   0.75  0.55  0.3   0.65  0.55  0.4
  0.65  0.45]",0.550595238095,0.0924416451954,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.546140277778,0.143480427007,"[ 0.65625     0.44        0.62        0.61458333  0.53125     0.5
  0.54166667  0.57        0.29761905  0.63541667  0.30952381  0.33        0.71875
  0.53571429  0.8125      0.55555556  0.671875    0.453125    0.38541667
  0.5625      0.63        0.28571429  0.64        0.59375     0.42708333
  0.55        0.58333333  0.5         0.49        0.47619048  0.41666667
  0.16666667  0.55952381  0.60416667  0.46428571  0.84375     0.55952381
  0.859375    0.4375      0.72916667  0.64285714  0.625       0.75        0.53125
  0.33333333  0.67        0.61458333  0.4         0.64583333  0.53571429]"
7,BNU_1_deter_dti_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.632653061224,0.053021963497,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.503,0.130923641868,"[ 0.6   0.5   0.5   0.65  0.45  0.1   0.5   0.6   0.3   0.6   0.35  0.4
  0.7   0.55  0.7   0.4   0.5   0.4   0.45  0.45  0.55  0.3   0.65  0.55
  0.3   0.65  0.55  0.5   0.5   0.55  0.4   0.25  0.55  0.5   0.4   0.7
  0.45  0.7   0.55  0.65  0.65  0.45  0.7   0.5   0.35  0.6   0.55  0.35
  0.6   0.45]",0.607823129252,0.0538802780523,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515583333333,0.158530293267,"[ 0.61458333  0.39        0.61        0.67708333  0.44791667  0.484375
  0.4375      0.38        0.25        0.54166667  0.26190476  0.36        0.78125
  0.5952381   0.75        0.5         0.640625    0.453125    0.33333333
  0.58333333  0.6         0.0952381   0.61        0.59375     0.29166667
  0.55        0.64285714  0.35        0.55        0.57142857  0.40625
  0.3452381   0.51190476  0.55208333  0.4047619   0.69791667  0.41666667
  0.890625    0.46875     0.67708333  0.57142857  0.5625      0.85416667
  0.63541667  0.375       0.57        0.55208333  0.33        0.67708333
  0.33333333]"
8,BNU_1_deter_dti_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.673469387755,0.0630766699854,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.563,0.129154945705,"[ 0.6   0.4   0.6   0.85  0.45  0.55  0.6   0.5   0.6   0.5   0.55  0.7
  0.35  0.65  0.7   0.4   0.55  0.5   0.8   0.7   0.5   0.2   0.55  0.45
  0.6   0.35  0.6   0.4   0.6   0.75  0.65  0.45  0.6   0.55  0.5   0.65
  0.55  0.55  0.65  0.75  0.65  0.35  0.6   0.7   0.35  0.75  0.6   0.55
  0.65  0.5 ]",0.679846938776,0.148612958126,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.612640079365,0.141323605989,"[ 0.79166667  0.51        0.52        0.48958333  0.4375      0.4375
  0.4375      0.59        0.55952381  0.58333333  0.42857143  0.57
  0.640625    0.53571429  0.57291667  0.61111111  0.96875     0.546875
  0.70833333  0.71875     0.82        0.21428571  0.58        0.46875
  0.76041667  0.7         0.55952381  0.6         0.62        0.6547619
  0.65625     0.58333333  0.67857143  0.64583333  0.73809524  0.70833333
  0.54761905  0.53125     0.83333333  0.78125     0.75        0.28125
  0.5625      0.76041667  0.46875     0.71        0.55208333  0.6
  0.83333333  0.77380952]"
9,BNU_1_deter_dti_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.69387755102,0.144227313246,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.604,0.135587610053,"[ 0.7   0.5   0.65  0.85  0.35  0.6   0.55  0.55  0.5   0.55  0.5   0.75
  0.4   0.5   0.65  0.45  0.55  0.55  0.85  0.7   0.75  0.4   0.6   0.6
  0.8   0.6   0.6   0.5   0.65  0.65  0.55  0.5   0.65  0.65  0.5   0.6
  0.55  0.4   0.9   0.9   0.7   0.3   0.7   0.75  0.55  0.75  0.75  0.5
  0.5   0.65]",0.68231292517,0.0955168191233,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.626547619048,0.148060984139,"[ 0.66666667  0.4         0.66        0.83333333  0.28125     0.5         0.65625
  0.61        0.60714286  0.60416667  0.47619048  0.78        0.53125
  0.54761905  0.79166667  0.33333333  0.796875    0.515625    0.85416667
  0.72916667  0.75        0.20238095  0.71        0.53125     0.6875      0.64
  0.6547619   0.59        0.53        0.75        0.61458333  0.5952381
  0.69047619  0.625       0.71428571  0.76041667  0.77380952  0.4375
  0.9375      0.73958333  0.60714286  0.46875     0.65625     0.72916667
  0.375       0.78        0.73958333  0.55        0.64583333  0.66666667]"
