,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_ROIv_scale250,max,bag_of_edges,standard,LR,0.663265306122,0.120654845506,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.563,0.145536936892,"[ 0.55  0.55  0.6   0.4   0.45  0.2   0.65  0.4   0.7   0.7   0.55  0.7
  0.7   0.45  0.6   0.6   0.55  0.25  0.8   0.45  0.65  0.4   0.6   0.45
  0.5   0.6   0.7   0.8   0.6   0.55  0.4   0.45  0.85  0.75  0.45  0.8
  0.45  0.3   0.6   0.6   0.55  0.45  0.5   0.6   0.65  0.7   0.55  0.4
  0.55  0.85]",0.723724489796,0.064136478463,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.598927380952,0.179659452135,"[ 0.75        0.75        0.62        0.63541667  0.39583333  0.328125
  0.66666667  0.55        0.51190476  0.53125     0.54761905  0.63        0.6875
  0.38095238  0.63541667  0.5         0.578125    0.125       0.95833333
  0.64583333  0.75        0.26190476  0.64        0.53125     0.54166667
  0.82        0.91666667  0.86        0.56        0.58333333  0.32291667
  0.35714286  0.97619048  0.79166667  0.44047619  0.73958333  0.52380952
  0.40625     0.6875      0.65625     0.57142857  0.59375     0.5         0.71875
  0.63541667  0.74        0.58333333  0.26        0.82291667  0.72619048]"
1,BNU_1_proba_csa_con_ROIv_scale250,max,bag_of_edges,standard,SGD,0.683673469388,0.0949095401706,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.611,0.130877805605,"[ 0.6   0.45  0.65  0.6   0.3   0.7   0.65  0.5   0.65  0.75  0.7   0.65
  0.65  0.5   0.7   0.6   0.75  0.45  0.5   0.6   0.65  0.35  0.55  0.5
  0.5   0.6   0.7   0.85  0.55  0.65  0.7   0.65  0.85  0.55  0.5   0.75
  0.35  0.7   0.85  0.7   0.6   0.6   0.45  0.45  0.6   0.75  0.9   0.45
  0.6   0.7 ]",0.756292517007,0.056876377964,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.622757738095,0.176735023057,"[ 0.67708333  0.4         0.69        0.52083333  0.26041667  0.640625
  0.61458333  0.58        0.55952381  0.57291667  0.6547619   0.75        0.59375
  0.3452381   0.73958333  0.5         0.8125      0.21875     0.76041667
  0.61458333  0.73        0.25        0.6         0.6875      0.58333333
  0.66        0.80952381  0.96        0.53        0.6547619   0.46875
  0.8452381   0.67857143  0.64583333  0.51190476  0.73958333  0.66666667
  0.890625    0.94791667  0.63541667  0.47619048  0.671875    0.58333333
  0.64583333  0.625       0.86        1.          0.27        0.63541667
  0.36904762]"
2,BNU_1_proba_csa_con_ROIv_scale250,max,degrees,standard,LR,0.673469387755,0.0897791676811,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.501,0.133225372959,"[ 0.5   0.35  0.5   0.4   0.65  0.35  0.55  0.3   0.45  0.6   0.8   0.45
  0.5   0.5   0.5   0.4   0.4   0.25  0.7   0.6   0.75  0.2   0.5   0.55
  0.6   0.65  0.55  0.45  0.6   0.4   0.3   0.65  0.75  0.45  0.45  0.55
  0.55  0.5   0.55  0.65  0.4   0.3   0.45  0.6   0.4   0.4   0.65  0.3
  0.55  0.6 ]",0.673469387755,0.0605833899303,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.588423015873,0.201772060094,"[ 0.72916667  0.51        0.6         0.55208333  0.57291667  0.484375
  0.80208333  0.51        0.69047619  0.58333333  0.42857143  0.77        0.21875
  0.21428571  0.72916667  0.30555556  0.359375    0.015625    0.875
  0.76041667  0.74        0.11904762  0.67        0.71875     0.625       0.5
  0.85714286  0.95        0.67        0.71428571  0.40625     0.55952381
  0.64285714  0.67708333  0.47619048  0.64583333  0.64285714  1.          0.8125
  0.6875      0.33333333  0.578125    0.67708333  0.65625     0.61458333
  0.72        0.71875     0.3         0.52083333  0.47619048]"
3,BNU_1_proba_csa_con_ROIv_scale250,max,degrees,standard,SGD,0.734693877551,0.054485506893,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.541,0.144114537782,"[ 0.6   0.65  0.6   0.55  0.75  0.4   0.65  0.45  0.7   0.7   0.45  0.6
  0.4   0.5   0.6   0.45  0.3   0.15  0.6   0.55  0.7   0.3   0.8   0.5
  0.65  0.4   0.6   0.85  0.5   0.5   0.4   0.6   0.65  0.5   0.6   0.55
  0.4   0.6   0.75  0.65  0.55  0.5   0.4   0.65  0.45  0.55  0.7   0.2
  0.55  0.35]",0.778656462585,0.0954142071582,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.574358333333,0.16504607547,"[ 0.6875      0.5         0.64        0.54166667  0.64583333  0.265625
  0.64583333  0.45        0.42857143  0.78125     0.55952381  0.7         0.75
  0.28571429  0.79166667  0.5         0.734375    0.125       0.71875     0.5
  0.67        0.0952381   0.6         0.60416667  0.60416667  0.59
  0.83333333  0.63        0.59        0.3452381   0.30208333  0.54761905
  0.69047619  0.65625     0.51190476  0.625       0.55952381  0.890625
  0.73958333  0.76041667  0.45238095  0.421875    0.5625      0.67708333
  0.58333333  0.69        0.67708333  0.46        0.57291667  0.52380952]"
4,BNU_1_proba_csa_con_ROIv_scale250,max,closeness_centrality,standard,LR,0.602040816327,0.0846248660179,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.546,0.11083320802,"[ 0.5   0.65  0.55  0.5   0.55  0.6   0.6   0.45  0.65  0.55  0.75  0.6
  0.55  0.6   0.6   0.45  0.55  0.45  0.6   0.7   0.6   0.3   0.45  0.6
  0.5   0.4   0.55  0.7   0.6   0.5   0.35  0.75  0.55  0.6   0.55  0.6
  0.4   0.85  0.6   0.45  0.5   0.35  0.6   0.6   0.6   0.6   0.5   0.4
  0.3   0.5 ]",0.645578231293,0.0994204726794,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.568348214286,0.171075398359,"[ 0.625       0.62        0.4         0.48958333  0.46875     0.578125
  0.61458333  0.33        0.60714286  0.38541667  0.46428571  0.62
  0.203125    0.35714286  0.69791667  0.5         0.4375      0.3125
  0.64583333  0.69791667  0.61        0.27380952  0.54        0.70833333
  0.75        0.48        0.79761905  0.81        0.57        0.48809524
  0.375       0.86904762  0.75        0.58333333  0.61904762  0.57291667
  0.71428571  0.96875     0.82291667  0.55208333  0.41666667  0.484375
  0.58333333  0.51041667  0.84375     0.79        0.72916667  0.23
  0.47916667  0.44047619]"
5,BNU_1_proba_csa_con_ROIv_scale250,max,closeness_centrality,standard,SGD,0.612244897959,0.136101182441,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.532,0.161480648995,"[ 0.45  0.45  0.65  0.85  0.45  0.55  0.75  0.4   0.65  0.5   0.75  0.45
  0.25  0.3   0.7   0.55  0.4   0.3   0.65  0.75  0.5   0.4   0.6   0.7
  0.7   0.3   0.65  0.4   0.7   0.45  0.5   0.8   0.5   0.5   0.5   0.65
  0.5   0.6   0.85  0.6   0.4   0.35  0.65  0.2   0.35  0.6   0.7   0.25
  0.4   0.5 ]",0.669217687075,0.173877629201,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.534773412698,0.19806342889,"[ 0.5         0.61        0.37        0.72916667  0.45833333  0.640625
  0.71875     0.42        0.66666667  0.3125      0.5         0.58        0.0625
  0.26190476  0.76041667  0.27777778  0.28125     0.25        0.5625
  0.78125     0.47        0.22619048  0.61        0.6875      0.73958333
  0.37        0.78571429  0.71        0.62        0.35714286  0.375
  0.86904762  0.66666667  0.70833333  0.6547619   0.58333333  0.83333333
  0.828125    0.88541667  0.39583333  0.25        0.40625     0.66666667
  0.375       0.39583333  0.67        0.70833333  0.33        0.44791667
  0.36904762]"
6,BNU_1_proba_csa_con_ROIv_scale250,max,betweenness_centrality,standard,LR,0.479591836735,0.182364953486,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.532,0.134074606097,"[ 0.55  0.45  0.55  0.6   0.65  0.2   0.5   0.65  0.45  0.5   0.6   0.45
  0.3   0.55  0.55  0.45  0.55  0.25  0.45  0.8   0.75  0.35  0.3   0.5
  0.65  0.6   0.5   0.7   0.45  0.55  0.45  0.5   0.6   0.6   0.65  0.65
  0.35  0.65  0.5   0.55  0.55  0.3   0.5   0.65  0.55  0.85  0.45  0.55
  0.75  0.55]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,BNU_1_proba_csa_con_ROIv_scale250,max,betweenness_centrality,standard,SGD,0.561224489796,0.141236351461,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493,0.131912850018,"[ 0.45  0.45  0.55  0.5   0.8   0.2   0.5   0.65  0.45  0.6   0.65  0.5
  0.25  0.55  0.45  0.5   0.55  0.2   0.45  0.75  0.7   0.3   0.3   0.4
  0.4   0.5   0.35  0.45  0.4   0.6   0.55  0.4   0.65  0.5   0.55  0.65
  0.3   0.45  0.6   0.6   0.55  0.3   0.45  0.65  0.5   0.55  0.6   0.55
  0.45  0.4 ]",0.548384353741,0.237245457232,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.523461309524,0.143770406253,"[ 0.47916667  0.48        0.67        0.65625     0.66666667  0.34375
  0.51041667  0.59        0.41666667  0.59375     0.60714286  0.31
  0.109375    0.67857143  0.55208333  0.33333333  0.609375    0.234375
  0.72916667  0.71875     0.54        0.41666667  0.52        0.53125
  0.46875     0.49        0.64285714  0.74        0.29        0.42857143
  0.67708333  0.46428571  0.70238095  0.52083333  0.72619048  0.4375
  0.30952381  0.578125    0.39583333  0.38541667  0.52380952  0.578125    0.5
  0.60416667  0.52083333  0.45        0.73958333  0.57        0.73958333
  0.39285714]"
8,BNU_1_proba_csa_con_ROIv_scale250,max,eigenvector_centrality,standard,LR,0.602040816327,0.0920066455416,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.554,0.138506317545,"[ 0.55  0.7   0.6   0.65  0.55  0.45  0.55  0.55  0.65  0.75  0.7   0.5
  0.6   0.3   0.5   0.5   0.7   0.6   0.6   0.6   0.65  0.35  0.65  0.6
  0.3   0.5   0.5   0.2   0.55  0.75  0.65  0.4   0.4   0.4   0.4   0.65
  0.7   0.5   0.6   0.85  0.7   0.55  0.3   0.7   0.65  0.6   0.65  0.35
  0.35  0.65]",0.657908163265,0.109891963083,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.59672281746,0.168439922215,"[ 0.66666667  0.7         0.67        0.6875      0.64583333  0.453125
  0.44791667  0.52        0.63095238  0.76041667  0.75        0.63
  0.515625    0.32142857  0.58333333  0.61111111  0.78125     0.4375
  0.67708333  0.73958333  0.77        0.4047619   0.74        0.67708333
  0.29166667  0.63        0.54761905  0.29        0.64        0.9047619
  0.61458333  0.4047619   0.27380952  0.34375     0.72619048  0.57291667
  0.9047619   0.71875     0.60416667  0.89583333  0.60714286  0.703125
  0.42708333  0.78125     0.78125     0.64        0.67708333  0.28
  0.38541667  0.36904762]"
9,BNU_1_proba_csa_con_ROIv_scale250,max,eigenvector_centrality,standard,SGD,0.673469387755,0.0742245144231,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.52,0.151657508881,"[ 0.6   0.5   0.75  0.5   0.5   0.35  0.3   0.45  0.6   0.65  0.7   0.65
  0.7   0.4   0.6   0.4   0.15  0.45  0.55  0.65  0.5   0.4   0.7   0.35
  0.2   0.55  0.4   0.55  0.55  0.75  0.6   0.3   0.45  0.5   0.4   0.65
  0.6   0.55  0.7   0.75  0.55  0.35  0.25  0.7   0.5   0.8   0.65  0.35
  0.4   0.55]",0.689030612245,0.0661793620634,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.636848214286,0.169391945422,"[ 0.76041667  0.62        0.69        0.90625     0.78125     0.484375
  0.66666667  0.58        0.72619048  0.89583333  0.51190476  0.61
  0.578125    0.33333333  0.75        1.          0.515625    0.453125
  0.78125     0.85416667  0.68        0.5         0.56        0.73958333
  0.60416667  0.7         0.51190476  0.54        0.56        0.97619048
  0.55208333  0.23809524  0.1547619   0.61458333  0.73809524  0.69791667
  0.79761905  0.625       0.71875     0.5625      0.71428571  0.828125
  0.51041667  0.64583333  0.78125     0.7         0.66666667  0.31
  0.60416667  0.51190476]"
