,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.704081632653,0.114757489159,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.71,0.110905365064,"[ 0.7   0.6   0.75  0.7   0.55  0.5   0.7   0.65  0.7   0.6   0.65  0.8
  0.6   0.55  0.7   0.9   0.65  0.65  0.95  0.85  0.7   0.65  0.95  0.75
  0.7   0.5   0.8   0.65  0.65  0.8   0.7   0.55  0.8   0.85  0.7   0.7
  0.7   0.8   0.9   0.7   0.6   0.65  0.75  0.7   0.7   1.    0.65  0.7
  0.65  0.8 ]",0.738605442177,0.135394819039,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.736121230159,0.175941058719,"[ 0.79166667  0.62        0.84        0.66666667  0.64583333  0.625
  0.78125     0.6         0.54761905  0.55208333  0.61904762  0.76        0.65625
  0.39285714  0.63541667  0.88888889  0.734375    0.34375     1.
  0.97916667  0.75        0.21428571  0.98        1.          0.61458333
  0.76        0.80952381  0.88        0.65        0.88095238  0.70833333
  0.39285714  0.86904762  0.94791667  0.85714286  0.8125      0.71428571
  0.90625     0.90625     0.69791667  0.57142857  0.625       0.76041667
  0.72916667  0.97916667  1.          0.80208333  0.63        0.76041667
  0.91666667]"
1,BNU_1_proba_csa_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.724489795918,0.124407987692,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.608,0.152433592098,"[ 0.8   0.65  0.65  0.45  0.7   0.5   0.65  0.55  0.5   0.5   0.6   0.75
  0.75  0.3   0.65  0.3   0.35  0.6   0.75  0.85  0.7   0.25  0.65  0.6
  0.5   0.75  0.5   0.75  0.65  0.6   0.75  0.3   0.7   0.8   0.75  0.65
  0.6   0.7   0.7   0.5   0.7   0.4   0.3   0.55  0.7   0.75  0.5   0.8
  0.7   0.75]",0.77712585034,0.112036625858,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.679147619048,0.142493974362,"[ 0.57291667  0.64        0.83        0.64583333  0.52083333  0.546875
  0.88541667  0.46        0.47619048  0.57291667  0.63095238  0.73
  0.515625    0.36904762  0.64583333  0.66666667  0.71875     0.5625
  0.85416667  0.65625     0.84        0.19047619  0.82        0.875
  0.60416667  0.66        0.78571429  0.9         0.6         0.71428571
  0.75        0.55952381  0.78571429  0.78125     0.64285714  0.63541667
  0.77380952  0.640625    0.85416667  0.69791667  0.58333333  0.546875
  0.83333333  0.70833333  0.84375     0.72        0.77083333  0.68
  0.80208333  0.85714286]"
2,BNU_1_proba_csa_con_aparc68+subcort,max,degrees,standard,LR,0.602040816327,0.0761631389246,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.613,0.147922276889,"[ 0.6   0.5   0.7   0.65  0.4   0.2   0.7   0.35  0.65  0.5   0.55  0.65
  0.75  0.25  0.6   0.85  0.55  0.45  0.75  0.8   0.75  0.4   0.8   0.65
  0.65  0.6   0.65  0.5   0.7   0.85  0.6   0.45  0.6   0.65  0.6   0.7
  0.65  0.8   0.6   0.65  0.7   0.45  0.6   0.65  0.6   0.95  0.6   0.55
  0.45  0.8 ]",0.61675170068,0.142276199212,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.668507539683,0.20395517356,"[ 0.82291667  0.55        0.79        0.71875     0.59375     0.21875
  0.47916667  0.27        0.67857143  0.72916667  0.4047619   0.73        0.875
  0.36904762  0.64583333  0.88888889  0.40625     0.609375    0.88541667
  0.85416667  0.77        0.0952381   0.69        0.97916667  0.47916667
  0.57        0.91666667  0.51        0.52        0.94047619  0.77083333
  0.60714286  0.5952381   0.73958333  0.9047619   0.47916667  0.79761905
  0.625       0.75        0.79166667  0.92857143  0.484375    0.83333333
  0.72916667  0.8125      1.          0.625       0.51        0.51041667
  0.94047619]"
3,BNU_1_proba_csa_con_aparc68+subcort,max,degrees,standard,SGD,0.632653061224,0.0873494288326,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.58,0.137840487521,"[ 0.7   0.55  0.6   0.65  0.4   0.2   0.6   0.45  0.4   0.6   0.55  0.55
  0.55  0.4   0.7   0.85  0.5   0.4   0.7   0.8   0.7   0.25  0.75  0.65
  0.6   0.6   0.7   0.55  0.6   0.7   0.55  0.45  0.65  0.65  0.55  0.65
  0.5   0.75  0.6   0.55  0.65  0.4   0.6   0.65  0.55  0.85  0.7   0.5
  0.3   0.65]",0.68443877551,0.123962032644,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.647620436508,0.128373696838,"[ 0.70833333  0.61        0.66        0.5625      0.88541667  0.671875
  0.46875     0.44        0.60714286  0.53125     0.69047619  0.7         0.625
  0.48809524  0.64583333  0.77777778  0.40625     0.875       0.8125
  0.88541667  0.55        0.44047619  0.69        0.77083333  0.48958333
  0.54        0.63095238  0.67        0.66        0.76190476  0.64583333
  0.66666667  0.66666667  0.54166667  0.8452381   0.57291667  0.61904762
  0.671875    0.71875     0.73958333  0.64285714  0.703125    0.5625
  0.70833333  0.76041667  0.86        0.38541667  0.41        0.58333333
  0.82142857]"
4,BNU_1_proba_csa_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.581632653061,0.178880522901,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.585,0.114127122105,"[ 0.6   0.6   0.6   0.6   0.7   0.6   0.7   0.5   0.6   0.6   0.55  0.75
  0.6   0.35  0.65  0.65  0.5   0.75  0.65  0.45  0.65  0.55  0.5   0.6
  0.7   0.45  0.6   0.55  0.8   0.4   0.6   0.6   0.75  0.7   0.5   0.7
  0.5   0.35  0.6   0.65  0.7   0.65  0.55  0.4   0.5   0.7   0.65  0.45
  0.25  0.65]",0.648724489796,0.19331763454,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.698123214286,0.138125405086,"[ 0.60416667  0.55        0.69        0.75        0.8125      0.84375
  0.48958333  0.54        0.53571429  0.70833333  0.55952381  0.68        0.8125
  0.57142857  0.76041667  1.          0.8125      0.734375    0.8125
  0.70833333  0.74        0.5         0.82        0.8125      0.6875      0.73
  0.82142857  0.83        0.87        0.57142857  0.75        0.73809524
  0.82142857  0.64583333  0.82142857  0.64583333  0.51190476  0.421875
  0.4375      0.73958333  0.96428571  0.765625    0.59375     0.60416667
  0.69791667  0.86        0.6875      0.46        0.5         0.88095238]"
5,BNU_1_proba_csa_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.632653061224,0.23745053629,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.559,0.1275499902,"[ 0.75  0.55  0.5   0.45  0.65  0.5   0.55  0.4   0.5   0.4   0.55  0.8
  0.55  0.3   0.65  0.4   0.45  0.65  0.6   0.45  0.7   0.5   0.45  0.65
  0.8   0.5   0.65  0.65  0.7   0.45  0.65  0.7   0.75  0.45  0.55  0.7
  0.5   0.3   0.7   0.6   0.65  0.6   0.55  0.4   0.5   0.6   0.5   0.6
  0.25  0.7 ]",0.681037414966,0.149538242461,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.655463492063,0.146586254546,"[ 0.64583333  0.54        0.51        0.70833333  0.82291667  0.9375
  0.48958333  0.49        0.57142857  0.67708333  0.5952381   0.56        0.4375
  0.38095238  0.76041667  0.97222222  0.75        0.6875      0.72916667
  0.77083333  0.64        0.48809524  0.67        0.80208333  0.72916667
  0.56        0.5         0.86        0.86        0.5952381   0.6875
  0.70238095  0.82142857  0.59375     0.88095238  0.57291667  0.52380952
  0.421875    0.48958333  0.78125     0.94047619  0.734375    0.47916667
  0.65625     0.54166667  0.77        0.78125     0.46        0.5625
  0.63095238]"
6,BNU_1_proba_csa_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.632653061224,0.139766536131,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.579,0.120867696263,"[ 0.7   0.7   0.5   0.5   0.55  0.55  0.6   0.5   0.6   0.5   0.45  0.85
  0.55  0.3   0.5   0.55  0.55  0.7   0.65  0.3   0.6   0.45  0.6   0.5
  0.7   0.5   0.55  0.65  0.6   0.5   0.4   0.55  0.8   0.65  0.5   0.65
  0.7   0.7   0.65  0.75  0.7   0.45  0.35  0.4   0.65  0.6   0.8   0.6
  0.65  0.65]",0.652891156463,0.173867415509,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.643543650794,0.186291799588,"[ 0.76041667  0.84        0.51        0.51041667  0.625       0.84375
  0.67708333  0.39        0.66666667  0.5625      0.6547619   0.92
  0.609375    0.10714286  0.70833333  0.77777778  1.          0.453125
  0.73958333  0.4375      0.7         0.42857143  0.72        0.46875
  0.78125     0.55        0.67857143  0.78        0.6         0.5
  0.35416667  0.72619048  0.78571429  0.63541667  0.5         0.78125
  0.79761905  1.          0.92708333  0.80208333  0.64285714  0.25
  0.48958333  0.44791667  0.61458333  0.7         0.95833333  0.49        0.75
  0.52380952]"
7,BNU_1_proba_csa_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.683673469388,0.209049511758,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.559,0.12833160172,"[ 0.6   0.6   0.45  0.45  0.45  0.45  0.65  0.6   0.55  0.55  0.5   0.8
  0.65  0.25  0.5   0.45  0.4   0.55  0.6   0.55  0.6   0.55  0.5   0.5
  0.75  0.45  0.55  0.7   0.65  0.45  0.35  0.75  0.75  0.55  0.45  0.75
  0.7   0.6   0.55  0.65  0.7   0.15  0.4   0.6   0.6   0.7   0.7   0.5
  0.6   0.6 ]",0.671598639456,0.139460293191,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.569797619048,0.155192788565,"[ 0.34375     0.66        0.47        0.52083333  0.61458333  0.71875
  0.79166667  0.45        0.66666667  0.46875     0.52380952  0.78        0.5625
  0.14285714  0.58333333  0.58333333  0.71875     0.421875    0.54166667
  0.375       0.45        0.3452381   0.58        0.54166667  0.75        0.54
  0.54761905  0.71        0.67        0.52380952  0.42708333  0.66666667
  0.52380952  0.67708333  0.35714286  0.75        0.64285714  0.953125
  0.78125     0.77083333  0.57142857  0.34375     0.60416667  0.4375
  0.53125     0.61        0.89583333  0.43        0.47916667  0.44047619]"
8,BNU_1_proba_csa_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.5,0.127330875782,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.493,0.132668760452,"[ 0.4   0.3   0.65  0.3   0.7   0.25  0.6   0.4   0.3   0.55  0.45  0.55
  0.75  0.45  0.55  0.6   0.35  0.35  0.65  0.35  0.5   0.4   0.35  0.4
  0.7   0.5   0.55  0.4   0.7   0.6   0.5   0.6   0.6   0.35  0.6   0.55
  0.25  0.4   0.7   0.55  0.4   0.4   0.6   0.4   0.45  0.6   0.55  0.35
  0.5   0.7 ]",0.501360544218,0.185741542099,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.49591031746,0.169147396284,"[ 0.57291667  0.27        0.57        0.51041667  0.77083333  0.125
  0.58333333  0.27        0.28571429  0.75        0.29761905  0.59        0.75
  0.30952381  0.65625     0.86111111  0.34375     0.640625    0.60416667
  0.52083333  0.55        0.0952381   0.35        0.54166667  0.625       0.5
  0.53571429  0.5         0.54        0.55952381  0.5         0.55952381
  0.39285714  0.4375      0.80952381  0.4375      0.13095238  0.390625
  0.6875      0.64583333  0.48809524  0.28125     0.61458333  0.48958333
  0.5         0.59        0.41666667  0.38        0.5         0.46428571]"
9,BNU_1_proba_csa_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.540816326531,0.105304935921,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.499,0.137291660344,"[ 0.5   0.6   0.65  0.6   0.35  0.1   0.45  0.65  0.4   0.6   0.25  0.6
  0.55  0.5   0.7   0.6   0.25  0.4   0.3   0.6   0.5   0.5   0.35  0.55
  0.7   0.35  0.45  0.45  0.65  0.65  0.45  0.35  0.45  0.65  0.5   0.6
  0.4   0.55  0.6   0.7   0.25  0.35  0.45  0.55  0.55  0.7   0.6   0.6
  0.45  0.4 ]",0.543707482993,0.117572475022,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.533481150794,0.173093534593,"[ 0.35416667  0.33        0.59        0.5625      0.70833333  0.125
  0.64583333  0.41        0.41666667  0.75        0.20238095  0.64        0.75
  0.38095238  0.67708333  0.86111111  0.34375     0.53125     0.67708333
  0.58333333  0.72        0.14285714  0.46        0.67708333  0.66666667
  0.62        0.63095238  0.49        0.59        0.75        0.46875
  0.58333333  0.33333333  0.45833333  0.82142857  0.38541667  0.28571429
  0.34375     0.63541667  0.63541667  0.5952381   0.234375    0.59375
  0.55208333  0.69791667  0.75        0.47916667  0.55        0.53125
  0.45238095]"
