,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.642857142857,0.10296070624,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.647,0.124663547198,"[ 0.9   0.8   0.8   0.7   0.4   0.45  0.5   0.65  0.6   0.6   0.65  0.7
  0.5   0.65  0.45  0.65  0.7   0.55  0.55  0.9   0.65  0.6   0.65  0.6
  0.65  0.45  0.75  0.65  0.4   0.7   0.55  0.6   0.85  0.8   0.6   0.8
  0.75  0.85  0.75  0.65  0.55  0.45  0.65  0.55  0.6   0.65  0.75  0.6
  0.8   0.75]",0.725,0.09138988827,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.686093650794,0.167481500091,"[ 0.86458333  0.76        0.8         0.71875     0.32291667  0.546875
  0.57291667  0.69        0.64285714  0.5         0.61904762  0.65
  0.296875    0.61904762  0.55208333  0.69444444  0.765625    0.34375     1.
  0.92708333  0.77        0.47619048  0.87        0.66666667  0.64583333
  0.53        0.88095238  0.7         0.45        0.5952381   0.52083333
  0.54761905  0.9047619   0.875       0.67857143  0.78125     0.85714286
  0.984375    0.65625     0.67708333  0.53571429  0.625       0.69791667
  0.66666667  0.79166667  0.88        0.76041667  0.54        0.94791667
  0.9047619 ]"
1,BNU_1_proba_csd_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.744897959184,0.092839075265,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.646,0.148270023943,"[ 0.85  0.6   0.8   0.6   0.5   0.6   0.6   0.7   0.7   0.45  0.8   0.8
  0.35  0.8   0.55  0.6   0.75  0.5   0.85  0.85  0.6   0.55  0.65  0.5
  0.5   0.55  0.75  0.65  0.45  0.55  0.6   0.6   0.95  0.55  0.4   0.7
  0.7   0.8   0.65  0.55  0.3   0.65  0.8   0.6   0.8   0.85  0.8   0.4
  0.85  0.75]",0.792261904762,0.113251614946,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.728286904762,0.153101763724,"[ 0.92708333  0.65        0.89        0.59375     0.53125     0.703125
  0.53125     0.83        0.58333333  0.52083333  0.94047619  0.6         0.3125
  0.70238095  0.60416667  0.83333333  0.765625    0.421875    0.92708333
  0.75        0.82        0.47619048  0.84        0.66666667  0.82291667
  0.69        0.94047619  0.58        0.54        0.61904762  0.60416667
  0.64285714  0.86904762  0.94791667  0.64285714  0.79166667  0.88095238
  0.875       0.84375     0.64583333  0.6547619   0.859375    0.80208333
  0.86458333  0.95833333  0.9         0.70833333  0.68        0.76041667
  0.86904762]"
2,BNU_1_proba_csd_con_ROIv_scale125,max,degrees,standard,LR,0.602040816327,0.0735118924666,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.623,0.122151545221,"[ 0.85  0.65  0.7   0.7   0.55  0.5   0.5   0.55  0.7   0.65  0.65  0.75
  0.75  0.4   0.5   0.45  0.7   0.8   0.65  0.7   0.55  0.4   0.55  0.6
  0.65  0.7   0.7   0.65  0.4   0.7   0.55  0.5   0.8   0.65  0.45  0.75
  0.65  0.7   0.75  0.7   0.75  0.6   0.7   0.55  0.6   0.75  0.35  0.35
  0.7   0.7 ]",0.675510204082,0.11198588958,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.703469444444,0.165119091822,"[ 1.          0.81        0.87        0.73958333  0.57291667  0.265625
  0.57291667  0.67        0.71428571  0.79166667  0.82142857  0.93        0.71875
  0.36904762  0.45833333  0.97222222  0.640625    0.78125     0.79166667
  0.76041667  0.58        0.26190476  0.58        0.70833333  0.70833333
  0.77        0.85714286  0.63        0.53        0.63095238  0.6875
  0.53571429  0.69047619  0.625       0.67857143  0.82291667  0.88095238
  0.734375    0.8125      0.89583333  0.82142857  0.890625    0.84375
  0.65625     0.76041667  0.86        0.45833333  0.44        0.75
  0.82142857]"
3,BNU_1_proba_csd_con_ROIv_scale125,max,degrees,standard,SGD,0.704081632653,0.0719450070475,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.549,0.146454771175,"[ 0.7   0.75  0.5   0.5   0.55  0.5   0.4   0.65  0.4   0.55  0.4   0.9
  0.35  0.4   0.5   0.25  0.3   0.35  0.7   0.85  0.7   0.45  0.35  0.6
  0.55  0.5   0.45  0.55  0.55  0.55  0.6   0.7   0.65  0.6   0.35  0.55
  0.6   0.7   0.55  0.6   0.85  0.3   0.6   0.7   0.6   0.65  0.55  0.55
  0.35  0.65]",0.792857142857,0.151101398581,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.72882718254,0.169278511199,"[ 1.          0.86        0.85        0.73958333  0.8125      0.78125
  0.61458333  0.76        0.8452381   0.90625     0.88095238  0.92        0.75
  0.4047619   0.44791667  0.97222222  0.5         0.671875    0.85416667
  0.78125     0.62        0.29761905  0.46        0.72916667  0.70833333
  0.75        0.79761905  0.74        0.65        0.6547619   0.73958333
  0.66666667  0.73809524  0.85416667  0.5         0.82291667  0.94047619
  0.5         0.8125      0.91666667  0.5         0.96875     0.83333333
  0.88541667  0.5         0.5         0.75        0.47        0.85416667
  0.92857143]"
4,BNU_1_proba_csd_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.69387755102,0.0344529449309,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.614,0.110923396991,"[ 0.75  0.55  0.65  0.75  0.55  0.5   0.55  0.5   0.7   0.5   0.75  0.65
  0.55  0.65  0.6   0.5   0.65  0.6   0.5   0.65  0.5   0.65  0.55  0.6
  0.65  0.45  0.85  0.75  0.45  0.6   0.5   0.55  0.7   0.75  0.7   0.75
  0.6   0.75  0.55  0.65  0.9   0.55  0.65  0.55  0.35  0.7   0.6   0.4
  0.7   0.65]",0.6625,0.0880177828739,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.623739087302,0.157401945846,"[ 0.77083333  0.74        0.65        0.85416667  0.57291667  0.65625
  0.63541667  0.5         0.5952381   0.51041667  0.75        0.65        0.65625
  0.45238095  0.55208333  0.88888889  0.296875    0.484375    0.59375
  0.80208333  0.34        0.5         0.63        0.58333333  0.6875      0.36
  0.92857143  0.67        0.43        0.42857143  0.61458333  0.42857143
  0.52380952  0.70833333  0.67857143  0.79166667  0.6547619   0.71875
  0.625       0.73958333  0.96428571  0.609375    0.625       0.71875
  0.625       0.9         0.40625     0.28        0.75        0.6547619 ]"
5,BNU_1_proba_csd_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.683673469388,0.115149995639,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.554,0.120764233116,"[ 0.55  0.75  0.55  0.65  0.6   0.45  0.35  0.5   0.7   0.35  0.65  0.6
  0.4   0.6   0.55  0.25  0.65  0.4   0.5   0.7   0.6   0.6   0.55  0.5
  0.65  0.5   0.75  0.5   0.45  0.4   0.55  0.45  0.6   0.5   0.5   0.6
  0.4   0.6   0.65  0.85  0.7   0.45  0.5   0.65  0.65  0.75  0.55  0.35
  0.55  0.6 ]",0.706037414966,0.115526533039,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.601199801587,0.163058958382,"[ 0.73958333  0.53        0.66        0.83333333  0.27083333  0.609375
  0.60416667  0.71        0.39285714  0.39583333  0.70238095  0.5         0.453125
  0.72619048  0.58333333  0.30555556  0.78125     0.640625    0.65625
  0.83333333  0.5         0.3452381   0.72        0.66666667  0.3125      0.39
  0.5         0.5         0.36        0.61904762  0.54166667  0.63095238
  0.70238095  0.63541667  0.66666667  0.75        0.63095238  0.703125
  0.67708333  0.71875     0.78571429  0.734375    0.5625      0.5625
  0.69791667  0.89        0.32291667  0.33        0.9375      0.73809524]"
6,BNU_1_proba_csd_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.591836734694,0.205124884503,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.536,0.129630243385,"[ 0.5   0.7   0.35  0.35  0.55  0.6   0.55  0.65  0.75  0.4   0.45  0.4
  0.3   0.35  0.65  0.75  0.45  0.5   0.45  0.6   0.45  0.6   0.5   0.45
  0.65  0.4   0.5   0.7   0.4   0.5   0.55  0.5   0.5   0.45  0.55  0.55
  0.5   0.7   0.7   0.55  0.8   0.3   0.5   0.9   0.4   0.65  0.6   0.5
  0.55  0.6 ]",0.602295918367,0.188553185792,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.549502579365,0.166389898742,"[ 0.47916667  0.76        0.31        0.30208333  0.72916667  0.59375
  0.47916667  0.65        0.72619048  0.4375      0.61904762  0.52        0.15625
  0.21428571  0.76041667  0.69444444  0.3125      0.46875     0.57291667
  0.55208333  0.31        0.51190476  0.48        0.57291667  0.73958333
  0.31        0.5         0.71        0.48        0.69047619  0.42708333
  0.72619048  0.77380952  0.35416667  0.55952381  0.58333333  0.45238095
  0.765625    0.77083333  0.64583333  0.72619048  0.28125     0.54166667
  0.76041667  0.36458333  0.65        0.80208333  0.53        0.51041667
  0.60714286]"
7,BNU_1_proba_csd_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.581632653061,0.133088418684,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.144568322948,"[ 0.55  0.55  0.3   0.35  0.5   0.4   0.4   0.65  0.7   0.5   0.35  0.4
  0.35  0.2   0.7   0.6   0.35  0.45  0.4   0.7   0.4   0.55  0.5   0.5
  0.7   0.35  0.3   0.6   0.55  0.75  0.45  0.5   0.45  0.55  0.6   0.5
  0.45  0.6   0.75  0.6   0.65  0.25  0.6   0.65  0.2   0.5   0.7   0.5
  0.65  0.25]",0.615646258503,0.117391548506,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.528374206349,0.207896696921,"[ 0.53125     0.52        0.4         0.15625     0.98958333  0.609375
  0.41666667  0.36        0.9047619   0.5625      0.66666667  0.35        0.3125
  0.14285714  0.5625      0.72222222  0.53125     0.6875      0.8125
  0.61458333  0.19        0.32142857  0.32        0.53645833  0.61458333
  0.42        0.47619048  0.86        0.3         0.53571429  0.54166667
  0.85714286  0.4047619   0.59375     0.64285714  0.41666667  0.42261905
  0.28125     0.69791667  0.70833333  0.83333333  0.03125     0.69791667
  0.4375      0.55208333  0.52        0.51041667  0.33        0.83333333
  0.67857143]"
8,BNU_1_proba_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.683673469388,0.18441209509,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.717,0.106117859006,"[ 0.85  0.8   0.75  0.75  0.65  0.6   0.5   0.75  0.75  0.7   0.8   0.8
  0.75  0.55  0.55  0.8   0.8   0.7   0.65  0.7   0.6   0.35  0.75  0.7
  0.7   0.65  0.8   0.7   0.65  0.9   0.7   0.6   0.65  0.85  0.85  0.8
  0.7   0.75  0.8   0.65  0.8   0.7   0.85  0.65  0.75  0.8   0.9   0.7
  0.55  0.8 ]",0.703231292517,0.194677740623,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.767206547619,0.131188259019,"[ 0.95833333  0.79        0.78        0.71875     0.83333333  0.671875
  0.54166667  0.9         0.80952381  0.77083333  0.91666667  0.85        0.5625
  0.5         0.53125     1.          0.59375     0.734375    0.78125
  0.88541667  0.56        0.44047619  0.84        0.85416667  0.6875      0.72
  0.79761905  0.69        0.67        0.94047619  0.6875      0.75
  0.58333333  0.84375     0.9047619   0.82291667  1.          0.875
  0.82291667  0.79166667  0.72619048  0.859375    0.88541667  0.75
  0.79166667  0.77        0.96875     0.8         0.63541667  0.76190476]"
9,BNU_1_proba_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.65306122449,0.0899529651212,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.667,0.174530799574,"[ 0.75  0.7   0.75  0.75  0.85  0.25  0.4   0.75  0.7   0.8   0.75  0.8
  0.55  0.7   0.55  0.3   0.75  0.65  0.55  0.75  0.6   0.3   0.75  0.55
  0.65  0.75  0.8   0.75  0.7   0.95  0.75  0.35  0.7   0.85  0.3   0.85
  0.35  0.8   0.8   0.9   0.8   0.65  0.8   0.65  0.5   0.7   0.9   0.65
  0.4   0.8 ]",0.728911564626,0.19915070554,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.788914285714,0.171691038248,"[ 0.97916667  0.79        0.77        0.71875     0.9375      0.71875
  0.21875     0.98        0.79761905  0.80208333  0.92857143  0.85        0.5625
  0.95238095  0.55208333  1.          0.578125    0.734375    0.82291667
  0.88541667  0.56        0.29761905  0.84        0.86458333  0.67708333
  0.79        0.79761905  0.69        0.75        0.94047619  0.70833333
  0.75        0.67857143  0.875       0.5         0.82291667  1.          0.9375
  0.82291667  0.9375      0.5         0.875       0.875       0.78125
  0.91666667  0.89        0.97916667  1.          0.91666667  0.89285714]"
