,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.642857142857,0.0868313453753,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.692,0.0907524104363,"[ 0.65  0.55  0.55  0.6   0.65  0.45  0.8   0.75  0.75  0.7   0.7   0.8
  0.8   0.6   0.7   0.8   0.7   0.75  0.7   0.8   0.6   0.65  0.7   0.65
  0.7   0.7   0.7   0.7   0.55  0.8   0.55  0.55  0.65  0.75  0.8   0.75
  0.75  0.85  0.85  0.7   0.65  0.75  0.75  0.55  0.6   0.8   0.75  0.65
  0.6   0.75]",0.713860544218,0.0716145285503,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.664886904762,0.144696659355,"[ 0.78125     0.67        0.61        0.60416667  0.67708333  0.40625
  0.73958333  0.66        0.79761905  0.65625     0.75        0.48
  0.578125    0.60714286  0.5625      0.33333333  0.546875    0.3125
  0.70833333  0.84375     0.85        0.35714286  0.68        0.69791667
  0.55208333  0.56        0.47619048  0.77        0.69        0.66666667
  0.625       0.63095238  0.64285714  0.70833333  0.79761905  0.6875
  0.86904762  0.65625     0.91666667  0.83333333  0.54761905  0.5         0.84375
  0.70833333  0.89583333  0.85        0.77083333  0.53        0.76041667
  0.8452381 ]"
1,BNU_1_deter_csa_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.663265306122,0.0890221246823,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524,0.121342490497,"[ 0.55  0.45  0.35  0.45  0.6   0.55  0.45  0.55  0.45  0.4   0.65  0.6
  0.3   0.55  0.6   0.25  0.5   0.45  0.65  0.75  0.5   0.3   0.65  0.5
  0.65  0.6   0.35  0.4   0.45  0.6   0.5   0.6   0.5   0.4   0.5   0.65
  0.8   0.55  0.6   0.65  0.55  0.25  0.55  0.45  0.7   0.55  0.7   0.5
  0.6   0.5 ]",0.733163265306,0.0573511777107,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.698109126984,0.142067743089,"[ 0.84375     0.85        0.38        0.46875     0.70833333  0.5625
  0.53125     0.8         0.8452381   0.70833333  0.64285714  0.59
  0.703125    0.5952381   0.73958333  0.69444444  0.75        0.234375
  0.75        0.79166667  0.82        0.46428571  0.73        0.73958333
  0.42708333  0.47        0.54761905  0.75        0.71        0.73809524
  0.5625      0.61904762  0.78571429  0.82291667  0.76190476  0.76041667
  0.86904762  0.890625    0.84375     0.78125     0.61904762  0.765625
  0.72916667  0.6875      0.84375     0.87        0.78125     0.68        0.8125
  0.83333333]"
2,BNU_1_deter_csa_con_aparc68+subcort,mean,degrees,standard,LR,0.612244897959,0.14300688621,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.596,0.109927248669,"[ 0.6   0.5   0.65  0.65  0.45  0.6   0.5   0.5   0.55  0.7   0.5   0.65
  0.75  0.5   0.6   0.55  0.6   0.55  0.4   0.65  0.55  0.4   0.4   0.45
  0.55  0.65  0.4   0.7   0.45  0.7   0.7   0.55  0.75  0.5   0.6   0.7
  0.75  0.6   0.65  0.75  0.8   0.6   0.6   0.6   0.65  0.8   0.65  0.45
  0.8   0.6 ]",0.643962585034,0.158596744781,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.664482539683,0.147373493103,"[ 0.70833333  0.47        0.67        0.5625      0.53125     0.65625
  0.70833333  0.59        0.63095238  0.65625     0.98809524  0.72
  0.765625    0.5952381   0.53125     0.72222222  0.4375      0.453125
  0.61458333  0.65625     0.55        0.30952381  0.72        0.66666667
  0.55208333  0.73        0.38095238  0.61        0.47        0.80952381
  0.77083333  0.75        0.73809524  0.60416667  0.85714286  0.77083333
  0.92857143  0.5625      0.82291667  0.77083333  0.67857143  0.84375
  0.78125     0.58333333  0.89583333  0.84        0.72916667  0.37
  0.86458333  0.5952381 ]"
3,BNU_1_deter_csa_con_aparc68+subcort,mean,degrees,standard,SGD,0.642857142857,0.121638474042,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.574,0.118,"[ 0.6   0.5   0.6   0.6   0.4   0.7   0.55  0.45  0.6   0.8   0.55  0.55
  0.6   0.4   0.65  0.4   0.6   0.5   0.55  0.55  0.5   0.3   0.55  0.55
  0.5   0.7   0.5   0.45  0.45  0.65  0.65  0.55  0.6   0.5   0.6   0.7
  0.75  0.55  0.5   0.7   0.8   0.45  0.7   0.45  0.65  0.75  0.6   0.4
  0.9   0.6 ]",0.66343537415,0.11463384881,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.611018650794,0.153252536273,"[ 0.6875      0.3         0.58        0.54166667  0.5         0.625       0.6875
  0.54        0.57142857  0.73958333  0.60714286  0.52        0.703125    0.5
  0.66666667  0.69444444  0.3125      0.390625    0.65625     0.625       0.53
  0.29761905  0.57        0.625       0.57291667  0.71        0.4047619
  0.63        0.47        0.82142857  0.70833333  0.64285714  0.71428571
  0.53125     0.86904762  0.70833333  0.91666667  0.3125      0.57291667
  0.73958333  0.85714286  0.53125     0.84375     0.48958333  0.6875      0.74
  0.75        0.39        0.90625     0.55952381]"
4,BNU_1_deter_csa_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.642857142857,0.0573409265657,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.661,0.122592821976,"[ 0.7   0.85  0.7   0.45  0.55  0.75  0.5   0.7   0.8   0.7   0.5   0.75
  0.55  0.4   0.6   0.85  0.55  0.6   0.6   0.8   0.55  0.9   0.55  0.65
  0.55  0.4   0.75  0.7   0.65  0.6   0.65  0.8   0.65  0.75  0.9   0.75
  0.75  0.6   0.6   0.7   0.7   0.65  0.9   0.7   0.7   0.7   0.55  0.45
  0.65  0.7 ]",0.688945578231,0.0972162531305,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.725460119048,0.162031677782,"[ 0.78125     0.68        0.61        0.52083333  0.54166667  0.78125
  0.91666667  0.75        0.88095238  0.61458333  0.80952381  0.61
  0.484375    0.42857143  0.80208333  0.75        0.5625      0.328125
  0.84375     0.63541667  0.79        0.46428571  0.82        0.85416667
  0.44791667  0.94        0.98809524  0.56        0.54        0.76190476
  0.6875      0.8452381   0.75        0.58333333  0.9047619   0.86458333
  0.88095238  0.921875    0.73958333  0.98958333  0.60714286  0.6875
  0.84375     0.71875     0.78125     0.97        0.86458333  0.66
  0.92708333  0.54761905]"
5,BNU_1_deter_csa_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.673469387755,0.073069901561,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.651,0.135827095971,"[ 0.7   0.65  0.65  0.5   0.55  0.4   0.9   0.8   0.85  0.65  0.7   0.5
  0.55  0.5   0.75  0.75  0.4   0.55  0.7   0.65  0.6   0.25  0.7   0.75
  0.6   0.7   0.8   0.55  0.4   0.8   0.55  0.7   0.65  0.5   0.75  0.7
  0.8   0.6   0.6   0.9   0.55  0.75  0.75  0.65  0.65  0.85  0.75  0.55
  0.8   0.65]",0.725085034014,0.104699114692,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.716166865079,0.171341996505,"[ 0.76041667  0.69        0.59        0.52083333  0.51041667  0.65625
  0.92708333  0.72        0.86904762  0.66666667  0.76190476  0.57
  0.484375    0.52380952  0.76041667  0.61111111  0.515625    0.375
  0.82291667  0.53125     0.86        0.44047619  0.67        0.875
  0.59375     0.92        0.97619048  0.48        0.45        0.76190476
  0.77083333  0.89285714  0.72619048  0.45833333  0.91666667  0.83333333
  0.91666667  0.953125    0.67708333  1.          0.73809524  0.5625      0.875
  0.77083333  0.84375     0.98        0.875       0.64        0.94791667
  0.53571429]"
6,BNU_1_deter_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.551020408163,0.127126276931,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.47,0.107703296143,"[ 0.45  0.35  0.4   0.35  0.6   0.4   0.35  0.65  0.5   0.45  0.3   0.25
  0.45  0.45  0.5   0.45  0.5   0.4   0.5   0.65  0.6   0.55  0.55  0.65
  0.6   0.55  0.35  0.6   0.4   0.45  0.35  0.35  0.4   0.45  0.7   0.45
  0.55  0.5   0.5   0.3   0.65  0.3   0.45  0.6   0.55  0.55  0.4   0.4
  0.4   0.4 ]",0.528741496599,0.145522859248,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.505890277778,0.145109051914,"[ 0.5         0.49        0.41        0.26041667  0.72916667  0.515625    0.5
  0.53        0.42857143  0.4375      0.3452381   0.32        0.296875
  0.32142857  0.65625     0.88888889  0.546875    0.546875    0.5625
  0.72916667  0.46        0.42857143  0.41        0.82291667  0.41666667
  0.5         0.54761905  0.64        0.38        0.54761905  0.40625
  0.26190476  0.39285714  0.59375     0.75        0.51041667  0.55952381
  0.5625      0.46875     0.4375      0.6547619   0.359375    0.5
  0.72916667  0.72916667  0.64        0.32291667  0.36        0.375
  0.51190476]"
7,BNU_1_deter_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.571428571429,0.112435418601,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.462,0.095163018027,"[ 0.45  0.5   0.45  0.3   0.55  0.3   0.4   0.45  0.5   0.45  0.55  0.4
  0.25  0.35  0.55  0.4   0.35  0.55  0.45  0.6   0.55  0.5   0.35  0.6
  0.45  0.5   0.4   0.55  0.4   0.45  0.45  0.4   0.45  0.45  0.7   0.45
  0.45  0.5   0.5   0.4   0.65  0.25  0.65  0.4   0.55  0.55  0.45  0.45
  0.45  0.4 ]",0.551275510204,0.141958867526,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492273214286,0.132352171992,"[ 0.47916667  0.37        0.43        0.375       0.61458333  0.46875
  0.34375     0.42        0.45238095  0.41666667  0.6547619   0.41
  0.265625    0.30952381  0.625       0.58333333  0.21875     0.484375
  0.53125     0.71875     0.49        0.42857143  0.28        0.77083333
  0.625       0.56        0.32142857  0.65        0.45        0.55952381
  0.48958333  0.33333333  0.67857143  0.5         0.79761905  0.39583333
  0.58333333  0.46875     0.41666667  0.48958333  0.5952381   0.609375
  0.69791667  0.4375      0.65625     0.55        0.36458333  0.43
  0.39583333  0.41666667]"
8,BNU_1_deter_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.714285714286,0.0828215577663,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.638,0.131742172443,"[ 0.35  0.5   0.7   0.6   0.6   0.6   0.75  0.65  0.65  0.85  0.5   0.6
  0.65  0.5   0.45  0.55  0.65  0.4   0.7   0.75  0.6   0.55  0.7   0.65
  0.65  0.75  0.75  0.7   0.35  0.85  0.65  0.4   0.75  0.6   0.8   0.7
  0.45  0.55  0.65  0.75  0.75  0.7   0.7   0.6   0.75  0.7   0.75  0.4
  0.95  0.75]",0.770493197279,0.0353451833098,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673229960317,0.143119100942,"[ 0.47916667  0.58        0.66        0.57291667  0.55208333  0.53125
  0.76041667  0.72        0.71428571  0.78125     0.57142857  0.73        0.71875
  0.54761905  0.48958333  0.94444444  0.484375    0.3125      0.78125     0.75
  0.55        0.41666667  0.71        0.80208333  0.75        0.71
  0.80952381  0.67        0.37        0.78571429  0.72916667  0.52380952
  0.79761905  0.69791667  0.85714286  0.67708333  0.71428571  0.484375
  0.69791667  0.80208333  0.80952381  0.703125    0.78125     0.65625
  0.85416667  0.76        0.80208333  0.42        0.94791667  0.69047619]"
9,BNU_1_deter_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.714285714286,0.0616294243121,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.647,0.136897772078,"[ 0.5   0.6   0.6   0.4   0.65  0.7   0.75  0.85  0.65  0.9   0.75  0.65
  0.65  0.55  0.45  0.55  0.7   0.3   0.6   0.7   0.6   0.5   0.75  0.8
  0.65  0.65  0.75  0.75  0.25  0.85  0.55  0.4   0.7   0.65  0.75  0.65
  0.45  0.65  0.7   0.75  0.7   0.6   0.6   0.65  0.75  0.7   0.75  0.6
  0.9   0.8 ]",0.796343537415,0.0426415098849,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.687406547619,0.144635091895,"[ 0.53125     0.49        0.65        0.5625      0.5625      0.578125
  0.78125     0.83        0.64285714  0.83333333  0.70238095  0.74
  0.734375    0.5952381   0.4375      0.91666667  0.515625    0.4375
  0.66666667  0.65625     0.57        0.45238095  0.69        0.86458333
  0.75        0.76        0.78571429  0.68        0.32        0.9047619
  0.70833333  0.51190476  0.82142857  0.72916667  0.79761905  0.63541667
  0.69047619  0.546875    0.8125      0.79166667  0.86904762  0.859375
  0.77083333  0.625       0.875       0.68        0.80208333  0.47
  0.95833333  0.77380952]"
