,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,LR,0.704081632653,0.0683072467417,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.681,0.109494292089,"[ 0.8   0.55  0.65  0.7   0.6   0.55  0.5   0.55  0.65  0.6   0.75  0.65
  0.75  0.6   0.65  0.75  0.8   0.6   0.8   0.8   0.7   0.65  0.8   0.6
  0.65  0.65  0.65  0.6   0.55  0.85  0.55  0.4   0.75  0.8   0.7   0.75
  0.65  0.7   0.85  0.65  0.65  0.8   0.85  0.6   0.55  0.9   0.85  0.6
  0.6   0.85]",0.716241496599,0.0688327676281,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.747511904762,0.13605342898,"[ 0.89583333  0.62        0.81        0.70833333  0.55208333  0.59375
  0.72916667  0.75        0.71428571  0.625       0.71428571  0.74        0.75
  0.51190476  0.67708333  0.75        0.84375     0.578125    0.86458333
  0.92708333  0.68        0.71428571  0.95        0.86458333  0.63541667
  0.83        0.86904762  0.75        0.61        0.76190476  0.4375
  0.39285714  0.73809524  0.86458333  0.57142857  0.92708333  0.94047619
  0.875       0.91666667  0.6875      0.61904762  0.828125    0.86458333
  0.73958333  0.61458333  0.98        0.90625     0.73        0.86458333
  0.85714286]"
1,BNU_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,SGD,0.724489795918,0.0814482043177,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.643,0.125303631232,"[ 0.7   0.55  0.65  0.5   0.35  0.7   0.7   0.85  0.6   0.5   0.65  0.65
  0.6   0.4   0.55  0.65  0.7   0.6   0.8   0.8   0.5   0.65  0.9   0.7
  0.65  0.7   0.75  0.65  0.4   0.8   0.5   0.4   0.8   0.8   0.6   0.75
  0.65  0.65  0.7   0.55  0.65  0.85  0.7   0.6   0.45  0.65  0.75  0.5
  0.75  0.65]",0.75612244898,0.0572890122503,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.693191468254,0.145404384665,"[ 0.66666667  0.67        0.73        0.70833333  0.35416667  0.828125
  0.69791667  0.77        0.63095238  0.40625     0.77380952  0.67
  0.734375    0.30952381  0.46875     0.63888889  0.8125      0.53125
  0.82291667  0.77083333  0.53        0.70238095  0.89        0.84375     0.75
  0.67        0.76190476  0.84        0.53        0.82142857  0.6875
  0.32142857  0.57142857  0.84375     0.71428571  0.73958333  0.69047619
  0.859375    0.8125      0.69791667  0.60714286  0.65625     0.94791667
  0.72916667  0.53125     0.76        0.85416667  0.64        0.79166667
  0.86904762]"
2,BNU_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,LR,0.714285714286,0.0897211603877,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.626,0.112356575242,"[ 0.85  0.65  0.55  0.5   0.6   0.6   0.75  0.45  0.7   0.55  0.7   0.8
  0.65  0.45  0.35  0.8   0.6   0.5   0.5   0.8   0.55  0.4   0.65  0.75
  0.65  0.6   0.65  0.7   0.45  0.6   0.55  0.6   0.75  0.7   0.75  0.7
  0.6   0.7   0.7   0.75  0.7   0.75  0.5   0.65  0.65  0.65  0.55  0.45
  0.6   0.65]",0.699914965986,0.119558545856,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.675150992063,0.14211281076,"[ 0.91666667  0.73        0.57        0.52083333  0.67708333  0.515625
  0.83333333  0.57        0.80952381  0.54166667  0.83333333  0.85        0.5625
  0.55952381  0.32291667  0.88888889  0.4375      0.59375     0.67708333
  0.75        0.36        0.39285714  0.65        0.78125     0.75        0.61
  0.72619048  0.64        0.46        0.6547619   0.66666667  0.61904762
  0.72619048  0.64583333  0.8452381   0.69791667  0.73809524  0.828125
  0.80208333  0.83333333  0.82142857  0.953125    0.69791667  0.73958333
  0.77083333  0.7         0.69791667  0.53        0.60416667  0.6547619 ]"
3,BNU_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,SGD,0.683673469388,0.0651606940839,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.563,0.123616341962,"[ 0.55  0.7   0.6   0.7   0.4   0.5   0.5   0.55  0.55  0.45  0.5   0.8
  0.65  0.65  0.45  0.65  0.65  0.4   0.5   0.6   0.55  0.35  0.45  0.65
  0.65  0.6   0.4   0.55  0.55  0.45  0.5   0.35  0.5   0.4   0.55  0.55
  0.4   0.85  0.7   0.85  0.65  0.5   0.55  0.65  0.55  0.7   0.7   0.35
  0.55  0.75]",0.712159863946,0.137106959212,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.643957539683,0.164900175109,"[ 0.84375     0.64        0.53        0.63541667  0.35416667  0.40625
  0.63541667  0.67        0.64285714  0.51041667  0.75        0.86
  0.734375    0.54761905  0.3125      0.63888889  0.703125    0.5625
  0.80208333  0.82291667  0.65        0.22619048  0.55        0.78125     0.75
  0.49        0.79761905  0.71        0.36        0.88095238  0.53125
  0.5952381   0.63095238  0.75        0.5952381   0.91666667  0.38095238
  0.9375      0.78125     0.875       0.89285714  0.5         0.45833333
  0.65625     0.57291667  0.66        0.72916667  0.5         0.69791667
  0.73809524]"
4,BNU_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,LR,0.612244897959,0.0759501798609,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.711,0.101138518874,"[ 0.8   0.7   0.6   0.6   0.65  0.8   0.85  0.65  0.85  0.7   0.6   0.9
  0.6   0.5   0.6   0.75  0.7   0.65  0.6   0.6   0.45  0.9   0.65  0.75
  0.75  0.6   0.75  0.75  0.6   0.8   0.75  0.75  0.75  0.8   0.85  0.8
  0.6   0.85  0.65  0.8   0.75  0.7   0.7   0.6   0.65  0.75  0.8   0.85
  0.7   0.75]",0.713775510204,0.103477667199,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.752710119048,0.141872293047,"[ 0.94791667  0.8         0.67        0.58333333  0.63541667  0.78125
  0.88541667  0.75        0.94047619  0.77083333  0.86904762  0.89
  0.453125    0.53571429  0.48958333  1.          0.296875    0.734375
  0.69791667  0.76041667  0.53        0.86904762  0.62        0.73958333
  0.77083333  0.56        0.79761905  0.76        0.71        0.67857143
  0.89583333  0.67857143  0.73809524  0.71875     0.95238095  0.84375
  0.70238095  0.921875    0.72916667  0.875       0.86904762  0.890625
  0.78125     0.67708333  0.73958333  0.82        0.95833333  0.87
  0.70833333  0.73809524]"
5,BNU_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,SGD,0.65306122449,0.107995205938,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.634,0.159511755053,"[ 0.55  0.75  0.7   0.65  0.7   0.2   0.4   0.8   0.9   0.8   0.5   0.75
  0.45  0.4   0.65  0.4   0.45  0.65  0.5   0.65  0.5   0.85  0.65  0.65
  0.6   0.65  0.75  0.55  0.7   0.7   0.75  0.35  0.8   0.8   0.3   0.85
  0.55  0.5   0.7   0.8   0.75  0.45  0.85  0.65  0.8   0.7   0.8   0.5
  0.6   0.75]",0.725170068027,0.0974627057565,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.741643849206,0.161263540936,"[ 0.95833333  0.82        0.65        0.58333333  0.5         0.5
  0.88541667  0.75        0.94047619  0.91666667  0.85714286  0.89
  0.546875    0.5         0.48958333  0.97222222  0.359375    0.765625
  0.69791667  0.77083333  0.46        0.29761905  0.62        0.73958333
  0.77083333  0.56        0.79761905  0.76        0.84        0.6547619
  0.89583333  0.78571429  0.72619048  0.66666667  0.95238095  0.84375
  0.69047619  0.921875    0.77083333  0.88541667  0.88095238  0.890625
  0.84375     0.67708333  0.70833333  0.82        0.95833333  0.78
  0.70833333  0.82142857]"
6,BNU_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,LR,0.663265306122,0.118521675919,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.654,0.135587610053,"[ 0.6   0.8   0.65  0.45  0.3   0.55  0.75  0.7   0.7   0.55  0.75  0.75
  0.5   0.6   0.55  0.5   0.7   0.75  0.65  0.6   0.5   0.7   0.65  0.6
  0.65  0.4   0.65  0.7   0.5   0.9   0.6   0.85  0.8   0.4   0.85  0.9
  0.5   0.9   0.6   0.7   0.75  0.9   0.6   0.65  0.75  0.7   0.55  0.75
  0.65  0.65]",0.674659863946,0.135501704683,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.664168452381,0.182460774565,"[ 0.86458333  0.67        0.61        0.4375      0.3125      0.703125
  0.90625     0.78        0.75        0.625       0.78571429  0.89
  0.453125    0.52380952  0.41666667  1.          0.296875    0.515625
  0.82291667  0.72916667  0.64        0.70238095  0.84        0.73958333
  0.60416667  0.37        0.66666667  0.7         0.46        0.78571429
  0.45833333  0.88095238  0.8452381   0.26041667  0.82142857  0.89583333
  0.55952381  0.75        0.70833333  0.83333333  0.83333333  0.734375
  0.4375      0.41666667  0.79166667  0.75        0.70833333  0.77
  0.77083333  0.38095238]"
7,BNU_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,SGD,0.673469387755,0.0506105990516,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.579,0.148690954668,"[ 0.55  0.7   0.3   0.6   0.45  0.3   0.75  0.45  0.75  0.55  0.65  0.5
  0.45  0.5   0.55  0.25  0.5   0.5   0.7   0.75  0.6   0.55  0.65  0.65
  0.55  0.65  0.65  0.6   0.45  0.75  0.4   0.35  0.85  0.55  0.75  0.9
  0.35  0.6   0.65  0.4   0.5   0.55  0.7   0.75  0.35  0.6   0.65  0.8
  0.75  0.65]",0.722066326531,0.130483242694,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.612505059524,0.182416838988,"[ 0.82291667  0.25        0.5         0.5         0.375       0.71875
  0.92708333  0.49        0.83333333  0.63541667  0.8452381   0.5         0.40625
  0.47619048  0.640625    0.5         0.640625    0.4453125   0.8125
  0.71875     0.475       0.85714286  0.5         0.76041667  0.44791667
  0.5         0.72619048  0.5         0.53        0.72619048  0.44791667
  0.5         0.5         0.45833333  0.82142857  0.90625     0.55952381
  0.75        0.86458333  0.5         0.38095238  0.5         0.85416667
  0.86458333  0.5         0.775       0.38020833  0.34        0.66145833
  1.        ]"
8,BNU_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,LR,0.714285714286,0.117369119465,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.645,0.116297033496,"[ 0.75  0.55  0.65  0.7   0.55  0.55  0.6   0.6   0.65  0.55  0.75  0.7
  0.5   0.55  0.35  0.8   0.6   0.6   0.5   0.75  0.45  0.65  0.75  0.65
  0.7   0.5   0.7   0.65  0.5   0.75  0.55  0.45  0.8   0.85  0.6   0.6
  0.55  0.85  0.75  0.75  0.7   0.6   0.55  0.65  0.7   0.65  0.8   0.9
  0.6   0.8 ]",0.780357142857,0.122728077971,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.713141666667,0.154783230463,"[ 0.85416667  0.5         0.71        0.82291667  0.55208333  0.484375
  0.67708333  0.78        0.75        0.48958333  0.85714286  0.74        0.40625
  0.63095238  0.34375     0.66666667  0.59375     0.65625     0.72916667
  0.86458333  0.61        0.51190476  0.85        0.84375     0.84375     0.63
  0.80952381  0.75        0.48        0.83333333  0.76041667  0.35714286
  0.88095238  0.91666667  0.83333333  0.66666667  0.73809524  0.953125
  0.82291667  0.76041667  0.70238095  0.6875      0.46875     0.80208333
  0.83333333  0.76        0.95833333  0.92        0.71875     0.8452381 ]"
9,BNU_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,SGD,0.69387755102,0.101278330353,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.623,0.134985184372,"[ 0.6   0.5   0.5   0.75  0.75  0.4   0.55  0.65  0.65  0.55  0.65  0.65
  0.6   0.6   0.35  0.6   0.55  0.55  0.65  0.85  0.55  0.55  0.8   0.65
  0.85  0.4   0.6   0.7   0.45  0.8   0.6   0.25  0.75  0.9   0.8   0.6
  0.6   0.6   0.9   0.75  0.55  0.55  0.65  0.55  0.65  0.5   0.75  0.7
  0.5   0.7 ]",0.796088435374,0.0824790745265,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.776157539683,0.134793880109,"[ 0.9375      0.92        0.64        0.65625     0.78125     0.625
  0.76041667  0.93        0.86904762  0.70833333  0.86904762  0.84        0.46875
  0.8452381   0.55208333  0.63888889  0.515625    0.671875    0.67708333
  0.71875     0.41        0.80952381  0.86        0.80208333  0.79166667
  0.77        0.85714286  0.72        0.56        0.92857143  0.75
  0.63095238  0.77380952  0.85416667  0.85714286  0.69791667  0.9047619   1.
  0.73958333  0.85416667  0.85714286  0.9375      0.98958333  0.73958333
  0.84375     0.83        0.94791667  0.75        0.73958333  0.97619048]"
