,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_ROIv_scale60,mean,bag_of_edges,standard,LR,0.673469387755,0.0868912818865,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.667,0.153495928285,"[ 0.85  0.6   0.8   0.75  0.4   0.45  0.8   0.55  0.6   0.55  0.55  0.7
  0.65  0.4   0.7   0.85  0.85  0.45  0.85  0.9   0.7   0.35  0.75  0.7
  0.5   0.55  0.75  0.85  0.6   0.75  0.6   0.35  0.8   0.9   0.5   0.85
  0.55  0.85  0.8   0.55  0.55  0.65  0.8   0.6   0.8   0.9   0.7   0.5
  0.7   0.65]",0.72074829932,0.0794048056147,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.706166865079,0.192532238197,"[ 0.875       0.69        0.82        0.76041667  0.5         0.484375
  0.875       0.65        0.58333333  0.57291667  0.60714286  0.79        0.6875
  0.30952381  0.6875      0.86111111  0.96875     0.296875    1.
  0.97916667  0.84        0.1547619   0.75        0.86458333  0.59375     0.68
  0.8452381   0.87        0.7         0.67857143  0.5625      0.36904762
  0.83333333  0.97916667  0.47619048  0.89583333  0.76190476  0.96875
  0.92708333  0.63541667  0.48809524  0.578125    0.63541667  0.69791667
  0.8125      0.99        0.78125     0.54        0.78125     0.61904762]"
1,BNU_1_proba_csa_con_ROIv_scale60,mean,bag_of_edges,standard,SGD,0.744897959184,0.0573610992757,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.649,0.136926987844,"[ 0.75  0.6   0.6   0.65  0.35  0.8   0.85  0.5   0.55  0.55  0.65  0.85
  0.45  0.55  0.65  0.7   0.8   0.65  0.7   0.65  0.7   0.4   0.8   0.75
  0.7   0.6   0.7   0.9   0.7   0.8   0.6   0.45  0.55  0.7   0.35  0.6
  0.7   0.75  0.6   0.6   0.3   0.5   0.6   0.75  0.75  0.9   0.7   0.65
  0.75  0.75]",0.783843537415,0.0638689791254,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.59816547619,0.171269518824,"[ 0.82291667  0.68        0.69        0.29166667  0.3125      0.6875
  0.82291667  0.62        0.16666667  0.67708333  0.51190476  0.61
  0.609375    0.23809524  0.91666667  0.25        0.609375    0.5625
  0.47916667  0.85416667  0.84        0.45238095  0.59        0.58333333
  0.77083333  0.61        0.67857143  0.59        0.68        0.80952381
  0.4375      0.21428571  0.69047619  0.75        0.72619048  0.71875
  0.53571429  0.625       0.76041667  0.6875      0.60714286  0.5
  0.64583333  0.60416667  0.54166667  0.6         0.54166667  0.37
  0.73958333  0.5952381 ]"
2,BNU_1_proba_csa_con_ROIv_scale60,mean,degrees,standard,LR,0.551020408163,0.235471451714,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.537,0.13031116606,"[ 0.6   0.5   0.75  0.7   0.45  0.4   0.6   0.4   0.4   0.65  0.5   0.65
  0.55  0.2   0.5   0.4   0.5   0.65  0.45  0.75  0.4   0.45  0.4   0.85
  0.65  0.4   0.55  0.4   0.65  0.55  0.4   0.65  0.35  0.5   0.7   0.6
  0.6   0.65  0.75  0.45  0.5   0.5   0.75  0.5   0.45  0.6   0.5   0.4
  0.45  0.65]",0.568367346939,0.157168149045,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.581041071429,0.179371366462,"[ 0.875       0.51        0.74        0.82291667  0.48958333  0.25
  0.72916667  0.43        0.48809524  0.6875      0.36904762  0.72        0.875
  0.1547619   0.5         0.58333333  0.4375      0.625       0.82291667
  0.75        0.66        0.14285714  0.5         0.64583333  0.55208333
  0.54        0.77380952  0.52        0.53        0.6547619   0.5
  0.57142857  0.28571429  0.41666667  0.75        0.48958333  0.60714286
  0.84375     0.79166667  0.61458333  0.52380952  0.453125    0.59375
  0.66666667  0.64583333  0.97        0.45833333  0.47        0.35416667
  0.66666667]"
3,BNU_1_proba_csa_con_ROIv_scale60,mean,degrees,standard,SGD,0.612244897959,0.103716401559,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.521,0.140388745988,"[ 0.65  0.5   0.55  0.6   0.7   0.25  0.6   0.3   0.65  0.5   0.5   0.55
  0.5   0.4   0.5   0.6   0.5   0.2   0.5   0.75  0.6   0.25  0.5   0.45
  0.6   0.55  0.7   0.65  0.6   0.8   0.6   0.2   0.45  0.55  0.4   0.65
  0.25  0.55  0.65  0.75  0.6   0.3   0.45  0.6   0.5   0.55  0.5   0.5
  0.4   0.6 ]",0.630017006803,0.158213635367,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.564871230159,0.175748958984,"[ 0.76041667  0.47        0.62        0.5         0.47916667  0.21875     0.5
  0.41        0.36904762  0.66666667  0.54761905  0.68        0.671875
  0.45238095  0.375       0.88888889  0.671875    0.140625    0.72916667
  0.8125      0.69        0.01190476  0.54        0.65625     0.5         0.52
  0.85714286  0.58        0.44        0.73809524  0.60416667  0.30952381
  0.46428571  0.61458333  0.44047619  0.63541667  0.63095238  0.875       0.6875
  0.82291667  0.53571429  0.34375     0.5625      0.58333333  0.58333333
  0.71        0.63541667  0.56        0.55208333  0.5952381 ]"
4,BNU_1_proba_csa_con_ROIv_scale60,mean,closeness_centrality,standard,LR,0.581632653061,0.117477498109,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.547,0.122641754717,"[ 0.85  0.5   0.65  0.55  0.55  0.4   0.5   0.7   0.55  0.45  0.7   0.65
  0.65  0.4   0.4   0.65  0.5   0.5   0.45  0.55  0.7   0.4   0.5   0.65
  0.6   0.45  0.55  0.85  0.55  0.5   0.5   0.45  0.65  0.6   0.7   0.7
  0.5   0.6   0.65  0.65  0.55  0.4   0.4   0.45  0.65  0.5   0.35  0.25
  0.4   0.5 ]",0.630102040816,0.12330530715,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.58973234127,0.158609700666,"[ 0.85416667  0.53        0.59        0.63541667  0.55208333  0.46875
  0.44791667  0.61        0.55952381  0.45833333  0.67857143  0.63
  0.703125    0.4047619   0.51041667  0.86111111  0.84375     0.4375      0.625
  0.54166667  0.73        0.21428571  0.61        0.6875      0.57291667
  0.42        0.70238095  0.93        0.62        0.36904762  0.48958333
  0.60714286  0.61904762  0.8125      0.54761905  0.76041667  0.5952381
  0.921875    0.75        0.60416667  0.48809524  0.578125    0.44791667
  0.39583333  0.8125      0.57        0.4375      0.23        0.4375
  0.58333333]"
5,BNU_1_proba_csa_con_ROIv_scale60,mean,closeness_centrality,standard,SGD,0.65306122449,0.110332083218,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.549,0.128642916634,"[ 0.9   0.6   0.7   0.6   0.55  0.3   0.5   0.7   0.45  0.5   0.7   0.65
  0.7   0.4   0.4   0.6   0.65  0.5   0.45  0.6   0.65  0.35  0.55  0.5
  0.4   0.5   0.5   0.8   0.55  0.4   0.45  0.45  0.6   0.6   0.6   0.65
  0.55  0.5   0.75  0.65  0.6   0.5   0.6   0.45  0.8   0.5   0.45  0.35
  0.4   0.35]",0.675255102041,0.138108471665,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.591442261905,0.15967321453,"[ 0.89583333  0.48        0.62        0.5625      0.53125     0.421875
  0.44791667  0.7         0.58333333  0.35416667  0.67857143  0.61        0.78125
  0.4047619   0.55208333  0.83333333  0.8125      0.515625    0.59375
  0.78125     0.74        0.23809524  0.64        0.59375     0.44791667
  0.44        0.63095238  0.92        0.64        0.45238095  0.5
  0.55952381  0.52380952  0.78125     0.57142857  0.73958333  0.57142857
  0.921875    0.79166667  0.57291667  0.53571429  0.53125     0.47916667
  0.36458333  0.82291667  0.61        0.61458333  0.28        0.38541667
  0.51190476]"
6,BNU_1_proba_csa_con_ROIv_scale60,mean,betweenness_centrality,standard,LR,0.469387755102,0.0908105937195,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.424,0.147729482501,"[ 0.6  0.5  0.5  0.4  0.4  0.8  0.6  0.5  0.3  0.4  0.3  0.5  0.2  0.3  0.4
  0.1  0.2  0.2  0.6  0.4  0.5  0.3  0.5  0.6  0.6  0.5  0.3  0.5  0.5  0.3
  0.4  0.7  0.3  0.4  0.3  0.4  0.7  0.2  0.4  0.4  0.3  0.2  0.4  0.4  0.6
  0.5  0.4  0.5  0.6  0.3]",0.530102040816,0.083182539188,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.527562301587,0.140243023383,"[ 0.57291667  0.61        0.3         0.27083333  0.39583333  0.65625
  0.375       0.57        0.77380952  0.36458333  0.60714286  0.57
  0.453125    0.39285714  0.51041667  0.55555556  0.546875    0.296875
  0.76041667  0.36458333  0.47        0.30952381  0.34        0.53125
  0.57291667  0.41        0.42857143  0.46        0.43        0.48809524
  0.51041667  0.55952381  0.45238095  0.53125     0.75        0.54166667
  0.69047619  0.875       0.5         0.6875      0.48809524  0.390625
  0.63541667  0.51041667  0.65625     0.75        0.73958333  0.42
  0.63541667  0.66666667]"
7,BNU_1_proba_csa_con_ROIv_scale60,mean,betweenness_centrality,standard,SGD,0.602040816327,0.11599088307,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.39,0.160934769394,"[ 0.7   0.6   0.3   0.45  0.5   0.2   0.35  0.55  0.25  0.5   0.3   0.7
  0.2   0.2   0.4   0.1   0.2   0.15  0.45  0.2   0.45  0.35  0.3   0.3
  0.4   0.45  0.25  0.4   0.25  0.3   0.65  0.3   0.2   0.35  0.35  0.35
  0.3   0.2   0.75  0.5   0.35  0.3   0.7   0.55  0.4   0.65  0.6   0.5
  0.45  0.3 ]",0.6,0.181309367476,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.51894265873,0.151434279171,"[ 0.61458333  0.52        0.26        0.38541667  0.26041667  0.75
  0.54166667  0.63        0.55952381  0.25        0.63095238  0.57        0.53125
  0.51190476  0.58333333  0.88888889  0.5         0.421875    0.38541667
  0.46875     0.47        0.23809524  0.39        0.35416667  0.30208333
  0.52        0.73809524  0.51        0.47        0.42857143  0.38541667
  0.55952381  0.47619048  0.65625     0.51190476  0.55208333  0.58333333
  1.          0.61458333  0.45833333  0.64285714  0.28125     0.53125     0.5
  0.64583333  0.61        0.55208333  0.42        0.61458333  0.66666667]"
8,BNU_1_proba_csa_con_ROIv_scale60,mean,eigenvector_centrality,standard,LR,0.5,0.185500487436,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.487,0.133719856416,"[ 0.4   0.2   0.45  0.35  0.55  0.35  0.7   0.4   0.6   0.65  0.5   0.35
  0.6   0.35  0.6   0.4   0.55  0.35  0.65  0.7   0.5   0.45  0.5   0.65
  0.4   0.55  0.7   0.4   0.6   0.55  0.45  0.3   0.5   0.45  0.3   0.55
  0.4   0.5   0.55  0.7   0.8   0.4   0.45  0.55  0.55  0.2   0.6   0.3
  0.4   0.4 ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,BNU_1_proba_csa_con_ROIv_scale60,mean,eigenvector_centrality,standard,SGD,0.571428571429,0.167176092205,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.453,0.158243483278,"[ 0.45  0.4   0.6   0.5   0.65  0.3   0.7   0.4   0.4   0.65  0.5   0.5
  0.2   0.3   0.9   0.3   0.45  0.3   0.65  0.55  0.5   0.15  0.5   0.45
  0.3   0.4   0.35  0.6   0.55  0.45  0.6   0.3   0.5   0.55  0.3   0.35
  0.2   0.25  0.55  0.45  0.45  0.4   0.55  0.65  0.25  0.5   0.7   0.6
  0.1   0.45]",0.552806122449,0.221797787665,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510943650794,0.159411006752,"[ 0.54166667  0.34        0.64        0.57291667  0.52083333  0.359375
  0.59375     0.47        0.66666667  0.63541667  0.4047619   0.58        0.53125
  0.13095238  0.76041667  0.77777778  0.328125    0.421875    0.72916667
  0.69791667  0.68        0.20238095  0.52        0.53125     0.54166667
  0.35        0.46428571  0.56        0.5         0.79761905  0.64583333
  0.33333333  0.44047619  0.58333333  0.60714286  0.47916667  0.16666667
  0.390625    0.5625      0.39583333  0.27380952  0.4375      0.6875
  0.72916667  0.27083333  0.51        0.58333333  0.67        0.32291667
  0.60714286]"
