,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.80612244898,0.11089687338,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.74,0.128452325787,"[ 0.55  0.7   0.4   0.6   0.6   0.85  0.9   0.6   0.9   0.7   0.85  0.6
  0.8   0.65  0.85  0.7   0.75  0.6   0.7   0.75  0.75  0.45  0.8   1.    0.6
  0.65  0.8   0.9   0.65  0.85  0.7   0.9   0.85  0.85  0.55  0.8   0.85
  0.7   0.75  0.65  0.9   0.65  0.7   0.65  0.95  0.8   0.75  0.8   0.8
  0.9 ]",0.859778911565,0.089759461491,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.827674404762,0.144794054697,"[ 0.61458333  0.84        0.45        0.65625     0.61458333  0.9375
  0.97916667  0.75        0.98809524  0.63541667  0.91666667  0.78
  0.984375    0.46428571  0.88541667  0.83333333  1.          0.75
  0.77083333  0.875       0.92        0.45238095  0.78        1.
  0.69791667  0.88        0.8452381   0.93        0.81        0.95238095
  0.80208333  0.97619048  0.91666667  1.          0.5952381   0.89583333
  0.9047619   0.890625    1.          0.78125     0.85714286  0.828125
  0.80208333  0.66666667  0.97916667  0.86        0.92708333  0.88        0.875
  0.95238095]"
1,BNU_1_proba_csa_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.795918367347,0.0885465026527,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.66,0.139283882772,"[ 0.7   0.7   0.55  0.75  0.35  0.6   0.75  0.7   0.8   0.65  0.7   0.7
  0.45  0.6   0.9   0.75  0.7   0.9   0.65  0.7   0.5   0.3   0.55  0.7
  0.5   0.55  0.5   0.7   0.75  0.7   0.65  0.65  0.65  0.6   0.55  0.6
  0.85  0.75  0.95  0.85  0.5   0.4   0.65  0.85  0.75  0.9   0.65  0.55
  0.7   0.6 ]",0.900680272109,0.0520317563587,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.829491468254,0.148632075375,"[ 0.78125     0.68        0.85        0.61458333  0.53125     0.90625     1.
  0.73        0.97619048  0.8125      0.83333333  0.82        0.875
  0.33333333  1.          0.80555556  1.          0.75        1.
  0.98958333  0.89        0.41666667  0.7         0.95833333  0.88541667
  0.89        0.96428571  0.87        0.71        1.          0.67708333
  0.89285714  0.94047619  0.86458333  0.67857143  0.91666667  0.83333333
  0.953125    0.92708333  0.875       0.89285714  0.71875     0.64583333
  0.79166667  1.          0.99        0.72916667  0.76        0.88541667
  0.92857143]"
2,BNU_1_proba_csa_con_aparc150+subcort,mean,degrees,standard,LR,0.612244897959,0.0883699391617,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.643,0.109091704543,"[ 0.7   0.65  0.65  0.7   0.65  0.6   0.75  0.65  0.75  0.75  0.7   0.75
  0.5   0.35  0.8   0.7   0.8   0.55  0.6   0.6   0.55  0.4   0.6   0.6
  0.6   0.6   0.65  0.8   0.65  0.9   0.75  0.45  0.7   0.7   0.65  0.7
  0.75  0.75  0.65  0.6   0.55  0.55  0.5   0.45  0.75  0.7   0.5   0.6
  0.7   0.6 ]",0.742602040816,0.136759797231,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.752094642857,0.141705762399,"[ 0.73958333  0.69        0.63        0.6875      0.85416667  0.84375
  0.89583333  0.64        0.97619048  0.66666667  0.80952381  0.73
  0.578125    0.42857143  0.82291667  0.83333333  0.765625    0.5
  0.77083333  0.75        0.75        0.36904762  0.81        0.85416667
  0.58333333  0.75        1.          0.75        0.67        1.
  0.63541667  0.80952381  0.83333333  0.86458333  0.72619048  0.80208333
  0.9047619   0.9375      0.72916667  0.89583333  0.88095238  0.703125
  0.58333333  0.54166667  0.97916667  0.79        0.67708333  0.58
  0.92708333  0.6547619 ]"
3,BNU_1_proba_csa_con_aparc150+subcort,mean,degrees,standard,SGD,0.714285714286,0.10296070624,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.618,0.172267234261,"[ 0.65  0.7   0.5   0.8   0.55  0.2   0.75  0.55  0.7   0.8   0.75  0.65
  0.4   0.3   0.9   0.15  0.4   0.5   0.65  0.65  0.6   0.5   0.75  0.7
  0.6   0.5   0.75  0.65  0.6   0.9   0.65  0.3   0.8   0.8   0.55  0.75
  0.4   0.75  0.75  0.8   0.75  0.3   0.55  0.6   0.7   0.6   0.75  0.7
  0.5   0.8 ]",0.803826530612,0.112176047607,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.730090873016,0.146176173476,"[ 0.76041667  0.63        0.7         0.66666667  0.8125      0.78125
  0.91666667  0.67        0.8452381   0.70833333  0.63095238  0.75        0.625
  0.39285714  0.86458333  0.97222222  0.75        0.4375      0.79166667
  0.53125     0.74        0.4047619   0.7         0.84375     0.51041667
  0.84        1.          0.74        0.73        0.94047619  0.63541667
  0.82142857  0.75        0.85416667  0.51190476  0.77083333  0.86904762
  0.890625    0.85416667  0.96875     0.85714286  0.734375    0.53125
  0.53125     0.70833333  0.81        0.54166667  0.7         0.82291667
  0.6547619 ]"
4,BNU_1_proba_csa_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.489795918367,0.137841158977,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.46,0.108166538264,"[ 0.5   0.55  0.45  0.4   0.5   0.45  0.55  0.4   0.55  0.65  0.35  0.55
  0.4   0.35  0.5   0.45  0.5   0.4   0.4   0.6   0.4   0.3   0.5   0.6
  0.55  0.5   0.35  0.25  0.5   0.35  0.25  0.45  0.4   0.7   0.3   0.5
  0.45  0.3   0.6   0.55  0.5   0.3   0.5   0.3   0.7   0.45  0.55  0.45
  0.55  0.4 ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,BNU_1_proba_csa_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.540816326531,0.111831851856,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.478,0.130445390873,"[ 0.55  0.65  0.65  0.5   0.45  0.3   0.5   0.5   0.6   0.65  0.35  0.65
  0.45  0.35  0.5   0.35  0.45  0.45  0.35  0.5   0.1   0.35  0.45  0.65
  0.55  0.45  0.4   0.25  0.6   0.5   0.55  0.5   0.25  0.8   0.3   0.5
  0.5   0.4   0.55  0.6   0.55  0.3   0.5   0.45  0.6   0.5   0.65  0.55
  0.5   0.3 ]",0.556462585034,0.152217781929,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.419286309524,0.17487083775,"[ 0.30208333  0.68        0.51        0.38541667  0.15625     0.4375
  0.58333333  0.37        0.45238095  0.34375     0.41666667  0.6         0.46875
  0.35714286  0.59375     0.83333333  0.234375    0.21875     0.34375
  0.51041667  0.14        0.0952381   0.47        0.53125     0.52083333
  0.35        0.53571429  0.16        0.61        0.45238095  0.17708333
  0.5         0.26190476  0.80208333  0.38095238  0.34375     0.58333333
  0.5625      0.53125     0.47916667  0.57142857  0.21875     0.375       0.1875
  0.625       0.55        0.22916667  0.47        0.41666667  0.03571429]"
6,BNU_1_proba_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.479591836735,0.051975193163,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.402,0.134149170702,"[ 0.5   0.65  0.1   0.4   0.4   0.3   0.1   0.25  0.45  0.4   0.3   0.5
  0.2   0.3   0.45  0.4   0.35  0.2   0.6   0.4   0.2   0.4   0.5   0.45
  0.3   0.4   0.3   0.5   0.3   0.45  0.4   0.6   0.3   0.2   0.4   0.35
  0.3   0.6   0.65  0.45  0.3   0.4   0.55  0.6   0.55  0.4   0.4   0.5
  0.5   0.6 ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,BNU_1_proba_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.530612244898,0.0908105937195,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.416,0.143331782937,"[ 0.4  0.5  0.5  0.6  0.4  0.2  0.4  0.5  0.3  0.6  0.3  0.5  0.2  0.3  0.6
  0.1  0.2  0.2  0.4  0.6  0.5  0.3  0.5  0.4  0.4  0.5  0.3  0.5  0.5  0.3
  0.6  0.3  0.3  0.6  0.3  0.6  0.3  0.2  0.6  0.6  0.3  0.2  0.6  0.6  0.4
  0.5  0.6  0.5  0.4  0.3]",0.521173469388,0.106496019478,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.453111309524,0.152462173551,"[ 0.25        0.33        0.31        0.61458333  0.44791667  0.625
  0.35416667  0.36        0.4047619   0.42708333  0.5         0.68        0.40625
  0.23809524  0.21875     0.          0.53125     0.515625    0.47916667
  0.58333333  0.47        0.30952381  0.49        0.47916667  0.375       0.46
  0.38095238  0.25        0.62        0.55952381  0.53125     0.39285714
  0.41666667  0.47916667  0.66666667  0.28125     0.45238095  0.609375
  0.77083333  0.60416667  0.78571429  0.234375    0.54166667  0.52083333
  0.57291667  0.44        0.48958333  0.41        0.58333333  0.20238095]"
8,BNU_1_proba_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.642857142857,0.0597614304667,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.658,0.134298175714,"[ 0.7   0.65  0.6   0.65  0.75  0.7   0.45  0.55  0.7   0.8   0.6   0.65
  0.35  0.6   0.9   0.6   0.8   0.5   0.7   0.45  0.6   0.6   0.6   0.9
  0.7   0.55  0.8   0.55  0.7   0.9   0.6   0.7   0.85  0.8   0.7   0.7
  0.7   0.45  0.5   0.75  0.8   0.4   0.4   0.55  0.8   0.85  0.6   0.7
  0.7   0.75]",0.721513605442,0.109169642618,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.68489781746,0.166503242549,"[ 0.80208333  0.61        0.57        0.67708333  0.80208333  0.796875
  0.53125     0.61        0.76190476  0.70833333  0.47619048  0.7         0.265625
  0.45238095  0.95833333  0.61111111  0.84375     0.296875    0.72916667
  0.40625     0.68        0.48809524  0.51        0.96875     0.71875     0.43
  0.8452381   0.71        0.75        1.          0.59375     0.75
  0.88095238  0.84375     0.72619048  0.77083333  0.71428571  0.71875
  0.80208333  0.85416667  0.75        0.625       0.42708333  0.51041667
  0.91666667  0.76        0.72916667  0.62        0.875       0.66666667]"
9,BNU_1_proba_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.683673469388,0.0864708538787,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.684,0.12587295182,"[ 0.7   0.65  0.6   0.7   0.7   0.6   0.5   0.6   0.75  0.8   0.6   0.7
  0.4   0.6   0.9   0.65  0.85  0.45  0.7   0.45  0.75  0.7   0.6   0.8
  0.7   0.65  0.85  0.6   0.8   0.9   0.7   0.7   0.9   0.75  0.7   0.7
  0.55  0.45  0.55  0.8   0.8   0.5   0.55  0.6   0.75  0.85  0.7   0.7
  0.85  0.85]",0.76556122449,0.108063260657,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.618945436508,0.190472625713,"[ 0.79166667  0.58        0.53        0.67708333  0.84375     0.8125
  0.51041667  0.72        0.72619048  0.64583333  0.46428571  0.68        0.1875
  0.36904762  0.89583333  0.77777778  0.75        0.109375    0.66666667
  0.20833333  0.68        0.44047619  0.31        0.88541667  0.64583333
  0.34        0.79761905  0.62        0.8         0.97619048  0.55208333
  0.35714286  0.5952381   0.66666667  0.6547619   0.75        0.6547619
  0.375       0.85416667  0.76041667  0.69047619  0.625       0.44791667
  0.55208333  0.80208333  0.62        0.58333333  0.57        0.82291667
  0.57142857]"
