,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csa_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.734693877551,0.0599354087983,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.672,0.130828131531,"[ 0.85  0.5   0.7   0.8   0.55  0.55  0.75  0.6   0.5   0.55  0.5   0.75
  0.6   0.5   0.6   0.85  0.7   0.6   0.9   0.8   0.7   0.45  0.7   0.7
  0.6   0.55  0.7   0.65  0.65  0.75  0.7   0.35  0.65  0.95  0.65  0.7
  0.55  0.75  0.9   0.7   0.5   0.7   0.75  0.6   0.75  1.    0.65  0.7
  0.65  0.8 ]",0.770578231293,0.0798312072917,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.725900396825,0.185549331245,"[ 0.83333333  0.57        0.84        0.6875      0.64583333  0.515625
  0.875       0.68        0.67857143  0.53125     0.66666667  0.78
  0.609375    0.33333333  0.65625     0.88888889  0.75        0.34375     1.
  0.95833333  0.76        0.08333333  0.89        0.92708333  0.59375     0.77
  0.85714286  0.79        0.61        0.76190476  0.61458333  0.36904762
  0.86904762  0.98958333  0.73809524  0.76041667  0.72619048  0.953125
  0.92708333  0.70833333  0.54761905  0.578125    0.82291667  0.71875
  0.92708333  1.          0.82291667  0.67        0.84375     0.82142857]"
1,BNU_1_proba_csa_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.724489795918,0.0814482043177,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.639,0.132018938035,"[ 0.8   0.55  0.65  0.6   0.6   0.55  0.7   0.55  0.55  0.5   0.65  0.75
  0.55  0.6   0.6   0.75  0.55  0.6   0.8   0.7   0.8   0.25  0.6   0.9
  0.55  0.55  0.6   0.55  0.5   0.75  0.85  0.45  0.55  0.9   0.75  0.65
  0.5   0.9   0.7   0.65  0.45  0.6   0.65  0.6   0.75  0.85  0.55  0.5
  0.8   0.65]",0.786649659864,0.0726148007728,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.697593055556,0.17736238454,"[ 0.83333333  0.55        0.86        0.66666667  0.72916667  0.46875
  0.83333333  0.72        0.76190476  0.52083333  0.69047619  0.79
  0.640625    0.4047619   0.61458333  0.77777778  0.65625     0.34375
  0.9375      0.9375      0.77        0.11904762  0.85        0.80208333
  0.47916667  0.7         0.72619048  0.7         0.51        0.69047619
  0.65625     0.22619048  0.73809524  1.          0.76190476  0.69791667
  0.71428571  0.90625     0.86458333  0.66666667  0.55952381  0.6875
  0.83333333  0.66666667  0.84375     0.92        0.91666667  0.56
  0.80208333  0.77380952]"
2,BNU_1_proba_csa_con_aparc68+subcort,mean,degrees,standard,LR,0.581632653061,0.154385802998,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.594,0.1508774337,"[ 0.8   0.5   0.7   0.6   0.45  0.3   0.65  0.3   0.5   0.5   0.5   0.8
  0.75  0.35  0.7   0.7   0.6   0.35  0.75  0.75  0.7   0.25  0.8   0.65
  0.65  0.75  0.65  0.45  0.6   0.75  0.55  0.5   0.6   0.55  0.5   0.7
  0.75  0.75  0.5   0.55  0.7   0.4   0.45  0.65  0.75  0.9   0.6   0.45
  0.4   0.65]",0.614115646259,0.110771286935,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.630155952381,0.188167601037,"[ 0.80208333  0.48        0.77        0.6875      0.51041667  0.484375
  0.53125     0.29        0.55952381  0.64583333  0.41666667  0.69
  0.890625    0.23809524  0.6875      1.          0.40625     0.3125
  0.79166667  0.64583333  0.77        0.10714286  0.64        0.79166667
  0.4375      0.51        0.83333333  0.54        0.56        0.8452381
  0.5625      0.5952381   0.60714286  0.65625     0.61904762  0.52083333
  0.80952381  0.875       0.75        0.65625     0.8452381   0.34375
  0.6875      0.70833333  0.78125     1.          0.61458333  0.67
  0.52083333  0.80952381]"
3,BNU_1_proba_csa_con_aparc68+subcort,mean,degrees,standard,SGD,0.622448979592,0.0762314637079,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.547,0.154728794993,"[ 0.75  0.55  0.7   0.45  0.4   0.35  0.55  0.25  0.6   0.65  0.5   0.8
  0.5   0.25  0.65  0.55  0.6   0.45  0.7   0.7   0.65  0.3   0.7   0.35
  0.55  0.4   0.4   0.4   0.5   0.65  0.5   0.2   0.75  0.4   0.55  0.7
  0.6   0.6   0.6   0.65  0.6   0.5   0.25  0.7   0.75  0.85  0.65  0.5
  0.45  0.7 ]",0.671428571429,0.0899475470732,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.607658531746,0.178512520282,"[ 0.80208333  0.44        0.69        0.625       0.53125     0.359375
  0.64583333  0.4         0.47619048  0.48958333  0.38095238  0.71        0.8125
  0.32142857  0.60416667  0.94444444  0.28125     0.28125     0.72916667
  0.72916667  0.74        0.1547619   0.83        0.71875     0.51041667
  0.74        0.88095238  0.51        0.51        0.60714286  0.60416667
  0.44047619  0.47619048  0.85416667  0.60714286  0.77083333  0.5952381
  0.890625    0.69791667  0.64583333  0.61904762  0.515625    0.53125
  0.65625     0.70833333  0.89        0.8125      0.57        0.375
  0.66666667]"
4,BNU_1_proba_csa_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.561224489796,0.157732938104,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.551,0.115969823661,"[ 0.7   0.45  0.4   0.5   0.55  0.4   0.7   0.5   0.55  0.55  0.65  0.85
  0.55  0.35  0.55  0.6   0.4   0.55  0.55  0.35  0.6   0.55  0.5   0.6
  0.6   0.5   0.6   0.65  0.6   0.55  0.45  0.55  0.75  0.65  0.4   0.8
  0.55  0.35  0.55  0.55  0.7   0.55  0.45  0.35  0.65  0.6   0.45  0.65
  0.4   0.7 ]",0.547534013605,0.167949291591,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.595808333333,0.170608506068,"[ 0.78125     0.39        0.44        0.65625     0.45833333  0.546875
  0.82291667  0.48        0.53571429  0.57291667  0.60714286  0.88
  0.890625    0.46428571  0.67708333  1.          0.765625    0.328125
  0.63541667  0.35416667  0.73        0.30952381  0.6         0.61458333
  0.64583333  0.44        0.82142857  0.72        0.62        0.28571429
  0.33333333  0.57142857  0.78571429  0.73958333  0.54761905  0.8125
  0.57142857  0.71875     0.53125     0.66666667  0.63095238  0.4375
  0.44791667  0.28125     0.57291667  0.74        0.625       0.74        0.34375
  0.61904762]"
5,BNU_1_proba_csa_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.591836734694,0.097364502568,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.557,0.142481577757,"[ 0.75  0.55  0.45  0.45  0.65  0.4   0.85  0.45  0.4   0.55  0.55  0.85
  0.55  0.35  0.5   0.45  0.4   0.4   0.65  0.45  0.65  0.5   0.7   0.65
  0.65  0.5   0.7   0.65  0.6   0.5   0.3   0.4   0.7   0.65  0.45  0.75
  0.5   0.6   0.5   0.7   0.8   0.4   0.45  0.4   0.55  0.65  0.45  0.75
  0.3   0.8 ]",0.590051020408,0.184324712725,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.616670833333,0.18432455121,"[ 0.78125     0.46        0.48        0.57291667  0.625       0.53125
  0.88541667  0.42        0.47619048  0.5         0.52380952  0.86        0.9375
  0.39285714  0.70833333  1.          0.765625    0.3125      0.66666667
  0.4375      0.76        0.30952381  0.76        0.58333333  0.69791667
  0.41        0.9047619   0.74        0.62        0.41666667  0.40625
  0.52380952  0.72619048  0.76041667  0.41666667  0.89583333  0.58333333
  0.9375      0.63541667  0.75        0.66666667  0.4375      0.40625
  0.38541667  0.65625     0.72        0.48958333  0.89        0.36458333
  0.64285714]"
6,BNU_1_proba_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.632653061224,0.139766536131,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.579,0.120867696263,"[ 0.7   0.7   0.5   0.5   0.55  0.55  0.6   0.5   0.6   0.5   0.45  0.85
  0.55  0.3   0.5   0.55  0.55  0.7   0.65  0.3   0.6   0.45  0.6   0.5
  0.7   0.5   0.55  0.65  0.6   0.5   0.4   0.55  0.8   0.65  0.5   0.65
  0.7   0.7   0.65  0.75  0.7   0.45  0.35  0.4   0.65  0.6   0.8   0.6
  0.65  0.65]",0.652891156463,0.173867415509,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.643543650794,0.186291799588,"[ 0.76041667  0.84        0.51        0.51041667  0.625       0.84375
  0.67708333  0.39        0.66666667  0.5625      0.6547619   0.92
  0.609375    0.10714286  0.70833333  0.77777778  1.          0.453125
  0.73958333  0.4375      0.7         0.42857143  0.72        0.46875
  0.78125     0.55        0.67857143  0.78        0.6         0.5
  0.35416667  0.72619048  0.78571429  0.63541667  0.5         0.78125
  0.79761905  1.          0.92708333  0.80208333  0.64285714  0.25
  0.48958333  0.44791667  0.61458333  0.7         0.95833333  0.49        0.75
  0.52380952]"
7,BNU_1_proba_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.683673469388,0.209049511758,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.559,0.12833160172,"[ 0.6   0.6   0.45  0.45  0.45  0.45  0.65  0.6   0.55  0.55  0.5   0.8
  0.65  0.25  0.5   0.45  0.4   0.55  0.6   0.55  0.6   0.55  0.5   0.5
  0.75  0.45  0.55  0.7   0.65  0.45  0.35  0.75  0.75  0.55  0.45  0.75
  0.7   0.6   0.55  0.65  0.7   0.15  0.4   0.6   0.6   0.7   0.7   0.5
  0.6   0.6 ]",0.671598639456,0.139460293191,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.569797619048,0.155192788565,"[ 0.34375     0.66        0.47        0.52083333  0.61458333  0.71875
  0.79166667  0.45        0.66666667  0.46875     0.52380952  0.78        0.5625
  0.14285714  0.58333333  0.58333333  0.71875     0.421875    0.54166667
  0.375       0.45        0.3452381   0.58        0.54166667  0.75        0.54
  0.54761905  0.71        0.67        0.52380952  0.42708333  0.66666667
  0.52380952  0.67708333  0.35714286  0.75        0.64285714  0.953125
  0.78125     0.77083333  0.57142857  0.34375     0.60416667  0.4375
  0.53125     0.61        0.89583333  0.43        0.47916667  0.44047619]"
8,BNU_1_proba_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.5,0.127330875782,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.493,0.132668760452,"[ 0.4   0.3   0.65  0.3   0.7   0.25  0.6   0.4   0.3   0.55  0.45  0.55
  0.75  0.45  0.55  0.6   0.35  0.35  0.65  0.35  0.5   0.4   0.35  0.4
  0.7   0.5   0.55  0.4   0.7   0.6   0.5   0.6   0.6   0.35  0.6   0.55
  0.25  0.4   0.7   0.55  0.4   0.4   0.6   0.4   0.45  0.6   0.55  0.35
  0.5   0.7 ]",0.501360544218,0.185741542099,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.49591031746,0.169147396284,"[ 0.57291667  0.27        0.57        0.51041667  0.77083333  0.125
  0.58333333  0.27        0.28571429  0.75        0.29761905  0.59        0.75
  0.30952381  0.65625     0.86111111  0.34375     0.640625    0.60416667
  0.52083333  0.55        0.0952381   0.35        0.54166667  0.625       0.5
  0.53571429  0.5         0.54        0.55952381  0.5         0.55952381
  0.39285714  0.4375      0.80952381  0.4375      0.13095238  0.390625
  0.6875      0.64583333  0.48809524  0.28125     0.61458333  0.48958333
  0.5         0.59        0.41666667  0.38        0.5         0.46428571]"
9,BNU_1_proba_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.540816326531,0.105304935921,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.499,0.137291660344,"[ 0.5   0.6   0.65  0.6   0.35  0.1   0.45  0.65  0.4   0.6   0.25  0.6
  0.55  0.5   0.7   0.6   0.25  0.4   0.3   0.6   0.5   0.5   0.35  0.55
  0.7   0.35  0.45  0.45  0.65  0.65  0.45  0.35  0.45  0.65  0.5   0.6
  0.4   0.55  0.6   0.7   0.25  0.35  0.45  0.55  0.55  0.7   0.6   0.6
  0.45  0.4 ]",0.543707482993,0.117572475022,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.533481150794,0.173093534593,"[ 0.35416667  0.33        0.59        0.5625      0.70833333  0.125
  0.64583333  0.41        0.41666667  0.75        0.20238095  0.64        0.75
  0.38095238  0.67708333  0.86111111  0.34375     0.53125     0.67708333
  0.58333333  0.72        0.14285714  0.46        0.67708333  0.66666667
  0.62        0.63095238  0.49        0.59        0.75        0.46875
  0.58333333  0.33333333  0.45833333  0.82142857  0.38541667  0.28571429
  0.34375     0.63541667  0.63541667  0.5952381   0.234375    0.59375
  0.55208333  0.69791667  0.75        0.47916667  0.55        0.53125
  0.45238095]"
