,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_ROIv_scale125,mean,bag_of_edges,standard,LR,0.632653061224,0.0758892246506,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.644,0.121095004026,"[ 0.9   0.8   0.8   0.7   0.55  0.5   0.5   0.6   0.65  0.55  0.65  0.6
  0.5   0.65  0.6   0.7   0.75  0.5   0.6   0.85  0.7   0.55  0.65  0.45
  0.6   0.4   0.65  0.75  0.55  0.8   0.6   0.65  0.8   0.7   0.5   0.7
  0.65  0.8   0.7   0.6   0.5   0.65  0.65  0.35  0.5   0.85  0.8   0.7
  0.7   0.75]",0.681292517007,0.132172675875,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.600801587302,0.195691512831,"[ 0.47916667  0.77        0.62        0.21875     0.5         0.515625
  0.58333333  0.73        0.33333333  0.28125     0.33333333  0.51
  0.140625    0.44047619  0.67708333  0.30555556  0.5625      0.40625
  0.82291667  0.625       0.85        0.47619048  0.81        0.65625
  0.55208333  0.76        0.96428571  0.49        0.36        0.71428571
  0.625       0.67857143  0.86904762  0.60416667  0.5         0.5
  0.73809524  0.890625    0.83333333  0.36458333  0.44047619  0.734375
  0.52083333  0.72916667  0.78125     0.92        0.875       0.48        0.8125
  0.6547619 ]"
1,BNU_1_proba_csd_con_ROIv_scale125,mean,bag_of_edges,standard,SGD,0.714285714286,0.124630974555,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.639,0.143279447235,"[ 0.7   0.75  0.65  0.7   0.35  0.7   0.8   0.5   0.5   0.4   0.8   0.65
  0.3   0.7   0.55  0.6   0.7   0.55  0.55  0.9   0.65  0.4   0.7   0.5
  0.65  0.55  0.65  0.75  0.65  0.75  0.5   0.55  0.7   0.65  0.4   0.6
  0.7   0.8   0.9   0.6   0.35  0.65  0.75  0.6   0.65  0.8   0.8   0.7
  0.95  0.7 ]",0.807823129252,0.11278696285,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.65580515873,0.19310901571,"[ 0.82291667  0.84        0.67        0.78125     0.33333333  0.65625
  0.82291667  0.38        0.35714286  0.38541667  0.54761905  0.63        0.21875
  0.5952381   0.64583333  0.30555556  0.78125     0.40625     0.67708333
  0.85416667  0.66        0.33333333  0.78        0.54166667  0.72916667
  0.6         0.9047619   0.78        0.55        0.71428571  0.5625
  0.67857143  0.8452381   0.79166667  0.42857143  0.64583333  0.80952381
  0.9375      1.          0.57291667  0.33333333  0.53125     0.76041667
  0.67708333  0.67708333  0.96        0.875       0.66        0.98958333
  0.75      ]"
2,BNU_1_proba_csd_con_ROIv_scale125,mean,degrees,standard,LR,0.571428571429,0.127330875782,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.647,0.135428948161,"[ 0.8   0.65  0.55  0.55  0.7   0.45  0.8   0.7   0.7   0.85  0.7   0.85
  0.8   0.25  0.5   0.65  0.6   0.6   0.65  0.7   0.55  0.2   0.5   0.7
  0.75  0.55  0.65  0.6   0.7   0.75  0.55  0.6   0.9   0.7   0.65  0.7
  0.75  0.7   0.8   0.6   0.65  0.5   0.65  0.5   0.65  0.85  0.8   0.65
  0.55  0.6 ]",0.638605442177,0.140664914366,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.669541865079,0.146889248218,"[ 0.90625     0.82        0.65        0.52083333  0.5625      0.34375
  0.72916667  0.6         0.70238095  0.875       0.96428571  0.79
  0.484375    0.38095238  0.51041667  0.69444444  0.53125     0.609375
  0.63541667  0.90625     0.55        0.27380952  0.57        0.6875
  0.70833333  0.67        0.9047619   0.65        0.59        0.72619048
  0.64583333  0.60714286  0.94047619  0.63541667  0.66666667  0.70833333
  0.75        0.875       0.78125     0.67708333  0.6547619   0.671875
  0.60416667  0.54166667  0.66666667  0.89        0.71875     0.74
  0.58333333  0.57142857]"
3,BNU_1_proba_csd_con_ROIv_scale125,mean,degrees,standard,SGD,0.69387755102,0.133192692729,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524,0.133880543769,"[ 0.55  0.6   0.45  0.75  0.45  0.3   0.4   0.45  0.6   0.45  0.5   0.65
  0.6   0.35  0.65  0.35  0.4   0.15  0.55  0.65  0.6   0.65  0.45  0.7
  0.4   0.4   0.45  0.5   0.6   0.8   0.5   0.5   0.45  0.65  0.5   0.65
  0.35  0.5   0.7   0.75  0.35  0.4   0.45  0.45  0.55  0.8   0.5   0.6
  0.55  0.6 ]",0.744047619048,0.143491646474,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.59794484127,0.151145416102,"[ 0.82291667  0.66        0.47        0.64583333  0.61458333  0.375
  0.60416667  0.72        0.46428571  0.63541667  0.5952381   0.68        0.53125
  0.44047619  0.5625      0.52777778  0.5625      0.28125     0.75
  0.80208333  0.65        0.28571429  0.55        0.73958333  0.55208333
  0.64        0.89285714  0.61        0.52        0.77380952  0.52083333
  0.51190476  0.58333333  0.60416667  0.5952381   0.65625     0.46428571
  1.          0.63541667  0.76041667  0.44047619  0.5         0.46875
  0.71875     0.70833333  0.69        0.71875     0.55        0.15625
  0.6547619 ]"
4,BNU_1_proba_csd_con_ROIv_scale125,mean,closeness_centrality,standard,LR,0.561224489796,0.167663270516,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.532,0.108977061807,"[ 0.5   0.65  0.55  0.55  0.3   0.4   0.65  0.45  0.5   0.55  0.65  0.35
  0.45  0.45  0.7   0.35  0.65  0.5   0.5   0.6   0.5   0.35  0.5   0.6
  0.45  0.5   0.6   0.75  0.55  0.7   0.6   0.55  0.6   0.5   0.55  0.55
  0.55  0.7   0.5   0.6   0.7   0.45  0.7   0.45  0.3   0.6   0.55  0.55
  0.45  0.35]",0.547704081633,0.147578746478,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.536496230159,0.174244898073,"[ 0.61458333  0.65        0.49        0.65625     0.21875     0.4375
  0.67708333  0.54        0.41666667  0.46875     0.79761905  0.51
  0.265625    0.35714286  0.66666667  0.22222222  0.359375    0.3125
  0.61458333  0.76041667  0.37        0.25        0.38        0.70833333
  0.51041667  0.39        0.95238095  0.79        0.47        0.71428571
  0.55208333  0.51190476  0.55952381  0.54166667  0.69047619  0.53125
  0.64285714  0.78125     0.71875     0.625       0.5952381   0.265625
  0.67708333  0.61458333  0.46875     0.8         0.58333333  0.38        0.5
  0.21428571]"
5,BNU_1_proba_csd_con_ROIv_scale125,mean,closeness_centrality,standard,SGD,0.581632653061,0.129854484142,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.534,0.113331372532,"[ 0.5   0.65  0.6   0.55  0.35  0.3   0.65  0.35  0.55  0.6   0.7   0.55
  0.35  0.5   0.6   0.35  0.7   0.45  0.4   0.5   0.5   0.35  0.4   0.6
  0.5   0.5   0.65  0.85  0.55  0.6   0.5   0.4   0.65  0.55  0.45  0.55
  0.65  0.6   0.6   0.6   0.5   0.45  0.55  0.55  0.4   0.7   0.65  0.65
  0.5   0.5 ]",0.601445578231,0.118930004461,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.545552777778,0.167705978984,"[ 0.5         0.64        0.52        0.58333333  0.28125     0.53125
  0.65625     0.49        0.46428571  0.625       0.73809524  0.55
  0.296875    0.47619048  0.625       0.30555556  0.453125    0.40625
  0.5625      0.73958333  0.58        0.13095238  0.31        0.71875
  0.48958333  0.54        0.9047619   0.79        0.48        0.66666667
  0.4375      0.42857143  0.63095238  0.47916667  0.67857143  0.52083333
  0.76190476  0.78125     0.76041667  0.57291667  0.55952381  0.125
  0.64583333  0.65625     0.63541667  0.8         0.58333333  0.47        0.46875
  0.22619048]"
6,BNU_1_proba_csd_con_ROIv_scale125,mean,betweenness_centrality,standard,LR,0.591836734694,0.205124884503,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.536,0.129630243385,"[ 0.5   0.7   0.35  0.35  0.55  0.6   0.55  0.65  0.75  0.4   0.45  0.4
  0.3   0.35  0.65  0.75  0.45  0.5   0.45  0.6   0.45  0.6   0.5   0.45
  0.65  0.4   0.5   0.7   0.4   0.5   0.55  0.5   0.5   0.45  0.55  0.55
  0.5   0.7   0.7   0.55  0.8   0.3   0.5   0.9   0.4   0.65  0.6   0.5
  0.55  0.6 ]",0.602295918367,0.188553185792,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.549502579365,0.166389898742,"[ 0.47916667  0.76        0.31        0.30208333  0.72916667  0.59375
  0.47916667  0.65        0.72619048  0.4375      0.61904762  0.52        0.15625
  0.21428571  0.76041667  0.69444444  0.3125      0.46875     0.57291667
  0.55208333  0.31        0.51190476  0.48        0.57291667  0.73958333
  0.31        0.5         0.71        0.48        0.69047619  0.42708333
  0.72619048  0.77380952  0.35416667  0.55952381  0.58333333  0.45238095
  0.765625    0.77083333  0.64583333  0.72619048  0.28125     0.54166667
  0.76041667  0.36458333  0.65        0.80208333  0.53        0.51041667
  0.60714286]"
7,BNU_1_proba_csd_con_ROIv_scale125,mean,betweenness_centrality,standard,SGD,0.581632653061,0.133088418684,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.144568322948,"[ 0.55  0.55  0.3   0.35  0.5   0.4   0.4   0.65  0.7   0.5   0.35  0.4
  0.35  0.2   0.7   0.6   0.35  0.45  0.4   0.7   0.4   0.55  0.5   0.5
  0.7   0.35  0.3   0.6   0.55  0.75  0.45  0.5   0.45  0.55  0.6   0.5
  0.45  0.6   0.75  0.6   0.65  0.25  0.6   0.65  0.2   0.5   0.7   0.5
  0.65  0.25]",0.615646258503,0.117391548506,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.528374206349,0.207896696921,"[ 0.53125     0.52        0.4         0.15625     0.98958333  0.609375
  0.41666667  0.36        0.9047619   0.5625      0.66666667  0.35        0.3125
  0.14285714  0.5625      0.72222222  0.53125     0.6875      0.8125
  0.61458333  0.19        0.32142857  0.32        0.53645833  0.61458333
  0.42        0.47619048  0.86        0.3         0.53571429  0.54166667
  0.85714286  0.4047619   0.59375     0.64285714  0.41666667  0.42261905
  0.28125     0.69791667  0.70833333  0.83333333  0.03125     0.69791667
  0.4375      0.55208333  0.52        0.51041667  0.33        0.83333333
  0.67857143]"
8,BNU_1_proba_csd_con_ROIv_scale125,mean,eigenvector_centrality,standard,LR,0.683673469388,0.18441209509,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.717,0.106117859006,"[ 0.85  0.8   0.75  0.75  0.65  0.6   0.5   0.75  0.75  0.7   0.8   0.8
  0.75  0.55  0.55  0.8   0.8   0.7   0.65  0.7   0.6   0.35  0.75  0.7
  0.7   0.65  0.8   0.7   0.65  0.9   0.7   0.6   0.65  0.85  0.85  0.8
  0.7   0.75  0.8   0.65  0.8   0.7   0.85  0.65  0.75  0.8   0.9   0.7
  0.55  0.8 ]",0.703231292517,0.194677740623,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.767206547619,0.131188259019,"[ 0.95833333  0.79        0.78        0.71875     0.83333333  0.671875
  0.54166667  0.9         0.80952381  0.77083333  0.91666667  0.85        0.5625
  0.5         0.53125     1.          0.59375     0.734375    0.78125
  0.88541667  0.56        0.44047619  0.84        0.85416667  0.6875      0.72
  0.79761905  0.69        0.67        0.94047619  0.6875      0.75
  0.58333333  0.84375     0.9047619   0.82291667  1.          0.875
  0.82291667  0.79166667  0.72619048  0.859375    0.88541667  0.75
  0.79166667  0.77        0.96875     0.8         0.63541667  0.76190476]"
9,BNU_1_proba_csd_con_ROIv_scale125,mean,eigenvector_centrality,standard,SGD,0.65306122449,0.0899529651212,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.667,0.174530799574,"[ 0.75  0.7   0.75  0.75  0.85  0.25  0.4   0.75  0.7   0.8   0.75  0.8
  0.55  0.7   0.55  0.3   0.75  0.65  0.55  0.75  0.6   0.3   0.75  0.55
  0.65  0.75  0.8   0.75  0.7   0.95  0.75  0.35  0.7   0.85  0.3   0.85
  0.35  0.8   0.8   0.9   0.8   0.65  0.8   0.65  0.5   0.7   0.9   0.65
  0.4   0.8 ]",0.728911564626,0.19915070554,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.788914285714,0.171691038248,"[ 0.97916667  0.79        0.77        0.71875     0.9375      0.71875
  0.21875     0.98        0.79761905  0.80208333  0.92857143  0.85        0.5625
  0.95238095  0.55208333  1.          0.578125    0.734375    0.82291667
  0.88541667  0.56        0.29761905  0.84        0.86458333  0.67708333
  0.79        0.79761905  0.69        0.75        0.94047619  0.70833333
  0.75        0.67857143  0.875       0.5         0.82291667  1.          0.9375
  0.82291667  0.9375      0.5         0.875       0.875       0.78125
  0.91666667  0.89        0.97916667  1.          0.91666667  0.89285714]"
