,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.673469387755,0.0839040570309,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.732,0.118220133649,"[ 0.9   0.75  0.75  0.75  0.55  0.65  0.6   0.65  0.7   0.6   0.65  0.85
  0.5   0.65  0.6   0.8   0.7   0.75  0.8   0.9   0.75  0.5   0.9   0.65
  0.75  0.55  0.8   0.8   0.55  0.8   0.7   0.75  0.95  0.9   0.75  0.8
  0.75  0.8   0.85  0.75  0.55  0.65  0.75  0.55  0.7   0.95  0.85  0.7
  0.85  0.9 ]",0.757653061224,0.0321907374731,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.778384126984,0.134197347199,"[ 0.91666667  0.71        0.78        0.69791667  0.53125     0.625
  0.80208333  0.83        0.82142857  0.66666667  0.67857143  0.8         0.484375
  0.58333333  0.66666667  0.86111111  0.71875     0.640625    0.95833333
  0.96875     0.71        0.46428571  0.99        0.79166667  0.65625     0.74
  0.94047619  0.85        0.71        0.83333333  0.72916667  0.6547619
  0.92857143  0.96875     0.89285714  0.86458333  0.94047619  0.90625
  0.90625     0.73958333  0.60714286  0.625       0.88541667  0.64583333
  0.8125      0.94        0.94791667  0.76        0.92708333  0.80952381]"
1,BNU_1_proba_csd_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.69387755102,0.0760186960498,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.697,0.11063905278,"[ 0.95  0.7   0.75  0.6   0.65  0.45  0.6   0.7   0.75  0.65  0.65  0.8
  0.7   0.6   0.55  0.85  0.55  0.65  0.5   0.85  0.75  0.65  0.85  0.7
  0.6   0.6   0.85  0.55  0.65  0.85  0.65  0.65  0.7   0.85  0.85  0.7
  0.7   0.65  0.7   0.75  0.65  0.5   0.7   0.65  0.6   0.85  0.75  0.7
  0.8   0.9 ]",0.783078231293,0.0883368556097,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.720956349206,0.159088967993,"[ 0.80208333  0.45        0.76        0.63541667  0.55208333  0.6875
  0.59375     0.88        0.66666667  0.6875      0.53571429  0.76
  0.484375    0.71428571  0.55208333  0.72222222  0.640625    0.484375
  0.6875      0.875       0.37        0.19047619  0.87        0.77083333
  0.63541667  0.67        0.95238095  0.7         0.71        0.83333333
  0.76041667  0.72619048  0.89285714  0.82291667  0.72619048  0.70833333
  0.82142857  0.828125    0.91666667  0.80208333  0.73809524  0.53125
  0.94791667  0.70833333  0.75        0.98        0.875       1.          0.78125
  0.85714286]"
2,BNU_1_proba_csd_con_aparc68+subcort,mean,degrees,standard,LR,0.69387755102,0.156662102899,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.684,0.111552678139,"[ 0.9   0.7   0.65  0.55  0.7   0.6   0.65  0.5   0.9   0.75  0.7   0.8
  0.75  0.5   0.5   0.6   0.75  0.75  0.6   0.65  0.5   0.45  0.65  0.75
  0.6   0.65  0.75  0.75  0.55  0.7   0.65  0.6   0.85  0.65  0.8   0.7
  0.75  0.85  0.8   0.85  0.9   0.65  0.65  0.6   0.75  0.7   0.65  0.5
  0.7   0.75]",0.773554421769,0.205496848649,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.735799206349,0.149082077427,"[ 0.92708333  0.81        0.68        0.57291667  0.8125      0.671875
  0.8125      0.69        0.95238095  0.8125      0.8452381   0.86
  0.609375    0.57142857  0.47916667  0.97222222  0.34375     0.59375
  0.71875     0.71875     0.49        0.29761905  0.62        0.82291667
  0.67708333  0.7         0.79761905  0.75        0.5         0.77380952
  0.75        0.71428571  0.78571429  0.75        0.83333333  0.69791667
  0.92857143  0.96875     0.73958333  0.97916667  0.75        0.875
  0.70833333  0.64583333  0.83333333  0.88        0.66666667  0.68        0.875
  0.8452381 ]"
3,BNU_1_proba_csd_con_aparc68+subcort,mean,degrees,standard,SGD,0.714285714286,0.14106012613,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.604,0.149612833674,"[ 0.8   0.4   0.75  0.65  0.35  0.4   0.7   0.35  0.75  0.65  0.65  0.85
  0.9   0.4   0.55  0.55  0.45  0.5   0.65  0.7   0.5   0.3   0.5   0.55
  0.55  0.65  0.6   0.45  0.45  0.9   0.65  0.55  0.7   0.7   0.5   0.65
  0.5   0.6   0.65  0.6   0.85  0.5   0.35  0.7   0.65  0.75  0.75  0.55
  0.7   0.85]",0.775340136054,0.124648987702,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.680041269841,0.162806225486,"[ 0.72916667  0.53        0.76        0.60416667  0.45833333  0.578125
  0.72916667  0.56        0.75        0.6875      0.96428571  0.9         0.875
  0.44047619  0.69791667  0.86111111  0.34375     0.640625    0.75
  0.89583333  0.48        0.25        0.49        0.60416667  0.64583333
  0.66        0.86904762  0.5         0.33        0.98809524  0.73958333
  0.5952381   0.72619048  0.6875      0.78571429  0.6875      0.55952381
  0.78125     0.71875     0.69791667  0.85714286  0.78125     0.48958333
  0.64583333  0.8125      0.89        0.69791667  0.66        0.85416667
  0.76190476]"
4,BNU_1_proba_csd_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.673469387755,0.0742245144231,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.719,0.12405240828,"[ 0.85  0.7   0.75  0.85  0.5   0.5   0.8   0.6   0.85  0.65  0.75  0.8
  0.5   0.25  0.75  0.9   0.5   0.75  0.7   0.8   0.7   0.65  0.8   0.7
  0.7   0.75  0.8   0.75  0.8   0.6   0.7   0.65  0.85  0.7   0.85  0.75
  0.7   0.8   0.6   0.8   0.75  0.8   0.8   0.75  0.7   0.9   0.8   0.7
  0.5   0.85]",0.757227891156,0.0535113784484,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.746239285714,0.157572421279,"[ 0.82291667  0.69        0.74        0.875       0.38541667  0.78125
  0.91666667  0.73        0.95238095  0.58333333  0.6547619   0.74
  0.734375    0.27380952  0.76041667  0.75        0.40625     0.671875
  0.71875     0.6875      0.66        0.30952381  0.79        0.84375
  0.65625     0.81        1.          0.65        0.69        0.54761905
  0.73958333  0.91666667  0.88095238  0.69791667  0.86904762  0.82291667
  0.77380952  1.          0.8125      0.92708333  0.80952381  0.75        0.9375
  0.78125     0.82291667  0.9         0.83333333  0.72        0.60416667
  0.88095238]"
5,BNU_1_proba_csd_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.724489795918,0.0756754947663,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.717,0.132517923316,"[ 0.8   0.65  0.6   0.8   0.6   0.4   0.85  0.55  0.85  0.65  0.7   0.8
  0.75  0.4   0.75  0.7   0.55  0.7   0.65  0.7   0.7   0.35  0.8   0.85
  0.75  0.8   0.75  0.65  0.85  0.6   0.8   0.8   0.9   0.6   0.85  0.75
  0.8   0.8   0.7   0.8   0.7   0.75  0.9   0.85  0.7   0.9   0.65  0.8
  0.4   0.85]",0.825765306122,0.0600773279889,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.792488888889,0.155784646833,"[ 0.90625     0.68        0.74        0.92708333  0.40625     0.796875
  0.95833333  0.79        0.96428571  0.625       0.72619048  0.77
  0.828125    0.35714286  0.77083333  0.77777778  0.5625      0.71875
  0.71875     0.8125      0.66        0.35714286  0.82        0.88541667
  0.67708333  0.85        1.          0.79        0.85        0.52380952
  0.72916667  0.94047619  0.97619048  0.75        0.92857143  0.89583333
  0.85714286  1.          0.86458333  0.91666667  0.88095238  0.8125
  0.95833333  0.82291667  0.89583333  0.89        0.875       0.84
  0.55208333  0.98809524]"
6,BNU_1_proba_csd_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.591836734694,0.172717457957,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.581,0.130724901989,"[ 0.6   0.55  0.6   0.6   0.6   0.6   0.65  0.7   0.9   0.6   0.35  0.6
  0.5   0.45  0.65  0.65  0.6   0.55  0.55  0.75  0.6   0.3   0.5   0.7
  0.55  0.45  0.5   0.8   0.55  0.55  0.25  0.55  0.65  0.35  0.5   0.75
  0.7   0.75  0.45  0.5   0.85  0.45  0.45  0.65  0.75  0.65  0.45  0.6
  0.65  0.55]",0.596173469388,0.226923290877,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.624049404762,0.173367984134,"[ 0.77083333  0.79        0.52        0.38541667  0.875       0.578125
  0.47916667  0.68        0.96428571  0.625       0.33333333  0.5         0.390625
  0.26190476  0.80208333  0.66666667  0.546875    0.484375    0.80208333
  0.69791667  0.63        0.53571429  0.45        0.77083333  0.55208333
  0.42        0.82142857  0.74        0.55        0.92857143  0.25
  0.64285714  0.70238095  0.58333333  0.41666667  0.44791667  0.64285714
  0.953125    0.625       0.77083333  0.83333333  0.40625     0.6875
  0.67708333  0.84375     0.74        0.66666667  0.46        0.64583333
  0.6547619 ]"
7,BNU_1_proba_csd_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.612244897959,0.12181430378,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.541,0.136268118061,"[ 0.6   0.65  0.4   0.6   0.75  0.4   0.5   0.65  0.55  0.5   0.3   0.5
  0.25  0.35  0.5   0.55  0.4   0.5   0.45  0.6   0.55  0.55  0.55  0.75
  0.45  0.45  0.5   0.4   0.5   0.7   0.5   0.4   0.65  0.5   0.45  0.35
  0.5   0.8   0.5   0.75  0.7   0.25  0.65  0.7   0.65  0.65  0.7   0.55
  0.55  0.85]",0.641326530612,0.208495747465,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.617263492063,0.154680851045,"[ 0.80208333  0.82        0.61        0.42708333  0.82291667  0.640625
  0.66666667  0.75        0.85714286  0.60416667  0.45238095  0.49        0.15625
  0.26190476  0.78125     0.88888889  0.640625    0.390625    0.69791667
  0.72916667  0.6         0.46428571  0.47        0.63541667  0.57291667
  0.46        0.66666667  0.75        0.6         0.77380952  0.28125
  0.48809524  0.69047619  0.59375     0.57142857  0.6875      0.55952381
  0.84375     0.73958333  0.55208333  0.85714286  0.640625    0.5625
  0.58333333  0.59375     0.57        0.64583333  0.64        0.70833333
  0.57142857]"
8,BNU_1_proba_csd_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.785714285714,0.133205721245,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.788,0.0967264183147,"[ 0.8   0.85  0.65  0.65  0.9   0.8   0.9   0.9   0.75  0.85  0.8   0.9
  0.8   0.9   0.55  0.8   0.8   0.7   0.65  0.7   0.55  0.5   0.75  0.8
  0.8   0.8   0.85  0.8   0.75  0.85  0.8   0.65  0.85  0.8   0.9   0.85
  0.8   0.85  0.75  0.75  0.9   0.9   0.85  0.7   0.7   0.8   0.9   0.85
  0.85  0.85]",0.86862244898,0.105235173012,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.864819642857,0.131871899703,"[ 0.94791667  0.84        0.73        0.73958333  0.96875     0.84375
  0.9375      1.          0.9047619   0.95833333  0.98809524  0.89
  0.703125    1.          0.5625      1.          0.609375    0.828125
  0.79166667  0.91666667  0.75        0.26190476  0.87        0.78125
  0.78125     0.84        0.96428571  0.88        0.78        0.96428571
  0.83333333  0.83333333  0.80952381  0.88541667  0.98809524  0.875       1.
  0.953125    0.8125      0.90625     0.98809524  0.890625    0.94791667
  0.8125      0.91666667  0.94        0.92708333  1.          0.94791667
  0.94047619]"
9,BNU_1_proba_csd_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.755102040816,0.0851971224771,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.75,0.0953939201417,"[ 0.8   0.75  0.65  0.6   0.8   0.75  0.75  0.7   0.7   0.9   0.9   0.9
  0.7   0.75  0.65  0.7   0.75  0.65  0.8   0.85  0.65  0.5   0.65  0.7
  0.8   0.7   0.7   0.8   0.6   0.9   0.75  0.65  0.8   0.75  0.8   0.6
  0.8   0.75  0.85  0.65  0.8   0.8   0.85  0.75  0.7   0.9   0.75  0.7
  0.8   1.  ]",0.86862244898,0.105235173012,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.859973809524,0.119433951211,"[ 0.94791667  0.84        0.73        0.73958333  0.96875     0.84375
  0.9375      1.          0.9047619   0.95833333  0.98809524  0.89
  0.703125    1.          0.5625      1.          0.609375    0.828125
  0.79166667  0.91666667  0.75        0.58333333  0.87        0.78125
  0.78125     0.84        0.96428571  0.88        0.72        0.96428571
  0.83333333  0.83333333  0.80952381  0.88541667  0.98809524  0.875       1.
  0.9375      0.8125      0.90625     0.5         0.890625    0.94791667
  0.8125      0.91666667  0.94        0.92708333  1.          0.94791667
  0.94047619]"
