,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,LR,0.765306122449,0.104698938582,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.791,0.0957548954362,"[ 0.75  0.6   0.75  0.7   0.8   0.8   0.7   0.8   0.75  0.8   0.85  0.8
  0.85  0.5   0.8   0.9   0.95  0.65  0.9   0.9   0.8   0.75  0.85  0.75
  0.75  0.9   0.7   0.9   0.85  0.8   0.75  0.75  0.7   0.75  0.85  0.95
  0.75  0.95  0.85  0.75  0.8   0.65  0.9   0.7   0.85  0.95  0.9   0.65
  0.7   0.8 ]",0.834863945578,0.0958432924341,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.83995297619,0.135034519408,"[ 0.83333333  0.64        0.69        0.72916667  0.82291667  0.859375
  0.79166667  0.87        0.78571429  0.86458333  0.82142857  0.83
  0.921875    0.26190476  0.875       1.          0.984375    0.453125
  0.91666667  0.96875     0.93        0.85714286  0.93        0.875
  0.76041667  0.95        0.86904762  0.96        0.82        0.76190476
  0.65625     0.85714286  0.82142857  0.84375     0.82142857  0.98958333
  0.85714286  1.          0.96875     0.91666667  0.78571429  0.734375
  0.97916667  0.79166667  0.89583333  1.          0.9375      0.74
  0.79166667  0.97619048]"
1,BNU_1_deter_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,SGD,0.744897959184,0.124640257017,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.711,0.114581848475,"[ 0.75  0.6   0.65  0.55  0.8   0.7   0.65  0.7   0.7   0.75  0.65  0.7
  0.8   0.45  0.85  0.8   0.7   0.55  0.85  0.8   0.7   0.65  0.75  0.75
  0.75  0.75  0.55  0.9   0.6   0.6   0.55  0.75  0.55  0.6   0.8   0.7
  0.75  0.8   0.9   0.75  0.8   0.4   0.75  0.7   0.8   1.    0.85  0.75
  0.65  0.7 ]",0.820493197279,0.0869063385975,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.839695634921,0.118542570346,"[ 0.8125      0.65        0.65        0.76041667  0.8125      0.828125
  0.79166667  0.89        0.83333333  0.86458333  0.79761905  0.8         0.921875
  0.39285714  0.91666667  0.97222222  0.984375    0.546875    0.90625
  0.96875     0.87        0.85714286  0.94        0.875       0.75        0.95
  0.83333333  0.97        0.83        0.79761905  0.63541667  0.88095238
  0.76190476  0.83333333  0.83333333  1.          0.83333333  0.984375
  0.94791667  0.90625     0.80952381  0.765625    0.92708333  0.78125
  0.89583333  1.          0.9375      0.72        0.78125     0.97619048]"
2,BNU_1_deter_csa_con_ROIv_scale33,no_norm,degrees,standard,LR,0.755102040816,0.148888705853,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727,0.127361689687,"[ 0.6   0.45  0.8   0.8   0.65  0.75  0.8   0.7   0.8   0.8   0.8   0.7
  0.8   0.4   0.8   0.8   0.75  0.5   0.75  0.95  0.8   0.45  0.75  0.9
  0.7   0.8   0.7   0.75  0.5   0.8   0.65  0.85  0.6   0.6   0.85  0.85
  0.7   0.7   0.7   0.9   0.85  0.5   0.85  0.75  0.75  0.8   0.85  0.5
  0.75  0.8 ]",0.856802721088,0.0890301655513,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.855358333333,0.132319039693,"[ 0.8125      0.62        0.88        0.8125      0.76041667  0.90625
  0.78125     0.77        0.8452381   0.72916667  0.86904762  0.92
  0.921875    0.41666667  0.96875     0.91666667  1.          0.421875
  0.94791667  1.          1.          0.70238095  0.97        0.91666667
  0.85416667  0.91        0.91666667  0.9         0.73        0.72619048
  0.69791667  0.94047619  0.88095238  0.85416667  0.92857143  0.91666667
  0.8452381   1.          0.83333333  0.92708333  0.92857143  0.96875
  0.98958333  0.9375      0.80208333  1.          0.92708333  0.62        0.84375
  1.        ]"
3,BNU_1_deter_csa_con_ROIv_scale33,no_norm,degrees,standard,SGD,0.795918367347,0.0754074805354,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.702,0.12367699867,"[ 0.45  0.4   0.65  0.8   0.55  0.7   0.75  0.65  0.55  0.7   0.85  0.6
  0.7   0.45  0.75  0.75  0.8   0.65  0.9   0.95  0.9   0.55  0.8   0.75
  0.7   0.85  0.7   0.7   0.55  0.6   0.7   0.7   0.7   0.65  0.8   0.65
  0.75  0.75  0.65  0.8   0.8   0.4   0.8   0.85  0.7   0.85  0.75  0.6
  0.75  0.75]",0.860034013605,0.109364591722,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.845733134921,0.149320209114,"[ 0.72916667  0.56        0.91        0.78125     0.80208333  0.84375
  0.86458333  0.78        0.8452381   0.72916667  0.91666667  0.89        0.96875
  0.32142857  0.9375      0.88888889  0.984375    0.46875     0.89583333
  1.          0.98        0.61904762  0.93        0.90625     0.80208333
  0.93        0.77380952  0.83        0.67        0.86904762  0.6875
  0.95238095  0.85714286  0.85416667  0.95238095  0.96875     0.95238095
  0.96875     0.82291667  1.          0.89285714  0.9375      1.
  0.92708333  0.83333333  0.98        0.90625     0.44        0.9375
  0.98809524]"
4,BNU_1_deter_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,LR,0.704081632653,0.168073336366,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.674,0.132755414202,"[ 0.7   0.55  0.65  0.55  0.6   0.55  0.75  0.7   0.75  0.5   0.75  0.7
  0.6   0.5   0.75  0.75  0.65  0.6   0.8   0.8   0.8   0.4   0.85  0.75
  0.5   0.75  0.9   0.7   0.45  0.65  0.3   0.55  0.8   0.85  0.7   0.9
  0.65  0.65  0.8   0.7   0.75  0.7   0.6   0.65  0.6   0.8   0.6   0.45
  0.9   0.8 ]",0.74693877551,0.141997850954,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.777157539683,0.147541426502,"[ 0.9375      0.52        0.78        0.78125     0.70833333  0.78125
  0.92708333  0.67        0.63095238  0.58333333  0.83333333  0.82        0.90625
  0.4047619   0.80208333  0.88888889  0.875       0.71875     0.70833333
  0.98958333  1.          0.63095238  0.98        0.92708333  0.73958333
  0.85        0.88095238  0.82        0.58        0.57142857  0.47916667
  0.58333333  0.77380952  0.94791667  0.82142857  0.95833333  0.79761905
  0.8125      0.86458333  0.6875      0.83333333  0.71875     0.90625
  0.83333333  0.77083333  0.8         0.63541667  0.46        0.92708333
  1.        ]"
5,BNU_1_deter_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,SGD,0.69387755102,0.132338717036,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.708,0.132045446722,"[ 0.8   0.55  0.65  0.65  0.7   0.55  0.9   0.7   0.8   0.5   0.8   0.7
  0.6   0.45  0.75  0.8   0.65  0.7   0.75  0.8   0.9   0.7   0.9   0.75
  0.6   0.75  0.9   0.7   0.5   0.6   0.4   0.55  0.8   0.95  0.75  0.8
  0.7   0.6   0.8   0.65  0.8   0.65  0.8   0.7   0.6   0.8   0.65  0.45
  0.95  0.9 ]",0.765901360544,0.122279417155,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.789713690476,0.146307152269,"[ 0.95833333  0.52        0.78        0.75        0.73958333  0.8125      1.
  0.72        0.67857143  0.5625      0.86904762  0.78        0.828125
  0.48809524  0.78125     0.83333333  0.796875    0.65625     0.72916667
  1.          0.99        0.78571429  0.98        0.9375      0.70833333
  0.9         0.92857143  0.77        0.59        0.57142857  0.48958333
  0.60714286  0.77380952  0.97916667  0.89285714  0.98958333  0.85714286
  0.8125      0.92708333  0.67708333  0.83333333  0.765625    0.90625
  0.83333333  0.8125      0.8         0.66666667  0.46        0.96875
  0.98809524]"
6,BNU_1_deter_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,LR,0.571428571429,0.0887683422967,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.583,0.119837389825,"[ 0.65  0.55  0.65  0.5   0.6   0.55  0.6   0.7   0.85  0.65  0.3   0.55
  0.65  0.55  0.65  0.6   0.6   0.55  0.6   0.8   0.6   0.45  0.3   0.75
  0.6   0.5   0.7   0.6   0.35  0.6   0.45  0.55  0.55  0.55  0.55  0.75
  0.45  0.6   0.4   0.6   0.9   0.45  0.6   0.6   0.55  0.65  0.5   0.75
  0.5   0.6 ]",0.650595238095,0.137275765418,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.636830357143,0.152462959617,"[ 0.75        0.55        0.64        0.59375     0.60416667  0.6875      0.625
  0.75        0.92857143  0.63541667  0.4047619   0.43        0.609375
  0.42857143  0.73958333  1.          0.734375    0.5625      0.69791667
  0.84375     0.63        0.52380952  0.34        0.75        0.61458333
  0.6         0.61904762  0.53        0.37        0.77380952  0.40625     0.5
  0.71428571  0.60416667  0.66666667  0.89583333  0.46428571  0.546875
  0.375       0.85416667  0.97619048  0.625       0.6875      0.57291667
  0.6875      0.76        0.51041667  0.65        0.60416667  0.77380952]"
7,BNU_1_deter_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,SGD,0.602040816327,0.0862833394147,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.538,0.136586968632,"[ 0.5   0.55  0.4   0.55  0.65  0.4   0.55  0.75  0.6   0.6   0.4   0.45
  0.55  0.45  0.65  0.25  0.55  0.5   0.5   0.9   0.5   0.45  0.45  0.7
  0.55  0.6   0.7   0.6   0.35  0.45  0.4   0.4   0.6   0.65  0.6   0.9
  0.4   0.25  0.55  0.65  0.55  0.3   0.75  0.6   0.6   0.65  0.5   0.45
  0.45  0.55]",0.648214285714,0.131321854319,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.646842857143,0.152023729915,"[ 0.76041667  0.57        0.64        0.65625     0.625       0.703125
  0.66666667  0.76        0.98809524  0.66666667  0.42857143  0.45        0.65625
  0.42857143  0.72916667  1.          0.734375    0.625       0.6875
  0.88541667  0.66        0.54761905  0.38        0.75        0.625       0.67
  0.64285714  0.54        0.35        0.72619048  0.36458333  0.52380952
  0.6547619   0.625       0.66666667  0.88541667  0.52380952  0.5625
  0.41666667  0.8125      0.97619048  0.5625      0.76041667  0.5625
  0.69791667  0.7         0.46875     0.64        0.55208333  0.83333333]"
8,BNU_1_deter_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,LR,0.69387755102,0.0629665243775,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.616,0.117234807118,"[ 0.6   0.55  0.65  0.75  0.4   0.55  0.55  0.6   0.55  0.65  0.7   0.6
  0.55  0.6   0.55  0.55  0.55  0.45  0.7   0.65  0.6   0.45  0.6   0.55
  0.85  0.65  0.6   0.75  0.4   0.85  0.55  0.4   0.7   0.65  0.7   0.65
  0.5   0.5   0.85  0.75  0.7   0.4   0.6   0.65  0.75  0.6   0.7   0.5
  0.85  0.75]",0.767431972789,0.0681063899324,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70655218254,0.151433268309,"[ 0.65625     0.69        0.69        0.73958333  0.5         0.5625
  0.72916667  0.69        0.6547619   0.84375     0.75        0.83        0.78125
  0.57142857  0.29166667  0.97222222  0.53125     0.453125    0.8125
  0.80208333  0.66        0.42857143  0.66        0.83333333  0.78125     0.67
  0.82142857  0.72        0.36        0.77380952  0.6875      0.51190476
  0.85714286  0.8125      0.82142857  0.71875     0.61904762  0.5
  0.80208333  0.83333333  0.86904762  0.78125     0.875       0.80208333
  0.875       0.62        0.84375     0.47        0.95833333  0.80952381]"
9,BNU_1_deter_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,SGD,0.704081632653,0.0559934613373,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596,0.12916655914,"[ 0.5   0.65  0.45  0.35  0.6   0.55  0.55  0.5   0.7   0.75  0.55  0.5
  0.6   0.5   0.35  0.45  0.65  0.5   0.65  0.7   0.55  0.5   0.7   0.7
  0.55  0.65  0.7   0.7   0.45  0.55  0.5   0.25  0.7   0.8   0.6   0.65
  0.5   0.5   0.65  0.6   0.85  0.65  0.9   0.65  0.7   0.6   0.7   0.4
  0.7   0.8 ]",0.740816326531,0.109668252293,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.696884920635,0.153645872135,"[ 0.61458333  0.71        0.74        0.63541667  0.47916667  0.515625
  0.76041667  0.73        0.67857143  0.75        0.94047619  0.61        0.8125
  0.51190476  0.33333333  0.97222222  0.5         0.5625      0.79166667
  0.70833333  0.64        0.42857143  0.6         0.875       0.85416667
  0.6         0.67857143  0.7         0.33        0.83333333  0.67708333
  0.52380952  0.78571429  0.78125     0.73809524  0.64583333  0.66666667
  0.53125     0.77083333  0.86458333  0.88095238  0.828125    0.85416667
  0.85416667  0.86458333  0.62        0.86458333  0.47        0.91666667
  0.80952381]"
