,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_csd_con_ROIv_scale250,no_norm,bag_of_edges,standard,LR,0.724489795918,0.0553387876191,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.773,0.104503588455,"[ 0.85  0.7   0.75  0.75  0.7   0.6   0.7   0.6   0.75  0.8   0.8   0.65
  0.85  0.7   0.75  0.9   0.9   0.6   0.85  0.95  0.95  0.75  0.85  0.6
  0.7   0.8   0.9   0.75  0.65  0.8   0.55  0.75  0.9   0.85  0.75  0.8
  0.7   0.95  0.9   0.8   0.65  0.8   0.8   0.8   0.75  0.9   0.9   0.6
  0.7   0.9 ]",0.789115646259,0.0845607578806,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.806288690476,0.151394597895,"[ 0.89583333  0.63        0.85        0.73958333  0.61458333  0.640625
  0.78125     0.65        0.67857143  0.75        0.80952381  0.79
  0.890625    0.53571429  0.88541667  0.91666667  0.984375    0.4375
  0.98958333  0.97916667  1.          0.61904762  0.94        0.80208333
  0.67708333  0.85        0.97619048  0.87        0.6         0.67857143
  0.42708333  0.85714286  0.96428571  0.96875     0.82142857  0.96875
  0.95238095  0.984375    0.86458333  0.73958333  0.72619048  0.921875
  0.79166667  0.89583333  0.76041667  0.95        0.86458333  0.52
  0.88541667  0.98809524]"
1,BNU_1_deter_csd_con_ROIv_scale250,no_norm,bag_of_edges,standard,SGD,0.765306122449,0.0869511770827,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.736,0.130782261794,"[ 0.75  0.7   0.8   0.65  0.45  0.6   0.7   0.6   0.8   0.7   0.65  0.6
  0.65  0.65  0.75  0.8   0.9   0.55  0.95  0.95  0.95  0.7   0.9   0.65
  0.7   0.8   0.85  0.65  0.45  0.85  0.55  0.75  0.85  0.85  0.7   0.8
  0.8   1.    0.9   0.75  0.75  0.75  0.65  0.65  0.55  0.8   0.85  0.5
  0.75  0.9 ]",0.768962585034,0.0859537462977,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810232936508,0.132967724247,"[ 0.80208333  0.76        0.81        0.82291667  0.72916667  0.453125
  0.96875     0.65        0.79761905  0.69791667  0.78571429  0.74        0.875
  0.61904762  0.76041667  0.86111111  0.9375      0.421875    1.          0.875
  0.92        0.71428571  0.96        0.69791667  0.78125     0.84
  0.9047619   0.84        0.59        0.92857143  0.58333333  1.
  0.85714286  0.9375      0.97619048  0.82291667  0.86904762  1.
  0.95833333  0.875       0.73809524  0.65625     0.73958333  0.77083333
  0.88541667  0.94        0.97916667  0.73        0.79166667  0.85714286]"
2,BNU_1_deter_csd_con_ROIv_scale250,no_norm,degrees,standard,LR,0.826530612245,0.0354623442693,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.8,0.0969535971483,"[ 0.85  0.65  0.7   0.85  0.9   0.85  0.75  0.7   0.85  0.7   0.85  0.75
  0.8   0.75  0.7   0.85  0.85  0.65  0.9   0.95  0.9   0.75  0.85  0.85
  0.8   0.75  0.85  0.7   0.65  0.7   0.6   0.8   0.85  0.6   0.8   1.    0.8
  0.9   0.75  0.9   0.95  0.65  0.8   0.9   0.95  0.9   0.9   0.7   0.8
  0.8 ]",0.887414965986,0.068085402407,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.869054563492,0.116570535188,"[ 0.84375     0.73        0.78        0.77083333  0.88541667  0.859375
  0.88541667  0.65        0.83333333  0.625       0.92857143  0.8         0.921875
  0.60714286  0.86458333  0.88888889  0.953125    0.453125    1.          1.
  0.99        0.86904762  0.97        0.89583333  0.80208333  0.94
  0.95238095  0.9         0.69        0.9047619   0.71875     0.92857143
  0.96428571  0.82291667  0.88095238  1.          0.9047619   1.
  0.94791667  0.95833333  0.92857143  0.796875    0.92708333  0.92708333
  1.          0.98        1.          0.77        0.88541667  0.91666667]"
3,BNU_1_deter_csd_con_ROIv_scale250,no_norm,degrees,standard,SGD,0.836734693878,0.0577330230307,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.776,0.09286549413,"[ 0.8   0.7   0.8   0.85  0.8   0.85  0.7   0.55  0.7   0.65  0.75  0.7
  0.8   0.7   0.7   0.75  0.9   0.7   0.9   0.95  0.9   0.8   0.9   0.85
  0.75  0.85  0.65  0.8   0.65  0.9   0.7   0.8   0.8   0.8   0.85  0.95
  0.85  0.85  0.7   0.8   0.8   0.55  0.75  0.8   0.8   0.9   0.7   0.65
  0.7   0.75]",0.882738095238,0.0720879781052,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.831521626984,0.13293592734,"[ 0.84375     0.76        0.83        0.77083333  0.75        0.875       0.875
  0.48        0.83333333  0.59375     0.86904762  0.76        0.875
  0.6547619   0.88541667  0.86111111  1.          0.421875    0.96875     1.
  1.          0.77380952  0.98        0.85416667  0.71875     0.91
  0.94047619  0.86        0.72        0.8452381   0.70833333  0.86904762
  0.95238095  0.83333333  0.85714286  0.98958333  0.85714286  0.9375
  0.83333333  1.          0.89285714  0.8125      0.92708333  0.92708333
  1.          1.          0.625       0.63        0.77083333  0.64285714]"
4,BNU_1_deter_csd_con_ROIv_scale250,no_norm,closeness_centrality,standard,LR,0.663265306122,0.0697403340482,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.602,0.122049170419,"[ 0.65  0.7   0.45  0.55  0.6   0.5   0.35  0.5   0.7   0.75  0.6   0.45
  0.65  0.5   0.6   0.4   0.75  0.65  0.6   0.55  0.4   0.7   0.6   0.6
  0.75  0.5   0.7   0.5   0.6   0.75  0.4   0.65  0.65  0.6   0.45  0.7
  0.5   0.65  0.85  0.85  0.7   0.45  0.7   0.75  0.65  0.6   0.6   0.55
  0.8   0.4 ]",0.689965986395,0.140554151005,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.621888888889,0.153430196006,"[ 0.45833333  0.53        0.41        0.55208333  0.6875      0.875
  0.39583333  0.44        0.66666667  0.59375     0.61904762  0.51        0.875
  0.41666667  0.54166667  0.52777778  0.859375    0.53125     0.59375
  0.47916667  0.51        0.73809524  0.54        0.51041667  0.69791667
  0.79        0.69047619  0.59        0.66        0.77380952  0.47916667
  0.6547619   0.66666667  0.71875     0.36904762  0.875       0.64285714
  0.8125      0.76041667  0.8125      0.85714286  0.796875    0.69791667
  0.80208333  0.67708333  0.39        0.53125     0.53        0.71875
  0.23809524]"
5,BNU_1_deter_csd_con_ROIv_scale250,no_norm,closeness_centrality,standard,SGD,0.734693877551,0.044139124347,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.715,0.120104121495,"[ 0.7   0.55  0.7   0.75  0.7   0.55  0.65  0.75  0.85  0.65  0.7   0.7
  0.65  0.55  0.95  0.55  0.8   0.6   0.75  0.9   0.85  0.7   0.85  0.8
  0.9   0.85  0.8   0.65  0.7   0.65  0.45  0.65  0.7   0.7   0.75  0.9
  0.7   0.6   0.85  0.85  0.8   0.4   0.75  0.8   0.65  0.9   0.7   0.6
  0.55  0.7 ]",0.813180272109,0.0989932920306,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.788715079365,0.136339048685,"[ 0.69791667  0.58        0.63        0.75        0.78125     0.953125
  0.71875     0.69        0.80952381  0.59375     0.72619048  0.76        0.875
  0.46428571  1.          0.69444444  0.859375    0.53125     0.95833333
  0.94791667  0.98        0.75        0.88        0.88541667  0.88541667
  0.88        0.85714286  0.73        0.75        0.71428571  0.52083333
  1.          0.86904762  0.78125     0.75        0.94791667  0.83333333
  0.84375     0.90625     0.94791667  0.79761905  0.8125      0.71875
  0.8125      0.60416667  0.99        0.91666667  0.66        0.52083333
  0.86904762]"
6,BNU_1_deter_csd_con_ROIv_scale250,no_norm,betweenness_centrality,standard,LR,0.622448979592,0.0968641555503,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.553,0.146768525236,"[ 0.8   0.55  0.55  0.5   0.8   0.6   0.65  0.6   0.4   0.4   0.7   0.45
  0.55  0.4   0.45  0.4   0.65  0.35  0.65  0.85  0.75  0.25  0.25  0.7
  0.55  0.4   0.5   0.5   0.45  0.55  0.6   0.5   0.55  0.6   0.65  0.7
  0.55  0.6   0.65  0.8   0.5   0.35  0.4   0.3   0.35  0.75  0.6   0.6
  0.7   0.7 ]",0.710969387755,0.109915977101,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.605356547619,0.170409291988,"[ 0.83333333  0.55        0.63        0.32291667  0.85416667  0.578125
  0.75        0.58        0.48809524  0.40625     0.75        0.58        0.625
  0.30952381  0.52083333  0.41666667  0.625       0.453125    0.70833333
  0.90625     0.82        0.29761905  0.43        0.73958333  0.63541667
  0.61        0.69047619  0.51        0.48        0.69047619  0.54166667
  0.70238095  0.64285714  0.73958333  0.86904762  0.8125      0.71428571
  0.671875    0.77083333  0.76041667  0.53571429  0.375       0.4375
  0.17708333  0.30208333  0.83        0.54166667  0.57        0.79166667
  0.69047619]"
7,BNU_1_deter_csd_con_ROIv_scale250,no_norm,betweenness_centrality,standard,SGD,0.704081632653,0.103866880848,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.601,0.129031004026,"[ 0.6   0.6   0.5   0.5   0.85  0.5   0.6   0.65  0.65  0.55  0.7   0.65
  0.55  0.4   0.5   0.75  0.6   0.65  0.65  0.8   0.65  0.4   0.4   0.7
  0.6   0.4   0.7   0.55  0.55  0.7   0.55  0.4   0.7   0.7   0.85  0.65
  0.5   0.4   0.75  0.75  0.7   0.35  0.45  0.35  0.65  0.7   0.7   0.6
  0.6   0.8 ]",0.760884353741,0.0957549824881,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.611353968254,0.154987197449,"[ 0.71875     0.51        0.52        0.45833333  0.79166667  0.609375
  0.66666667  0.73        0.54761905  0.4375      0.82142857  0.57        0.59375
  0.30952381  0.625       0.72222222  0.609375    0.375       0.72916667
  0.75        0.63        0.20238095  0.58        0.73958333  0.42708333
  0.63        0.58333333  0.49        0.59        0.55952381  0.625
  0.86904762  0.67857143  0.78125     0.73809524  0.875       0.76190476
  0.5         0.60416667  0.71875     0.72619048  0.5         0.44791667
  0.1875      0.45833333  0.6         0.6875      0.68        0.70833333
  0.89285714]"
8,BNU_1_deter_csd_con_ROIv_scale250,no_norm,eigenvector_centrality,standard,LR,0.612244897959,0.144779741625,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.603,0.11109005356,"[ 0.75  0.6   0.55  0.6   0.5   0.6   0.45  0.65  0.65  0.5   0.65  0.75
  0.5   0.4   0.45  0.45  0.7   0.55  0.55  0.6   0.55  0.65  0.65  0.75
  0.5   0.45  0.5   0.5   0.55  0.8   0.6   0.4   0.7   0.85  0.6   0.65
  0.6   0.65  0.75  0.75  0.5   0.6   0.45  0.5   0.65  0.65  0.65  0.8
  0.7   0.75]",0.644132653061,0.203352131198,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681762301587,0.155503359068,"[ 0.86458333  0.8         0.67        0.53125     0.65625     0.5625
  0.59375     0.76        0.82142857  0.55208333  0.72619048  0.81        0.5
  0.60714286  0.47916667  0.47222222  0.765625    0.4375      0.47916667
  0.67708333  0.55        0.67857143  0.83        0.73958333  0.57291667
  0.56        0.76190476  0.6         0.54        0.85714286  0.61458333
  0.46428571  0.63095238  0.94791667  0.70238095  0.6875      0.82142857
  0.96875     0.86458333  0.75        0.47619048  0.890625    0.30208333
  0.57291667  0.78125     0.7         0.94791667  0.97        0.8125
  0.72619048]"
9,BNU_1_deter_csd_con_ROIv_scale250,no_norm,eigenvector_centrality,standard,SGD,0.622448979592,0.122453703613,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.551,0.123486841404,"[ 0.65  0.55  0.55  0.4   0.45  0.4   0.45  0.7   0.65  0.5   0.55  0.75
  0.5   0.4   0.4   0.45  0.65  0.35  0.5   0.45  0.55  0.55  0.6   0.65
  0.55  0.35  0.5   0.6   0.65  0.8   0.55  0.25  0.75  0.8   0.55  0.5
  0.5   0.6   0.75  0.65  0.55  0.55  0.35  0.5   0.6   0.5   0.55  0.75
  0.5   0.7 ]",0.772108843537,0.0636804847617,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.543454761905,0.143640461919,"[ 0.47916667  0.32        0.46        0.48958333  0.5         0.546875
  0.28125     0.42        0.5         0.5625      0.75        0.5         0.46875
  0.5         0.38541667  0.5         0.5         0.546875    0.16666667
  0.63541667  0.49        0.67857143  0.5         0.5         0.40625     0.5
  0.5         0.58        0.46        0.5         0.63541667  0.69047619
  0.6547619   0.5         0.63095238  0.60416667  0.86904762  0.5         0.5
  0.54166667  0.57142857  0.71875     0.36458333  0.5         0.75        0.66
  0.97916667  0.5         0.875       0.5       ]"
