,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_deter_dti_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.734693877551,0.124030788306,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.671,0.134197615478,"[ 0.5   0.4   0.55  0.7   0.8   0.35  0.6   0.6   0.6   0.7   0.75  0.65
  0.7   0.55  0.75  0.6   0.9   0.5   0.85  0.75  0.7   0.35  0.85  0.8
  0.7   0.7   0.6   0.55  0.65  0.9   0.6   0.75  0.8   0.6   0.6   0.55
  0.5   0.85  0.75  0.7   0.7   0.65  0.8   0.8   0.65  0.85  0.75  0.6
  0.55  0.9 ]",0.77925170068,0.175193830533,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.717904365079,0.170557144968,"[ 0.5         0.46        0.69        0.82291667  0.82291667  0.1875
  0.46875     0.7         0.6547619   0.75        0.79761905  0.71        0.625
  0.57142857  0.80208333  0.44444444  1.          0.5625      0.98958333
  0.8125      0.78        0.36904762  0.94        0.83333333  0.54166667
  0.77        0.88095238  0.68        0.58        0.78571429  0.61458333
  0.95238095  0.88095238  0.70833333  0.48809524  0.57291667  0.78571429
  0.90625     0.8125      0.72916667  0.82142857  0.8125      0.83333333
  0.78125     0.76041667  0.92        0.76041667  0.63        0.60416667
  0.98809524]"
1,BNU_1_deter_dti_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.69387755102,0.154475701571,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.587,0.15126466871,"[ 0.5   0.4   0.55  0.8   0.5   0.2   0.6   0.7   0.6   0.7   0.55  0.55
  0.45  0.45  0.65  0.2   0.5   0.45  0.85  0.8   0.8   0.35  0.75  0.55
  0.65  0.6   0.65  0.45  0.55  0.5   0.45  0.5   0.6   0.6   0.6   0.55
  0.6   0.45  0.55  0.75  0.7   0.3   0.65  0.75  0.75  0.8   0.7   0.65
  0.7   0.85]",0.778316326531,0.128057641831,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.645269444444,0.178567154726,"[ 0.53125     0.29        0.45        0.67708333  0.58333333  0.03125
  0.69791667  0.52        0.61904762  0.73958333  0.45238095  0.61
  0.453125    0.47619048  0.71875     0.55555556  0.84375     0.375
  0.88541667  0.77083333  0.61        0.25        0.94        0.8125
  0.65625     0.55        0.83333333  0.64        0.51        0.8452381
  0.51041667  0.5952381   0.61904762  0.64583333  0.78571429  0.59375
  0.64285714  0.84375     0.76041667  0.69791667  0.73809524  0.671875
  0.82291667  0.82291667  0.78125     0.77        0.6875      0.62        0.75
  0.97619048]"
2,BNU_1_deter_dti_con_aparc68+subcort,no_norm,degrees,standard,LR,0.755102040816,0.108859480125,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.717,0.142691975948,"[ 0.5   0.55  0.7   0.8   0.55  0.75  0.7   0.65  0.8   0.65  0.75  0.65
  0.7   0.35  0.8   0.7   0.7   0.6   0.9   0.9   0.8   0.45  0.8   0.8
  0.75  0.7   0.65  0.45  0.5   0.75  0.65  0.75  0.75  0.6   0.75  0.85
  0.8   0.85  0.8   1.    0.9   0.45  0.85  0.85  0.85  0.8   0.9   0.45
  0.85  0.8 ]",0.840986394558,0.119403773612,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.805451785714,0.161449204338,"[ 0.6875      0.56        0.73        0.89583333  0.42708333  0.796875
  0.8125      0.68        0.91666667  0.69791667  0.80952381  0.8         0.890625
  0.28571429  0.90625     0.75        0.78125     0.640625    1.
  0.97916667  0.95        0.46428571  0.93        0.76041667  0.875       0.84
  0.82142857  0.62        0.6         0.86904762  0.64583333  0.97619048
  0.8452381   0.69791667  0.83333333  0.96875     0.80952381  0.984375
  0.9375      1.          0.96428571  0.921875    0.92708333  0.9375
  0.79166667  0.95        0.98958333  0.53        0.84375     0.94047619]"
3,BNU_1_deter_dti_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.775510204082,0.117374047938,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.731,0.14173566947,"[ 0.55  0.65  0.6   0.8   0.55  0.6   0.8   0.65  0.8   0.7   0.9   0.75
  0.7   0.45  0.85  0.6   0.6   0.6   0.95  0.95  0.85  0.4   0.85  0.8
  0.7   0.85  0.7   0.65  0.6   0.8   0.6   0.7   0.7   0.6   0.75  0.9
  0.75  0.8   0.85  1.    0.9   0.4   0.7   0.8   0.85  0.9   0.85  0.55
  0.85  0.85]",0.869897959184,0.101308283336,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810347222222,0.147248375479,"[ 0.83333333  0.43        0.69        0.88541667  0.5         0.734375
  0.85416667  0.72        0.97619048  0.75        0.75        0.92        0.8125
  0.5         0.85416667  0.61111111  0.75        0.578125    1.
  0.97916667  0.95        0.52380952  0.93        0.75        0.89583333
  0.88        0.70238095  0.69        0.71        0.92857143  0.70833333
  0.96428571  0.89285714  0.6875      0.83333333  0.89583333  0.85714286
  0.875       0.85416667  1.          0.98809524  0.6875      0.91666667
  0.88541667  0.82291667  0.94        0.98958333  0.64        0.98958333
  1.        ]"
4,BNU_1_deter_dti_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.591836734694,0.136406856453,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.53,0.128840987267,"[ 0.65  0.6   0.5   0.6   0.3   0.35  0.5   0.45  0.55  0.65  0.55  0.6
  0.35  0.4   0.75  0.4   0.4   0.4   0.5   0.45  0.5   0.35  0.65  0.5
  0.6   0.45  0.6   0.4   0.55  0.6   0.4   0.6   0.75  0.45  0.7   0.7
  0.5   0.65  0.55  0.8   0.75  0.4   0.7   0.5   0.65  0.5   0.55  0.25
  0.6   0.35]",0.619982993197,0.204975541915,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.573760515873,0.179345377893,"[ 0.78125     0.52        0.51        0.77083333  0.29166667  0.40625
  0.59375     0.5         0.60714286  0.70833333  0.52380952  0.55
  0.421875    0.53571429  0.6875      0.13888889  0.390625    0.34375
  0.65625     0.53125     0.69        0.28571429  0.75        0.73958333
  0.48958333  0.62        0.80952381  0.21        0.57        0.54761905
  0.27083333  0.57142857  0.83333333  0.79166667  0.60714286  0.71875
  0.57142857  0.875       0.57291667  0.95833333  0.55952381  0.515625
  0.67708333  0.625       0.44791667  0.88        0.73958333  0.36        0.5625
  0.36904762]"
5,BNU_1_deter_dti_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.65306122449,0.154987874202,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.547,0.137626305625,"[ 0.6   0.5   0.45  0.55  0.45  0.35  0.5   0.5   0.5   0.65  0.55  0.55
  0.35  0.6   0.7   0.65  0.4   0.6   0.35  0.55  0.45  0.5   0.7   0.7
  0.3   0.45  0.85  0.4   0.6   0.7   0.4   0.5   0.8   0.7   0.65  0.6
  0.45  0.65  0.55  0.85  0.7   0.4   0.6   0.45  0.25  0.65  0.7   0.35
  0.5   0.6 ]",0.724829931973,0.187155691399,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.554674007937,0.209642427474,"[ 0.90625     0.47        0.53        0.69791667  0.51041667  0.3125
  0.79166667  0.54        0.53571429  0.41666667  0.51190476  0.54
  0.171875    0.70238095  0.67708333  0.19444444  0.1875      0.4375      0.625
  0.57291667  0.65        0.14285714  0.81        0.61458333  0.34375     0.7
  0.82142857  0.03        0.6         0.44047619  0.3125      0.60714286
  0.85714286  0.69791667  0.69047619  0.77083333  0.48809524  0.65625
  0.59375     0.88541667  0.75        0.5         0.76041667  0.58333333
  0.44791667  0.7         0.75        0.22        0.73958333  0.23809524]"
6,BNU_1_deter_dti_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.591836734694,0.0500705227121,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.519,0.131106826672,"[ 0.65  0.4   0.55  0.65  0.45  0.25  0.5   0.55  0.45  0.7   0.3   0.5
  0.65  0.5   0.8   0.6   0.55  0.4   0.3   0.45  0.45  0.3   0.6   0.7
  0.55  0.55  0.45  0.5   0.55  0.6   0.55  0.25  0.5   0.45  0.4   0.7
  0.5   0.65  0.45  0.7   0.65  0.4   0.75  0.55  0.3   0.65  0.55  0.4
  0.65  0.45]",0.550595238095,0.0924416451954,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.546140277778,0.143480427007,"[ 0.65625     0.44        0.62        0.61458333  0.53125     0.5
  0.54166667  0.57        0.29761905  0.63541667  0.30952381  0.33        0.71875
  0.53571429  0.8125      0.55555556  0.671875    0.453125    0.38541667
  0.5625      0.63        0.28571429  0.64        0.59375     0.42708333
  0.55        0.58333333  0.5         0.49        0.47619048  0.41666667
  0.16666667  0.55952381  0.60416667  0.46428571  0.84375     0.55952381
  0.859375    0.4375      0.72916667  0.64285714  0.625       0.75        0.53125
  0.33333333  0.67        0.61458333  0.4         0.64583333  0.53571429]"
7,BNU_1_deter_dti_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.632653061224,0.053021963497,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.503,0.130923641868,"[ 0.6   0.5   0.5   0.65  0.45  0.1   0.5   0.6   0.3   0.6   0.35  0.4
  0.7   0.55  0.7   0.4   0.5   0.4   0.45  0.45  0.55  0.3   0.65  0.55
  0.3   0.65  0.55  0.5   0.5   0.55  0.4   0.25  0.55  0.5   0.4   0.7
  0.45  0.7   0.55  0.65  0.65  0.45  0.7   0.5   0.35  0.6   0.55  0.35
  0.6   0.45]",0.607823129252,0.0538802780523,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515583333333,0.158530293267,"[ 0.61458333  0.39        0.61        0.67708333  0.44791667  0.484375
  0.4375      0.38        0.25        0.54166667  0.26190476  0.36        0.78125
  0.5952381   0.75        0.5         0.640625    0.453125    0.33333333
  0.58333333  0.6         0.0952381   0.61        0.59375     0.29166667
  0.55        0.64285714  0.35        0.55        0.57142857  0.40625
  0.3452381   0.51190476  0.55208333  0.4047619   0.69791667  0.41666667
  0.890625    0.46875     0.67708333  0.57142857  0.5625      0.85416667
  0.63541667  0.375       0.57        0.55208333  0.33        0.67708333
  0.33333333]"
8,BNU_1_deter_dti_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.673469387755,0.0630766699854,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.563,0.129154945705,"[ 0.6   0.4   0.6   0.85  0.45  0.55  0.6   0.5   0.6   0.5   0.55  0.7
  0.35  0.65  0.7   0.4   0.55  0.5   0.8   0.7   0.5   0.2   0.55  0.45
  0.6   0.35  0.6   0.4   0.6   0.75  0.65  0.45  0.6   0.55  0.5   0.65
  0.55  0.55  0.65  0.75  0.65  0.35  0.6   0.7   0.35  0.75  0.6   0.55
  0.65  0.5 ]",0.679846938776,0.148612958126,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.612640079365,0.141323605989,"[ 0.79166667  0.51        0.52        0.48958333  0.4375      0.4375
  0.4375      0.59        0.55952381  0.58333333  0.42857143  0.57
  0.640625    0.53571429  0.57291667  0.61111111  0.96875     0.546875
  0.70833333  0.71875     0.82        0.21428571  0.58        0.46875
  0.76041667  0.7         0.55952381  0.6         0.62        0.6547619
  0.65625     0.58333333  0.67857143  0.64583333  0.73809524  0.70833333
  0.54761905  0.53125     0.83333333  0.78125     0.75        0.28125
  0.5625      0.76041667  0.46875     0.71        0.55208333  0.6
  0.83333333  0.77380952]"
9,BNU_1_deter_dti_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.69387755102,0.144227313246,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.604,0.135587610053,"[ 0.7   0.5   0.65  0.85  0.35  0.6   0.55  0.55  0.5   0.55  0.5   0.75
  0.4   0.5   0.65  0.45  0.55  0.55  0.85  0.7   0.75  0.4   0.6   0.6
  0.8   0.6   0.6   0.5   0.65  0.65  0.55  0.5   0.65  0.65  0.5   0.6
  0.55  0.4   0.9   0.9   0.7   0.3   0.7   0.75  0.55  0.75  0.75  0.5
  0.5   0.65]",0.68231292517,0.0955168191233,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.626547619048,0.148060984139,"[ 0.66666667  0.4         0.66        0.83333333  0.28125     0.5         0.65625
  0.61        0.60714286  0.60416667  0.47619048  0.78        0.53125
  0.54761905  0.79166667  0.33333333  0.796875    0.515625    0.85416667
  0.72916667  0.75        0.20238095  0.71        0.53125     0.6875      0.64
  0.6547619   0.59        0.53        0.75        0.61458333  0.5952381
  0.69047619  0.625       0.71428571  0.76041667  0.77380952  0.4375
  0.9375      0.73958333  0.60714286  0.46875     0.65625     0.72916667
  0.375       0.78        0.73958333  0.55        0.64583333  0.66666667]"
