,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,BNU_1_proba_csd_con_ROIv_scale250,no_norm,bag_of_edges,standard,LR,0.785714285714,0.0493724794127,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.806,0.108461974904,"[ 0.9   0.75  0.85  0.75  0.65  0.75  0.8   0.8   0.8   0.8   0.8   0.75
  0.85  0.7   0.8   0.75  0.9   0.6   0.9   1.    1.    0.7   0.95  0.7
  0.7   0.9   0.95  0.95  0.55  0.8   0.65  0.7   0.9   0.9   0.7   0.85
  0.75  0.9   0.85  0.7   0.7   0.85  0.75  0.8   0.8   1.    0.9   0.65
  0.85  1.  ]",0.822193877551,0.124015218769,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.815860912698,0.145347061191,"[ 0.875       0.76        0.78        0.79166667  0.58333333  0.8125
  0.77083333  0.71        0.78571429  0.75        0.85714286  0.79        0.84375
  0.57142857  0.91666667  0.86111111  0.921875    0.421875    1.          1.
  1.          0.57142857  0.99        0.82291667  0.67708333  0.82        1.
  1.          0.67        0.54761905  0.57291667  0.85714286  0.98809524
  0.97916667  0.85714286  0.875       0.8452381   1.          0.89583333
  0.70833333  0.72619048  0.828125    0.72916667  0.875       0.76041667
  1.          0.84375     0.56        0.98958333  1.        ]"
1,BNU_1_proba_csd_con_ROIv_scale250,no_norm,bag_of_edges,standard,SGD,0.816326530612,0.118784938573,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.73,0.120415945788,"[ 0.8   0.75  0.65  0.7   0.6   0.8   0.7   0.7   0.4   0.7   0.8   0.8
  0.75  0.75  0.75  0.75  0.85  0.5   0.9   0.9   0.8   0.45  1.    0.7
  0.8   0.7   0.85  0.8   0.6   0.75  0.55  0.75  0.8   0.9   0.6   0.7
  0.75  0.85  0.8   0.6   0.7   0.7   0.65  0.6   0.8   0.9   0.8   0.5
  0.8   0.75]",0.882653061224,0.0965216589885,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.809526587302,0.144451671406,"[ 0.77083333  0.81        0.81        0.65625     0.71875     0.515625
  0.8125      0.9         0.8452381   0.75        0.89285714  0.68
  0.609375    0.52380952  0.84375     0.63888889  0.9375      0.5         0.96875
  0.96875     0.92        0.46428571  1.          0.90625     0.76041667
  0.76        0.95238095  0.92        0.63        0.98809524  0.57291667
  0.91666667  0.89285714  1.          0.86904762  0.83333333  0.82142857
  0.875       0.98958333  0.75        0.8452381   0.71875     0.67708333
  0.86458333  0.89583333  0.96        0.98958333  0.69        0.89583333
  0.96428571]"
2,BNU_1_proba_csd_con_ROIv_scale250,no_norm,degrees,standard,LR,0.867346938776,0.053021963497,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.836,0.0938296328459,"[ 0.9   0.7   0.8   0.8   0.8   0.9   0.8   0.75  1.    0.75  0.9   0.75
  0.75  0.75  0.8   0.85  0.9   0.6   0.95  1.    0.9   0.7   0.9   0.8
  0.8   0.8   0.9   0.8   0.7   0.85  0.7   0.95  0.9   0.75  0.9   0.9
  0.85  0.95  0.9   0.85  0.95  0.7   1.    0.9   0.85  0.9   0.85  0.65
  0.8   0.95]",0.936904761905,0.0760368615107,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.868521626984,0.132645753753,"[ 0.92708333  0.81        0.95        0.8125      0.79166667  0.875       0.875
  0.93        0.88095238  0.72916667  0.85714286  0.86        0.8125
  0.61904762  0.96875     0.61111111  0.984375    0.484375    0.90625     1.
  1.          0.58333333  1.          1.          0.95833333  0.87
  0.96428571  1.          0.74        0.85714286  0.625       0.96428571
  0.94047619  1.          0.85714286  0.82291667  0.80952381  1.          0.96875
  1.          0.97619048  0.578125    0.95833333  1.          0.98958333
  1.          0.875       0.87        0.6875      0.8452381 ]"
3,BNU_1_proba_csd_con_ROIv_scale250,no_norm,degrees,standard,SGD,0.877551020408,0.0429299672816,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.774,0.120929731663,"[ 0.9   0.6   0.6   0.85  0.75  0.9   0.85  0.6   1.    0.65  0.75  0.7
  0.75  0.55  0.75  0.6   0.8   0.55  0.95  1.    0.85  0.8   0.9   0.8
  0.8   0.75  0.8   0.75  0.75  0.8   0.65  0.95  0.7   0.8   0.75  0.75
  0.85  1.    0.8   0.9   0.85  0.55  0.85  0.9   0.85  0.75  0.8   0.55
  0.7   0.65]",0.950765306122,0.0606396802912,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.866251785714,0.132155651114,"[ 0.89583333  0.69        0.62        0.90625     0.85416667  0.9375      1.
  0.68        1.          0.66666667  0.9047619   0.86        0.921875
  0.6547619   0.92708333  0.75        0.953125    0.40625     1.          1.
  1.          0.88095238  0.89        0.92708333  0.89583333  0.98
  0.97619048  0.96        0.7         0.9047619   0.63541667  0.98809524
  0.86904762  0.91666667  0.86904762  0.95833333  0.80952381  1.
  0.80208333  0.96875     0.97619048  0.765625    0.9375      0.88541667
  1.          1.          0.91666667  0.6         0.80208333  0.86904762]"
4,BNU_1_proba_csd_con_ROIv_scale250,no_norm,closeness_centrality,standard,LR,0.795918367347,0.103044946066,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.784,0.0997196068985,"[ 0.7   0.8   0.8   0.65  0.8   0.7   0.75  0.8   0.9   0.65  0.85  0.9
  0.7   0.6   0.75  0.85  0.85  0.75  0.95  0.8   0.65  0.75  0.95  1.    0.9
  0.65  0.75  0.9   0.55  0.75  0.6   0.8   0.8   0.75  0.85  0.7   0.85
  0.9   0.85  0.85  0.75  0.8   0.75  0.8   0.75  0.7   0.95  0.85  0.85
  0.65]",0.850467687075,0.112743984065,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.82942797619,0.125878038542,"[ 0.67708333  0.61        0.89        0.75        0.83333333  0.921875
  0.80208333  0.86        0.88095238  0.61458333  1.          0.97        0.75
  0.55952381  0.875       0.66666667  0.890625    0.515625    0.94791667
  1.          0.84        0.73214286  0.96        0.98958333  0.83333333
  0.73        0.71428571  0.99        0.69        0.9047619   0.61458333
  1.          0.83333333  0.9375      0.97619048  0.83333333  0.97619048
  0.921875    0.96875     0.875       0.8452381   0.84375     0.81770833
  0.86458333  0.76041667  0.72        1.          0.73        0.79166667
  0.76190476]"
5,BNU_1_proba_csd_con_ROIv_scale250,no_norm,closeness_centrality,standard,SGD,0.826530612245,0.0916538870094,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.771,0.101039596199,"[ 0.6   0.85  0.75  0.65  0.8   0.7   0.7   0.75  0.9   0.7   0.65  0.85
  0.6   0.55  0.8   0.85  0.8   0.65  0.9   0.75  0.75  0.55  0.85  0.85
  0.9   0.75  0.9   0.8   0.55  0.7   0.7   0.75  0.8   0.85  0.9   0.75
  0.85  0.85  0.95  0.85  0.85  0.75  0.75  0.8   0.75  0.7   0.95  0.85
  0.8   0.7 ]",0.871301020408,0.0869445189007,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.883966865079,0.105414575638,"[ 0.73958333  0.89        0.86        0.83333333  0.9375      0.953125
  0.85416667  0.84        0.95238095  0.70833333  1.          0.96        0.84375
  0.5         0.9375      0.94444444  0.890625    0.609375    0.98958333
  1.          0.94        0.70833333  1.          0.95833333  0.91666667
  0.88        0.96428571  0.9         0.78        0.79761905  0.67708333
  0.98809524  0.9047619   0.95833333  0.94047619  0.89583333  0.95238095
  0.921875    0.94791667  0.95833333  0.92857143  0.96875     0.86979167
  0.83333333  0.80208333  0.99        1.          0.92        0.85416667
  0.79761905]"
6,BNU_1_proba_csd_con_ROIv_scale250,no_norm,betweenness_centrality,standard,LR,0.69387755102,0.110127419376,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.625,0.120519707932,"[ 0.45  0.5   0.5   0.55  0.8   0.4   0.75  0.7   0.8   0.6   0.6   0.65
  0.4   0.65  0.6   0.6   0.65  0.6   0.55  0.75  0.7   0.65  0.5   0.7
  0.4   0.45  0.75  0.75  0.5   0.65  0.45  0.65  0.85  0.7   0.7   0.75
  0.7   0.65  0.65  0.75  0.65  0.4   0.55  0.65  0.4   0.75  0.65  0.7
  0.75  0.75]",0.727848639456,0.142921887534,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.658021825397,0.142050025535,"[ 0.85416667  0.48        0.48        0.5625      0.546875    0.515625
  0.63541667  0.58        0.88095238  0.44791667  0.60714286  0.48        0.53125
  0.58333333  0.64583333  0.47222222  0.6875      0.515625    0.58333333
  0.78125     0.84        0.60714286  0.5         0.64583333  0.77083333
  0.38        0.71428571  0.79        0.63        0.67857143  0.52083333
  0.91666667  0.77380952  0.69791667  0.83333333  0.85416667  0.48809524
  0.9375      0.76041667  0.84375     0.71428571  0.515625    0.5         0.59375
  0.72916667  0.72        0.88541667  0.72        0.80208333  0.66666667]"
7,BNU_1_proba_csd_con_ROIv_scale250,no_norm,betweenness_centrality,standard,SGD,0.714285714286,0.09583148475,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.598,0.110887330205,"[ 0.6   0.4   0.6   0.55  0.6   0.45  0.7   0.7   0.75  0.6   0.55  0.6
  0.55  0.7   0.5   0.6   0.45  0.55  0.7   0.65  0.7   0.65  0.55  0.55
  0.5   0.55  0.6   0.6   0.7   0.45  0.5   0.6   0.75  0.6   0.9   0.8
  0.4   0.5   0.6   0.65  0.7   0.6   0.45  0.55  0.5   0.7   0.75  0.4
  0.5   0.8 ]",0.723724489796,0.122083185559,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.622211904762,0.151995038487,"[ 0.54166667  0.36        0.68        0.41666667  0.60416667  0.515625
  0.72916667  0.57        0.71428571  0.47916667  0.5952381   0.64        0.34375
  0.66666667  0.59375     0.66666667  0.40625     0.421875    0.85416667
  0.77083333  0.74        0.58333333  0.57        0.63541667  0.5         0.45
  0.89285714  0.78        0.49        0.35714286  0.5625      0.70238095
  0.85714286  0.54166667  0.86904762  0.79166667  0.42857143  0.6875      0.5
  0.5625      0.72619048  0.5625      0.5         0.94791667  0.61458333
  0.91        0.61458333  0.62        0.78125     0.76190476]"
8,BNU_1_proba_csd_con_ROIv_scale250,no_norm,eigenvector_centrality,standard,LR,0.561224489796,0.0796383374831,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.573,0.111449540152,"[ 0.5   0.6   0.65  0.65  0.6   0.4   0.4   0.55  0.65  0.6   0.55  0.65
  0.55  0.4   0.55  0.65  0.55  0.35  0.65  0.7   0.5   0.55  0.55  0.5
  0.7   0.45  0.75  0.7   0.6   0.75  0.5   0.3   0.6   0.7   0.65  0.65
  0.5   0.55  0.65  0.6   0.5   0.55  0.35  0.55  0.6   0.6   0.65  0.65
  0.4   0.85]",0.573894557823,0.148336212782,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.605542063492,0.131894833789,"[ 0.73958333  0.6         0.53        0.63541667  0.67708333  0.5625
  0.46875     0.52        0.47619048  0.53125     0.60714286  0.74
  0.515625    0.41666667  0.625       0.47222222  0.546875    0.359375
  0.79166667  0.63541667  0.56        0.33333333  0.65        0.58333333
  0.67708333  0.4         0.77380952  0.8         0.65        0.86904762
  0.54166667  0.4047619   0.64285714  0.78125     0.75        0.6875      0.75
  0.640625    0.78125     0.60416667  0.29761905  0.65625     0.4375
  0.53125     0.71875     0.61        0.71875     0.73        0.53125
  0.71428571]"
9,BNU_1_proba_csd_con_ROIv_scale250,no_norm,eigenvector_centrality,standard,SGD,0.622448979592,0.0700300405583,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.572,0.128124939024,"[ 0.6   0.8   0.45  0.55  0.55  0.4   0.45  0.45  0.6   0.7   0.55  0.7
  0.6   0.35  0.5   0.65  0.55  0.75  0.65  0.6   0.4   0.3   0.6   0.55
  0.55  0.55  0.7   0.65  0.55  0.8   0.55  0.3   0.45  0.7   0.45  0.6
  0.75  0.6   0.75  0.75  0.5   0.55  0.35  0.45  0.55  0.75  0.75  0.5
  0.5   0.7 ]",0.684693877551,0.183648244835,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.620540674603,0.161286767456,"[ 0.76041667  0.66        0.35        0.54166667  0.79166667  0.5
  0.55208333  0.42        0.57142857  0.52083333  0.51190476  0.67
  0.453125    0.39285714  0.59375     0.77777778  0.46875     0.453125
  0.82291667  0.60416667  0.58        0.33333333  0.86        0.64583333
  0.61458333  0.38        0.82142857  0.63        0.64        0.9047619
  0.5         0.28571429  0.41666667  0.86458333  0.80952381  0.72916667
  0.79761905  0.6875      0.79166667  0.6875      0.53571429  0.734375
  0.60416667  0.47916667  0.6875      0.85        0.91666667  0.71
  0.45833333  0.6547619 ]"
