,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.536666666667,0.153260852434,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.513666666667,0.109071332419,"[ 0.56666667  0.51666667  0.55        0.46666667  0.6         0.53333333
  0.46666667  0.46666667  0.58333333  0.7         0.43333333  0.6
  0.46666667  0.56666667  0.2         0.55        0.38333333  0.58333333
  0.51666667  0.6         0.56666667  0.6         0.38333333  0.45        0.45
  0.31666667  0.55        0.56666667  0.76666667  0.5         0.6
  0.41666667  0.58333333  0.6         0.2         0.5         0.6
  0.56666667  0.58333333  0.61666667  0.56666667  0.5         0.63333333
  0.6         0.51666667  0.51666667  0.43333333  0.43333333  0.41666667
  0.3       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csa_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.516666666667,0.179195734076,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.532333333333,0.122311533026,"[ 0.45        0.73333333  0.66666667  0.63333333  0.6         0.38333333
  0.51666667  0.41666667  0.55        0.83333333  0.65        0.5
  0.58333333  0.43333333  0.35        0.6         0.26666667  0.61666667
  0.58333333  0.46666667  0.4         0.53333333  0.51666667  0.56666667
  0.38333333  0.3         0.78333333  0.55        0.58333333  0.56666667
  0.53333333  0.41666667  0.6         0.58333333  0.28333333  0.63333333
  0.51666667  0.6         0.58333333  0.6         0.58333333  0.6
  0.53333333  0.58333333  0.6         0.58333333  0.35        0.26666667
  0.58333333  0.56666667]",0.535305555556,0.276754314541,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.538048888889,0.212382321996,"[ 0.61625     0.826       0.49555556  0.3875      0.63666667  0.60875
  0.40875     0.415       0.55625     0.88375     0.73        0.47        0.4725
  0.54375     0.138       0.426       0.18        0.456       0.6         0.42875
  0.71625     0.53        0.38666667  0.99        0.46888889  0.06444444
  0.80555556  0.64625     0.83888889  0.404       0.83111111  0.50375
  0.70333333  0.6275      0.04        0.822       0.655       0.75666667
  0.69375     0.59777778  0.5025      0.39555556  0.4925      0.49666667
  0.776       0.67222222  0.20125     0.36555556  0.16555556  0.47333333]"
2,HNU_1_deter_csa_con_ROIv_scale60,binar,degrees,standard,LR,0.516666666667,0.0632455532034,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.454,0.131172490341,"[ 0.45        0.51666667  0.56666667  0.28333333  0.46666667  0.38333333
  0.38333333  0.35        0.65        0.73333333  0.5         0.3
  0.36666667  0.53333333  0.23333333  0.31666667  0.28333333  0.56666667
  0.45        0.45        0.36666667  0.53333333  0.5         0.66666667
  0.51666667  0.21666667  0.4         0.58333333  0.51666667  0.46666667
  0.6         0.43333333  0.65        0.4         0.08333333  0.43333333
  0.56666667  0.6         0.55        0.51666667  0.63333333  0.45
  0.36666667  0.48333333  0.28333333  0.58333333  0.41666667  0.46666667
  0.25        0.38333333]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_csa_con_ROIv_scale60,binar,degrees,standard,SGD,0.49,0.143990740443,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.429,0.106029870005,"[ 0.4         0.46666667  0.56666667  0.5         0.28333333  0.35
  0.36666667  0.38333333  0.58333333  0.58333333  0.3         0.3
  0.46666667  0.51666667  0.2         0.45        0.21666667  0.48333333
  0.45        0.55        0.43333333  0.48333333  0.41666667  0.33333333
  0.43333333  0.26666667  0.48333333  0.28333333  0.68333333  0.41666667
  0.56666667  0.41666667  0.63333333  0.28333333  0.3         0.55
  0.48333333  0.53333333  0.41666667  0.48333333  0.41666667  0.4         0.35
  0.38333333  0.4         0.46666667  0.3         0.5         0.5
  0.41666667]",0.515833333333,0.243849781729,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.536816666667,0.186695645072,"[ 0.5825      0.748       0.64777778  0.71125     0.59333333  0.61125
  0.50375     0.33875     0.61375     0.8175      0.716       0.42        0.5075
  0.6275      0.172       0.46        0.235       0.508       0.41222222
  0.5875      0.5975      0.56333333  0.37222222  0.988       0.52666667
  0.10444444  0.71444444  0.465       0.68555556  0.386       0.75777778
  0.5825      0.72777778  0.425       0.06        0.594       0.7825
  0.87444444  0.6075      0.58555556  0.53875     0.40444444  0.365
  0.45444444  0.508       0.64555556  0.2775      0.61222222  0.29111111
  0.53      ]"
4,HNU_1_deter_csa_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.526666666667,0.0703957069398,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.497666666667,0.132665410379,"[ 0.48333333  0.6         0.58333333  0.35        0.41666667  0.33333333
  0.43333333  0.33333333  0.43333333  0.76666667  0.51666667  0.33333333
  0.38333333  0.65        0.25        0.53333333  0.26666667  0.7
  0.48333333  0.5         0.46666667  0.53333333  0.55        0.63333333
  0.63333333  0.31666667  0.51666667  0.55        0.83333333  0.55
  0.56666667  0.5         0.66666667  0.38333333  0.21666667  0.43333333
  0.58333333  0.56666667  0.56666667  0.66666667  0.55        0.48333333
  0.4         0.63333333  0.63333333  0.56666667  0.38333333  0.33333333
  0.4         0.41666667]",0.538027777778,0.19566068828,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.517732222222,0.189802108833,"[ 0.59625     0.734       0.66777778  0.45625     0.59444444  0.3375
  0.37375     0.205       0.53125     0.85875     0.748       0.43        0.5475
  0.5925      0.118       0.466       0.1375      0.482       0.49888889
  0.59875     0.46625     0.59444444  0.55222222  0.968       0.54555556
  0.13777778  0.54777778  0.64375     0.78        0.456       0.62777778
  0.45625     0.75888889  0.295       0.07375     0.546       0.7575
  0.67444444  0.41125     0.58222222  0.45875     0.55888889  0.37        0.46
  0.79        0.71555556  0.31        0.49333333  0.46111111  0.42      ]"
5,HNU_1_deter_csa_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.53,0.1018713786,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.455,0.153161135192,"[ 0.43333333  0.4         0.78333333  0.3         0.53333333  0.38333333
  0.43333333  0.43333333  0.5         0.73333333  0.28333333  0.38333333
  0.31666667  0.53333333  0.2         0.38333333  0.18333333  0.41666667
  0.53333333  0.46666667  0.48333333  0.53333333  0.66666667  0.26666667
  0.45        0.25        0.51666667  0.4         0.7         0.51666667
  0.8         0.4         0.7         0.3         0.2         0.26666667
  0.56666667  0.56666667  0.6         0.61666667  0.48333333  0.48333333
  0.43333333  0.65        0.25        0.6         0.4         0.4
  0.26666667  0.35      ]",0.549472222222,0.176549367069,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524298888889,0.21060116404,"[ 0.625       0.706       0.84555556  0.33625     0.52222222  0.40375
  0.4175      0.2525      0.51625     0.87125     0.87        0.3825      0.495
  0.515       0.084       0.462       0.11875     0.466       0.53222222
  0.63375     0.525       0.61444444  0.61555556  0.972       0.45222222
  0.09111111  0.58222222  0.65875     0.77888889  0.516       0.84444444
  0.4675      0.78666667  0.21375     0.16        0.624       0.67125
  0.62555556  0.63125     0.64777778  0.4275      0.47888889  0.43625
  0.54222222  0.798       0.67777778  0.39375     0.41444444  0.11777778
  0.39444444]"
6,HNU_1_deter_csa_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.646666666667,0.0915302014516,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.650333333333,0.144202404048,"[ 0.63333333  0.63333333  0.78333333  0.36666667  0.86666667  0.75
  0.78333333  0.66666667  0.53333333  0.71666667  0.65        0.75
  0.71666667  0.75        0.2         0.55        0.61666667  0.68333333
  0.71666667  0.65        0.63333333  0.75        0.73333333  0.6
  0.63333333  0.43333333  0.88333333  0.71666667  0.85        0.61666667
  0.78333333  0.76666667  0.78333333  0.73333333  0.23333333  0.63333333
  0.6         0.58333333  0.81666667  0.55        0.88333333  0.51666667
  0.6         0.65        0.46666667  0.76666667  0.58333333  0.66666667
  0.53333333  0.5       ]",0.654666666667,0.186224894737,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.692885,0.186364255121,"[ 0.70125     0.712       0.85111111  0.52875     0.95222222  0.81625
  0.89625     0.6425      0.455       0.73125     0.808       0.60875     0.77
  0.75875     0.114       0.83        0.57375     0.43        0.75        0.70125
  0.66125     0.82        0.78444444  0.934       0.56111111  0.39555556
  0.92222222  0.69625     0.92222222  0.396       0.87        0.8175      0.73
  0.78        0.18125     0.616       0.77375     0.58222222  0.88125
  0.47555556  0.95        0.52444444  0.6375      0.74111111  0.888
  0.78333333  0.78375     0.81222222  0.47888889  0.61333333]"
7,HNU_1_deter_csa_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.66,0.0637704215657,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596,0.147744524245,"[ 0.66666667  0.56666667  0.6         0.35        0.5         0.71666667
  0.81666667  0.61666667  0.53333333  0.65        0.63333333  0.76666667
  0.73333333  0.8         0.21666667  0.4         0.61666667  0.43333333
  0.73333333  0.65        0.68333333  0.78333333  0.5         0.53333333
  0.51666667  0.55        0.88333333  0.66666667  0.83333333  0.36666667
  0.5         0.7         0.8         0.45        0.23333333  0.38333333
  0.58333333  0.61666667  0.66666667  0.58333333  0.61666667  0.56666667
  0.65        0.73333333  0.45        0.75        0.5         0.66666667
  0.55        0.48333333]",0.685027777778,0.193365426774,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.614776111111,0.186522738693,"[ 0.7475      0.644       0.75        0.635       0.87111111  0.59125     0.87
  0.62375     0.43875     0.73875     0.558       0.58125     0.8425
  0.4675      0.164       0.876       0.5025      0.404       0.52111111
  0.69        0.375       0.75444444  0.81777778  0.986       0.55
  0.43111111  0.78444444  0.7025      0.61        0.396       0.87888889
  0.57875     0.69888889  0.47625     0.0825      0.526       0.835
  0.46888889  0.775       0.43111111  0.77125     0.51111111  0.6625
  0.70888889  0.538       0.73111111  0.37375     0.80777778  0.55
  0.40888889]"
8,HNU_1_deter_csa_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.503333333333,0.0974109279747,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.465,0.131244047484,"[ 0.46666667  0.51666667  0.6         0.31666667  0.46666667  0.38333333
  0.41666667  0.31666667  0.68333333  0.71666667  0.51666667  0.4         0.35
  0.58333333  0.26666667  0.35        0.3         0.53333333  0.48333333
  0.53333333  0.36666667  0.51666667  0.45        0.56666667  0.53333333
  0.28333333  0.56666667  0.63333333  0.61666667  0.48333333  0.58333333
  0.46666667  0.71666667  0.41666667  0.1         0.35        0.68333333
  0.53333333  0.53333333  0.43333333  0.6         0.43333333  0.33333333
  0.45        0.36666667  0.6         0.46666667  0.41666667  0.21666667
  0.33333333]",0.500833333333,0.226480179276,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.491918888889,0.19362268209,"[ 0.52875     0.67        0.61111111  0.45        0.37        0.58        0.41875
  0.22125     0.64125     0.80875     0.484       0.38875     0.51125
  0.54375     0.122       0.234       0.095       0.558       0.43888889
  0.66        0.38375     0.59555556  0.41333333  0.992       0.49666667
  0.1         0.49333333  0.52625     0.72        0.38        0.55555556
  0.43875     0.81333333  0.3675      0.055       0.814       0.81375
  0.67555556  0.45875     0.53        0.47375     0.45111111  0.29
  0.43444444  0.61        0.64        0.3325      0.59555556  0.40888889
  0.40111111]"
9,HNU_1_deter_csa_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.51,0.10677078252,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.452666666667,0.129372846198,"[ 0.38333333  0.4         0.7         0.43333333  0.5         0.45        0.4
  0.41666667  0.61666667  0.61666667  0.3         0.43333333  0.31666667
  0.55        0.25        0.38333333  0.25        0.45        0.45        0.65
  0.4         0.53333333  0.48333333  0.4         0.41666667  0.26666667
  0.51666667  0.48333333  0.58333333  0.41666667  0.66666667  0.38333333
  0.71666667  0.36666667  0.1         0.36666667  0.58333333  0.53333333
  0.5         0.55        0.51666667  0.53333333  0.31666667  0.6         0.3
  0.61666667  0.35        0.55        0.26666667  0.36666667]",0.520805555556,0.181633287793,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.509030555556,0.19508360856,"[ 0.50125     0.714       0.62777778  0.52        0.52888889  0.60125     0.43
  0.20625     0.65875     0.83        0.584       0.395       0.43375
  0.60625     0.142       0.328       0.12125     0.588       0.49        0.69
  0.355       0.61333333  0.46444444  0.972       0.45222222  0.12666667
  0.52444444  0.5475      0.64666667  0.396       0.74888889  0.41375
  0.83777778  0.37125     0.06125     0.794       0.79875     0.55444444
  0.51875     0.53333333  0.60625     0.55777778  0.2925      0.52        0.532
  0.67333333  0.335       0.59        0.19888889  0.41888889]"
