,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.556666666667,0.142439070795,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.562,0.119862884627,"[ 0.6         0.63333333  0.58333333  0.5         0.7         0.51666667
  0.51666667  0.51666667  0.68333333  0.68333333  0.61666667  0.46666667
  0.61666667  0.63333333  0.31666667  0.65        0.28333333  0.46666667
  0.58333333  0.61666667  0.73333333  0.56666667  0.61666667  0.4         0.5
  0.33333333  0.78333333  0.66666667  0.7         0.58333333  0.8
  0.33333333  0.65        0.61666667  0.3         0.5         0.56666667
  0.76666667  0.58333333  0.61666667  0.6         0.61666667  0.48333333
  0.53333333  0.56666667  0.58333333  0.43333333  0.48333333  0.48333333
  0.51666667]",0.525527777778,0.248486380877,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.56598,0.176060003366,"[ 0.68375     0.772       0.54888889  0.475       0.74555556  0.4425
  0.5475      0.465       0.66125     0.665       0.68        0.40625
  0.56375     0.60125     0.148       0.618       0.25625     0.408
  0.63222222  0.62375     0.6775      0.49777778  0.66333333  0.852
  0.54777778  0.30666667  0.87444444  0.66125     0.77222222  0.264       0.86
  0.2725      0.75222222  0.645       0.09125     0.43        0.65875
  0.81444444  0.57625     0.72222222  0.66        0.71666667  0.51875
  0.50111111  0.592       0.61111111  0.5125      0.43333333  0.41666667
  0.45333333]"
1,HNU_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.536666666667,0.130554373517,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.526666666667,0.136341075575,"[ 0.43333333  0.63333333  0.5         0.46666667  0.78333333  0.43333333
  0.38333333  0.56666667  0.66666667  0.75        0.61666667  0.35        0.55
  0.51666667  0.45        0.8         0.3         0.58333333  0.43333333
  0.36666667  0.46666667  0.53333333  0.61666667  0.48333333  0.71666667
  0.35        0.75        0.31666667  0.63333333  0.48333333  0.73333333
  0.56666667  0.63333333  0.68333333  0.23333333  0.36666667  0.43333333
  0.65        0.61666667  0.46666667  0.58333333  0.73333333  0.45
  0.58333333  0.41666667  0.45        0.53333333  0.45        0.46666667
  0.35      ]",0.582125,0.111767277782,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.530311666667,0.104205787512,"[ 0.579375    0.642       0.505       0.409375    0.61166667  0.299375
  0.479375    0.56125     0.48375     0.854375    0.53        0.500625
  0.53875     0.64        0.674       0.5         0.536875    0.501
  0.32111111  0.336875    0.560625    0.58333333  0.57555556  0.534
  0.61666667  0.54166667  0.59611111  0.489375    0.67833333  0.572
  0.55166667  0.44125     0.44777778  0.48875     0.378125    0.43
  0.291875    0.48333333  0.653125    0.45444444  0.708125    0.61555556
  0.501875    0.51722222  0.548       0.48444444  0.623125    0.54277778
  0.56666667  0.535     ]"
2,HNU_1_deter_csd_con_aparc150+subcort,binar,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.514527777778,0.16426486065,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.570038333333,0.202459268948,"[ 0.70125     0.83        0.62444444  0.35875     0.79222222  0.715       0.4925
  0.2675      0.83875     0.7575      0.688       0.535       0.555       0.3575
  0.23        0.624       0.08625     0.238       0.50444444  0.69125
  0.68125     0.52666667  0.70777778  0.898       0.65333333  0.17111111
  0.68666667  0.595       0.76555556  0.556       0.58555556  0.57
  0.82666667  0.64        0.04875     0.262       0.785       0.82333333
  0.76125     0.68222222  0.56375     0.52444444  0.47        0.67444444
  0.548       0.72444444  0.47        0.48111111  0.29888889  0.63333333]"
3,HNU_1_deter_csd_con_aparc150+subcort,binar,degrees,standard,SGD,0.493333333333,0.0885688683706,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.478,0.14171332565,"[ 0.51666667  0.56666667  0.66666667  0.41666667  0.71666667  0.43333333
  0.4         0.25        0.7         0.68333333  0.56666667  0.41666667
  0.3         0.41666667  0.31666667  0.25        0.28333333  0.38333333
  0.51666667  0.51666667  0.66666667  0.5         0.63333333  0.36666667
  0.51666667  0.31666667  0.56666667  0.43333333  0.66666667  0.48333333
  0.61666667  0.4         0.53333333  0.51666667  0.13333333  0.31666667
  0.45        0.68333333  0.53333333  0.68333333  0.56666667  0.41666667
  0.45        0.63333333  0.2         0.58333333  0.41666667  0.46666667
  0.3         0.53333333]",0.513361111111,0.24296551348,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.544202222222,0.187513123988,"[ 0.6025      0.796       0.61111111  0.455       0.68222222  0.42        0.51375
  0.31125     0.7575      0.75125     0.882       0.32        0.515
  0.58375     0.272       0.526       0.1975      0.424       0.38111111
  0.52875     0.73875     0.59888889  0.45444444  0.958       0.63444444
  0.17444444  0.80555556  0.5275      0.70666667  0.25        0.74333333
  0.51        0.83222222  0.5875      0.0925      0.48        0.68375
  0.80666667  0.66625     0.49555556  0.5175      0.45444444  0.40375     0.53
  0.496       0.71111111  0.38125     0.57666667  0.43666667  0.42555556]"
4,HNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.553333333333,0.163095064303,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.589333333333,0.129647385027,"[ 0.43333333  0.58333333  0.58333333  0.46666667  0.51666667  0.68333333
  0.46666667  0.56666667  0.76666667  0.75        0.46666667  0.46666667
  0.55        0.7         0.55        0.7         0.28333333  0.75
  0.81666667  0.71666667  0.63333333  0.73333333  0.71666667  0.63333333
  0.5         0.36666667  0.61666667  0.6         0.75        0.73333333
  0.58333333  0.4         0.58333333  0.63333333  0.43333333  0.7
  0.56666667  0.51666667  0.48333333  0.53333333  0.35        0.53333333
  0.73333333  0.63333333  0.81666667  0.5         0.58333333  0.83333333
  0.48333333  0.46666667]",0.566944444444,0.257201223045,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.648081944444,0.155186999808,"[ 0.903125    0.854       0.63888889  0.448125    0.60888889  0.74625
  0.5075      0.495       0.768125    0.82125     0.472       0.44625
  0.5075      0.746875    0.427       0.527       0.2425      0.694
  0.85055556  0.75125     0.628125    0.88222222  0.81555556  0.722
  0.57166667  0.40777778  0.69166667  0.694375    0.83888889  0.703
  0.84333333  0.40875     0.67611111  0.68125     0.515625    0.754
  0.65625     0.51333333  0.623125    0.50277778  0.51875     0.61666667
  0.830625    0.74388889  0.917       0.54555556  0.69125     0.85833333
  0.59222222  0.50388889]"
5,HNU_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.556666666667,0.130639452948,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.476666666667,0.161520552528,"[ 0.31666667  0.18333333  0.45        0.4         0.66666667  0.43333333
  0.38333333  0.43333333  0.61666667  0.66666667  0.35        0.56666667
  0.36666667  0.58333333  0.25        0.43333333  0.25        0.38333333
  0.76666667  0.6         0.31666667  0.61666667  0.66666667  0.28333333
  0.51666667  0.33333333  0.68333333  0.45        0.71666667  0.16666667
  0.53333333  0.36666667  0.73333333  0.7         0.36666667  0.21666667
  0.46666667  0.56666667  0.61666667  0.6         0.6         0.5
  0.61666667  0.63333333  0.16666667  0.63333333  0.41666667  0.51666667
  0.26666667  0.46666667]",0.610416666667,0.193721194593,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.591139166667,0.194877366957,"[ 0.64125     0.912       0.53555556  0.356875    0.68444444  0.545625
  0.41375     0.44875     0.74625     0.73375     0.84        0.6025
  0.48625     0.734375    0.157       0.402       0.07        0.46
  0.81055556  0.6225      0.6         0.65888889  0.62888889  0.91
  0.57111111  0.26888889  0.77777778  0.82125     0.75944444  0.554       0.61
  0.365       0.85555556  0.7525      0.230625    0.658       0.6075
  0.67444444  0.613125    0.53944444  0.67125     0.57666667  0.6975
  0.64777778  0.91        0.68111111  0.55        0.53777778  0.13888889
  0.48611111]"
6,HNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.653333333333,0.171075032271,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.637,0.122396895385,"[ 0.7         0.71666667  0.65        0.71666667  0.63333333  0.66666667
  0.61666667  0.45        0.68333333  0.65        0.63333333  0.8
  0.56666667  0.68333333  0.55        0.75        0.53333333  0.6
  0.76666667  0.51666667  0.86666667  0.46666667  0.8         0.48333333
  0.81666667  0.48333333  0.65        0.85        0.66666667  0.56666667
  0.63333333  0.63333333  0.76666667  0.81666667  0.41666667  0.51666667
  0.58333333  0.86666667  0.63333333  0.58333333  0.8         0.51666667
  0.4         0.56666667  0.73333333  0.65        0.48333333  0.41666667
  0.68333333  0.61666667]",0.696527777778,0.2090963804,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.6862,0.18342116768,"[ 0.82125     0.818       0.64333333  0.84875     0.79888889  0.69625
  0.70375     0.5225      0.8425      0.69625     0.762       0.8875
  0.67375     0.7875      0.598       0.89        0.54875     0.452
  0.86555556  0.35375     0.92875     0.39        0.90333333  0.644
  0.90666667  0.45777778  0.73        0.86125     0.78111111  0.522
  0.65666667  0.76875     0.83666667  0.94375     0.3275      0.116
  0.66875     0.90222222  0.69125     0.63555556  0.91625     0.56666667
  0.37625     0.55666667  0.778       0.76111111  0.525       0.48111111
  0.73        0.73666667]"
7,HNU_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.623333333333,0.157268348161,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.535333333333,0.173642032802,"[ 0.56666667  0.16666667  0.65        0.6         0.63333333  0.63333333
  0.58333333  0.45        0.55        0.65        0.21666667  0.7
  0.56666667  0.63333333  0.4         0.16666667  0.45        0.38333333
  0.75        0.45        0.31666667  0.46666667  0.8         0.3
  0.81666667  0.48333333  0.65        0.81666667  0.66666667  0.4
  0.63333333  0.53333333  0.75        0.65        0.31666667  0.18333333
  0.6         0.86666667  0.63333333  0.58333333  0.56666667  0.46666667
  0.4         0.5         0.21666667  0.66666667  0.53333333  0.45
  0.68333333  0.61666667]",0.69675,0.209101723724,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.68877,0.186222529505,"[ 0.82125     0.818       0.64333333  0.94625     0.79888889  0.69625
  0.70375     0.5225      0.8425      0.69625     0.762       0.8875
  0.67375     0.7875      0.588       0.89        0.54875     0.444
  0.86555556  0.34375     0.92875     0.39        0.90333333  0.64
  0.91777778  0.44888889  0.73        0.86125     0.78111111  0.522
  0.65666667  0.76875     0.83666667  0.94375     0.3125      0.124
  0.66875     0.90222222  0.69125     0.63555556  0.91625     0.56666667
  0.37625     0.62444444  0.778       0.76111111  0.525       0.48111111
  0.73        0.73666667]"
8,HNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.515,0.164730513188,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.582476666667,0.206320458549,"[ 0.71875     0.826       0.58        0.36625     0.82333333  0.74625     0.52
  0.30125     0.8475      0.78375     0.72        0.55        0.5475      0.385
  0.236       0.616       0.04375     0.254       0.61444444  0.72125
  0.64625     0.55333333  0.78777778  0.932       0.62666667  0.15888889
  0.7         0.6325      0.76444444  0.53        0.55444444  0.65        0.9
  0.66125     0.075       0.344       0.78875     0.83444444  0.75875     0.7
  0.5225      0.51333333  0.485       0.59777778  0.54        0.76333333
  0.44125     0.45333333  0.35666667  0.65111111]"
9,HNU_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.483333333333,0.0722649446289,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.483,0.142302104302,"[ 0.48333333  0.51666667  0.66666667  0.4         0.7         0.51666667
  0.4         0.33333333  0.7         0.68333333  0.6         0.41666667
  0.3         0.48333333  0.3         0.28333333  0.23333333  0.36666667
  0.58333333  0.61666667  0.55        0.48333333  0.71666667  0.36666667
  0.55        0.21666667  0.58333333  0.45        0.6         0.41666667
  0.56666667  0.53333333  0.56666667  0.55        0.18333333  0.31666667
  0.43333333  0.68333333  0.5         0.63333333  0.55        0.51666667
  0.43333333  0.58333333  0.2         0.66666667  0.33333333  0.46666667
  0.31666667  0.6       ]",0.516194444444,0.245789883166,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.554039444444,0.192080829508,"[ 0.59375     0.816       0.58222222  0.475       0.66888889  0.46625
  0.51375     0.305       0.7775      0.7825      0.91        0.35375
  0.5175      0.62375     0.292       0.486       0.18        0.414
  0.50111111  0.56625     0.73        0.59222222  0.54555556  0.968
  0.65666667  0.15333333  0.79111111  0.59        0.74555556  0.24
  0.72888889  0.54125     0.88444444  0.62625     0.10125     0.528       0.7175
  0.8         0.64125     0.46222222  0.49125     0.45666667  0.42875
  0.52555556  0.462       0.72        0.32125     0.56444444  0.43666667
  0.42666667]"
