,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.55,0.115950180873,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.597333333333,0.132470541799,"[ 0.53333333  0.65        0.53333333  0.65        0.56666667  0.53333333
  0.58333333  0.55        0.61666667  0.81666667  0.8         0.45        0.6
  0.55        0.5         0.65        0.31666667  0.68333333  0.81666667
  0.45        0.88333333  0.6         0.36666667  0.66666667  0.5         0.5
  0.8         0.6         0.61666667  0.76666667  0.75        0.45        0.55
  0.75        0.41666667  0.68333333  0.56666667  0.75        0.71666667
  0.61666667  0.73333333  0.58333333  0.56666667  0.68333333  0.63333333
  0.46666667  0.46666667  0.6         0.25        0.48333333]",0.6,0.200393440173,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.663077222222,0.214744258413,"[ 0.7725      0.996       0.54111111  0.69875     0.63666667  0.5975
  0.6175      0.5775      0.645       0.915       0.914       0.3075
  0.6525      0.6         0.136       0.6         0.2325      0.794
  0.91222222  0.235       0.9175      0.67666667  0.35666667  0.996
  0.52111111  0.52        0.93888889  0.74625     0.67444444  0.78
  0.85333333  0.475       0.53666667  0.7975      0.35125     0.892       0.8625
  0.90333333  0.8225      0.64222222  0.91625     0.65555556  0.56875
  0.78888889  0.936       0.69555556  0.62        0.57333333  0.23222222
  0.52222222]"
1,HNU_1_deter_dti_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.553333333333,0.0784573486396,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.461,0.0967017177832,"[ 0.5         0.55        0.5         0.63333333  0.46666667  0.4
  0.48333333  0.51666667  0.31666667  0.56666667  0.65        0.43333333
  0.4         0.4         0.33333333  0.43333333  0.36666667  0.5
  0.43333333  0.28333333  0.53333333  0.68333333  0.36666667  0.35
  0.41666667  0.46666667  0.56666667  0.26666667  0.53333333  0.35
  0.43333333  0.48333333  0.31666667  0.55        0.48333333  0.43333333
  0.55        0.6         0.4         0.5         0.4         0.63333333
  0.45        0.48333333  0.31666667  0.4         0.38333333  0.55
  0.46666667  0.51666667]",0.611805555556,0.234225213453,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.634762222222,0.215946817167,"[ 0.7925      0.968       0.52111111  0.76375     0.67555556  0.61375
  0.5575      0.6875      0.66        0.82        0.892       0.3275
  0.69125     0.72125     0.07        0.502       0.125       0.566
  0.72666667  0.32        0.89        0.66222222  0.35333333  0.982
  0.48555556  0.46888889  0.95777778  0.58        0.74222222  0.644
  0.81111111  0.46        0.59333333  0.7525      0.23375     0.776
  0.86625     0.92888889  0.745       0.65555556  0.765       0.65444444
  0.61125     0.82        0.892       0.70444444  0.50125     0.55555556
  0.16        0.48444444]"
2,HNU_1_deter_dti_con_ROIv_scale60,binar,degrees,standard,LR,0.63,0.110252236057,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.626333333333,0.105308541386,"[ 0.5         0.71666667  0.61666667  0.56666667  0.63333333  0.65
  0.61666667  0.63333333  0.58333333  0.85        0.65        0.68333333
  0.71666667  0.55        0.43333333  0.61666667  0.35        0.7         0.75
  0.53333333  0.75        0.65        0.46666667  0.51666667  0.65        0.6
  0.66666667  0.73333333  0.68333333  0.75        0.7         0.66666667
  0.7         0.63333333  0.38333333  0.65        0.41666667  0.76666667
  0.7         0.75        0.65        0.68333333  0.51666667  0.61666667
  0.61666667  0.56666667  0.63333333  0.78333333  0.46666667  0.6       ]",0.655583333333,0.135006012669,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.702368333333,0.152049679971,"[ 0.63625     0.984       0.65444444  0.57        0.69666667  0.87        0.76625
  0.57125     0.52375     0.925       0.732       0.7475      0.75125
  0.56375     0.238       0.642       0.40375     0.814       0.84777778
  0.5575      0.8         0.71222222  0.42888889  0.856       0.71333333
  0.56222222  0.80222222  0.8275      0.72333333  0.816       0.80111111
  0.74125     0.70555556  0.635       0.335       0.888       0.74875
  0.84222222  0.73875     0.78333333  0.76625     0.75        0.5575
  0.68111111  0.948       0.66222222  0.7475      0.87444444  0.53888889
  0.63666667]"
3,HNU_1_deter_dti_con_ROIv_scale60,binar,degrees,standard,SGD,0.626666666667,0.150775771705,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596,0.152408806978,"[ 0.45        0.78333333  0.71666667  0.51666667  0.66666667  0.68333333
  0.66666667  0.53333333  0.4         0.88333333  0.71666667  0.63333333
  0.66666667  0.4         0.38333333  0.61666667  0.46666667  0.66666667
  0.76666667  0.31666667  0.83333333  0.4         0.48333333  0.23333333
  0.53333333  0.48333333  0.83333333  0.78333333  0.65        0.63333333
  0.66666667  0.63333333  0.66666667  0.43333333  0.38333333  0.65
  0.46666667  0.81666667  0.45        0.7         0.48333333  0.63333333
  0.51666667  0.68333333  0.78333333  0.66666667  0.4         0.81666667
  0.66666667  0.48333333]",0.656388888889,0.203474658688,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.693917777778,0.179379258194,"[ 0.58125     0.976       0.79444444  0.585       0.73111111  0.8925
  0.81375     0.54375     0.41125     0.94375     0.83        0.7175
  0.72375     0.5775      0.294       0.614       0.55625     0.81        0.88
  0.365       0.92        0.27777778  0.43444444  0.844       0.55111111
  0.47666667  0.87777778  0.8375      0.72333333  0.842       0.74222222
  0.675       0.62777778  0.665       0.27375     0.884       0.8
  0.89222222  0.64875     0.79666667  0.67625     0.69111111  0.74
  0.70555556  0.948       0.69        0.6275      0.92444444  0.74111111
  0.52111111]"
4,HNU_1_deter_dti_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.556666666667,0.133583099397,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.612333333333,0.0879273690168,"[ 0.5         0.65        0.65        0.56666667  0.6         0.66666667
  0.51666667  0.73333333  0.55        0.76666667  0.66666667  0.66666667
  0.71666667  0.63333333  0.41666667  0.53333333  0.45        0.7
  0.71666667  0.46666667  0.7         0.83333333  0.56666667  0.5
  0.53333333  0.56666667  0.6         0.71666667  0.6         0.6
  0.63333333  0.6         0.56666667  0.63333333  0.41666667  0.6
  0.63333333  0.7         0.65        0.66666667  0.58333333  0.65
  0.63333333  0.6         0.58333333  0.56666667  0.6         0.78333333
  0.53333333  0.6       ]",0.588583333333,0.183264642014,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.674065555556,0.152105171898,"[ 0.57        1.          0.74777778  0.623125    0.59222222  0.66125
  0.55125     0.74125     0.69        0.8525      0.734       0.74625
  0.7375      0.6525      0.152       0.64        0.365       0.808
  0.73777778  0.50375     0.69625     0.89222222  0.56333333  0.822
  0.53333333  0.53222222  0.78166667  0.84        0.63888889  0.586
  0.77222222  0.5975      0.52444444  0.50625     0.47125     0.782
  0.798125    0.82111111  0.695       0.68222222  0.8575      0.73666667
  0.6625      0.59777778  0.984       0.64333333  0.69375     0.83666667
  0.50333333  0.54555556]"
5,HNU_1_deter_dti_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.546666666667,0.14,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.517666666667,0.137291660344,"[ 0.41666667  0.45        0.73333333  0.38333333  0.55        0.61666667
  0.46666667  0.58333333  0.45        0.75        0.58333333  0.68333333
  0.56666667  0.51666667  0.2         0.4         0.23333333  0.6         0.65
  0.38333333  0.65        0.66666667  0.38333333  0.38333333  0.46666667
  0.48333333  0.6         0.65        0.6         0.48333333  0.55        0.5
  0.5         0.41666667  0.25        0.46666667  0.55        0.75
  0.61666667  0.7         0.53333333  0.56666667  0.46666667  0.53333333
  0.31666667  0.5         0.51666667  0.85        0.28333333  0.43333333]",0.575083333333,0.181260538221,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.586957777778,0.198467358115,"[ 0.39125     1.          0.77222222  0.375625    0.46333333  0.68125
  0.4025      0.605       0.64        0.7825      0.706       0.6925      0.545
  0.4775      0.068       0.77        0.20875     0.796       0.70333333
  0.42        0.64125     0.76444444  0.42777778  0.476       0.44444444
  0.40777778  0.75055556  0.7325      0.63888889  0.55        0.75444444
  0.535       0.46333333  0.27625     0.34625     0.69        0.659375
  0.80222222  0.695       0.67111111  0.81375     0.68666667  0.465
  0.48777778  0.998       0.59        0.59375     0.90777778  0.19333333
  0.38444444]"
6,HNU_1_deter_dti_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.643333333333,0.147798661849,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.637333333333,0.164166582064,"[ 0.53333333  0.68333333  0.81666667  0.26666667  0.71666667  0.63333333
  0.81666667  0.45        0.58333333  0.68333333  0.66666667  0.76666667
  0.86666667  0.68333333  0.21666667  0.63333333  0.83333333  0.66666667
  0.56666667  0.55        0.71666667  0.71666667  0.66666667  0.53333333
  0.66666667  0.65        0.83333333  0.7         0.71666667  0.83333333
  0.6         0.75        0.78333333  0.86666667  0.23333333  0.4
  0.51666667  0.51666667  0.68333333  0.51666667  0.85        0.53333333
  0.81666667  0.65        0.4         0.78333333  0.6         0.85
  0.33333333  0.51666667]",0.667777777778,0.170982274729,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.693915555556,0.2084533592,"[ 0.63125     0.876       0.93333333  0.29        0.9         0.7975      0.71
  0.51625     0.5525      0.8175      0.804       0.8325      0.9575      0.615
  0.232       0.732       0.6075      0.164       0.61777778  0.64875
  0.82375     0.82666667  0.78888889  0.732       0.71        0.59222222
  0.87        0.87125     0.82888889  0.286       0.74888889  0.76875
  0.92333333  0.97        0.35125     0.606       0.635       0.48444444
  0.70875     0.55111111  0.9925      0.66777778  0.87375     0.57666667
  0.916       0.96777778  0.78875     0.88111111  0.27111111  0.44777778]"
7,HNU_1_deter_dti_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.64,0.112842072532,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.575666666667,0.160180800625,"[ 0.56666667  0.53333333  0.68333333  0.25        0.63333333  0.53333333
  0.8         0.5         0.56666667  0.55        0.55        0.73333333
  0.8         0.68333333  0.23333333  0.45        0.83333333  0.41666667
  0.61666667  0.6         0.6         0.7         0.73333333  0.48333333
  0.6         0.61666667  0.75        0.61666667  0.73333333  0.2         0.65
  0.76666667  0.66666667  0.61666667  0.25        0.35        0.46666667
  0.5         0.7         0.53333333  0.66666667  0.56666667  0.8
  0.63333333  0.36666667  0.7         0.28333333  0.8         0.4         0.5       ]",0.698888888889,0.150329268238,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.697932777778,0.208880680179,"[ 0.63125     0.93        0.93333333  0.29125     0.89555556  0.7975      0.68
  0.50625     0.5425      0.795       0.816       0.835       0.98125     0.66
  0.232       0.732       0.6025      0.25        0.61777778  0.63375
  0.82125     0.80333333  0.78888889  0.732       0.85111111  0.59444444
  0.88        0.89625     0.84111111  0.5         0.74888889  0.76875     0.94
  0.97        0.35125     0.606       0.635       0.51666667  0.70875
  0.54444444  0.99125     0.66777778  0.92        0.57666667  0.916
  0.97111111  0.515       0.88111111  0.15888889  0.43777778]"
8,HNU_1_deter_dti_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.63,0.124007168252,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.635,0.104522724802,"[ 0.4         0.73333333  0.65        0.66666667  0.63333333  0.73333333
  0.56666667  0.68333333  0.58333333  0.86666667  0.61666667  0.73333333
  0.71666667  0.66666667  0.45        0.66666667  0.36666667  0.73333333
  0.61666667  0.55        0.75        0.78333333  0.45        0.65
  0.53333333  0.65        0.76666667  0.66666667  0.66666667  0.6         0.7
  0.61666667  0.63333333  0.61666667  0.55        0.78333333  0.5         0.75
  0.61666667  0.65        0.73333333  0.68333333  0.53333333  0.53333333
  0.7         0.6         0.65        0.76666667  0.46666667  0.51666667]",0.702416666667,0.178372304499,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.71535,0.146674729997,"[ 0.60625     0.996       0.68555556  0.70625     0.65555556  0.93125
  0.6375      0.74375     0.67125     0.89875     0.75        0.7475
  0.75625     0.72875     0.314       0.778       0.4225      0.752
  0.72333333  0.61375     0.625       0.89222222  0.42888889  0.972
  0.60444444  0.7         0.85555556  0.755       0.72111111  0.646
  0.76555556  0.64125     0.70222222  0.6525      0.47625     0.818       0.95
  0.85777778  0.53625     0.73888889  0.89875     0.76555556  0.58125
  0.56666667  0.994       0.76        0.7675      0.82444444  0.54666667
  0.60555556]"
9,HNU_1_deter_dti_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.636666666667,0.185711843696,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.603,0.110236614204,"[ 0.38333333  0.61666667  0.73333333  0.6         0.63333333  0.68333333
  0.56666667  0.75        0.61666667  0.86666667  0.58333333  0.61666667
  0.61666667  0.56666667  0.4         0.58333333  0.3         0.66666667
  0.65        0.48333333  0.65        0.7         0.46666667  0.58333333
  0.48333333  0.63333333  0.78333333  0.66666667  0.61666667  0.61666667
  0.71666667  0.61666667  0.56666667  0.6         0.48333333  0.71666667
  0.43333333  0.81666667  0.61666667  0.7         0.6         0.66666667
  0.48333333  0.46666667  0.55        0.56666667  0.55        0.71666667
  0.48333333  0.68333333]",0.692083333333,0.211803506365,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.674727777778,0.148095567451,"[ 0.6525      0.99        0.56888889  0.76125     0.59222222  0.81125
  0.6125      0.66375     0.6725      0.95        0.788       0.4925
  0.79375     0.645       0.366       0.464       0.4775      0.608
  0.75333333  0.38875     0.7525      0.63222222  0.44555556  0.908
  0.58222222  0.57555556  0.79777778  0.76125     0.70444444  0.62
  0.75555556  0.6625      0.64222222  0.47125     0.49375     0.862       0.885
  0.85777778  0.66625     0.69        0.8125      0.73555556  0.62375
  0.66666667  0.984       0.52444444  0.7975      0.65666667  0.56888889
  0.54888889]"
