,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_aparc68+subcort,binar,bag_of_edges,standard,LR,0.616666666667,0.0316227766017,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.625,0.113492535242,"[ 0.73333333  0.53333333  0.63333333  0.71666667  0.7         0.61666667
  0.63333333  0.55        0.71666667  0.81666667  0.81666667  0.38333333
  0.5         0.66666667  0.53333333  0.63333333  0.41666667  0.7         0.65
  0.55        0.75        0.7         0.51666667  0.68333333  0.5         0.5
  0.8         0.7         0.68333333  0.63333333  0.73333333  0.61666667
  0.63333333  0.61666667  0.56666667  0.71666667  0.46666667  0.76666667
  0.76666667  0.55        0.8         0.66666667  0.6         0.71666667
  0.55        0.48333333  0.55        0.58333333  0.3         0.6       ]",0.661583333333,0.0354490157275,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.609495,0.18195332605,"[ 0.72375     0.618       0.69666667  0.63375     0.62555556  0.47625
  0.79625     0.5075      0.495       0.74875     0.928       0.50125
  0.39375     0.5925      0.198       0.392       0.2675      0.516
  0.72222222  0.57375     0.7875      0.75333333  0.37888889  0.924
  0.58666667  0.35111111  0.88        0.87375     0.68333333  0.668
  0.77222222  0.54875     0.47888889  0.36625     0.4325      0.766
  0.83375     0.78888889  0.77375     0.51444444  0.9325      0.59444444
  0.60375     0.71666667  0.806       0.49555556  0.55625     0.30777778
  0.48555556  0.40777778]"
1,HNU_1_deter_dti_con_aparc68+subcort,binar,bag_of_edges,standard,SGD,0.666666666667,0.0408248290464,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.542333333333,0.119638808271,"[ 0.6         0.48333333  0.6         0.61666667  0.61666667  0.53333333
  0.68333333  0.46666667  0.48333333  0.68333333  0.71666667  0.4         0.5
  0.46666667  0.45        0.43333333  0.35        0.53333333  0.65
  0.43333333  0.48333333  0.63333333  0.5         0.25        0.55        0.4
  0.85        0.63333333  0.58333333  0.38333333  0.68333333  0.46666667
  0.5         0.58333333  0.55        0.58333333  0.45        0.78333333
  0.51666667  0.46666667  0.85        0.53333333  0.48333333  0.73333333
  0.51666667  0.5         0.5         0.43333333  0.5         0.51666667]",0.737055555556,0.108159632825,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.602872222222,0.154268088961,"[ 0.75875     0.63        0.66333333  0.74375     0.76777778  0.38625
  0.64375     0.7225      0.59375     0.5025      0.872       0.32625
  0.565       0.76125     0.194       0.398       0.45375     0.602
  0.56444444  0.49875     0.77        0.51888889  0.50888889  0.754
  0.71555556  0.27333333  0.91222222  0.70375     0.69444444  0.548
  0.76555556  0.755       0.65        0.5425      0.52125     0.532       0.565
  0.68222222  0.60625     0.56666667  0.8175      0.59        0.62375
  0.59111111  0.89        0.42222222  0.55125     0.58666667  0.35555556
  0.48222222]"
2,HNU_1_deter_dti_con_aparc68+subcort,binar,degrees,standard,LR,0.523333333333,0.0749814791947,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.526666666667,0.104509436044,"[ 0.46666667  0.55        0.53333333  0.51666667  0.51666667  0.53333333
  0.6         0.45        0.55        0.71666667  0.68333333  0.41666667
  0.41666667  0.5         0.4         0.6         0.35        0.56666667
  0.6         0.51666667  0.7         0.63333333  0.33333333  0.43333333
  0.51666667  0.41666667  0.73333333  0.55        0.5         0.56666667
  0.56666667  0.63333333  0.5         0.45        0.45        0.53333333
  0.43333333  0.76666667  0.75        0.46666667  0.6         0.46666667
  0.51666667  0.58333333  0.36666667  0.38333333  0.36666667  0.58333333
  0.46666667  0.58333333]",0.533388888889,0.123139036143,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.585158333333,0.161878777734,"[ 0.4925      0.85        0.61333333  0.6525      0.54333333  0.6225
  0.7075      0.34125     0.5475      0.7725      0.798       0.4         0.42875
  0.535       0.248       0.668       0.27        0.584       0.67333333
  0.43625     0.89625     0.68555556  0.21666667  0.704       0.58444444
  0.31        0.79555556  0.57125     0.56666667  0.538       0.63222222
  0.77625     0.54        0.55375     0.395       0.782       0.7375
  0.76777778  0.8725      0.56444444  0.6525      0.52333333  0.4975
  0.70333333  0.668       0.49        0.3425      0.61444444  0.47111111
  0.62111111]"
3,HNU_1_deter_dti_con_aparc68+subcort,binar,degrees,standard,SGD,0.55,0.086922698736,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.487333333333,0.113458754131,"[ 0.65        0.41666667  0.35        0.55        0.36666667  0.48333333
  0.6         0.36666667  0.53333333  0.53333333  0.55        0.53333333
  0.51666667  0.38333333  0.56666667  0.43333333  0.36666667  0.48333333
  0.5         0.23333333  0.68333333  0.65        0.4         0.46666667
  0.48333333  0.45        0.45        0.45        0.71666667  0.33333333
  0.5         0.63333333  0.53333333  0.31666667  0.55        0.55        0.5
  0.65        0.68333333  0.6         0.6         0.46666667  0.36666667
  0.51666667  0.21666667  0.41666667  0.33333333  0.5         0.38333333
  0.55      ]",0.568722222222,0.10381612871,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.50206,0.152913008772,"[ 0.64375     0.534       0.44333333  0.585       0.24444444  0.4425
  0.80625     0.34625     0.40375     0.65875     0.584       0.44625
  0.50125     0.41125     0.48        0.278       0.36        0.452
  0.59111111  0.16875     0.78125     0.72666667  0.39444444  0.52
  0.46666667  0.42111111  0.51        0.41        0.74555556  0.258
  0.55111111  0.68125     0.49222222  0.27        0.55375     0.644
  0.62625     0.69222222  0.7975      0.70111111  0.62125     0.48111111
  0.29625     0.56        0.358       0.43444444  0.31375     0.48444444
  0.37333333  0.55666667]"
4,HNU_1_deter_dti_con_aparc68+subcort,binar,closeness_centrality,standard,LR,0.516666666667,0.0930949336251,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.537666666667,0.13580255275,"[ 0.51666667  0.65        0.58333333  0.33333333  0.53333333  0.33333333
  0.58333333  0.33333333  0.68333333  0.56666667  0.16666667  0.58333333
  0.43333333  0.66666667  0.53333333  0.66666667  0.45        0.71666667
  0.73333333  0.53333333  0.43333333  0.5         0.75        0.38333333
  0.61666667  0.36666667  0.5         0.7         0.5         0.68333333
  0.65        0.55        0.61666667  0.63333333  0.41666667  0.16666667
  0.3         0.63333333  0.68333333  0.46666667  0.58333333  0.51666667
  0.68333333  0.5         0.65        0.61666667  0.63333333  0.5         0.5
  0.55      ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_deter_dti_con_aparc68+subcort,binar,closeness_centrality,standard,SGD,0.513333333333,0.121746549118,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.526,0.0977616148257,"[ 0.5         0.58333333  0.51666667  0.63333333  0.48333333  0.43333333
  0.6         0.46666667  0.66666667  0.65        0.8         0.45
  0.58333333  0.45        0.48333333  0.43333333  0.28333333  0.55
  0.58333333  0.46666667  0.61666667  0.56666667  0.48333333  0.41666667
  0.48333333  0.41666667  0.45        0.56666667  0.73333333  0.46666667
  0.55        0.53333333  0.45        0.38333333  0.48333333  0.55        0.55
  0.68333333  0.71666667  0.53333333  0.58333333  0.51666667  0.46666667
  0.56666667  0.38333333  0.41666667  0.43333333  0.6         0.5
  0.58333333]",0.523847222222,0.0689129606241,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.527277222222,0.143555016741,"[ 0.683125    0.5         0.60944444  0.5         0.28166667  0.5         0.589375
  0.5         0.5         0.521875    0.5         0.6175      0.449375    0.5
  0.29        0.603       0.425       0.567       0.77055556  0.558125
  0.393125    0.5         0.78611111  0.814       0.58222222  0.28111111
  0.5         0.753125    0.5         0.545       0.79        0.53125
  0.67833333  0.090625    0.22875     0.5         0.293125    0.5         0.763125
  0.53888889  0.5625      0.53888889  0.5         0.5         0.5
  0.58666667  0.59375     0.5         0.5         0.54722222]"
6,HNU_1_deter_dti_con_aparc68+subcort,binar,betweenness_centrality,standard,LR,0.65,0.0936897954837,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.564,0.113105653656,"[ 0.48333333  0.31666667  0.58333333  0.55        0.73333333  0.63333333
  0.5         0.51666667  0.56666667  0.6         0.36666667  0.51666667
  0.58333333  0.48333333  0.51666667  0.45        0.58333333  0.56666667
  0.7         0.5         0.78333333  0.53333333  0.21666667  0.53333333
  0.56666667  0.38333333  0.68333333  0.63333333  0.55        0.73333333
  0.65        0.6         0.41666667  0.43333333  0.51666667  0.68333333
  0.61666667  0.68333333  0.66666667  0.48333333  0.68333333  0.56666667
  0.46666667  0.5         0.7         0.65        0.71666667  0.68333333
  0.6         0.51666667]",0.667027777778,0.130859858127,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.585555833333,0.165007035262,"[ 0.40125     0.904       0.68555556  0.315       0.82333333  0.48625
  0.4625      0.585       0.78875     0.6325      0.944       0.45125
  0.49625     0.51        0.37        0.418       0.59625     0.63
  0.73666667  0.6125      0.8325      0.50444444  0.13        0.174
  0.52333333  0.47222222  0.74222222  0.7325      0.61666667  0.744       0.71
  0.4425      0.52        0.44125     0.5425      0.574       0.495
  0.73555556  0.671875    0.45444444  0.62875     0.68666667  0.4925
  0.54222222  0.77        0.67666667  0.70625     0.68        0.68555556
  0.50111111]"
7,HNU_1_deter_dti_con_aparc68+subcort,binar,betweenness_centrality,standard,SGD,0.59,0.128927197372,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.528,0.110927403688,"[ 0.41666667  0.38333333  0.55        0.55        0.78333333  0.61666667
  0.56666667  0.53333333  0.56666667  0.41666667  0.5         0.36666667
  0.53333333  0.53333333  0.35        0.38333333  0.48333333  0.51666667
  0.65        0.48333333  0.7         0.56666667  0.35        0.23333333
  0.48333333  0.58333333  0.61666667  0.51666667  0.55        0.6
  0.61666667  0.45        0.63333333  0.38333333  0.65        0.35        0.45
  0.68333333  0.56666667  0.45        0.6         0.73333333  0.46666667
  0.58333333  0.41666667  0.63333333  0.58333333  0.58333333  0.63333333
  0.55      ]",0.689361111111,0.168439405524,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.575245555556,0.152623408209,"[ 0.3975      0.642       0.74444444  0.68125     0.52111111  0.56625
  0.62375     0.5275      0.74875     0.385       0.826       0.7825
  0.47375     0.29125     0.592       0.664       0.2975      0.524
  0.76222222  0.33375     0.865       0.52555556  0.91        0.262
  0.34888889  0.45333333  0.46111111  0.50375     0.51555556  0.786
  0.61666667  0.4925      0.52        0.48875     0.5025      0.478       0.435
  0.72444444  0.71        0.56333333  0.51375     0.63111111  0.535
  0.57555556  0.748       0.46111111  0.7775      0.63888889  0.68555556
  0.64888889]"
8,HNU_1_deter_dti_con_aparc68+subcort,binar,eigenvector_centrality,standard,LR,0.536666666667,0.0865383665716,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.514333333333,0.106771302844,"[ 0.6         0.5         0.55        0.61666667  0.45        0.53333333
  0.65        0.46666667  0.63333333  0.7         0.56666667  0.56666667
  0.46666667  0.51666667  0.38333333  0.46666667  0.3         0.53333333
  0.5         0.5         0.71666667  0.56666667  0.33333333  0.56666667
  0.43333333  0.45        0.5         0.38333333  0.61666667  0.4
  0.63333333  0.7         0.56666667  0.33333333  0.46666667  0.63333333
  0.43333333  0.6         0.65        0.51666667  0.61666667  0.5
  0.48333333  0.53333333  0.26666667  0.38333333  0.31666667  0.58333333
  0.46666667  0.56666667]",0.560694444444,0.124149016891,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.530707777778,0.149941599664,"[ 0.61125     0.662       0.54888889  0.5975      0.44111111  0.5625
  0.82125     0.35125     0.53375     0.71875     0.616       0.5275      0.515
  0.57875     0.272       0.478       0.285       0.392       0.50333333
  0.40125     0.845       0.61333333  0.34777778  0.666       0.47111111
  0.38888889  0.51333333  0.335       0.72        0.224       0.60222222
  0.82875     0.55333333  0.30625     0.47375     0.634       0.6925
  0.66888889  0.7875      0.58333333  0.61625     0.50333333  0.36125
  0.55888889  0.43        0.42111111  0.3125      0.62666667  0.42
  0.61333333]"
9,HNU_1_deter_dti_con_aparc68+subcort,binar,eigenvector_centrality,standard,SGD,0.58,0.109747184221,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496,0.112623265802,"[ 0.53333333  0.45        0.51666667  0.56666667  0.48333333  0.53333333
  0.65        0.46666667  0.58333333  0.65        0.58333333  0.56666667
  0.43333333  0.48333333  0.35        0.48333333  0.3         0.55
  0.43333333  0.36666667  0.71666667  0.53333333  0.38333333  0.5         0.5
  0.41666667  0.45        0.35        0.63333333  0.36666667  0.61666667
  0.68333333  0.56666667  0.23333333  0.41666667  0.66666667  0.45
  0.58333333  0.68333333  0.58333333  0.6         0.51666667  0.4         0.5
  0.3         0.35        0.4         0.56666667  0.31666667  0.53333333]",0.584944444444,0.155296227288,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.505796666667,0.149526793342,"[ 0.54625     0.588       0.54555556  0.51875     0.41111111  0.535       0.785
  0.38        0.4625      0.67625     0.604       0.5325      0.47875
  0.5625      0.266       0.432       0.31125     0.438       0.48444444
  0.30125     0.8275      0.55222222  0.30888889  0.584       0.51333333
  0.36222222  0.42222222  0.36875     0.71555556  0.218       0.58333333
  0.7275      0.6         0.1875      0.44375     0.724       0.6675
  0.63888889  0.7375      0.58        0.6575      0.46888889  0.31
  0.53111111  0.46        0.38222222  0.405       0.61222222  0.26111111
  0.58      ]"
