,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,standard,SGD,0.506666666667,0.0771722460186,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493,0.0863513494715,"[ 0.65        0.56666667  0.38333333  0.45        0.46666667  0.45
  0.43333333  0.5         0.55        0.48333333  0.36666667  0.51666667
  0.5         0.61666667  0.6         0.21666667  0.33333333  0.48333333
  0.43333333  0.63333333  0.46666667  0.6         0.4         0.63333333
  0.43333333  0.53333333  0.53333333  0.36666667  0.41666667  0.55
  0.41666667  0.56666667  0.53333333  0.51666667  0.41666667  0.61666667
  0.61666667  0.43333333  0.51666667  0.48333333  0.5         0.46666667
  0.43333333  0.45        0.5         0.58333333  0.43333333  0.51666667
  0.51666667  0.56666667]",0.518,0.0522938043683,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.509631944444,0.0366074083705,"[ 0.4875      0.54        0.365       0.49125     0.53166667  0.4875
  0.5125      0.4875      0.55        0.525       0.54        0.5         0.525
  0.525       0.55        0.468       0.475       0.504       0.51666667
  0.525       0.421875    0.56555556  0.5         0.528       0.51666667
  0.55        0.51666667  0.475       0.5         0.6         0.48333333
  0.525       0.51666667  0.475       0.575       0.49        0.52375
  0.53333333  0.4875      0.51666667  0.475       0.5         0.525
  0.48166667  0.53        0.53333333  0.5         0.49888889  0.53111111
  0.5       ]"
2,HNU_1_proba_csa_con_ROIv_scale125,binar,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_proba_csa_con_ROIv_scale125,binar,degrees,standard,SGD,0.466666666667,0.126929551764,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.383,0.114479013118,"[ 0.46666667  0.4         0.41666667  0.2         0.35        0.36666667
  0.35        0.53333333  0.4         0.55        0.4         0.38333333
  0.31666667  0.45        0.2         0.41666667  0.33333333  0.4
  0.28333333  0.31666667  0.26666667  0.28333333  0.2         0.31666667
  0.41666667  0.36666667  0.45        0.38333333  0.61666667  0.36666667
  0.45        0.18333333  0.6         0.18333333  0.43333333  0.25
  0.63333333  0.58333333  0.35        0.4         0.48333333  0.33333333
  0.31666667  0.18333333  0.48333333  0.4         0.4         0.6         0.3
  0.38333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,standard,SGD,0.466666666667,0.106978710239,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.394333333333,0.139228429408,"[ 0.38333333  0.36666667  0.43333333  0.35        0.36666667  0.13333333
  0.43333333  0.5         0.21666667  0.48333333  0.45        0.36666667
  0.45        0.5         0.18333333  0.26666667  0.15        0.43333333
  0.38333333  0.25        0.26666667  0.53333333  0.41666667  0.26666667
  0.26666667  0.23333333  0.66666667  0.35        0.65        0.61666667
  0.41666667  0.16666667  0.65        0.6         0.55        0.5         0.5
  0.5         0.11666667  0.43333333  0.41666667  0.28333333  0.6         0.35
  0.41666667  0.5         0.36666667  0.43333333  0.25        0.3       ]",0.500805555556,0.0995350456304,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.452411111111,0.181767912621,"[ 0.5         0.838       0.37833333  0.075       0.37888889  0.13875     0.5
  0.5         0.281875    0.52        0.888       0.3875      0.405       0.5
  0.027       0.5         0.5         0.5         0.5         0.5         0.3575
  0.5         0.31222222  0.5         0.39055556  0.43555556  0.62        0.4525
  0.5         0.5         0.39555556  0.445       0.49333333  0.5         0.414375
  0.5         0.62125     0.64        0.5         0.32666667  0.211875    0.5
  0.58        0.04        0.857       0.63222222  0.499375    0.56888889
  0.00833333  0.5       ]"
6,HNU_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,LR,0.636666666667,0.190438091428,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.639333333333,0.115072923739,"[ 0.76666667  0.71666667  0.65        0.6         0.63333333  0.75        0.45
  0.78333333  0.5         0.56666667  0.7         0.6         0.53333333
  0.61666667  0.76666667  0.63333333  0.58333333  0.65        0.75
  0.63333333  0.6         0.56666667  0.8         0.58333333  0.66666667
  0.58333333  0.5         0.61666667  0.43333333  0.38333333  0.86666667
  0.85        0.48333333  0.58333333  0.8         0.7         0.63333333
  0.66666667  0.86666667  0.68333333  0.6         0.7         0.6         0.65
  0.73333333  0.46666667  0.45        0.81666667  0.65        0.55      ]",0.639166666667,0.185132418408,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.665407222222,0.158163007471,"[ 0.72875     0.748       0.72111111  0.6675      0.63888889  0.80625
  0.61125     0.82875     0.455       0.5125      0.8         0.6325      0.25
  0.65875     0.568       0.876       0.625       0.778       0.80111111
  0.7875      0.75125     0.63333333  0.88888889  0.364       0.70222222
  0.50666667  0.43333333  0.61625     0.41        0.626       0.93777778
  0.955       0.47333333  0.62625     0.8525      0.46        0.60125
  0.75555556  0.89625     0.68222222  0.52125     0.72777778  0.78
  0.67555556  0.758       0.44555556  0.5075      0.88111111  0.75555556
  0.55111111]"
7,HNU_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,SGD,0.67,0.178076138523,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.512333333333,0.143170838123,"[ 0.33333333  0.23333333  0.65        0.51666667  0.58333333  0.58333333
  0.58333333  0.55        0.66666667  0.4         0.28333333  0.63333333
  0.4         0.53333333  0.16666667  0.61666667  0.51666667  0.61666667
  0.68333333  0.65        0.63333333  0.5         0.78333333  0.25        0.55
  0.58333333  0.41666667  0.38333333  0.45        0.45        0.71666667
  0.83333333  0.51666667  0.66666667  0.35        0.56666667  0.41666667
  0.48333333  0.36666667  0.51666667  0.33333333  0.65        0.51666667
  0.46666667  0.71666667  0.6         0.36666667  0.36666667  0.5
  0.46666667]",0.673638888889,0.164367718587,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.554462222222,0.152973675392,"[ 0.55375     0.524       0.54111111  0.64875     0.57666667  0.7375
  0.52375     0.7125      0.5925      0.3975      0.598       0.4975
  0.42375     0.5125      0.36        0.676       0.59875     0.424
  0.63111111  0.6975      0.63375     0.38777778  0.88666667  0.758
  0.75555556  0.54111111  0.30777778  0.49375     0.56        0.17
  0.80111111  0.82625     0.43888889  0.47125     0.42        0.432
  0.54125     0.39666667  0.7375      0.63222222  0.48875     0.67444444
  0.80875     0.37555556  0.6         0.62111111  0.3925      0.22
  0.57777778  0.54555556]"
8,HNU_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,LR,0.51,0.0764489662745,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.471666666667,0.133176991673,"[ 0.55        0.48333333  0.38333333  0.61666667  0.21666667  0.35
  0.28333333  0.51666667  0.68333333  0.46666667  0.51666667  0.46666667
  0.48333333  0.66666667  0.38333333  0.56666667  0.31666667  0.43333333
  0.3         0.8         0.41666667  0.48333333  0.31666667  0.33333333
  0.61666667  0.36666667  0.66666667  0.35        0.68333333  0.51666667
  0.46666667  0.45        0.73333333  0.58333333  0.48333333  0.43333333
  0.56666667  0.61666667  0.31666667  0.5         0.58333333  0.23333333
  0.46666667  0.2         0.43333333  0.45        0.48333333  0.43333333
  0.4         0.51666667]",0.505277777778,0.0678747030096,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.526921111111,0.222689137835,"[ 0.4125      0.686       0.18888889  0.725       0.23111111  0.515
  0.30875     0.525       0.67        0.54125     0.958       0.51625
  0.5525      0.65875     0.876       0.668       0.30125     0.682
  0.20111111  0.8725      0.29875     0.52222222  0.09        0.486
  0.72444444  0.41444444  0.83444444  0.44625     0.74444444  0.876
  0.50333333  0.28375     0.87666667  0.1925      0.63875     0.53        0.84375
  0.78222222  0.23625     0.50333333  0.62875     0.30444444  0.62
  0.05888889  0.566       0.53333333  0.545       0.49555556  0.32666667
  0.35      ]"
9,HNU_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,SGD,0.533333333333,0.0421637021356,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.459333333333,0.154458192833,"[ 0.46666667  0.48333333  0.41666667  0.43333333  0.23333333  0.35
  0.41666667  0.61666667  0.68333333  0.48333333  0.4         0.55        0.45
  0.65        0.28333333  0.6         0.3         0.43333333  0.2         0.85
  0.26666667  0.53333333  0.28333333  0.33333333  0.56666667  0.28333333
  0.76666667  0.28333333  0.66666667  0.56666667  0.5         0.36666667
  0.71666667  0.43333333  0.38333333  0.4         0.56666667  0.75
  0.33333333  0.43333333  0.7         0.23333333  0.4         0.2
  0.38333333  0.41666667  0.46666667  0.46666667  0.43333333  0.53333333]",0.544527777778,0.0670415156065,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524237777778,0.221847284056,"[ 0.55375     0.776       0.19777778  0.8275      0.25        0.575
  0.31125     0.5         0.625       0.5175      0.874       0.53125
  0.57875     0.63        0.768       0.584       0.31625     0.566
  0.19888889  0.9225      0.26875     0.51777778  0.13222222  0.366
  0.57666667  0.53888889  0.80666667  0.4625      0.80111111  0.968
  0.50222222  0.25375     0.88555556  0.1925      0.6525      0.602
  0.79875     0.75888889  0.1975      0.45444444  0.6075      0.29        0.59375
  0.05        0.634       0.46        0.57875     0.43222222  0.34222222
  0.38333333]"
