,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.566666666667,0.0781735959971,"{'C': 0.65, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.586333333333,0.117364105813,"[ 0.58333333  0.53333333  0.45        0.68333333  0.66666667  0.51666667
  0.61666667  0.66666667  0.61666667  0.53333333  0.58333333  0.43333333
  0.73333333  0.63333333  0.55        0.53333333  0.36666667  0.48333333
  0.46666667  0.73333333  0.51666667  0.7         0.61666667  0.65        0.65
  0.38333333  0.7         0.56666667  0.8         0.56666667  0.75        0.4
  0.7         0.5         0.46666667  0.58333333  0.55        0.71666667
  0.6         0.68333333  0.76666667  0.71666667  0.6         0.66666667
  0.61666667  0.65        0.51666667  0.66666667  0.21666667  0.41666667]",0.613888888889,0.175692632841,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.63298,0.199059263156,"[ 0.7775      0.768       0.36888889  0.67875     0.57555556  0.5725
  0.45125     0.69        0.6675      0.74875     0.934       0.59375
  0.76125     0.73375     0.938       0.594       0.10125     0.32
  0.46555556  0.81625     0.6825      0.60222222  0.58888889  0.884
  0.93888889  0.35111111  0.73222222  0.73        0.83666667  0.422       0.71
  0.50625     0.81444444  0.48875     0.7375      0.862       0.73375     0.71
  0.41375     0.67444444  0.84        0.78888889  0.50125     0.63111111
  0.872       0.55444444  0.45875     0.64666667  0.05888889  0.32111111]"
1,HNU_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.59,0.172111075246,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.587666666667,0.138876843922,"[ 0.53333333  0.5         0.28333333  0.65        0.63333333  0.65        0.5
  0.55        0.71666667  0.73333333  0.7         0.61666667  0.68333333
  0.71666667  0.5         0.53333333  0.25        0.6         0.45
  0.56666667  0.6         0.66666667  0.55        0.73333333  0.7         0.4
  0.75        0.55        0.73333333  0.63333333  0.61666667  0.35        0.75
  0.56666667  0.6         0.8         0.66666667  0.66666667  0.55
  0.61666667  0.73333333  0.75        0.53333333  0.56666667  0.83333333
  0.58333333  0.35        0.55        0.2         0.41666667]",0.646861111111,0.1959145143,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.636820555556,0.192035173621,"[ 0.82375     0.714       0.18555556  0.76875     0.68333333  0.6575      0.495
  0.58625     0.75125     0.66375     0.89        0.60375     0.86375
  0.80125     0.804       0.614       0.1         0.342       0.41555556
  0.8275      0.64625     0.65666667  0.53666667  0.892       0.87666667
  0.50555556  0.82888889  0.68125     0.84666667  0.43        0.74555556
  0.4125      0.85        0.47375     0.66625     0.776       0.77875     0.7
  0.53625     0.69333333  0.785       0.84888889  0.4675      0.61555556
  0.79        0.62555556  0.32125     0.57333333  0.18888889  0.50111111]"
2,HNU_1_proba_csa_con_aparc150+subcort,binar,degrees,standard,LR,0.566666666667,0.115950180873,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.569666666667,0.135264760953,"[ 0.71666667  0.41666667  0.38333333  0.6         0.56666667  0.36666667
  0.51666667  0.7         0.65        0.68333333  0.63333333  0.55
  0.51666667  0.61666667  0.61666667  0.68333333  0.15        0.45
  0.56666667  0.65        0.58333333  0.61666667  0.7         0.56666667
  0.61666667  0.41666667  0.58333333  0.51666667  0.76666667  0.63333333
  0.76666667  0.43333333  0.71666667  0.56666667  0.53333333  0.55
  0.61666667  0.6         0.63333333  0.61666667  0.85        0.78333333
  0.51666667  0.46666667  0.63333333  0.61666667  0.56666667  0.38333333
  0.18333333  0.41666667]",0.583666666667,0.134367448108,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.585451111111,0.225023177857,"[ 0.8825      0.634       0.21111111  0.6525      0.46111111  0.19375
  0.46875     0.89        0.70625     0.625       0.994       0.53375
  0.595       0.66375     0.984       0.644       0.06625     0.246
  0.57111111  0.75875     0.56875     0.56666667  0.77        0.732
  0.73333333  0.28444444  0.71        0.6         0.79555556  0.488
  0.83222222  0.29125     0.81333333  0.3525      0.74        0.78        0.73125
  0.65777778  0.4325      0.53333333  0.8075      0.74        0.45125
  0.49777778  0.86        0.55777778  0.44375     0.43555556  0.00888889
  0.27555556]"
3,HNU_1_proba_csa_con_aparc150+subcort,binar,degrees,standard,SGD,0.623333333333,0.0679869268479,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.558333333333,0.130309460729,"[ 0.6         0.4         0.46666667  0.55        0.53333333  0.5
  0.46666667  0.65        0.7         0.63333333  0.56666667  0.5
  0.58333333  0.6         0.48333333  0.66666667  0.21666667  0.41666667
  0.6         0.58333333  0.55        0.6         0.76666667  0.55        0.65
  0.38333333  0.56666667  0.53333333  0.68333333  0.58333333  0.75
  0.43333333  0.73333333  0.6         0.5         0.56666667  0.73333333
  0.6         0.61666667  0.65        0.8         0.76666667  0.4
  0.48333333  0.6         0.53333333  0.53333333  0.53333333  0.1         0.4       ]",0.623111111111,0.131925367042,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.613711111111,0.191284413833,"[ 0.955       0.64        0.30333333  0.63125     0.53555556  0.345
  0.48375     0.8875      0.70125     0.64375     0.946       0.46875     0.67
  0.65375     0.974       0.692       0.09875     0.36        0.66222222
  0.75375     0.5325      0.67        0.74        0.818       0.70111111
  0.44111111  0.52        0.4775      0.81111111  0.526       0.76666667
  0.4075      0.8         0.42        0.53625     0.706       0.7325
  0.70666667  0.5675      0.61555556  0.89375     0.79        0.51875
  0.56444444  0.688       0.66111111  0.72125     0.44888889  0.14111111
  0.35666667]"
4,HNU_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.633333333333,0.10055402086,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.576666666667,0.12534397118,"[ 0.51666667  0.6         0.56666667  0.58333333  0.4         0.48333333
  0.46666667  0.51666667  0.7         0.68333333  0.56666667  0.45
  0.61666667  0.43333333  0.41666667  0.58333333  0.18333333  0.45
  0.63333333  0.63333333  0.7         0.61666667  0.63333333  0.6         0.65
  0.46666667  0.51666667  0.38333333  0.68333333  0.66666667  0.75        0.55
  0.83333333  0.8         0.35        0.61666667  0.78333333  0.61666667
  0.55        0.58333333  0.7         0.68333333  0.66666667  0.6
  0.58333333  0.7         0.53333333  0.63333333  0.33333333  0.56666667]",0.626805555556,0.13007761216,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.65092,0.175074305974,"[ 0.9375      0.81        0.46888889  0.53        0.47444444  0.57125
  0.44625     0.7725      0.76375     0.71        0.94        0.37375
  0.71375     0.52875     0.822       0.608       0.17375     0.406       0.64
  0.8125      0.68875     0.74444444  0.70777778  0.898       0.76        0.47
  0.60111111  0.36625     0.78888889  0.704       0.85444444  0.45625
  0.88333333  0.8         0.4425      0.696       0.80125     0.62777778
  0.52        0.54111111  0.82375     0.77333333  0.7125      0.63888889
  0.742       0.80111111  0.695       0.74444444  0.26222222  0.49777778]"
5,HNU_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.633333333333,0.144144988736,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.583666666667,0.144048217236,"[ 0.53333333  0.48333333  0.38333333  0.58333333  0.46666667  0.41666667
  0.46666667  0.6         0.76666667  0.78333333  0.6         0.58333333
  0.63333333  0.5         0.41666667  0.65        0.15        0.48333333
  0.75        0.55        0.61666667  0.7         0.68333333  0.53333333
  0.65        0.45        0.55        0.43333333  0.81666667  0.65
  0.76666667  0.46666667  0.78333333  0.76666667  0.38333333  0.58333333
  0.8         0.68333333  0.56666667  0.63333333  0.71666667  0.76666667
  0.63333333  0.53333333  0.6         0.75        0.53333333  0.55        0.2
  0.58333333]",0.675888888889,0.149805393308,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.673763888889,0.199029159199,"[ 0.96125     0.98        0.37        0.62625     0.51333333  0.43125
  0.465       0.81375     0.86875     0.8575      0.93        0.535       0.7775
  0.56125     0.806       0.612       0.1175      0.488       0.69666667
  0.85        0.745       0.79888889  0.75777778  0.906       0.80111111
  0.37666667  0.64222222  0.46125     0.89333333  0.622       0.84666667
  0.42875     0.91888889  0.825       0.4375      0.79        0.8225
  0.74111111  0.48875     0.55111111  0.775       0.81888889  0.71875
  0.61222222  0.776       0.84777778  0.69625     0.66777778  0.14444444
  0.51555556]"
6,HNU_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.58,0.0669991708075,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.498,0.12804686642,"[ 0.46666667  0.4         0.56666667  0.55        0.55        0.18333333
  0.56666667  0.71666667  0.61666667  0.46666667  0.3         0.51666667
  0.61666667  0.35        0.2         0.56666667  0.46666667  0.63333333
  0.63333333  0.71666667  0.45        0.66666667  0.45        0.41666667
  0.73333333  0.33333333  0.45        0.41666667  0.43333333  0.51666667
  0.65        0.55        0.5         0.51666667  0.43333333  0.61666667
  0.46666667  0.46666667  0.35        0.63333333  0.53333333  0.46666667
  0.5         0.33333333  0.75        0.61666667  0.38333333  0.43333333
  0.35        0.4       ]",0.561083333333,0.13076208251,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.523114444444,0.180806308839,"[ 0.47125     0.758       0.61333333  0.64875     0.56666667  0.12375
  0.73875     0.5375      0.43375     0.4225      0.286       0.43375
  0.6775      0.7125      0.906       0.648       0.37625     0.272       0.61
  0.82        0.34375     0.76555556  0.53111111  0.452       0.86
  0.31111111  0.51111111  0.5225      0.40555556  0.212       0.68        0.39375
  0.46888889  0.39625     0.81        0.31        0.44375     0.57777778
  0.34625     0.73555556  0.5325      0.50888889  0.56875     0.27444444
  0.772       0.64888889  0.56375     0.42555556  0.27111111  0.45666667]"
8,HNU_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.616666666667,0.0707106781187,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.581,0.124989332878,"[ 0.63333333  0.51666667  0.43333333  0.51666667  0.45        0.51666667
  0.4         0.7         0.55        0.58333333  0.6         0.48333333
  0.58333333  0.41666667  0.5         0.66666667  0.23333333  0.46666667
  0.6         0.6         0.55        0.61666667  0.68333333  0.6
  0.81666667  0.48333333  0.53333333  0.45        0.58333333  0.68333333
  0.83333333  0.53333333  0.66666667  0.66666667  0.43333333  0.61666667
  0.71666667  0.61666667  0.65        0.68333333  0.9         0.78333333
  0.43333333  0.55        0.71666667  0.55        0.65        0.7
  0.38333333  0.51666667]",0.637805555556,0.122012964804,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.641094444444,0.175762898215,"[ 0.92625     0.788       0.36444444  0.6225      0.41555556  0.43375
  0.46125     0.8575      0.66        0.58375     0.922       0.47125
  0.6075      0.61125     0.926       0.788       0.21875     0.416
  0.61888889  0.81875     0.625       0.74111111  0.76333333  0.824
  0.80111111  0.59333333  0.59222222  0.3675      0.75444444  0.782
  0.84333333  0.465       0.81555556  0.5575      0.54625     0.696       0.725
  0.59777778  0.46875     0.63111111  0.94875     0.85444444  0.54        0.53
  0.558       0.66888889  0.79625     0.67666667  0.25555556  0.52444444]"
9,HNU_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.653333333333,0.124454364684,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.607333333333,0.14150618361,"[ 0.75        0.61666667  0.41666667  0.6         0.43333333  0.55        0.5
  0.71666667  0.61666667  0.61666667  0.6         0.66666667  0.56666667
  0.68333333  0.83333333  0.7         0.38333333  0.51666667  0.73333333
  0.6         0.71666667  0.73333333  0.71666667  0.56666667  0.66666667
  0.36666667  0.58333333  0.58333333  0.85        0.6         0.85        0.55
  0.76666667  0.53333333  0.53333333  0.65        0.76666667  0.43333333
  0.58333333  0.63333333  0.93333333  0.75        0.6         0.45
  0.46666667  0.61666667  0.63333333  0.53333333  0.13333333  0.46666667]",0.700861111111,0.0831785785279,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.653282777778,0.211271340926,"[ 0.89375     0.678       0.16222222  0.4475      0.34444444  0.64625
  0.48125     0.87875     0.735       0.615       0.898       0.79125
  0.52875     0.70125     0.908       0.83        0.2025      0.302
  0.75777778  0.7         0.78125     0.87222222  0.81        0.884
  0.73222222  0.68777778  0.68333333  0.7075      0.89        0.468       0.9
  0.4625      0.90888889  0.55875     0.605       0.87        0.89625
  0.59444444  0.56875     0.39222222  0.89625     0.85555556  0.685
  0.49777778  0.526       0.53333333  0.81875     0.63666667  0.14222222
  0.29777778]"
