,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csd_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.456666666667,0.143604394857,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.404,0.15042753885,"[ 0.33333333  0.2         0.5         0.66666667  0.5         0.33333333
  0.33333333  0.33333333  0.33333333  0.35        0.16666667  0.28333333
  0.65        0.33333333  0.16666667  0.16666667  0.33333333  0.16666667
  0.48333333  0.33333333  0.33333333  0.53333333  0.48333333  0.16666667
  0.5         0.5         0.5         0.68333333  0.61666667  0.21666667
  0.5         0.33333333  0.53333333  0.33333333  0.33333333  0.16666667
  0.71666667  0.53333333  0.33333333  0.5         0.6         0.5         0.35
  0.53333333  0.16666667  0.51666667  0.33333333  0.5         0.45
  0.46666667]",0.516222222222,0.0387113407316,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.457001388889,0.113533417718,"[ 0.5125      0.5         0.37944444  0.32125     0.64833333  0.3375      0.395
  0.5         0.5         0.5         0.5         0.495625    0.5         0.5875
  0.5         0.23        0.12875     0.55        0.5         0.5         0.484375
  0.5         0.48333333  0.5         0.595       0.46166667  0.5         0.5
  0.5         0.5         0.5         0.2375      0.66777778  0.5         0.26125
  0.5         0.404375    0.41888889  0.5         0.5         0.5
  0.36666667  0.5         0.52888889  0.5         0.5         0.4
  0.57333333  0.14777778  0.23333333]"
2,HNU_1_proba_csd_con_ROIv_scale60,binar,degrees,standard,LR,0.516666666667,0.0954521404218,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.484333333333,0.122447721271,"[ 0.38333333  0.61666667  0.51666667  0.43333333  0.45        0.4
  0.43333333  0.48333333  0.56666667  0.66666667  0.63333333  0.45
  0.48333333  0.55        0.5         0.51666667  0.33333333  0.56666667
  0.45        0.61666667  0.4         0.66666667  0.26666667  0.55
  0.53333333  0.11666667  0.56666667  0.48333333  0.65        0.55
  0.43333333  0.35        0.46666667  0.4         0.21666667  0.68333333
  0.65        0.65        0.5         0.46666667  0.26666667  0.45
  0.43333333  0.6         0.45        0.51666667  0.46666667  0.65
  0.31666667  0.41666667]",0.529222222222,0.121725968551,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.510007777778,0.189293001951,"[ 0.5175      0.952       0.60888889  0.615       0.44666667  0.67        0.3525
  0.4875      0.46625     0.76625     0.75        0.36        0.54625
  0.47625     0.438       0.148       0.26375     0.696       0.33666667
  0.4725      0.5075      0.60888889  0.44111111  0.832       0.43777778
  0.07111111  0.57555556  0.58        0.70444444  0.668       0.45444444
  0.29375     0.61333333  0.48375     0.13625     0.692       0.81875
  0.81444444  0.2725      0.32666667  0.4025      0.25555556  0.48125
  0.66333333  0.588       0.58        0.4675      0.67444444  0.26888889
  0.41666667]"
3,HNU_1_proba_csd_con_ROIv_scale60,binar,degrees,standard,SGD,0.523333333333,0.133998341615,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.447333333333,0.126199137169,"[ 0.46666667  0.4         0.51666667  0.51666667  0.41666667  0.46666667
  0.4         0.51666667  0.53333333  0.63333333  0.35        0.36666667
  0.41666667  0.53333333  0.26666667  0.51666667  0.33333333  0.43333333
  0.41666667  0.56666667  0.46666667  0.66666667  0.35        0.3
  0.33333333  0.26666667  0.58333333  0.53333333  0.58333333  0.41666667
  0.41666667  0.3         0.48333333  0.55        0.25        0.41666667
  0.56666667  0.76666667  0.3         0.38333333  0.33333333  0.31666667
  0.45        0.65        0.26666667  0.53333333  0.4         0.76666667
  0.25        0.4       ]",0.526555555556,0.17835224891,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.532723888889,0.187859325193,"[ 0.52        0.946       0.61111111  0.6475      0.43444444  0.73        0.36625
  0.57375     0.43875     0.77375     0.75        0.325       0.5975      0.465
  0.388       0.306       0.2225      0.646       0.36222222  0.53875     0.6
  0.61333333  0.47        0.752       0.43111111  0.08222222  0.72555556
  0.6475      0.69222222  0.772       0.44555556  0.31125     0.54111111
  0.66        0.11        0.724       0.79875     0.87666667  0.28125
  0.41666667  0.4925      0.44555556  0.51875     0.64555556  0.614
  0.59111111  0.445       0.66666667  0.29111111  0.33222222]"
4,HNU_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.51275,0.209808672395,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.498572222222,0.204639335022,"[ 0.56375     0.94        0.38555556  0.6975      0.43444444  0.54875     0.27
  0.59375     0.5325      0.8525      0.798       0.44        0.525
  0.71625     0.506       0.364       0.28625     0.516       0.26555556
  0.335       0.235       0.63777778  0.52111111  0.88        0.34888889
  0.23333333  0.63666667  0.54625     0.65333333  0.516       0.34555556
  0.24625     0.69        0.43375     0.33625     0.984       0.86875
  0.59888889  0.2875      0.37555556  0.20125     0.29222222  0.45125     0.68
  0.276       0.49888889  0.3         0.67333333  0.17888889  0.43111111]"
5,HNU_1_proba_csd_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.516666666667,0.139443337756,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.453666666667,0.14155054064,"[ 0.4         0.3         0.41666667  0.5         0.41666667  0.41666667
  0.41666667  0.58333333  0.61666667  0.66666667  0.5         0.35
  0.48333333  0.71666667  0.31666667  0.53333333  0.38333333  0.48333333
  0.4         0.58333333  0.4         0.66666667  0.5         0.31666667
  0.5         0.25        0.63333333  0.58333333  0.66666667  0.33333333
  0.35        0.26666667  0.51666667  0.38333333  0.31666667  0.35        0.7
  0.58333333  0.25        0.33333333  0.31666667  0.33333333  0.46666667
  0.65        0.2         0.58333333  0.36666667  0.75        0.21666667
  0.41666667]",0.560611111111,0.21943151509,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.513690555556,0.216028293115,"[ 0.6075      0.91        0.43333333  0.6825      0.40777778  0.7225      0.375
  0.60125     0.64875     0.80625     0.86        0.24125     0.56375
  0.69125     0.29        0.468       0.2175      0.466       0.25222222
  0.55625     0.34875     0.64888889  0.52222222  0.776       0.45111111
  0.21111111  0.80555556  0.515       0.69555556  0.556       0.32888889
  0.22375     0.75222222  0.38        0.2825      0.964       0.8325
  0.80888889  0.2575      0.36888889  0.3075      0.25666667  0.45625
  0.70666667  0.268       0.56888889  0.33125     0.71111111  0.11222222
  0.43555556]"
6,HNU_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.55,0.0960324019393,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.446333333333,0.109457754408,"[ 0.4         0.4         0.38333333  0.46666667  0.65        0.5         0.5
  0.65        0.31666667  0.55        0.36666667  0.31666667  0.46666667
  0.36666667  0.26666667  0.4         0.43333333  0.25        0.45
  0.48333333  0.48333333  0.55        0.66666667  0.48333333  0.33333333
  0.46666667  0.53333333  0.3         0.6         0.31666667  0.53333333
  0.36666667  0.55        0.41666667  0.28333333  0.5         0.53333333
  0.61666667  0.4         0.31666667  0.43333333  0.5         0.5
  0.46666667  0.4         0.55        0.4         0.63333333  0.23333333
  0.33333333]",0.560361111111,0.159007764388,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.512075555556,0.176318362632,"[ 0.465       0.788       0.42        0.4875      0.78444444  0.6225      0.41
  0.63125     0.2575      0.615       0.744       0.32375     0.65875
  0.3875      0.282       0.626       0.30625     0.184       0.53111111
  0.64625     0.76875     0.53666667  0.67666667  0.594       0.45111111
  0.41777778  0.73444444  0.23375     0.64555556  0.192       0.71666667
  0.46375     0.58555556  0.52625     0.2475      0.652       0.6075
  0.65666667  0.475       0.28        0.6475      0.49777778  0.53
  0.58111111  0.584       0.77        0.33875     0.60666667  0.11888889
  0.29666667]"
7,HNU_1_proba_csd_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.62,0.0770281333886,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.490666666667,0.154025971836,"[ 0.55        0.5         0.5         0.43333333  0.46666667  0.66666667
  0.35        0.71666667  0.65        0.46666667  0.45        0.33333333
  0.73333333  0.3         0.33333333  0.16666667  0.3         0.11666667
  0.68333333  0.41666667  0.53333333  0.51666667  0.63333333  0.7
  0.56666667  0.51666667  0.51666667  0.6         0.48333333  0.28333333
  0.58333333  0.45        0.51666667  0.45        0.26666667  0.76666667
  0.6         0.61666667  0.28333333  0.33333333  0.61666667  0.66666667
  0.41666667  0.53333333  0.78333333  0.51666667  0.31666667  0.58333333
  0.45        0.3       ]",0.598972222222,0.1303095081,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515756111111,0.161374630302,"[ 0.64125     0.616       0.49222222  0.52625     0.36        0.72375
  0.26875     0.6775      0.48375     0.63875     0.47        0.3925
  0.61625     0.45375     0.334       0.554       0.26125     0.208
  0.70888889  0.55375     0.6075      0.66222222  0.73111111  0.486
  0.55777778  0.44888889  0.69888889  0.305       0.68666667  0.29
  0.48666667  0.41125     0.52444444  0.6175      0.32375     0.74        0.7525
  0.66444444  0.43125     0.21333333  0.53875     0.49222222  0.585
  0.65666667  0.548       0.39888889  0.50625     0.90333333  0.24555556
  0.29333333]"
8,HNU_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.513333333333,0.096263527188,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.513333333333,0.128970280814,"[ 0.4         0.78333333  0.5         0.46666667  0.46666667  0.5
  0.43333333  0.43333333  0.66666667  0.66666667  0.63333333  0.48333333
  0.51666667  0.6         0.46666667  0.56666667  0.33333333  0.61666667
  0.4         0.63333333  0.45        0.66666667  0.4         0.58333333
  0.58333333  0.11666667  0.55        0.6         0.65        0.58333333
  0.45        0.4         0.56666667  0.43333333  0.13333333  0.68333333
  0.63333333  0.71666667  0.45        0.45        0.36666667  0.4         0.55
  0.6         0.53333333  0.53333333  0.45        0.66666667  0.43333333
  0.46666667]",0.522888888889,0.107360245073,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.524952222222,0.185338495135,"[ 0.55375     0.928       0.55555556  0.53375     0.46333333  0.75        0.36
  0.41625     0.57375     0.76375     0.784       0.44125     0.505       0.45
  0.442       0.508       0.2875      0.706       0.40777778  0.57        0.445
  0.56444444  0.33111111  0.852       0.46333333  0.07444444  0.57111111
  0.6275      0.75444444  0.722       0.45333333  0.39        0.74222222
  0.3525      0.0475      0.768       0.81375     0.79888889  0.39
  0.39333333  0.3525      0.38222222  0.405       0.62222222  0.574
  0.52444444  0.43375     0.66555556  0.3         0.43333333]"
9,HNU_1_proba_csd_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.533333333333,0.132077418374,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.468,0.129907659512,"[ 0.45        0.43333333  0.56666667  0.55        0.45        0.48333333
  0.45        0.5         0.63333333  0.65        0.35        0.38333333
  0.41666667  0.56666667  0.28333333  0.38333333  0.38333333  0.53333333
  0.4         0.6         0.48333333  0.63333333  0.38333333  0.35
  0.41666667  0.21666667  0.6         0.58333333  0.65        0.45
  0.38333333  0.31666667  0.5         0.46666667  0.21666667  0.55
  0.61666667  0.8         0.31666667  0.31666667  0.45        0.36666667
  0.45        0.65        0.33333333  0.58333333  0.38333333  0.75
  0.28333333  0.43333333]",0.552472222222,0.126380292748,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.522038888889,0.206918971587,"[ 0.5075      0.948       0.61666667  0.61375     0.39888889  0.77125
  0.42125     0.42875     0.58375     0.80125     0.864       0.33625
  0.47125     0.42        0.318       0.382       0.29875     0.672
  0.35777778  0.54875     0.50875     0.59111111  0.42666667  0.818
  0.41222222  0.05333333  0.71444444  0.69        0.71777778  0.664
  0.44222222  0.4425      0.64555556  0.505       0.10625     0.774       0.8625
  0.95        0.21375     0.25333333  0.4625      0.24333333  0.475       0.61
  0.56        0.56333333  0.38875     0.66666667  0.22        0.36111111]"
