,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.566666666667,0.156347191994,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.568666666667,0.146121714867,"[ 0.58333333  0.7         0.58333333  0.51666667  0.63333333  0.4
  0.36666667  0.56666667  0.76666667  0.93333333  0.73333333  0.35
  0.56666667  0.66666667  0.51666667  0.68333333  0.15        0.65        0.55
  0.58333333  0.61666667  0.58333333  0.56666667  0.68333333  0.51666667
  0.25        0.76666667  0.65        0.73333333  0.65        0.7
  0.38333333  0.51666667  0.7         0.3         0.58333333  0.6
  0.78333333  0.53333333  0.5         0.65        0.6         0.53333333
  0.53333333  0.58333333  0.56666667  0.46666667  0.66666667  0.4
  0.31666667]",0.563833333333,0.244707081131,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.592198333333,0.210776017096,"[ 0.70375     0.852       0.56444444  0.51625     0.48555556  0.3775
  0.4975      0.5975      0.8525      0.975       0.856       0.31625
  0.55875     0.68125     0.518       0.606       0.06125     0.448
  0.50111111  0.53        0.5625      0.59555556  0.52444444  0.972
  0.63111111  0.12333333  0.91444444  0.76        0.78333333  0.37        0.8
  0.3175      0.80555556  0.58375     0.2425      0.762       0.88625
  0.78666667  0.4375      0.47888889  0.6075      0.69333333  0.45
  0.58444444  0.938       0.69888889  0.52625     0.63111111  0.32111111
  0.32333333]"
1,HNU_1_proba_csd_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.613333333333,0.162412369534,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.541666666667,0.133593496182,"[ 0.53333333  0.46666667  0.66666667  0.58333333  0.58333333  0.53333333
  0.41666667  0.65        0.73333333  0.6         0.68333333  0.46666667
  0.48333333  0.58333333  0.5         0.71666667  0.18333333  0.6         0.5
  0.66666667  0.41666667  0.55        0.48333333  0.6         0.33333333
  0.3         0.8         0.31666667  0.76666667  0.6         0.76666667
  0.46666667  0.58333333  0.53333333  0.36666667  0.55        0.63333333
  0.7         0.55        0.46666667  0.51666667  0.6         0.55
  0.48333333  0.43333333  0.43333333  0.41666667  0.75        0.66666667
  0.3       ]",0.647666666667,0.237837518456,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.577782222222,0.175173702449,"[ 0.65125     0.648       0.70888889  0.47125     0.61666667  0.57375     0.49
  0.68875     0.82        0.67875     0.782       0.555       0.57875
  0.745       0.374       0.632       0.13875     0.504       0.45666667
  0.505       0.4825      0.58555556  0.53666667  0.92        0.38111111
  0.18777778  0.88444444  0.3625      0.82333333  0.282       0.86        0.485
  0.55444444  0.46875     0.26625     0.684       0.705       0.69666667
  0.5325      0.48666667  0.42625     0.63888889  0.61625     0.51888889
  0.912       0.59666667  0.57875     0.73222222  0.68111111  0.38444444]"
2,HNU_1_proba_csd_con_aparc150+subcort,binar,degrees,standard,LR,0.54,0.197371617908,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.55,0.143488288334,"[ 0.56666667  0.68333333  0.58333333  0.46666667  0.61666667  0.25
  0.48333333  0.55        0.78333333  0.93333333  0.58333333  0.28333333
  0.63333333  0.56666667  0.46666667  0.61666667  0.25        0.56666667
  0.51666667  0.66666667  0.63333333  0.6         0.56666667  0.65        0.5
  0.2         0.63333333  0.45        0.66666667  0.6         0.75
  0.43333333  0.63333333  0.65        0.35        0.51666667  0.56666667
  0.75        0.58333333  0.46666667  0.55        0.51666667  0.48333333
  0.55        0.41666667  0.68333333  0.45        0.76666667  0.53333333
  0.28333333]",0.512861111111,0.284515258112,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.538947222222,0.189412592651,"[ 0.6275      0.754       0.54777778  0.44125     0.54444444  0.17625
  0.50125     0.62875     0.71125     0.9825      0.722       0.2525
  0.49625     0.48625     0.464       0.508       0.17875     0.224
  0.49333333  0.63        0.58875     0.54888889  0.58222222  0.984
  0.51666667  0.11777778  0.68555556  0.44        0.66        0.244
  0.84666667  0.37        0.72777778  0.6275      0.21375     0.668       0.6675
  0.70888889  0.57375     0.40444444  0.55375     0.57777778  0.4025
  0.58111111  0.692       0.68777778  0.44625     0.64555556  0.46666667
  0.34777778]"
3,HNU_1_proba_csd_con_aparc150+subcort,binar,degrees,standard,SGD,0.533333333333,0.21002645336,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.559666666667,0.132919775303,"[ 0.63333333  0.56666667  0.56666667  0.43333333  0.61666667  0.53333333
  0.5         0.53333333  0.73333333  0.76666667  0.48333333  0.43333333
  0.75        0.46666667  0.5         0.55        0.2         0.51666667
  0.61666667  0.71666667  0.6         0.56666667  0.66666667  0.6         0.5
  0.23333333  0.78333333  0.55        0.6         0.41666667  0.81666667
  0.38333333  0.73333333  0.68333333  0.36666667  0.5         0.45
  0.78333333  0.55        0.6         0.55        0.58333333  0.53333333
  0.6         0.35        0.7         0.45        0.7         0.46666667
  0.55      ]",0.522611111111,0.276932065365,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.553868888889,0.200512197455,"[ 0.6275      0.734       0.56        0.45875     0.56333333  0.22625
  0.5175      0.64875     0.825       0.96375     0.802       0.25375
  0.50125     0.44875     0.48        0.614       0.1875      0.18
  0.45555556  0.69375     0.63125     0.55444444  0.59        0.996
  0.54111111  0.12222222  0.81444444  0.42625     0.71        0.264       0.87
  0.40625     0.77888889  0.58125     0.21125     0.62        0.75625
  0.71333333  0.61875     0.41111111  0.56        0.53222222  0.3675
  0.61888889  0.684       0.70666667  0.40375     0.65222222  0.43888889
  0.37111111]"
4,HNU_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.583333333333,0.198885785202,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.606666666667,0.141146102398,"[ 0.33333333  0.56666667  0.68333333  0.56666667  0.53333333  0.66666667
  0.48333333  0.33333333  0.75        0.78333333  0.46666667  0.48333333
  0.53333333  0.8         0.56666667  0.78333333  0.4         0.83333333
  0.85        0.71666667  0.5         0.75        0.55        0.6
  0.36666667  0.53333333  0.71666667  0.75        0.85        0.71666667
  0.55        0.41666667  0.66666667  0.5         0.63333333  0.8
  0.48333333  0.65        0.53333333  0.6         0.41666667  0.6
  0.73333333  0.6         0.8         0.43333333  0.55        0.8
  0.58333333  0.51666667]",0.605638888889,0.230579878235,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.669365555556,0.154979072697,"[ 0.88125     0.864       0.66722222  0.586875    0.58833333  0.744375
  0.4775      0.5         0.706875    0.82125     0.444       0.453125
  0.5675      0.774375    0.706       0.693       0.31625     0.789
  0.90888889  0.70625     0.5325      0.90444444  0.57        0.884
  0.48444444  0.48444444  0.76055556  0.77625     0.87        0.77
  0.83444444  0.409375    0.635       0.58        0.68875     0.886       0.52
  0.57666667  0.608125    0.58611111  0.5175      0.71666667  0.819375
  0.63888889  0.932       0.52222222  0.58        0.86111111  0.81166667
  0.51166667]"
5,HNU_1_proba_csd_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.566666666667,0.194079021707,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.511,0.145434597748,"[ 0.43333333  0.18333333  0.58333333  0.43333333  0.65        0.46666667
  0.36666667  0.51666667  0.71666667  0.66666667  0.6         0.38333333
  0.45        0.66666667  0.4         0.45        0.15        0.51666667
  0.68333333  0.58333333  0.41666667  0.66666667  0.41666667  0.48333333
  0.4         0.35        0.71666667  0.6         0.66666667  0.48333333
  0.53333333  0.25        0.68333333  0.65        0.38333333  0.26666667
  0.48333333  0.65        0.5         0.61666667  0.48333333  0.71666667
  0.63333333  0.58333333  0.21666667  0.65        0.48333333  0.7
  0.51666667  0.45      ]",0.604972222222,0.224142956202,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.621979722222,0.181681983219,"[ 0.92875     0.93        0.73666667  0.47125     0.66888889  0.6675
  0.43125     0.69875     0.74875     0.72875     0.648       0.35625
  0.4925      0.799375    0.444       0.652       0.15375     0.692       0.765
  0.59125     0.40625     0.84444444  0.54222222  0.85        0.43111111
  0.26        0.76055556  0.63875     0.77722222  0.706       0.78666667
  0.225625    0.69222222  0.60125     0.39125     0.89        0.5975
  0.60222222  0.466875    0.59722222  0.5575      0.76888889  0.70875
  0.55222222  0.924       0.67222222  0.475       0.82666667  0.46666667
  0.475     ]"
6,HNU_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.656666666667,0.151510909032,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.669,0.108012859317,"[ 0.53333333  0.68333333  0.58333333  0.81666667  0.75        0.9
  0.61666667  0.68333333  0.78333333  0.65        0.56666667  0.81666667
  0.71666667  0.63333333  0.61666667  0.78333333  0.41666667  0.55
  0.76666667  0.68333333  0.76666667  0.5         0.68333333  0.73333333
  0.81666667  0.45        0.75        0.61666667  0.73333333  0.63333333
  0.73333333  0.58333333  0.71666667  0.71666667  0.48333333  0.6
  0.81666667  0.7         0.66666667  0.6         0.78333333  0.63333333
  0.48333333  0.7         0.73333333  0.66666667  0.51666667  0.7
  0.81666667  0.56666667]",0.708138888889,0.197860344813,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727502777778,0.158715950684,"[ 0.74        0.89        0.61444444  0.88125     0.87222222  0.95875
  0.56625     0.72625     0.98125     0.74        0.59        0.96625
  0.73375     0.73625     0.748       0.97        0.45125     0.49
  0.86111111  0.565       0.86125     0.47444444  0.76111111  0.756
  0.93777778  0.47333333  0.77666667  0.72        0.81444444  0.592
  0.79111111  0.74875     0.78888889  0.72625     0.415       0.48        0.9275
  0.78888889  0.72875     0.68333333  0.8625      0.68777778  0.40375
  0.72444444  0.904       0.82111111  0.41625     0.64222222  0.85666667
  0.72888889]"
7,HNU_1_proba_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.63,0.175562587764,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.567666666667,0.152512658855,"[ 0.4         0.28333333  0.58333333  0.7         0.75        0.7
  0.46666667  0.58333333  0.55        0.71666667  0.36666667  0.6         0.6
  0.53333333  0.33333333  0.35        0.41666667  0.31666667  0.76666667
  0.41666667  0.58333333  0.53333333  0.71666667  0.33333333  0.8
  0.41666667  0.75        0.6         0.73333333  0.41666667  0.71666667
  0.48333333  0.58333333  0.63333333  0.4         0.35        0.85
  0.71666667  0.65        0.61666667  0.65        0.63333333  0.35        0.7
  0.46666667  0.71666667  0.46666667  0.7         0.81666667  0.56666667]",0.708138888889,0.197860344813,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.726085,0.161562829904,"[ 0.7575      0.89        0.61444444  0.88125     0.87222222  0.95875
  0.56625     0.72625     0.98125     0.74        0.59        0.97        0.73375
  0.73625     0.738       0.97        0.45125     0.49        0.86111111
  0.53875     0.86125     0.47444444  0.76111111  0.764       0.93777778
  0.45555556  0.77666667  0.72        0.81333333  0.592       0.79111111
  0.74875     0.78888889  0.72625     0.41        0.44        0.9275
  0.78888889  0.72875     0.68333333  0.8625      0.68777778  0.40375
  0.72444444  0.904       0.82111111  0.41625     0.64222222  0.85666667
  0.72888889]"
8,HNU_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.543333333333,0.206451500896,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.565,0.14614490526,"[ 0.56666667  0.7         0.61666667  0.5         0.63333333  0.31666667
  0.46666667  0.51666667  0.8         0.93333333  0.58333333  0.3
  0.66666667  0.6         0.46666667  0.66666667  0.23333333  0.58333333
  0.5         0.66666667  0.61666667  0.61666667  0.61666667  0.65        0.6
  0.2         0.65        0.56666667  0.7         0.6         0.76666667
  0.45        0.68333333  0.65        0.36666667  0.53333333  0.58333333
  0.73333333  0.58333333  0.43333333  0.63333333  0.51666667  0.41666667
  0.53333333  0.4         0.73333333  0.45        0.78333333  0.55
  0.31666667]",0.5295,0.288965609471,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.564032777778,0.186697188369,"[ 0.62625     0.75        0.55111111  0.4525      0.54111111  0.26625
  0.475       0.5875      0.775       0.99125     0.78        0.3075
  0.5075      0.58125     0.478       0.524       0.20125     0.238
  0.56111111  0.64875     0.595       0.52777778  0.67555556  0.98
  0.60444444  0.13111111  0.74888889  0.55125     0.70444444  0.268
  0.82777778  0.43375     0.82888889  0.6325      0.21        0.674
  0.72375     0.72        0.58875     0.41888889  0.57375     0.59222222
  0.415       0.58333333  0.662       0.69555556  0.495       0.65111111
  0.47555556  0.37      ]"
9,HNU_1_proba_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.546666666667,0.188679622641,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.545666666667,0.144944817086,"[ 0.6         0.63333333  0.63333333  0.55        0.63333333  0.36666667
  0.48333333  0.51666667  0.75        0.95        0.51666667  0.3         0.55
  0.56666667  0.4         0.55        0.23333333  0.5         0.6
  0.66666667  0.61666667  0.58333333  0.63333333  0.48333333  0.6
  0.18333333  0.68333333  0.46666667  0.7         0.5         0.75        0.5
  0.68333333  0.56666667  0.35        0.46666667  0.56666667  0.73333333
  0.6         0.45        0.55        0.53333333  0.45        0.53333333
  0.3         0.73333333  0.41666667  0.78333333  0.53333333  0.33333333]",0.538722222222,0.279938284094,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.585802222222,0.195834480898,"[ 0.62375     0.736       0.57222222  0.47        0.55555556  0.41        0.495
  0.60625     0.87125     0.9925      0.828       0.32625     0.5125      0.55
  0.482       0.644       0.21375     0.182       0.51222222  0.7075
  0.6275      0.53888889  0.69555556  0.996       0.67111111  0.14888889
  0.88333333  0.57875     0.76        0.314       0.84777778  0.4975
  0.88333333  0.5975      0.2075      0.616       0.82375     0.73555556
  0.635       0.42444444  0.59375     0.52888889  0.385       0.61888889
  0.646       0.73        0.47        0.66111111  0.47666667  0.40666667]"
