,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_ROIv_scale33,max,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csa_con_ROIv_scale33,max,bag_of_edges,standard,SGD,0.543333333333,0.101434160365,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.498,0.112676528168,"[ 0.41666667  0.41666667  0.36666667  0.58333333  0.43333333  0.6         0.5
  0.46666667  0.26666667  0.68333333  0.66666667  0.46666667  0.56666667
  0.35        0.71666667  0.53333333  0.71666667  0.46666667  0.48333333
  0.36666667  0.6         0.46666667  0.71666667  0.45        0.36666667
  0.55        0.61666667  0.53333333  0.4         0.38333333  0.58333333
  0.41666667  0.36666667  0.33333333  0.55        0.66666667  0.53333333
  0.63333333  0.51666667  0.46666667  0.41666667  0.46666667  0.28333333
  0.5         0.61666667  0.5         0.5         0.55        0.35        0.5       ]",0.660222222222,0.209116502026,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.670924444444,0.240208871689,"[ 0.16625     0.87        0.24111111  0.525       0.89444444  0.825       0.5
  0.95375     0.23125     0.9425      0.784       0.92375     0.91625
  0.5425      0.878       0.25        0.6375      0.53        0.24        0.505
  0.9375      0.84111111  0.89666667  0.988       0.92666667  0.60444444
  0.63777778  0.2225      0.77333333  0.324       0.94        0.79875
  0.88222222  0.55875     0.75625     0.5         0.90625     0.55888889
  0.8325      0.63222222  0.72125     0.61444444  0.585       0.80777778
  0.65        0.90333333  0.6925      0.62888889  0.16777778  0.90111111]"
2,HNU_1_deter_csa_con_ROIv_scale33,max,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.571527777778,0.185645271059,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.526223888889,0.190313014938,"[ 0.53625     0.858       0.44        0.72        0.65888889  0.50375
  0.48375     0.66375     0.225       0.8475      0.642       0.2575
  0.72625     0.4925      0.47        0.85        0.53125     0.734
  0.15888889  0.28875     0.55125     0.51444444  0.45        0.572       0.69
  0.39777778  0.74        0.445       0.22        0.964       0.40222222
  0.45375     0.67888889  0.525       0.34625     0.238       0.47625
  0.76888889  0.475       0.68222222  0.7325      0.57333333  0.32625
  0.60222222  0.39        0.54777778  0.25125     0.63333333  0.23333333
  0.34222222]"
3,HNU_1_deter_csa_con_ROIv_scale33,max,degrees,standard,SGD,0.556666666667,0.12274635093,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.485666666667,0.118275103044,"[ 0.51666667  0.43333333  0.65        0.46666667  0.63333333  0.4         0.55
  0.5         0.31666667  0.7         0.51666667  0.43333333  0.56666667
  0.53333333  0.43333333  0.66666667  0.35        0.5         0.38333333
  0.43333333  0.5         0.51666667  0.46666667  0.36666667  0.46666667
  0.41666667  0.73333333  0.55        0.5         0.65        0.46666667
  0.3         0.6         0.53333333  0.33333333  0.25        0.45
  0.61666667  0.4         0.71666667  0.6         0.4         0.53333333
  0.46666667  0.33333333  0.46666667  0.38333333  0.58333333  0.18333333
  0.51666667]",0.606583333333,0.179840884749,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.559851111111,0.160614514526,"[ 0.58625     0.958       0.50888889  0.70125     0.61555556  0.51        0.5525
  0.53        0.25875     0.8375      0.618       0.3725      0.6525
  0.52375     0.468       0.936       0.6325      0.782       0.33222222
  0.37        0.5875      0.59111111  0.57333333  0.462       0.70555556
  0.50444444  0.64666667  0.5475      0.55888889  0.838       0.48777778
  0.35        0.70222222  0.59375     0.40375     0.37        0.51625
  0.70222222  0.4825      0.74222222  0.6875      0.45222222  0.47625
  0.51111111  0.53        0.62333333  0.2525      0.66555556  0.20666667
  0.47555556]"
4,HNU_1_deter_csa_con_ROIv_scale33,max,closeness_centrality,standard,LR,0.53,0.214838440591,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.494333333333,0.154330453537,"[ 0.3         0.45        0.51666667  0.76666667  0.56666667  0.58333333
  0.45        0.55        0.88333333  0.41666667  0.65        0.2
  0.51666667  0.33333333  0.55        0.35        0.31666667  0.46666667
  0.45        0.56666667  0.48333333  0.38333333  0.68333333  0.61666667
  0.48333333  0.21666667  0.68333333  0.5         0.61666667  0.66666667
  0.25        0.28333333  0.66666667  0.4         0.55        0.68333333
  0.7         0.78333333  0.5         0.5         0.3         0.45        0.35
  0.58333333  0.48333333  0.55        0.26666667  0.48333333  0.43333333
  0.28333333]",0.568972222222,0.30571227799,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.525730555556,0.222598445294,"[ 0.2475      0.112       0.61444444  0.835       0.60555556  0.63875
  0.28625     0.78        0.9525      0.51        0.812       0.1625
  0.6475      0.37375     0.636       0.156       0.2225      0.468       0.54
  0.6825      0.6         0.42555556  0.71        0.774       0.53777778
  0.27        0.73222222  0.41125     0.77222222  0.622       0.24555556
  0.26375     0.78333333  0.47125     0.6175      0.986       0.79125
  0.84444444  0.58375     0.56666667  0.215       0.53888889  0.275       0.67
  0.344       0.50888889  0.25125     0.53        0.33        0.33222222]"
5,HNU_1_deter_csa_con_ROIv_scale33,max,closeness_centrality,standard,SGD,0.536666666667,0.153984126166,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.505666666667,0.132481025895,"[ 0.5         0.4         0.48333333  0.35        0.58333333  0.43333333
  0.68333333  0.61666667  0.58333333  0.6         0.58333333  0.35
  0.46666667  0.56666667  0.46666667  0.45        0.33333333  0.33333333
  0.33333333  0.4         0.48333333  0.51666667  0.8         0.6
  0.43333333  0.38333333  0.46666667  0.7         0.51666667  0.48333333
  0.6         0.5         0.53333333  0.56666667  0.43333333  0.43333333
  0.68333333  0.41666667  0.71666667  0.53333333  0.71666667  0.5         0.5
  0.8         0.6         0.48333333  0.33333333  0.45        0.06666667
  0.51666667]",0.607583333333,0.270742600186,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.508313888889,0.246017785118,"[ 0.16625     0.072       0.62111111  0.835       0.53333333  0.61625     0.32
  0.78        0.9525      0.195       0.846       0.2375      0.5025      0.655
  0.946       0.164       0.28125     0.418       0.52111111  0.71375
  0.66125     0.37888889  0.73333333  0.774       0.42111111  0.33
  0.86444444  0.11375     0.77222222  0.416       0.37666667  0.16
  0.75888889  0.4125      0.6925      0.986       0.5         0.84444444
  0.56375     0.54777778  0.0875      0.44        0.225       0.65        0.358
  0.40222222  0.28        0.55111111  0.35111111  0.38666667]"
6,HNU_1_deter_csa_con_ROIv_scale33,max,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_deter_csa_con_ROIv_scale33,max,betweenness_centrality,standard,SGD,0.55,0.107496769977,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.448666666667,0.143598204879,"[ 0.46666667  0.33333333  0.41666667  0.23333333  0.63333333  0.33333333
  0.86666667  0.56666667  0.66666667  0.43333333  0.2         0.5
  0.18333333  0.46666667  0.36666667  0.61666667  0.28333333  0.61666667
  0.35        0.63333333  0.46666667  0.5         0.6         0.28333333
  0.66666667  0.26666667  0.36666667  0.26666667  0.38333333  0.46666667
  0.63333333  0.43333333  0.5         0.4         0.48333333  0.33333333
  0.48333333  0.45        0.45        0.6         0.4         0.41666667
  0.35        0.45        0.73333333  0.51666667  0.31666667  0.3         0.3
  0.45      ]",0.564527777778,0.106821126592,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.474049444444,0.1908389832,"[ 0.48375     0.658       0.33555556  0.18125     0.6         0.32        0.2125
  0.40125     0.68        0.5625      0.8         0.26        0.37        0.65
  0.388       0.372       0.38375     0.882       0.63666667  0.24875
  0.5975      0.66777778  0.41666667  0.654       0.77333333  0.20222222
  0.59777778  0.25625     0.43555556  0.69        0.57888889  0.325
  0.24888889  0.05125     0.36875     0.362       0.555       0.55555556
  0.7775      0.45888889  0.39        0.34888889  0.55875     0.43        0.828
  0.51333333  0.2825      0.20333333  0.65111111  0.49777778]"
8,HNU_1_deter_csa_con_ROIv_scale33,max,eigenvector_centrality,standard,LR,0.506666666667,0.0620035841258,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.472666666667,0.115217668398,"[ 0.43333333  0.51666667  0.55        0.38333333  0.43333333  0.4
  0.58333333  0.6         0.46666667  0.48333333  0.51666667  0.33333333
  0.71666667  0.63333333  0.43333333  0.45        0.28333333  0.56666667
  0.3         0.5         0.45        0.46666667  0.65        0.58333333
  0.51666667  0.31666667  0.6         0.5         0.51666667  0.46666667
  0.46666667  0.5         0.55        0.6         0.46666667  0.36666667
  0.56666667  0.63333333  0.45        0.35        0.43333333  0.4
  0.53333333  0.46666667  0.43333333  0.46666667  0.33333333  0.61666667
  0.06666667  0.28333333]",0.508805555556,0.1229645889,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.506017777778,0.198302842098,"[ 0.44375     0.984       0.49666667  0.62375     0.40444444  0.21625
  0.53375     0.51625     0.395       0.52875     0.812       0.26125
  0.84875     0.575       0.484       0.54        0.26125     0.638
  0.33444444  0.2975      0.73875     0.58444444  0.72888889  0.934
  0.59888889  0.24555556  0.59666667  0.69125     0.33333333  0.62
  0.29333333  0.59875     0.76555556  0.565       0.315       0.214
  0.63875     0.76222222  0.4725      0.35222222  0.365       0.25222222
  0.35875     0.38888889  0.736       0.61555556  0.295       0.50222222
  0.13777778  0.40555556]"
9,HNU_1_deter_csa_con_ROIv_scale33,max,eigenvector_centrality,standard,SGD,0.523333333333,0.121837779217,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.457,0.114798857911,"[ 0.48333333  0.35        0.51666667  0.48333333  0.51666667  0.35
  0.58333333  0.56666667  0.46666667  0.51666667  0.48333333  0.33333333
  0.75        0.51666667  0.56666667  0.61666667  0.3         0.43333333
  0.38333333  0.41666667  0.4         0.46666667  0.76666667  0.51666667
  0.46666667  0.35        0.56666667  0.61666667  0.5         0.4
  0.53333333  0.53333333  0.53333333  0.41666667  0.35        0.26666667
  0.38333333  0.58333333  0.48333333  0.46666667  0.41666667  0.25        0.5
  0.31666667  0.36666667  0.35        0.31666667  0.51666667  0.21666667
  0.36666667]",0.568777777778,0.155548496864,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.503768333333,0.185032280935,"[ 0.525       0.942       0.44111111  0.52125     0.49444444  0.2975
  0.49875     0.69        0.4225      0.57375     0.758       0.27625
  0.845       0.61625     0.586       0.628       0.16        0.592
  0.40111111  0.3         0.7025      0.60111111  0.70777778  0.848
  0.59555556  0.15444444  0.59333333  0.65375     0.34222222  0.472
  0.29555556  0.61125     0.66444444  0.60375     0.31875     0.206
  0.59625     0.75666667  0.455       0.28666667  0.36625     0.37222222
  0.38875     0.33222222  0.666       0.61444444  0.25125     0.43888889
  0.25666667  0.46777778]"
