,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csd_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.586666666667,0.0487624627944,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496666666667,0.109747184221,"[ 0.46666667  0.53333333  0.31666667  0.38333333  0.53333333  0.6
  0.48333333  0.66666667  0.56666667  0.65        0.53333333  0.5         0.55
  0.31666667  0.55        0.63333333  0.55        0.53333333  0.63333333
  0.43333333  0.38333333  0.45        0.58333333  0.51666667  0.3
  0.48333333  0.58333333  0.46666667  0.31666667  0.3         0.5
  0.33333333  0.61666667  0.48333333  0.45        0.73333333  0.58333333
  0.48333333  0.51666667  0.26666667  0.43333333  0.41666667  0.46666667
  0.48333333  0.7         0.55        0.63333333  0.41666667  0.38333333
  0.56666667]",0.593958333333,0.0574652337194,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.502351944444,0.161640913031,"[ 0.65375     0.619       0.3         0.41875     0.52444444  0.49875
  0.505       0.53625     0.57125     0.8175      0.692       0.44875
  0.67625     0.32875     0.56        0.67        0.613125    0.784       0.64
  0.375       0.5375      0.45222222  0.46666667  0.274       0.24
  0.42888889  0.62222222  0.5025      0.37666667  0.218       0.60222222
  0.305       0.66666667  0.5775      0.19375     0.875       0.525
  0.47833333  0.495       0.36555556  0.3175      0.33444444  0.44125
  0.495       0.474       0.66        0.77625     0.44055556  0.17666667
  0.56666667]"
2,HNU_1_deter_csd_con_ROIv_scale125,max,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_csd_con_ROIv_scale125,max,degrees,standard,SGD,0.45,0.0888194172965,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.353,0.130498616425,"[ 0.33333333  0.16666667  0.38333333  0.48333333  0.6         0.21666667
  0.6         0.51666667  0.1         0.36666667  0.5         0.21666667
  0.26666667  0.3         0.16666667  0.31666667  0.13333333  0.33333333
  0.3         0.3         0.26666667  0.51666667  0.5         0.16666667
  0.5         0.45        0.4         0.46666667  0.33333333  0.46666667
  0.5         0.45        0.41666667  0.31666667  0.31666667  0.16666667
  0.5         0.25        0.26666667  0.36666667  0.31666667  0.3         0.4
  0.48333333  0.15        0.36666667  0.25        0.61666667  0.21666667
  0.33333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_deter_csd_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.52125,0.114390696656,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.574278333333,0.190821800374,"[ 0.565       0.656       0.55833333  0.4525      0.68111111  0.655       0.625
  0.47        0.74375     0.79875     0.982       0.57625     0.5775
  0.6525      0.54        0.618       0.1175      0.45        0.47666667
  0.56125     0.739375    0.76333333  0.70111111  1.          0.74555556
  0.15777778  0.82055556  0.5775      0.61777778  0.536       0.61444444
  0.35875     0.90222222  0.645625    0.37        0.494       0.7825
  0.61722222  0.5575      0.27888889  0.55625     0.45777778  0.385
  0.56666667  0.56        0.67444444  0.32875     0.64444444  0.05555556
  0.44777778]"
5,HNU_1_deter_csd_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.61,0.19107880864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496666666667,0.135932990027,"[ 0.4         0.36666667  0.53333333  0.66666667  0.41666667  0.48333333
  0.58333333  0.53333333  0.51666667  0.76666667  0.58333333  0.48333333
  0.46666667  0.56666667  0.18333333  0.63333333  0.21666667  0.63333333
  0.46666667  0.4         0.56666667  0.76666667  0.48333333  0.46666667
  0.46666667  0.25        0.68333333  0.35        0.61666667  0.46666667
  0.55        0.46666667  0.56666667  0.45        0.3         0.6
  0.58333333  0.63333333  0.53333333  0.4         0.51666667  0.31666667
  0.41666667  0.71666667  0.46666667  0.4         0.31666667  0.71666667
  0.28333333  0.58333333]",0.603805555556,0.208875139914,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.611253888889,0.186487348954,"[ 0.5925      0.658       0.48166667  0.64875     0.61444444  0.70875
  0.625       0.6175      0.86375     0.765       0.992       0.54375
  0.69125     0.60375     0.606       0.74        0.095       0.42
  0.60222222  0.5125      0.876875    0.65333333  0.93888889  1.
  0.54777778  0.16        0.85833333  0.53375     0.67333333  0.486
  0.59333333  0.36125     0.83888889  0.664375    0.4825      0.458
  0.89875     0.70055556  0.50125     0.42888889  0.47125     0.55888889
  0.57125     0.54777778  0.752       0.72        0.3425      0.65111111
  0.32333333  0.58666667]"
6,HNU_1_deter_csd_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.593333333333,0.12935738608,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.541333333333,0.130436872769,"[ 0.5         0.18333333  0.55        0.56666667  0.43333333  0.31666667
  0.43333333  0.56666667  0.65        0.56666667  0.53333333  0.6
  0.36666667  0.73333333  0.58333333  0.41666667  0.45        0.65        0.75
  0.75        0.45        0.73333333  0.55        0.48333333  0.53333333
  0.53333333  0.73333333  0.58333333  0.6         0.46666667  0.73333333
  0.45        0.58333333  0.63333333  0.76666667  0.43333333  0.63333333
  0.51666667  0.56666667  0.58333333  0.56666667  0.7         0.6
  0.53333333  0.38333333  0.55        0.31666667  0.5         0.21666667
  0.53333333]",0.668222222222,0.131487906077,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.646412222222,0.163565409893,"[ 0.68375     0.734       0.78888889  0.89375     0.43222222  0.395
  0.40875     0.58375     0.73125     0.63875     0.73        0.5925
  0.30125     0.90375     0.738       0.908       0.39375     0.778
  0.85777778  0.87125     0.65875     0.77666667  0.53222222  0.882
  0.53444444  0.54888889  0.81        0.6125      0.68888889  0.63
  0.66222222  0.56625     0.64666667  0.64        0.85875     0.404       0.7825
  0.83555556  0.6175      0.62111111  0.55625     0.74888889  0.5775
  0.59444444  0.818       0.59666667  0.3         0.55222222  0.28555556
  0.61777778]"
7,HNU_1_deter_csd_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.61,0.110352969048,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510666666667,0.163223092048,"[ 0.41666667  0.16666667  0.73333333  0.81666667  0.5         0.35
  0.46666667  0.5         0.65        0.46666667  0.33333333  0.6         0.3
  0.61666667  0.68333333  0.5         0.36666667  0.21666667  0.71666667
  0.76666667  0.75        0.71666667  0.5         0.33333333  0.46666667
  0.36666667  0.56666667  0.46666667  0.58333333  0.71666667  0.56666667
  0.31666667  0.55        0.73333333  0.5         0.21666667  0.4
  0.53333333  0.51666667  0.53333333  0.51666667  0.7         0.38333333
  0.48333333  0.75        0.36666667  0.35        0.65        0.21666667
  0.61666667]",0.672083333333,0.129300229631,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.649988333333,0.161420889263,"[ 0.7075      0.708       0.75444444  0.88125     0.43222222  0.39875
  0.40375     0.6175      0.74875     0.6525      0.73        0.60125     0.3
  0.89625     0.722       0.91        0.38875     0.792       0.88666667
  0.865       0.62375     0.77        0.60333333  0.882       0.53666667
  0.54666667  0.78555556  0.605       0.68        0.632       0.67222222
  0.55        0.65        0.66125     0.865       0.402       0.79375     0.85
  0.625       0.60888889  0.54625     0.74777778  0.6425      0.59222222
  0.816       0.61222222  0.295       0.57222222  0.31666667  0.61888889]"
8,HNU_1_deter_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.613333333333,0.095684667296,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.610666666667,0.148015014253,"[ 0.46666667  0.8         0.41666667  0.53333333  0.73333333  0.4         0.65
  0.66666667  0.81666667  0.78333333  0.81666667  0.68333333  0.76666667
  0.66666667  0.51666667  0.4         0.41666667  0.55        0.53333333
  0.58333333  0.71666667  0.71666667  0.53333333  0.61666667  0.73333333
  0.38333333  0.81666667  0.7         0.6         0.61666667  0.81666667
  0.66666667  0.9         0.63333333  0.43333333  0.43333333  0.78333333
  0.61666667  0.61666667  0.43333333  0.7         0.6         0.53333333
  0.51666667  0.63333333  0.83333333  0.56666667  0.38333333  0.21666667
  0.58333333]",0.6925,0.158325316561,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.689070555556,0.200213798782,"[ 0.605       0.956       0.48444444  0.48125     0.85111111  0.29625
  0.73375     0.67625     0.89375     0.89375     0.986       0.945       0.8375
  0.82875     0.366       0.92        0.6325      0.528       0.54777778
  0.5025      0.73625     0.85        0.65777778  0.98        0.84555556
  0.45888889  0.95555556  0.72        0.64888889  0.664       0.78888889
  0.6325      1.          0.74625     0.47625     0.446       0.9075
  0.74666667  0.6875      0.51333333  0.73125     0.56333333  0.47875     0.6
  0.766       0.93        0.74125     0.34333333  0.12888889  0.74333333]"
9,HNU_1_deter_csd_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.613333333333,0.108730042869,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.566666666667,0.148436293855,"[ 0.35        0.56666667  0.43333333  0.31666667  0.7         0.3
  0.68333333  0.58333333  0.68333333  0.78333333  0.68333333  0.56666667
  0.73333333  0.68333333  0.58333333  0.4         0.4         0.41666667
  0.45        0.48333333  0.73333333  0.71666667  0.48333333  0.46666667
  0.7         0.45        0.75        0.63333333  0.61666667  0.56666667
  0.75        0.6         0.95        0.68333333  0.48333333  0.4
  0.73333333  0.55        0.53333333  0.4         0.46666667  0.6         0.5
  0.71666667  0.36666667  0.81666667  0.55        0.46666667  0.28333333
  0.56666667]",0.700777777778,0.165576774367,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.692028888889,0.193584526228,"[ 0.5         0.964       0.53777778  0.4425      0.86666667  0.37125
  0.8075      0.74625     0.7725      0.89125     0.986       0.96        0.8675
  0.8575      0.506       0.984       0.71875     0.514       0.41444444
  0.505       0.7625      0.70888889  0.54        0.982       0.79666667
  0.51888889  0.97111111  0.50625     0.62444444  0.676       0.83        0.72625
  1.          0.8575      0.4825      0.45        0.92        0.74444444
  0.63875     0.46666667  0.465       0.55111111  0.435       0.76777778
  0.77        0.91555556  0.77125     0.51222222  0.32        0.67777778]"
