,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.576666666667,0.0853749898324,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.540666666667,0.10247818196,"[ 0.58333333  0.68333333  0.46666667  0.5         0.73333333  0.48333333
  0.58333333  0.68333333  0.48333333  0.6         0.63333333  0.45        0.45
  0.6         0.46666667  0.6         0.41666667  0.41666667  0.46666667
  0.65        0.7         0.63333333  0.46666667  0.46666667  0.55
  0.36666667  0.66666667  0.36666667  0.58333333  0.6         0.65        0.6
  0.48333333  0.65        0.38333333  0.5         0.46666667  0.58333333
  0.75        0.53333333  0.5         0.46666667  0.58333333  0.45
  0.51666667  0.61666667  0.5         0.7         0.38333333  0.36666667]",0.557611111111,0.111419758815,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.571781111111,0.182804503082,"[ 0.8875      0.982       0.43555556  0.715       0.81888889  0.5425
  0.6525      0.7225      0.4075      0.575       0.906       0.23875
  0.50875     0.5875      0.508       0.364       0.4925      0.74
  0.49444444  0.4575      0.845       0.53777778  0.57222222  0.58
  0.57888889  0.33888889  0.81        0.50375     0.66777778  0.746
  0.61111111  0.78125     0.38444444  0.6425      0.305       0.452       0.4275
  0.80666667  0.82        0.45111111  0.4625      0.47111111  0.4275
  0.40333333  0.648       0.70555556  0.395       0.69666667  0.20555556
  0.27555556]"
1,HNU_1_deter_dti_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.603333333333,0.0979795897113,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.551666666667,0.105369719454,"[ 0.58333333  0.63333333  0.48333333  0.51666667  0.63333333  0.43333333
  0.73333333  0.61666667  0.58333333  0.45        0.5         0.48333333
  0.48333333  0.35        0.36666667  0.53333333  0.58333333  0.61666667
  0.76666667  0.6         0.5         0.55        0.58333333  0.65
  0.63333333  0.46666667  0.73333333  0.51666667  0.36666667  0.46666667
  0.75        0.58333333  0.4         0.66666667  0.36666667  0.53333333
  0.45        0.56666667  0.63333333  0.51666667  0.73333333  0.51666667
  0.53333333  0.61666667  0.63333333  0.61666667  0.53333333  0.46666667
  0.38333333  0.66666667]",0.668027777778,0.121393287487,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.531924444444,0.184640816903,"[ 0.76875     0.808       0.10555556  0.8725      0.82333333  0.64875     0.51
  0.69        0.46125     0.6125      0.458       0.47125     0.4475
  0.5525      0.298       1.          0.58375     0.734       0.48333333
  0.68875     0.6825      0.48666667  0.50111111  0.52        0.47333333
  0.54222222  0.70333333  0.46        0.30333333  0.448       0.44111111
  0.405       0.20444444  0.19875     0.2125      0.842       0.5675
  0.69888889  0.4425      0.43111111  0.3825      0.62888889  0.31625
  0.52333333  0.746       0.53888889  0.335       0.50222222  0.48444444
  0.55666667]"
2,HNU_1_deter_dti_con_aparc68+subcort,max,degrees,standard,LR,0.666666666667,0.0714920352984,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.590333333333,0.121385062233,"[ 0.56666667  0.65        0.68333333  0.5         0.61666667  0.63333333
  0.51666667  0.71666667  0.51666667  0.68333333  0.63333333  0.65        0.6
  0.63333333  0.3         0.81666667  0.48333333  0.65        0.45
  0.53333333  0.38333333  0.61666667  0.63333333  0.63333333  0.7
  0.53333333  0.86666667  0.46666667  0.55        0.73333333  0.66666667
  0.36666667  0.66666667  0.58333333  0.45        0.38333333  0.56666667
  0.81666667  0.55        0.5         0.7         0.51666667  0.68333333
  0.63333333  0.48333333  0.6         0.61666667  0.8         0.61666667
  0.36666667]",0.719583333333,0.142097384447,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.719305555556,0.168679060078,"[ 0.755       0.954       0.65111111  0.80375     0.65666667  0.71625
  0.755       0.77        0.61        0.88125     0.918       0.64375
  0.66875     0.70125     0.34        0.978       0.5475      0.878       0.51
  0.54625     0.82        0.69666667  0.81777778  0.942       0.91777778
  0.53444444  0.89333333  0.84625     0.67777778  0.96        0.61555556
  0.7875      0.85666667  0.4375      0.32375     0.742       0.8975
  0.90666667  0.63625     0.65666667  0.8725      0.48333333  0.6         0.84
  0.878       0.76777778  0.6575      0.69888889  0.61222222  0.30444444]"
3,HNU_1_deter_dti_con_aparc68+subcort,max,degrees,standard,SGD,0.7,0.110050493461,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.621,0.127967443776,"[ 0.55        0.6         0.68333333  0.36666667  0.63333333  0.5
  0.56666667  0.66666667  0.63333333  0.76666667  0.88333333  0.66666667
  0.65        0.75        0.35        0.63333333  0.38333333  0.58333333
  0.41666667  0.5         0.65        0.68333333  0.68333333  0.51666667
  0.65        0.6         0.91666667  0.83333333  0.66666667  0.6         0.7
  0.58333333  0.73333333  0.55        0.4         0.65        0.63333333
  0.81666667  0.61666667  0.58333333  0.76666667  0.6         0.5
  0.68333333  0.55        0.58333333  0.7         0.78333333  0.68333333
  0.35      ]",0.77925,0.137749649907,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.716431666667,0.161909775897,"[ 0.66625     0.96        0.65111111  0.82625     0.69111111  0.74875
  0.815       0.79625     0.49625     0.87625     0.958       0.66875
  0.65375     0.74125     0.42        0.92        0.51        0.836
  0.49444444  0.63125     0.79625     0.72333333  0.81333333  0.792
  0.89333333  0.50888889  0.96444444  0.82        0.75444444  0.966
  0.73444444  0.71625     0.78555556  0.4475      0.30125     0.728
  0.88375     0.89555556  0.64875     0.60111111  0.87625     0.48444444
  0.6425      0.71555556  0.872       0.78555556  0.62375     0.67555556
  0.67888889  0.33222222]"
4,HNU_1_deter_dti_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.573333333333,0.213072757527,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.500666666667,0.164213952581,"[ 0.51666667  0.33333333  0.58333333  0.61666667  0.2         0.7
  0.56666667  0.73333333  0.5         0.55        0.76666667  0.53333333
  0.4         0.36666667  0.33333333  0.51666667  0.38333333  0.41666667
  0.48333333  0.08333333  0.51666667  0.71666667  0.66666667  0.61666667
  0.73333333  0.3         0.33333333  0.51666667  0.23333333  0.75
  0.51666667  0.26666667  0.63333333  0.51666667  0.45        0.66666667
  0.56666667  0.6         0.51666667  0.43333333  0.35        0.41666667
  0.5         0.8         0.46666667  0.56666667  0.55        0.7
  0.11666667  0.43333333]",0.554527777778,0.126936287119,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.595538888889,0.190445321938,"[ 0.5975      0.946       0.71666667  0.6225      0.54666667  0.59875
  0.71625     0.635       0.51        0.445       0.718       0.62625
  0.37375     0.46375     0.494       0.262       0.47        0.79
  0.58333333  0.4475      0.56125     0.73        0.73555556  0.73
  0.90333333  0.40888889  0.49888889  0.52125     0.69666667  0.876
  0.61444444  0.80875     0.88888889  0.2675      0.41        0.698
  0.38625     0.88888889  0.79625     0.38        0.72        0.43888889
  0.38125     0.82111111  0.866       0.65555556  0.34875     0.62055556
  0.07777778  0.48333333]"
5,HNU_1_deter_dti_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.576666666667,0.188443920335,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.525,0.141470452353,"[ 0.38333333  0.35        0.56666667  0.46666667  0.26666667  0.71666667
  0.35        0.78333333  0.75        0.71666667  0.63333333  0.48333333
  0.63333333  0.48333333  0.43333333  0.71666667  0.4         0.3
  0.48333333  0.3         0.68333333  0.65        0.58333333  0.56666667
  0.76666667  0.28333333  0.43333333  0.6         0.41666667  0.5
  0.46666667  0.58333333  0.66666667  0.45        0.51666667  0.55
  0.66666667  0.53333333  0.51666667  0.41666667  0.48333333  0.33333333
  0.45        0.8         0.48333333  0.63333333  0.41666667  0.73333333
  0.38333333  0.46666667]",0.573861111111,0.182335762392,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.536592222222,0.194733930258,"[ 0.31625     0.94        0.57222222  0.53375     0.35666667  0.6725      0.425
  0.6675      0.79375     0.63125     0.66        0.51625     0.4625
  0.30375     0.548       0.248       0.51625     0.522       0.44111111
  0.14        0.585       0.66333333  0.69555556  0.74        0.70888889
  0.21888889  0.54555556  0.78625     0.37222222  0.77        0.48888889
  0.61625     0.68        0.19625     0.37875     0.736       0.5675
  0.65777778  0.67        0.38444444  0.565       0.37555556  0.3675
  0.86444444  0.862       0.62777778  0.40625     0.64277778  0.05777778
  0.33222222]"
6,HNU_1_deter_dti_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.593333333333,0.15477582355,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.547,0.161096589384,"[ 0.45        0.5         0.86666667  0.6         0.58333333  0.66666667
  0.41666667  0.58333333  0.78333333  0.65        0.41666667  0.81666667
  0.56666667  0.56666667  0.16666667  0.48333333  0.46666667  0.43333333
  0.53333333  0.66666667  0.66666667  0.65        0.21666667  0.36666667
  0.71666667  0.5         0.5         0.51666667  0.7         0.51666667
  0.28333333  0.53333333  0.9         0.55        0.28333333  0.56666667
  0.6         0.78333333  0.41666667  0.31666667  0.63333333  0.41666667
  0.33333333  0.53333333  0.41666667  0.7         0.48333333  0.78333333
  0.68333333  0.56666667]",0.62675,0.184979136294,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.649535555556,0.194329521994,"[ 0.5         0.768       0.90444444  0.65875     0.85333333  0.93875
  0.39625     0.6         0.88125     0.45125     0.65        0.87375
  0.56625     0.6425      0.656       0.98        0.36875     0.746
  0.59333333  0.65625     0.58375     0.81444444  0.16666667  0.674       0.72
  0.42444444  0.89777778  0.5125      0.87555556  0.686       0.38        0.74
  0.96222222  0.635       0.4725      0.628       0.37125     0.83666667
  0.4925      0.28777778  0.7575      0.39111111  0.33375     0.59        0.636
  0.76        0.9025      0.84444444  0.77444444  0.64111111]"
7,HNU_1_deter_dti_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.69,0.100332779622,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492666666667,0.153701008455,"[ 0.16666667  0.18333333  0.7         0.65        0.6         0.35
  0.66666667  0.63333333  0.58333333  0.48333333  0.41666667  0.68333333
  0.53333333  0.41666667  0.2         0.35        0.63333333  0.31666667
  0.61666667  0.5         0.28333333  0.66666667  0.35        0.16666667
  0.53333333  0.53333333  0.6         0.53333333  0.56666667  0.3
  0.36666667  0.65        0.5         0.46666667  0.36666667  0.71666667
  0.41666667  0.53333333  0.5         0.51666667  0.33333333  0.43333333
  0.36666667  0.53333333  0.68333333  0.73333333  0.4         0.73333333
  0.6         0.56666667]",0.646833333333,0.223299444637,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.567022222222,0.189407985332,"[ 0.1875      0.358       0.76222222  0.45875     0.76666667  0.92        0.46375
  0.3875      0.62        0.7         0.788       0.7175      0.67625
  0.73625     0.75        0.782       0.345       0.392       0.73333333
  0.67375     0.29125     0.81666667  0.27        0.302       0.51444444
  0.53555556  0.72888889  0.54125     0.61555556  0.194       0.36555556
  0.5475      0.54444444  0.4725      0.65875     0.182       0.5975
  0.45555556  0.75875     0.30111111  0.71375     0.37444444  0.505       0.68
  0.712       0.82222222  0.6275      0.77444444  0.55111111  0.67888889]"
8,HNU_1_deter_dti_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.676666666667,0.0969535971483,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681666666667,0.146562462983,"[ 0.58333333  0.63333333  0.78333333  0.5         0.86666667  0.95
  0.68333333  0.7         0.78333333  0.5         0.71666667  0.8         0.7
  0.61666667  0.45        0.6         0.68333333  0.65        0.76666667
  0.75        0.53333333  0.6         0.8         0.63333333  0.83333333
  0.58333333  0.9         0.76666667  0.56666667  0.83333333  0.68333333
  0.8         0.78333333  0.95        0.33333333  0.56666667  0.8         0.65
  0.7         0.66666667  0.81666667  0.65        0.6         0.68333333
  0.65        0.8         0.75        0.78333333  0.16666667  0.48333333]",0.640722222222,0.1362249354,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681369444444,0.200352671022,"[ 0.6875      0.948       0.72777778  0.68375     0.92222222  0.98375
  0.6675      0.7075      0.62625     0.56375     0.852       0.57125
  0.695       0.4925      0.406       0.982       0.77125     0.656
  0.65666667  0.55125     0.5325      0.59222222  0.96888889  0.684
  0.87111111  0.66555556  0.99555556  0.88        0.59444444  0.598
  0.63222222  0.93625     0.74777778  1.          0.27875     0.622
  0.74125     0.71        0.79125     0.33666667  0.89375     0.33333333
  0.515       0.7         0.602       0.77        0.81625     0.73111111
  0.13444444  0.24222222]"
9,HNU_1_deter_dti_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.67,0.117094453802,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.641333333333,0.14260434776,"[ 0.68333333  0.56666667  0.73333333  0.5         0.68333333  0.8
  0.53333333  0.75        0.76666667  0.43333333  0.65        0.7
  0.66666667  0.58333333  0.46666667  0.43333333  0.58333333  0.63333333
  0.8         0.66666667  0.36666667  0.61666667  0.83333333  0.58333333
  0.83333333  0.58333333  0.93333333  0.56666667  0.45        0.71666667
  0.68333333  0.73333333  0.81666667  0.91666667  0.4         0.4
  0.78333333  0.65        0.68333333  0.66666667  0.68333333  0.61666667
  0.55        0.66666667  0.63333333  0.78333333  0.71666667  0.8
  0.28333333  0.48333333]",0.692944444444,0.123027599032,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.731593333333,0.207609648908,"[ 0.74625     0.956       0.93444444  0.6975      0.97666667  1.          0.66375
  0.69        0.805       0.65375     0.842       0.59625     0.81375
  0.51125     0.478       0.974       0.795       0.648       0.69888889
  0.56625     0.5075      0.76        0.99111111  0.694       0.92
  0.67555556  0.98666667  0.98        0.63888889  0.744       0.72        0.9425
  0.90111111  1.          0.30875     0.648       0.75125     0.67111111
  0.805       0.42444444  1.          0.42444444  0.60125     0.69        0.694
  0.82222222  0.96        0.92        0.04444444  0.30666667]"
