,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_ROIv_scale125,max,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csa_con_ROIv_scale125,max,bag_of_edges,standard,SGD,0.52,0.0590668171556,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.477,0.0902398039793,"[ 0.61666667  0.38333333  0.38333333  0.36666667  0.45        0.5
  0.48333333  0.48333333  0.48333333  0.51666667  0.4         0.4         0.4
  0.43333333  0.56666667  0.3         0.33333333  0.48333333  0.4         0.5
  0.41666667  0.38333333  0.43333333  0.66666667  0.63333333  0.5
  0.38333333  0.56666667  0.4         0.6         0.4         0.53333333
  0.5         0.46666667  0.5         0.58333333  0.63333333  0.45
  0.58333333  0.43333333  0.68333333  0.46666667  0.4         0.45        0.55
  0.41666667  0.55        0.46666667  0.33333333  0.58333333]",0.528444444444,0.0965013912776,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515798888889,0.0608124043932,"[ 0.511875    0.408       0.43666667  0.61375     0.55777778  0.56625
  0.63125     0.55375     0.50625     0.52375     0.55        0.5425
  0.48375     0.5575      0.433       0.52        0.4425      0.441
  0.53944444  0.495       0.57625     0.49333333  0.47277778  0.549
  0.53555556  0.54555556  0.46        0.45625     0.48444444  0.555
  0.48666667  0.5025      0.54888889  0.435       0.55375     0.43        0.66875
  0.51777778  0.49125     0.40833333  0.676875    0.53444444  0.50125
  0.47055556  0.537       0.49166667  0.4875      0.50888889  0.47222222
  0.62444444]"
2,HNU_1_proba_csa_con_ROIv_scale125,max,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_proba_csa_con_ROIv_scale125,max,degrees,standard,SGD,0.433333333333,0.0816496580928,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.366666666667,0.120185042515,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.33333333  0.33333333  0.33333333  0.33333333  0.16666667  0.33333333
  0.33333333  0.33333333  0.16666667  0.16666667  0.33333333  0.16666667
  0.5         0.33333333  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.16666667
  0.5         0.33333333  0.5         0.33333333  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.33333333  0.5         0.16666667  0.5         0.33333333  0.5         0.5
  0.5       ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csa_con_ROIv_scale125,max,closeness_centrality,standard,LR,0.51,0.182147681231,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.452666666667,0.146301059463,"[ 0.43333333  0.53333333  0.5         0.46666667  0.53333333  0.45
  0.56666667  0.31666667  0.56666667  0.48333333  0.35        0.6         0.45
  0.68333333  0.33333333  0.36666667  0.31666667  0.48333333  0.23333333
  0.5         0.33333333  0.65        0.56666667  0.46666667  0.63333333
  0.31666667  0.73333333  0.66666667  0.65        0.36666667  0.56666667
  0.3         0.68333333  0.4         0.5         0.33333333  0.28333333
  0.6         0.33333333  0.5         0.43333333  0.5         0.33333333
  0.46666667  0.6         0.38333333  0.2         0.21666667  0.          0.45      ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csa_con_ROIv_scale125,max,closeness_centrality,standard,SGD,0.48,0.195902470066,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.381333333333,0.165752157687,"[ 0.35        0.2         0.5         0.36666667  0.53333333  0.35        0.35
  0.28333333  0.33333333  0.33333333  0.25        0.33333333  0.46666667
  0.33333333  0.35        0.16666667  0.2         0.11666667  0.18333333
  0.28333333  0.35        0.65        0.63333333  0.25        0.63333333
  0.28333333  0.75        0.41666667  0.63333333  0.26666667  0.58333333
  0.36666667  0.78333333  0.3         0.38333333  0.23333333  0.26666667
  0.6         0.45        0.5         0.5         0.5         0.4
  0.46666667  0.45        0.38333333  0.08333333  0.21666667  0.          0.45      ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.49375,0.04375,"[ 0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5
  0.5     0.5     0.5     0.5     0.5     0.5     0.1875  0.5     0.5     0.5
  0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5
  0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5
  0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5     0.5   ]"
6,HNU_1_proba_csa_con_ROIv_scale125,max,betweenness_centrality,standard,LR,0.543333333333,0.139283882772,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.443333333333,0.134701315675,"[ 0.5         0.13333333  0.3         0.7         0.43333333  0.56666667
  0.2         0.65        0.48333333  0.56666667  0.6         0.38333333
  0.56666667  0.45        0.33333333  0.45        0.3         0.28333333
  0.58333333  0.45        0.36666667  0.55        0.28333333  0.4         0.55
  0.23333333  0.46666667  0.65        0.55        0.21666667  0.48333333
  0.6         0.45        0.43333333  0.56666667  0.33333333  0.51666667
  0.48333333  0.63333333  0.38333333  0.45        0.45        0.43333333
  0.51666667  0.55        0.28333333  0.11666667  0.45        0.48333333
  0.35      ]",0.627277777778,0.258446220855,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.479618888889,0.180897191749,"[ 0.5975      0.136       0.36888889  0.76375     0.46555556  0.57125
  0.33625     0.81625     0.49375     0.4925      0.584       0.405       0.475
  0.58375     0.74        0.604       0.2725      0.106       0.80444444
  0.45375     0.37125     0.78333333  0.33333333  0.704       0.76888889
  0.28888889  0.25555556  0.36375     0.56666667  0.144       0.62333333
  0.54125     0.45777778  0.56125     0.58625     0.1         0.57625
  0.51333333  0.555       0.49666667  0.4025      0.53111111  0.36
  0.41111111  0.716       0.38222222  0.20375     0.35222222  0.46222222
  0.49888889]"
7,HNU_1_proba_csa_con_ROIv_scale125,max,betweenness_centrality,standard,SGD,0.623333333333,0.139283882772,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.438333333333,0.142136475888,"[ 0.46666667  0.1         0.31666667  0.7         0.46666667  0.21666667
  0.46666667  0.55        0.66666667  0.6         0.3         0.21666667
  0.55        0.38333333  0.28333333  0.46666667  0.38333333  0.48333333
  0.45        0.38333333  0.7         0.36666667  0.46666667  0.45
  0.53333333  0.26666667  0.56666667  0.41666667  0.61666667  0.36666667
  0.46666667  0.56666667  0.4         0.51666667  0.53333333  0.48333333
  0.63333333  0.55        0.38333333  0.38333333  0.31666667  0.4         0.3
  0.5         0.73333333  0.2         0.33333333  0.38333333  0.5
  0.13333333]",0.643583333333,0.227252008371,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.482061666667,0.216147112418,"[ 0.63375     0.108       0.25444444  0.96125     0.50111111  0.77625
  0.33625     0.75        0.7075      0.38375     0.712       0.3875      0.825
  0.54625     0.748       0.61        0.33125     0.038       0.68222222
  0.46125     0.45625     0.80444444  0.38        0.63        0.68888889
  0.23        0.27333333  0.51875     0.74        0.052       0.62333333
  0.55        0.42666667  0.54        0.5775      0.04        0.57625
  0.53333333  0.55        0.43111111  0.3775      0.44444444  0.365
  0.38222222  0.628       0.21777778  0.1425      0.58222222  0.33222222
  0.25555556]"
8,HNU_1_proba_csa_con_ROIv_scale125,max,eigenvector_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_proba_csa_con_ROIv_scale125,max,eigenvector_centrality,standard,SGD,0.433333333333,0.0816496580928,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.366666666667,0.120185042515,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.33333333  0.33333333  0.33333333  0.33333333  0.16666667  0.33333333
  0.33333333  0.33333333  0.16666667  0.16666667  0.33333333  0.16666667
  0.5         0.33333333  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.16666667
  0.5         0.33333333  0.5         0.33333333  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.33333333  0.5         0.16666667  0.5         0.33333333  0.5         0.5
  0.5       ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
