,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc150+subcort,max,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csa_con_aparc150+subcort,max,bag_of_edges,standard,SGD,0.55,0.121563883525,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.502333333333,0.113529731789,"[ 0.31666667  0.56666667  0.6         0.43333333  0.51666667  0.55
  0.33333333  0.4         0.55        0.76666667  0.58333333  0.48333333
  0.33333333  0.53333333  0.3         0.53333333  0.66666667  0.31666667
  0.3         0.43333333  0.55        0.5         0.45        0.3
  0.56666667  0.4         0.53333333  0.3         0.51666667  0.56666667
  0.55        0.51666667  0.56666667  0.5         0.61666667  0.71666667
  0.76666667  0.46666667  0.55        0.46666667  0.45        0.6
  0.46666667  0.58333333  0.51666667  0.61666667  0.48333333  0.56666667
  0.41666667  0.5       ]",0.583305555556,0.159067023299,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.474115555556,0.171391111129,"[ 0.54        0.584       0.53444444  0.4975      0.58777778  0.5725
  0.1625      0.5075      0.43375     0.70875     0.732       0.32875
  0.40125     0.5275      0.746       0.434       0.31125     0.11
  0.44111111  0.42        0.36625     0.64444444  0.67444444  0.384       0.65
  0.33666667  0.38222222  0.31625     0.54444444  0.148       0.62666667
  0.3225      0.75222222  0.40625     0.575       0.572       0.69
  0.38222222  0.73875     0.33111111  0.6225      0.46222222  0.3225
  0.52777778  0.448       0.69333333  0.20875     0.59777778  0.08555556
  0.31333333]"
2,HNU_1_proba_csa_con_aparc150+subcort,max,degrees,standard,LR,0.523333333333,0.178450117524,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.384666666667,0.160929246013,"[ 0.38333333  0.63333333  0.33333333  0.38333333  0.6         0.23333333
  0.61666667  0.33333333  0.51666667  0.26666667  0.33333333  0.36666667
  0.18333333  0.61666667  0.46666667  0.48333333  0.38333333  0.48333333
  0.46666667  0.33333333  0.26666667  0.1         0.15        0.35
  0.38333333  0.28333333  0.3         0.65        0.55        0.41666667
  0.45        0.66666667  0.3         0.46666667  0.48333333  0.18333333
  0.25        0.28333333  0.63333333  0.55        0.61666667  0.51666667
  0.31666667  0.45        0.21666667  0.03333333  0.2         0.45
  0.03333333  0.26666667]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_proba_csa_con_aparc150+subcort,max,degrees,standard,SGD,0.513333333333,0.182391520271,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.402333333333,0.150628682528,"[ 0.56666667  0.38333333  0.35        0.36666667  0.61666667  0.33333333
  0.63333333  0.15        0.4         0.35        0.26666667  0.4         0.2
  0.55        0.55        0.45        0.21666667  0.36666667  0.41666667
  0.38333333  0.53333333  0.26666667  0.46666667  0.63333333  0.45        0.4
  0.35        0.53333333  0.31666667  0.36666667  0.45        0.55
  0.36666667  0.35        0.51666667  0.36666667  0.36666667  0.45        0.65
  0.63333333  0.61666667  0.46666667  0.28333333  0.65        0.1
  0.08333333  0.2         0.41666667  0.03333333  0.3       ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csa_con_aparc150+subcort,max,closeness_centrality,standard,LR,0.506666666667,0.075718777944,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.539333333333,0.161064514334,"[ 0.3         0.45        0.53333333  0.71666667  0.53333333  0.11666667
  0.6         0.56666667  0.71666667  0.45        0.68333333  0.58333333
  0.48333333  0.5         0.5         0.81666667  0.46666667  0.65        0.55
  0.63333333  0.41666667  0.76666667  0.46666667  0.66666667  0.36666667
  0.3         0.71666667  0.55        0.7         0.26666667  0.71666667
  0.31666667  0.51666667  0.5         0.7         0.76666667  0.83333333
  0.61666667  0.6         0.36666667  0.56666667  0.5         0.6
  0.51666667  0.7         0.51666667  0.35        0.68333333  0.18333333
  0.35      ]",0.59725,0.0801460087344,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.572275555556,0.217783711926,"[ 0.39625     0.432       0.61555556  0.9375      0.56333333  0.0675
  0.63375     0.75375     0.71625     0.44125     0.752       0.6825
  0.4125      0.49625     0.64        0.934       0.475       0.736
  0.61444444  0.685       0.575       0.88555556  0.44        0.928
  0.26444444  0.15333333  0.67333333  0.69875     0.76666667  0.45
  0.81333333  0.44375     0.48666667  0.33375     0.89875     0.702
  0.86125     0.72        0.5325      0.41777778  0.47875     0.59444444
  0.42        0.45333333  0.792       0.44888889  0.31        0.79
  0.03888889  0.25777778]"
5,HNU_1_proba_csa_con_aparc150+subcort,max,closeness_centrality,standard,SGD,0.536666666667,0.206397674406,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.42,0.182452429112,"[ 0.33333333  0.16666667  0.55        0.35        0.53333333  0.26666667
  0.53333333  0.38333333  0.33333333  0.41666667  0.36666667  0.56666667
  0.38333333  0.58333333  0.2         0.16666667  0.48333333  0.16666667
  0.58333333  0.33333333  0.4         0.81666667  0.2         0.16666667
  0.33333333  0.3         0.71666667  0.71666667  0.7         0.16666667
  0.5         0.38333333  0.46666667  0.41666667  0.48333333  0.16666667
  0.33333333  0.63333333  0.65        0.53333333  0.43333333  0.53333333
  0.38333333  0.51666667  0.18333333  0.6         0.21666667  0.81666667
  0.06666667  0.46666667]",0.699666666667,0.144674005617,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.580800555556,0.213329319601,"[ 0.17125     0.798       0.58        0.94625     0.56111111  0.5         0.655
  0.15125     0.5         0.39        0.658       0.72        0.5075
  0.3925      0.5         0.5         0.575       0.974       0.58555556
  0.835       0.3125      0.90333333  0.48888889  0.91        0.09666667
  0.12555556  0.62777778  0.6825      0.76        0.872       0.5         0.62375
  0.47222222  0.28        0.7725      0.65        0.89875     0.61        0.67875
  0.58111111  0.6275      0.62111111  0.44625     0.53555556  0.794
  0.51888889  0.31        0.88444444  0.5         0.45555556]"
6,HNU_1_proba_csa_con_aparc150+subcort,max,betweenness_centrality,standard,LR,0.623333333333,0.160069429381,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.521,0.178817411531,"[ 0.25        0.58333333  0.5         0.16666667  0.48333333  0.06666667
  0.7         0.75        0.7         0.5         0.41666667  0.6
  0.58333333  0.66666667  0.5         0.43333333  0.55        0.55        0.55
  0.51666667  0.06666667  0.51666667  0.5         0.75        0.56666667
  0.28333333  0.85        0.7         0.3         0.58333333  0.45
  0.46666667  0.4         0.65        0.6         0.3         0.8
  0.73333333  0.56666667  0.51666667  0.46666667  0.58333333  0.45
  0.63333333  0.81666667  0.66666667  0.5         0.35        0.21666667
  0.7       ]",0.660583333333,0.262660744434,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5299575,0.240018308111,"[ 0.33125     0.812       0.57777778  0.0475      0.56888889  0.04375     0.6
  0.60375     0.67375     0.28125     0.94        0.7325      0.6525      0.69
  0.618       0.442       0.42875     0.124       0.68333333  0.43875
  0.054375    0.59111111  0.53555556  0.862       0.61888889  0.21666667
  0.89        0.8125      0.32333333  0.094       0.48888889  0.52625
  0.45222222  0.75875     0.68375     0.286       0.895       0.8         0.48625
  0.50222222  0.4975      0.49277778  0.4525      0.56333333  0.923
  0.82222222  0.46125     0.36888889  0.09666667  0.65222222]"
7,HNU_1_proba_csa_con_aparc150+subcort,max,betweenness_centrality,standard,SGD,0.606666666667,0.0543650214343,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492333333333,0.141939345418,"[ 0.26666667  0.4         0.6         0.7         0.56666667  0.53333333
  0.68333333  0.63333333  0.6         0.7         0.35        0.55
  0.48333333  0.5         0.46666667  0.51666667  0.51666667  0.28333333
  0.5         0.76666667  0.23333333  0.41666667  0.43333333  0.33333333
  0.45        0.51666667  0.66666667  0.33333333  0.23333333  0.53333333
  0.53333333  0.61666667  0.43333333  0.7         0.55        0.48333333
  0.51666667  0.66666667  0.43333333  0.56666667  0.41666667  0.53333333
  0.3         0.45        0.66666667  0.5         0.21666667  0.6
  0.13333333  0.53333333]",0.691888888889,0.206621235299,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.516961388889,0.23900444804,"[ 0.32125     0.938       0.54666667  0.05        0.52555556  0.04375
  0.60875     0.68375     0.67625     0.395       0.882       0.735       0.71
  0.695       0.704       0.486       0.455       0.244       0.72888889
  0.49375     0.051875    0.69        0.53        0.98        0.61777778
  0.32888889  0.41666667  0.82875     0.17888889  0.094       0.50444444
  0.53625     0.44222222  0.75875     0.66625     0.184       0.6475
  0.80666667  0.49625     0.54555556  0.43875     0.59777778  0.455
  0.53666667  0.206       0.81777778  0.42875     0.32333333  0.06777778
  0.74888889]"
8,HNU_1_proba_csa_con_aparc150+subcort,max,eigenvector_centrality,standard,LR,0.63,0.194479361944,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.572666666667,0.17342177231,"[ 0.48333333  0.73333333  0.73333333  0.8         0.65        0.25
  0.46666667  0.33333333  0.8         0.81666667  0.43333333  0.61666667
  0.43333333  0.81666667  0.68333333  0.43333333  0.28333333  0.48333333
  0.6         0.51666667  0.7         0.16666667  0.86666667  0.48333333
  0.46666667  0.45        0.93333333  0.78333333  0.53333333  0.48333333
  0.68333333  0.51666667  0.6         0.61666667  0.66666667  0.4
  0.78333333  0.83333333  0.51666667  0.51666667  0.61666667  0.55
  0.48333333  0.45        0.53333333  0.81666667  0.28333333  0.48333333
  0.65        0.4       ]",0.643777777778,0.219439634265,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.597299444444,0.244327834262,"[ 0.68875     0.79        0.79        0.86625     0.84333333  0.21        0.25375
  0.375       0.9325      0.90375     0.814       0.74375     0.39125
  0.9025      0.644       0.894       0.20125     0.434       0.56222222
  0.4825      0.73625     0.17666667  0.96444444  0.848       0.53333333
  0.38333333  0.99111111  0.865       0.55222222  0.088       0.63555556
  0.31875     0.68333333  0.7175      0.65125     0.524       0.895
  0.83666667  0.46125     0.44        0.4475      0.41333333  0.40125
  0.39888889  0.538       1.          0.36375     0.41222222  0.63333333
  0.23222222]"
9,HNU_1_proba_csa_con_aparc150+subcort,max,eigenvector_centrality,standard,SGD,0.62,0.236032012895,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.531666666667,0.189948823517,"[ 0.48333333  0.81666667  0.73333333  0.58333333  0.63333333  0.2         0.6
  0.4         0.58333333  0.81666667  0.51666667  0.5         0.41666667
  0.81666667  0.5         0.48333333  0.16666667  0.41666667  0.66666667
  0.35        0.7         0.21666667  0.98333333  0.18333333  0.4
  0.43333333  0.86666667  0.81666667  0.51666667  0.41666667  0.75        0.45
  0.56666667  0.51666667  0.68333333  0.41666667  0.7         0.76666667
  0.55        0.38333333  0.65        0.43333333  0.4         0.48333333
  0.41666667  0.71666667  0.2         0.45        0.55        0.28333333]",0.628944444444,0.282575082888,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.502284444444,0.22863202885,"[ 0.37875     0.524       0.54555556  0.7675      0.77888889  0.28        0.41375
  0.19125     0.6725      0.9525      0.594       0.60625     0.14125     0.73
  0.376       0.934       0.07875     0.48        0.19555556  0.44        0.78625
  0.20777778  0.83111111  0.876       0.38666667  0.18888889  0.70777778
  0.6675      0.54888889  0.602       0.56333333  0.44375     0.57444444
  0.79        0.5825      0.63        0.755       0.59777778  0.45375
  0.26888889  0.32875     0.35        0.21        0.31222222  0.376
  0.80777778  0.15        0.48        0.37        0.18666667]"
