,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_ROIv_scale33,max,bag_of_edges,standard,LR,0.56,0.180308377817,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.556333333333,0.168420439509,"[ 0.38333333  0.55        0.43333333  0.65        0.68333333  0.76666667
  0.55        0.65        0.75        0.81666667  0.93333333  0.23333333
  0.43333333  0.45        0.41666667  0.38333333  0.13333333  0.48333333
  0.5         0.4         0.7         0.58333333  0.66666667  0.75
  0.58333333  0.3         0.58333333  0.55        0.65        0.71666667
  0.51666667  0.51666667  0.7         0.66666667  0.28333333  0.58333333
  0.83333333  0.76666667  0.46666667  0.41666667  0.55        0.5
  0.51666667  0.5         0.61666667  0.76666667  0.55        0.76666667
  0.3         0.31666667]",0.518416666667,0.266133170044,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.591275555556,0.242212213149,"[ 0.59625     0.926       0.59333333  0.465       0.82        0.815
  0.68375     0.80125     0.86375     0.89        0.958       0.21125
  0.53875     0.57625     0.382       0.286       0.03125     0.582
  0.46222222  0.4375      0.87625     0.60666667  0.64111111  1.
  0.63888889  0.11555556  0.68666667  0.4625      0.58        0.81
  0.60555556  0.45125     0.79333333  0.70625     0.1775      0.374
  0.92375     0.77111111  0.4625      0.37111111  0.39625     0.45777778
  0.4325      0.47888889  0.968       0.97222222  0.59125     0.76444444
  0.13        0.39888889]"
1,HNU_1_proba_csd_con_ROIv_scale33,max,bag_of_edges,standard,SGD,0.53,0.138001610297,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510666666667,0.148277517589,"[ 0.28333333  0.65        0.45        0.4         0.51666667  0.4
  0.56666667  0.33333333  0.43333333  0.68333333  0.5         0.56666667
  0.55        0.41666667  0.48333333  0.55        0.18333333  0.3
  0.66666667  0.5         0.75        0.55        0.76666667  0.25
  0.66666667  0.35        0.5         0.68333333  0.61666667  0.46666667
  0.55        0.48333333  0.88333333  0.51666667  0.35        0.6
  0.71666667  0.58333333  0.43333333  0.5         0.5         0.56666667
  0.51666667  0.23333333  0.68333333  0.66666667  0.48333333  0.6
  0.26666667  0.36666667]",0.549472222222,0.156207769602,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.539029444444,0.206170299259,"[ 0.46875     0.95        0.61888889  0.49625     0.66555556  0.7425
  0.7725      0.24125     0.5         0.5175      0.274       0.2875
  0.83875     0.52125     0.416       0.508       0.25875     0.73
  0.65222222  0.425       0.6925      0.42666667  0.4         1.
  0.52333333  0.28777778  0.65222222  0.31625     0.66555556  0.5         0.61
  0.60125     0.75222222  0.48375     0.155       0.21        0.77875
  0.70666667  0.53625     0.11444444  0.3575      0.52555556  0.38875
  0.48555556  0.5         0.91333333  0.85125     0.75555556  0.38888889
  0.48777778]"
2,HNU_1_proba_csd_con_ROIv_scale33,max,degrees,standard,LR,0.556666666667,0.166199344831,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.492666666667,0.146824157867,"[ 0.4         0.61666667  0.43333333  0.35        0.56666667  0.65
  0.51666667  0.6         0.66666667  0.55        0.76666667  0.3         0.45
  0.51666667  0.43333333  0.51666667  0.13333333  0.45        0.65
  0.61666667  0.6         0.66666667  0.6         0.46666667  0.48333333
  0.25        0.51666667  0.75        0.33333333  0.5         0.5
  0.31666667  0.66666667  0.63333333  0.51666667  0.58333333  0.73333333
  0.46666667  0.21666667  0.38333333  0.35        0.66666667  0.63333333
  0.36666667  0.48333333  0.41666667  0.25        0.46666667  0.25
  0.38333333]",0.521916666667,0.157611522343,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.552843333333,0.198589614824,"[ 0.74375     0.838       0.55444444  0.4275      0.51111111  0.48625
  0.3025      0.87        0.66875     0.7725      0.924       0.3575
  0.67625     0.605       0.598       0.608       0.12375     0.498
  0.47666667  0.58375     0.595       0.64        0.55222222  0.812
  0.44777778  0.34666667  0.66333333  0.88125     0.64888889  0.388
  0.47444444  0.3175      0.86        0.58375     0.475       0.55        0.85125
  0.64333333  0.20375     0.56333333  0.4825      0.74777778  0.505
  0.26555556  0.672       0.60444444  0.255       0.47222222  0.00111111
  0.51333333]"
3,HNU_1_proba_csd_con_ROIv_scale33,max,degrees,standard,SGD,0.563333333333,0.182695861414,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.491666666667,0.141352593027,"[ 0.36666667  0.41666667  0.46666667  0.41666667  0.55        0.66666667
  0.48333333  0.7         0.66666667  0.6         0.73333333  0.41666667
  0.41666667  0.58333333  0.43333333  0.53333333  0.18333333  0.41666667
  0.63333333  0.58333333  0.61666667  0.66666667  0.6         0.38333333
  0.46666667  0.23333333  0.53333333  0.76666667  0.4         0.38333333
  0.51666667  0.28333333  0.68333333  0.65        0.5         0.45
  0.63333333  0.51666667  0.21666667  0.38333333  0.38333333  0.63333333
  0.66666667  0.46666667  0.4         0.45        0.28333333  0.41666667
  0.23333333  0.5       ]",0.562638888889,0.144562558546,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.588695555556,0.195929132436,"[ 0.72375     0.838       0.62555556  0.4625      0.57222222  0.5575
  0.3175      0.90625     0.67875     0.78375     0.936       0.4475
  0.6725      0.71        0.668       0.596       0.17        0.48
  0.53111111  0.64        0.64375     0.69666667  0.57333333  0.824       0.49
  0.37222222  0.69777778  0.87125     0.68555556  0.53        0.53444444
  0.34375     0.87666667  0.63625     0.6375      0.604       0.86125
  0.66555556  0.22        0.56333333  0.48875     0.77111111  0.515
  0.28444444  0.746       0.65111111  0.2475      0.58444444  0.00111111
  0.50111111]"
4,HNU_1_proba_csd_con_ROIv_scale33,max,closeness_centrality,standard,LR,0.616666666667,0.155277529318,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.617666666667,0.121582619372,"[ 0.36666667  0.61666667  0.61666667  0.55        0.68333333  0.66666667
  0.63333333  0.61666667  0.81666667  0.73333333  0.81666667  0.66666667
  0.58333333  0.65        0.51666667  0.36666667  0.58333333  0.65
  0.61666667  0.66666667  0.66666667  0.7         0.66666667  0.55        0.45
  0.46666667  0.8         0.8         0.71666667  0.83333333  0.41666667
  0.38333333  0.66666667  0.68333333  0.65        0.76666667  0.76666667
  0.66666667  0.38333333  0.58333333  0.6         0.63333333  0.63333333
  0.55        0.66666667  0.68333333  0.4         0.68333333  0.46666667
  0.53333333]",0.726083333333,0.177689179312,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.685202777778,0.169591570939,"[ 0.575       0.674       0.71666667  0.605       0.79666667  0.705       0.3275
  0.73125     0.87625     0.9275      0.944       0.675       0.69125
  0.74875     0.752       0.23        0.59125     0.738       0.67        0.6975
  0.64        0.76444444  0.76        0.992       0.70222222  0.54777778
  0.95444444  0.90625     0.84111111  0.842       0.41333333  0.42875
  0.91111111  0.7175      0.7425      0.884       0.8675      0.78555556
  0.38625     0.64666667  0.5625      0.68333333  0.615       0.53222222
  0.664       0.72111111  0.39375     0.70888889  0.41666667  0.55666667]"
5,HNU_1_proba_csd_con_ROIv_scale33,max,closeness_centrality,standard,SGD,0.593333333333,0.274388208363,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.502333333333,0.122972896743,"[ 0.43333333  0.45        0.48333333  0.46666667  0.36666667  0.43333333
  0.5         0.56666667  0.58333333  0.53333333  0.73333333  0.38333333
  0.36666667  0.56666667  0.4         0.53333333  0.36666667  0.43333333
  0.51666667  0.41666667  0.51666667  0.55        0.71666667  0.53333333
  0.45        0.43333333  0.61666667  0.73333333  0.61666667  0.45
  0.53333333  0.51666667  0.6         0.68333333  0.51666667  0.63333333
  0.7         0.55        0.45        0.46666667  0.56666667  0.31666667
  0.53333333  0.63333333  0.56666667  0.35        0.41666667  0.41666667
  0.01666667  0.5       ]",0.74625,0.123984890557,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.691420555556,0.176597316578,"[ 0.63625     0.68        0.77333333  0.605       0.80666667  0.77        0.64875
  0.89375     0.87625     0.69125     0.96        0.6925      0.5325
  0.74875     0.752       0.716       0.3675      0.75        0.73444444
  0.6975      0.6525      0.76444444  0.80777778  0.998       0.43
  0.41333333  0.95888889  0.9375      0.84111111  0.846       0.59333333
  0.45875     0.92666667  0.5675      0.7625      0.884       0.875
  0.78555556  0.1775      0.70888889  0.38125     0.80222222  0.485
  0.53222222  0.736       0.55111111  0.37375     0.72888889  0.61777778
  0.64111111]"
6,HNU_1_proba_csd_con_ROIv_scale33,max,betweenness_centrality,standard,LR,0.54,0.0860232526704,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.510666666667,0.126040557846,"[ 0.53333333  0.38333333  0.43333333  0.23333333  0.61666667  0.48333333
  0.66666667  0.45        0.65        0.41666667  0.48333333  0.43333333
  0.35        0.63333333  0.36666667  0.5         0.3         0.5
  0.78333333  0.58333333  0.38333333  0.71666667  0.66666667  0.5
  0.48333333  0.4         0.53333333  0.46666667  0.75        0.6         0.6
  0.43333333  0.48333333  0.41666667  0.63333333  0.5         0.68333333
  0.45        0.6         0.56666667  0.53333333  0.66666667  0.66666667
  0.53333333  0.4         0.46666667  0.4         0.41666667  0.2
  0.58333333]",0.516361111111,0.199924530514,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.574933888889,0.20742775731,"[ 0.945       0.748       0.39777778  0.09625     0.63888889  0.46625     0.7
  0.38875     0.62875     0.51625     0.882       0.35625     0.43625     0.63
  0.946       0.874       0.26125     0.55        0.66111111  0.6475
  0.56875     0.64444444  0.66111111  0.748       0.58        0.39777778
  0.45333333  0.57        0.64444444  0.744       0.84333333  0.53
  0.68555556  0.1325      0.6175      0.54        0.65        0.35444444
  0.83375     0.43        0.67625     0.71333333  0.7275      0.60777778
  0.954       0.37444444  0.3775      0.29111111  0.08444444  0.54111111]"
7,HNU_1_proba_csd_con_ROIv_scale33,max,betweenness_centrality,standard,SGD,0.606666666667,0.190204568236,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506666666667,0.15602706318,"[ 0.48333333  0.45        0.45        0.18333333  0.66666667  0.53333333
  0.68333333  0.26666667  0.81666667  0.4         0.21666667  0.41666667
  0.26666667  0.58333333  0.2         0.58333333  0.31666667  0.55
  0.56666667  0.63333333  0.36666667  0.76666667  0.8         0.46666667
  0.63333333  0.4         0.5         0.56666667  0.78333333  0.48333333
  0.86666667  0.45        0.51666667  0.53333333  0.53333333  0.48333333
  0.55        0.45        0.48333333  0.51666667  0.55        0.65
  0.61666667  0.55        0.56666667  0.38333333  0.31666667  0.35        0.35
  0.58333333]",0.637944444444,0.137000450571,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.521769444444,0.195886236136,"[ 0.8575      0.556       0.40666667  0.10375     0.59777778  0.335
  0.45625     0.37375     0.51875     0.32875     0.616       0.31        0.4875
  0.59625     0.492       0.416       0.2675      0.434       0.71666667
  0.44625     0.40875     0.67555556  0.82        0.684       0.74666667
  0.38111111  0.39444444  0.5025      0.76222222  0.778       0.98222222
  0.475       0.74222222  0.18875     0.4475      0.27        0.5275
  0.35444444  0.63375     0.50111111  0.44        0.64555556  0.755
  0.48777778  0.774       0.31555556  0.88625     0.28333333  0.23555556
  0.67333333]"
8,HNU_1_proba_csd_con_ROIv_scale33,max,eigenvector_centrality,standard,LR,0.56,0.077888809637,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.526,0.142250170865,"[ 0.6         0.63333333  0.61666667  0.51666667  0.53333333  0.6
  0.63333333  0.68333333  0.51666667  0.48333333  0.68333333  0.51666667
  0.51666667  0.45        0.35        0.53333333  0.35        0.55        0.4
  0.36666667  0.48333333  0.7         0.68333333  0.73333333  0.63333333
  0.41666667  0.61666667  0.8         0.46666667  0.4         0.63333333
  0.55        0.58333333  0.73333333  0.25        0.85        0.66666667
  0.55        0.46666667  0.45        0.4         0.36666667  0.43333333
  0.43333333  0.43333333  0.46666667  0.48333333  0.6         0.05
  0.43333333]",0.546277777778,0.137061911531,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.541528888889,0.19297329822,"[ 0.70625     0.99        0.60111111  0.48375     0.61888889  0.42375
  0.6725      0.77875     0.61        0.545       0.848       0.495
  0.69125     0.51125     0.292       0.546       0.48        0.466       0.36
  0.28125     0.6525      0.64444444  0.67111111  0.888       0.81444444
  0.46888889  0.53777778  0.905       0.55888889  0.274       0.68777778
  0.5725      0.70222222  0.52375     0.265       0.892       0.46625
  0.60444444  0.43        0.48333333  0.32        0.4         0.41125     0.51
  0.296       0.57777778  0.305       0.41666667  0.01888889  0.37777778]"
9,HNU_1_proba_csd_con_ROIv_scale33,max,eigenvector_centrality,standard,SGD,0.546666666667,0.155062711328,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496333333333,0.130268526087,"[ 0.55        0.45        0.61666667  0.46666667  0.63333333  0.51666667
  0.61666667  0.61666667  0.7         0.46666667  0.26666667  0.6
  0.48333333  0.43333333  0.4         0.18333333  0.36666667  0.43333333
  0.73333333  0.33333333  0.56666667  0.65        0.38333333  0.43333333
  0.78333333  0.41666667  0.63333333  0.53333333  0.55        0.36666667
  0.61666667  0.53333333  0.61666667  0.63333333  0.53333333  0.38333333
  0.55        0.63333333  0.55        0.56666667  0.26666667  0.45
  0.36666667  0.53333333  0.36666667  0.5         0.31666667  0.56666667
  0.26666667  0.38333333]",0.563194444444,0.204005832342,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.580035,0.200662134101,"[ 0.57625     0.94        0.63333333  0.45375     0.68444444  0.59375
  0.70375     0.99625     0.8225      0.40625     0.926       0.73625
  0.6575      0.4975      0.338       0.6         0.525       0.58
  0.64666667  0.2675      0.71875     0.52111111  0.35666667  0.426
  0.96333333  0.39111111  0.59777778  0.98125     0.63111111  0.324
  0.73777778  0.67625     0.73333333  0.55625     0.6075      0.892       0.44
  0.74        0.56625     0.62777778  0.17        0.59666667  0.4225
  0.51222222  0.332       0.59111111  0.34875     0.41888889  0.19888889
  0.33777778]"
