,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.526666666667,0.172755446931,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.499333333333,0.165628768301,"[ 0.25        0.5         0.46666667  0.48333333  0.63333333  0.75        0.5
  0.43333333  0.63333333  0.83333333  0.8         0.26666667  0.48333333
  0.5         0.43333333  0.38333333  0.13333333  0.43333333  0.33333333
  0.33333333  0.73333333  0.51666667  0.5         0.7         0.46666667
  0.33333333  0.55        0.45        0.58333333  0.7         0.6
  0.41666667  0.65        0.65        0.2         0.55        0.8         0.65
  0.46666667  0.35        0.6         0.41666667  0.46666667  0.25        0.5
  0.68333333  0.55        0.58333333  0.28333333  0.18333333]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csd_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.506666666667,0.178138522878,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.479,0.142743359449,"[ 0.26666667  0.6         0.55        0.61666667  0.58333333  0.66666667
  0.51666667  0.3         0.38333333  0.58333333  0.58333333  0.6
  0.46666667  0.41666667  0.35        0.38333333  0.25        0.25        0.35
  0.45        0.73333333  0.45        0.55        0.23333333  0.63333333
  0.31666667  0.5         0.6         0.56666667  0.45        0.5
  0.33333333  0.76666667  0.35        0.41666667  0.58333333  0.51666667
  0.53333333  0.45        0.38333333  0.43333333  0.65        0.51666667
  0.15        0.61666667  0.76666667  0.48333333  0.56666667  0.48333333
  0.25      ]",0.52825,0.280849015938,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524815555556,0.230173235736,"[ 0.30375     0.844       0.57444444  0.73125     0.78555556  0.73125
  0.5075      0.51        0.525       0.75875     0.378       0.7325
  0.6025      0.46625     0.56        0.422       0.14125     0.67
  0.14777778  0.4325      0.7175      0.29444444  0.65666667  0.966
  0.65444444  0.05777778  0.60333333  0.69        0.45777778  0.546
  0.51555556  0.31125     0.84444444  0.36375     0.05125     0.572
  0.72875     0.68555556  0.52375     0.40888889  0.2675      0.40444444
  0.34125     0.12888889  1.          0.85777778  0.6475      0.63333333
  0.11555556  0.37111111]"
2,HNU_1_proba_csd_con_aparc68+subcort,max,degrees,standard,LR,0.576666666667,0.159373774505,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.501666666667,0.149415527975,"[ 0.38333333  0.7         0.5         0.35        0.61666667  0.71666667
  0.5         0.68333333  0.66666667  0.56666667  0.81666667  0.43333333
  0.4         0.51666667  0.4         0.45        0.13333333  0.43333333
  0.65        0.61666667  0.56666667  0.63333333  0.56666667  0.41666667
  0.48333333  0.25        0.53333333  0.73333333  0.3         0.51666667
  0.5         0.3         0.65        0.66666667  0.56666667  0.58333333
  0.75        0.48333333  0.21666667  0.43333333  0.41666667  0.61666667
  0.63333333  0.45        0.4         0.51666667  0.28333333  0.35
  0.28333333  0.45      ]",0.508833333333,0.144596944071,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.546554444444,0.197563618677,"[ 0.64625     0.898       0.55111111  0.4225      0.57222222  0.525
  0.18375     0.84625     0.6325      0.78875     0.906       0.4375      0.675
  0.6025      0.528       0.582       0.12625     0.464       0.41111111
  0.585       0.655       0.64333333  0.47777778  0.738       0.52888889
  0.33666667  0.65666667  0.85375     0.57777778  0.348       0.49888889
  0.37875     0.82444444  0.5875      0.4575      0.558       0.83625
  0.63333333  0.225       0.53666667  0.5075      0.81        0.45875
  0.22888889  0.686       0.63555556  0.28625     0.52444444  0.
  0.45444444]"
3,HNU_1_proba_csd_con_aparc68+subcort,max,degrees,standard,SGD,0.606666666667,0.174037033096,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.477,0.136905888194,"[ 0.36666667  0.5         0.5         0.38333333  0.55        0.66666667
  0.46666667  0.6         0.58333333  0.58333333  0.63333333  0.45
  0.36666667  0.5         0.35        0.4         0.21666667  0.35        0.65
  0.55        0.56666667  0.63333333  0.58333333  0.33333333  0.43333333
  0.3         0.61666667  0.76666667  0.35        0.45        0.31666667
  0.31666667  0.65        0.66666667  0.55        0.46666667  0.7
  0.48333333  0.21666667  0.38333333  0.48333333  0.6         0.66666667
  0.5         0.23333333  0.5         0.3         0.38333333  0.28333333
  0.45      ]",0.547055555556,0.210977852679,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.498727222222,0.19906613887,"[ 0.555       0.904       0.50777778  0.385       0.57444444  0.79375
  0.1075      0.92        0.62875     0.665       0.962       0.33        0.5075
  0.52        0.44        0.516       0.045       0.456       0.49555556
  0.4925      0.5475      0.64        0.52444444  0.662       0.53        0.35
  0.68111111  0.8675      0.33444444  0.534       0.39444444  0.285
  0.68111111  0.40125     0.47375     0.458       0.56625     0.55111111
  0.09875     0.57333333  0.55625     0.65777778  0.37625     0.33222222
  0.242       0.58666667  0.31875     0.35333333  0.14222222  0.41111111]"
4,HNU_1_proba_csd_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.633333333333,0.136218778278,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.629333333333,0.125368789311,"[ 0.33333333  0.65        0.53333333  0.58333333  0.66666667  0.68333333
  0.63333333  0.6         0.83333333  0.75        0.8         0.68333333
  0.58333333  0.68333333  0.51666667  0.38333333  0.58333333  0.68333333
  0.63333333  0.7         0.65        0.76666667  0.65        0.51666667
  0.45        0.48333333  0.85        0.81666667  0.73333333  0.9
  0.58333333  0.31666667  0.65        0.66666667  0.66666667  0.7
  0.78333333  0.7         0.5         0.63333333  0.51666667  0.65
  0.68333333  0.48333333  0.65        0.7         0.4         0.65        0.6
  0.6       ]",0.719027777778,0.174717187703,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.713335,0.163217437379,"[ 0.4925      0.766       0.69333333  0.62875     0.77444444  0.80375
  0.335       0.66125     0.8975      0.935       0.966       0.71375
  0.7775      0.75875     0.662       0.358       0.66        0.724
  0.74555556  0.72375     0.665       0.77111111  0.78555556  0.98
  0.76333333  0.52666667  1.          0.9675      0.79        0.9
  0.58555556  0.39875     0.89        0.7075      0.7575      0.862       0.89
  0.80444444  0.445       0.72222222  0.61        0.82        0.63625
  0.41333333  0.7         0.83555556  0.43375     0.73777778  0.61
  0.58111111]"
5,HNU_1_proba_csd_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.61,0.215148527508,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.432666666667,0.124452579099,"[ 0.45        0.25        0.38333333  0.36666667  0.31666667  0.4
  0.48333333  0.31666667  0.45        0.41666667  0.38333333  0.35        0.35
  0.31666667  0.51666667  0.63333333  0.38333333  0.3         0.5         0.35
  0.36666667  0.63333333  0.68333333  0.45        0.38333333  0.4         0.25
  0.58333333  0.53333333  0.41666667  0.4         0.53333333  0.66666667
  0.51666667  0.51666667  0.43333333  0.43333333  0.33333333  0.43333333
  0.45        0.6         0.23333333  0.53333333  0.7         0.58333333
  0.4         0.38333333  0.36666667  0.05        0.45      ]",0.709138888889,0.18287384338,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.713711111111,0.165419289465,"[ 0.59625     0.828       0.70666667  0.62875     0.78222222  0.80625
  0.485       0.71125     0.8975      0.88125     0.946       0.69        0.61875
  0.7575      0.644       0.342       0.33125     0.766       0.79        0.72375
  0.665       0.77333333  0.8         0.986       0.72333333  0.50666667
  1.          0.9875      0.79        0.87        0.60666667  0.42125
  0.89777778  0.73625     0.76125     0.87        0.89875     0.80444444
  0.44875     0.74333333  0.51625     0.84        0.6975      0.41333333
  0.848       0.74444444  0.47        0.73777778  0.63444444  0.56111111]"
6,HNU_1_proba_csd_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.613333333333,0.219443741208,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.596666666667,0.135071997262,"[ 0.61666667  0.61666667  0.75        0.61666667  0.73333333  0.76666667
  0.48333333  0.68333333  0.8         0.43333333  0.56666667  0.65
  0.36666667  0.65        0.36666667  0.51666667  0.26666667  0.7
  0.68333333  0.71666667  0.63333333  0.76666667  0.46666667  0.41666667
  0.61666667  0.55        0.81666667  0.58333333  0.93333333  0.6
  0.48333333  0.5         0.8         0.43333333  0.66666667  0.63333333
  0.6         0.68333333  0.55        0.5         0.61666667  0.58333333
  0.43333333  0.55        0.51666667  0.53333333  0.38333333  0.65        0.8
  0.55      ]",0.642583333333,0.221935015792,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.677663333333,0.180356744167,"[ 0.6575      0.654       0.93777778  0.645625    0.81555556  0.87625     0.34
  0.66875     0.86        0.58875     0.569       0.7925      0.475
  0.76625     0.676       0.976       0.35875     0.968       0.62222222
  0.8025      0.60125     0.8         0.25777778  0.576       0.57444444
  0.54888889  0.95888889  0.59        0.99444444  0.766       0.53222222
  0.6425      0.89555556  0.42875     0.683125    0.45        0.88875
  0.84444444  0.7475      0.63666667  0.65        0.56777778  0.3325
  0.63444444  0.684       0.49777778  0.81125     0.79666667  0.92222222
  0.51888889]"
7,HNU_1_proba_csd_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.656666666667,0.0827311576399,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.564,0.142725844424,"[ 0.45        0.38333333  0.58333333  0.51666667  0.65        0.56666667
  0.66666667  0.51666667  0.71666667  0.51666667  0.5         0.46666667
  0.41666667  0.7         0.45        0.21666667  0.68333333  0.6
  0.68333333  0.65        0.78333333  0.63333333  0.56666667  0.41666667
  0.61666667  0.43333333  0.76666667  0.56666667  0.86666667  0.53333333
  0.68333333  0.61666667  0.56666667  0.85        0.45        0.18333333
  0.4         0.78333333  0.6         0.7         0.53333333  0.48333333
  0.58333333  0.45        0.6         0.61666667  0.43333333  0.43333333
  0.73333333  0.38333333]",0.67925,0.146046605955,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.653404444444,0.184468090114,"[ 0.4475      0.684       0.47888889  0.77        0.72111111  0.8675
  0.58875     0.5425      0.79875     0.65375     0.654       0.37125
  0.39875     0.695       0.786       0.192       0.74        0.622
  0.70555556  0.69625     0.895       0.57333333  0.89333333  0.528
  0.64444444  0.43        0.99777778  0.78        0.85555556  0.53
  0.84444444  0.73375     0.76        0.8275      0.56875     0.088
  0.78375     0.84444444  0.55        0.70777778  0.555       0.52222222
  0.70375     0.48222222  0.904       0.81111111  0.4225      0.63333333
  0.88777778  0.49888889]"
8,HNU_1_proba_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.52,0.169443533695,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.504333333333,0.141295985631,"[ 0.51666667  0.56666667  0.56666667  0.48333333  0.56666667  0.61666667
  0.63333333  0.7         0.46666667  0.5         0.65        0.46666667
  0.53333333  0.41666667  0.35        0.5         0.31666667  0.46666667
  0.45        0.33333333  0.51666667  0.71666667  0.66666667  0.7
  0.68333333  0.33333333  0.6         0.71666667  0.41666667  0.45
  0.61666667  0.46666667  0.5         0.66666667  0.21666667  0.85
  0.63333333  0.5         0.45        0.41666667  0.3         0.4         0.45
  0.45        0.38333333  0.51666667  0.46666667  0.58333333  0.06666667
  0.38333333]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_proba_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.513333333333,0.128840987267,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.452,0.14234699388,"[ 0.53333333  0.38333333  0.48333333  0.38333333  0.6         0.3
  0.51666667  0.61666667  0.41666667  0.38333333  0.55        0.36666667
  0.53333333  0.48333333  0.36666667  0.51666667  0.33333333  0.23333333
  0.4         0.28333333  0.36666667  0.71666667  0.66666667  0.58333333
  0.73333333  0.25        0.61666667  0.61666667  0.41666667  0.35
  0.68333333  0.5         0.48333333  0.53333333  0.21666667  0.71666667
  0.55        0.51666667  0.43333333  0.43333333  0.31666667  0.38333333
  0.5         0.41666667  0.23333333  0.46666667  0.38333333  0.45        0.05
  0.33333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
