,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_ROIv_scale125,mean,bag_of_edges,standard,LR,0.53,0.117094453802,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.501333333333,0.152892118829,"[ 0.56666667  0.53333333  0.41666667  0.48333333  0.55        0.45
  0.56666667  0.45        0.66666667  0.88333333  0.53333333  0.2
  0.61666667  0.61666667  0.36666667  0.28333333  0.2         0.43333333
  0.4         0.4         0.41666667  0.51666667  0.33333333  0.78333333
  0.51666667  0.4         0.7         0.36666667  0.35        0.76666667
  0.65        0.5         0.38333333  0.65        0.55        0.58333333
  0.56666667  0.48333333  0.76666667  0.68333333  0.53333333  0.4         0.45
  0.55        0.7         0.5         0.4         0.41666667  0.13333333
  0.4       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csa_con_ROIv_scale125,mean,bag_of_edges,standard,SGD,0.543333333333,0.016996731712,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.485333333333,0.0963581282969,"[ 0.63333333  0.51666667  0.45        0.51666667  0.43333333  0.6
  0.36666667  0.63333333  0.45        0.5         0.56666667  0.51666667
  0.48333333  0.31666667  0.43333333  0.33333333  0.51666667  0.55
  0.46666667  0.45        0.61666667  0.43333333  0.43333333  0.7
  0.38333333  0.53333333  0.48333333  0.41666667  0.46666667  0.26666667
  0.55        0.33333333  0.41666667  0.38333333  0.53333333  0.58333333
  0.58333333  0.48333333  0.63333333  0.51666667  0.45        0.5         0.35
  0.41666667  0.7         0.5         0.5         0.51666667  0.33333333
  0.51666667]",0.568902777778,0.0358948760916,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.480934444444,0.122262384312,"[ 0.66375     0.497       0.38        0.45625     0.43666667  0.49875
  0.32375     0.55125     0.625625    0.38        0.473       0.56125     0.45
  0.32875     0.294       0.874       0.455       0.724       0.46555556
  0.695       0.66625     0.43333333  0.50777778  0.428       0.29222222
  0.52111111  0.52166667  0.35375     0.56055556  0.311       0.63111111
  0.464375    0.35555556  0.41875     0.52375     0.35        0.50875
  0.48222222  0.55125     0.61333333  0.395       0.53666667  0.42875
  0.43555556  0.446       0.37777778  0.6075      0.49666667  0.24777778
  0.44666667]"
2,HNU_1_deter_csa_con_ROIv_scale125,mean,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_csa_con_ROIv_scale125,mean,degrees,standard,SGD,0.48,0.117094453802,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.394,0.144751127418,"[ 0.26666667  0.21666667  0.43333333  0.43333333  0.5         0.35
  0.66666667  0.58333333  0.4         0.55        0.71666667  0.31666667
  0.48333333  0.6         0.06666667  0.35        0.21666667  0.21666667
  0.35        0.51666667  0.36666667  0.46666667  0.36666667  0.3
  0.36666667  0.16666667  0.56666667  0.18333333  0.51666667  0.46666667
  0.31666667  0.36666667  0.51666667  0.41666667  0.31666667  0.36666667
  0.48333333  0.35        0.45        0.58333333  0.4         0.36666667
  0.18333333  0.56666667  0.23333333  0.38333333  0.2         0.53333333
  0.11666667  0.55      ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_deter_csa_con_ROIv_scale125,mean,closeness_centrality,standard,LR,0.55,0.150923085636,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.557666666667,0.163849863527,"[ 0.43333333  0.45        0.55        0.85        0.65        0.61666667
  0.45        0.53333333  0.85        0.85        0.66666667  0.25        0.6
  0.55        0.25        0.36666667  0.3         0.53333333  0.38333333
  0.46666667  0.85        0.56666667  0.68333333  0.5         0.58333333
  0.3         0.8         0.56666667  0.61666667  0.61666667  0.65        0.4
  0.78333333  0.6         0.35        0.76666667  0.66666667  0.71666667
  0.41666667  0.63333333  0.51666667  0.63333333  0.55        0.58333333
  0.45        0.55        0.36666667  0.7         0.2         0.66666667]",0.633277777778,0.144058501491,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.600413333333,0.204712724613,"[ 0.67125     0.722       0.60666667  0.7725      0.62555556  0.66625
  0.69625     0.61625     0.765       0.8675      0.972       0.40375
  0.59875     0.5175      0.334       0.312       0.2475      0.576
  0.32111111  0.305       0.90875     0.73777778  0.70777778  0.998       0.59
  0.23222222  0.86222222  0.6425      0.58555556  0.78        0.56111111
  0.52375     0.83222222  0.6275      0.29        0.642       0.7625
  0.78111111  0.535       0.40111111  0.53        0.54111111  0.45375
  0.78555556  0.798       0.65        0.33875     0.76777778  0.04333333
  0.51444444]"
5,HNU_1_deter_csa_con_ROIv_scale125,mean,closeness_centrality,standard,SGD,0.61,0.158324561161,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.556666666667,0.154236470683,"[ 0.45        0.41666667  0.66666667  0.86666667  0.56666667  0.56666667
  0.5         0.6         0.66666667  0.8         0.8         0.48333333
  0.65        0.58333333  0.36666667  0.41666667  0.23333333  0.65        0.3
  0.43333333  0.65        0.66666667  0.41666667  0.78333333  0.55
  0.31666667  0.8         0.55        0.45        0.46666667  0.56666667
  0.6         0.7         0.6         0.41666667  0.6         0.71666667
  0.68333333  0.51666667  0.33333333  0.51666667  0.48333333  0.48333333
  0.76666667  0.53333333  0.51666667  0.4         0.85        0.23333333
  0.65      ]",0.678666666667,0.16391776111,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.587735,0.229880677597,"[ 0.73625     0.704       0.72666667  0.9625      0.61555556  0.56625
  0.54125     0.545       0.73875     0.825       0.97        0.4475
  0.68125     0.5725      0.232       0.436       0.15375     0.606
  0.28111111  0.23125     0.8225      0.74444444  0.52888889  0.996
  0.57666667  0.18555556  0.83888889  0.6225      0.53888889  0.582
  0.62333333  0.56625     0.89222222  0.6475      0.20625     0.436       0.8025
  0.83111111  0.43375     0.42888889  0.5275      0.46        0.1875
  0.80888889  0.776       0.64444444  0.33125     0.93444444  0.08888889
  0.75111111]"
6,HNU_1_deter_csa_con_ROIv_scale125,mean,betweenness_centrality,standard,LR,0.613333333333,0.134742552876,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.545333333333,0.126008818034,"[ 0.5         0.35        0.65        0.56666667  0.46666667  0.43333333
  0.48333333  0.53333333  0.45        0.61666667  0.56666667  0.56666667
  0.38333333  0.8         0.51666667  0.4         0.31666667  0.31666667
  0.6         0.71666667  0.56666667  0.88333333  0.46666667  0.5         0.55
  0.41666667  0.71666667  0.6         0.75        0.4         0.63333333
  0.53333333  0.61666667  0.68333333  0.65        0.58333333  0.46666667
  0.56666667  0.53333333  0.56666667  0.58333333  0.73333333  0.58333333
  0.5         0.48333333  0.56666667  0.51666667  0.68333333  0.23333333
  0.46666667]",0.682555555556,0.146736347084,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.642495555556,0.175994648695,"[ 0.7475      0.804       0.81222222  0.81125     0.51111111  0.82875
  0.50625     0.6275      0.54125     0.675       0.456       0.58875
  0.46125     0.94375     0.6         0.758       0.3         0.144
  0.67777778  0.8625      0.63875     0.95333333  0.49        0.856
  0.57222222  0.45666667  0.79777778  0.62375     0.84777778  0.334
  0.66111111  0.64        0.63777778  0.8325      0.71625     0.458       0.705
  0.65555556  0.51375     0.63111111  0.63875     0.79555556  0.62875
  0.55444444  0.942       0.62222222  0.62375     0.84222222  0.26333333
  0.53555556]"
7,HNU_1_deter_csa_con_ROIv_scale125,mean,betweenness_centrality,standard,SGD,0.683333333333,0.0924962461701,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.588,0.149964440229,"[ 0.73333333  0.35        0.61666667  0.51666667  0.56666667  0.3         0.55
  0.7         0.76666667  0.33333333  0.65        0.55        0.8
  0.61666667  0.71666667  0.73333333  0.51666667  0.55        0.73333333
  0.85        0.68333333  0.75        0.48333333  0.53333333  0.31666667
  0.48333333  0.65        0.71666667  0.78333333  0.78333333  0.55        0.25
  0.53333333  0.88333333  0.63333333  0.6         0.46666667  0.5
  0.56666667  0.61666667  0.6         0.71666667  0.51666667  0.6         0.8
  0.43333333  0.4         0.5         0.33333333  0.56666667]",0.705222222222,0.173728151659,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.624403333333,0.193874936878,"[ 0.72125     0.774       0.86888889  0.765       0.51666667  0.80375
  0.485       0.56625     0.42        0.6425      0.62        0.57375
  0.56625     0.93125     0.68        0.654       0.28125     0.032
  0.59888889  0.8625      0.75375     0.95222222  0.55888889  0.864
  0.45666667  0.38444444  0.74666667  0.76        0.83444444  0.216
  0.66555556  0.57625     0.64666667  0.85        0.73125     0.408       0.685
  0.58111111  0.5275      0.56777778  0.64        0.71222222  0.57375
  0.54888889  0.888       0.47333333  0.67125     0.90555556  0.21888889
  0.45888889]"
8,HNU_1_deter_csa_con_ROIv_scale125,mean,eigenvector_centrality,standard,LR,0.633333333333,0.139044357431,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.624333333333,0.151371874681,"[ 0.4         0.73333333  0.58333333  0.45        0.61666667  0.7
  0.51666667  0.43333333  0.73333333  0.78333333  0.85        0.68333333
  0.78333333  0.81666667  0.58333333  0.5         0.45        0.65        0.55
  0.41666667  0.71666667  0.68333333  0.61666667  0.76666667  0.7
  0.41666667  0.85        0.75        0.55        0.75        0.65
  0.58333333  0.73333333  0.81666667  0.55        0.58333333  0.88333333
  0.63333333  0.55        0.28333333  0.65        0.6         0.51666667
  0.6         0.76666667  0.81666667  0.5         0.75        0.15
  0.56666667]",0.660027777778,0.241958514708,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.698079444444,0.181816508286,"[ 0.5425      0.832       0.71777778  0.47875     0.75222222  0.68875
  0.56875     0.5075      0.8125      0.94        0.998       0.85        0.835
  0.87        0.508       0.526       0.64875     0.598       0.75333333
  0.47        0.80375     0.80555556  0.81        0.948       0.77
  0.48333333  0.90888889  0.82375     0.63777778  0.834       0.69666667
  0.5875      0.88666667  0.97625     0.53125     0.474       0.945       0.71
  0.50625     0.29444444  0.75875     0.68555556  0.49125     0.70222222
  0.83        0.90666667  0.6275      0.76888889  0.12666667  0.67555556]"
9,HNU_1_deter_csa_con_ROIv_scale125,mean,eigenvector_centrality,standard,SGD,0.64,0.141656862406,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596,0.148157573774,"[ 0.31666667  0.58333333  0.73333333  0.53333333  0.61666667  0.45        0.5
  0.48333333  0.48333333  0.85        0.73333333  0.58333333  0.78333333
  0.71666667  0.55        0.43333333  0.41666667  0.75        0.55
  0.43333333  0.68333333  0.6         0.56666667  0.73333333  0.65
  0.36666667  0.63333333  0.73333333  0.5         0.7         0.65
  0.56666667  0.8         0.75        0.7         0.28333333  0.85
  0.68333333  0.7         0.48333333  0.61666667  0.56666667  0.5
  0.63333333  0.71666667  0.86666667  0.5         0.55        0.16666667
  0.55      ]",0.68375,0.234459089853,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.652139444444,0.184827529673,"[ 0.48375     0.762       0.76333333  0.605       0.67333333  0.425
  0.52125     0.46375     0.52        0.935       0.998       0.70625     0.81
  0.775       0.506       0.516       0.46125     0.798       0.50222222
  0.5         0.74375     0.67444444  0.55222222  0.956       0.68888889
  0.49        0.78777778  0.7975      0.50555556  0.838       0.58888889
  0.70625     0.92444444  0.81        0.65        0.14        0.93
  0.73444444  0.50125     0.57333333  0.80625     0.66666667  0.47375
  0.70888889  0.832       0.89333333  0.58375     0.53333333  0.14111111
  0.65      ]"
