,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csd_con_ROIv_scale60,mean,bag_of_edges,standard,SGD,0.49,0.0501109879279,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.486333333333,0.12295843923,"[ 0.36666667  0.51666667  0.3         0.45        0.38333333  0.45
  0.51666667  0.55        0.58333333  0.8         0.66666667  0.26666667
  0.58333333  0.3         0.56666667  0.48333333  0.68333333  0.31666667
  0.5         0.36666667  0.58333333  0.61666667  0.5         0.51666667
  0.23333333  0.45        0.61666667  0.53333333  0.41666667  0.63333333
  0.48333333  0.48333333  0.53333333  0.4         0.45        0.51666667
  0.61666667  0.58333333  0.4         0.25        0.26666667  0.56666667
  0.51666667  0.5         0.56666667  0.66666667  0.45        0.43333333
  0.33333333  0.55      ]",0.613736111111,0.0648101512873,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.558665555556,0.117080962934,"[ 0.58375     0.655       0.46777778  0.5         0.54        0.52125
  0.5725      0.59125     0.5         0.5         0.76        0.37625
  0.71875     0.33125     0.596       0.622       0.73375     0.68
  0.59611111  0.53625     0.5         0.70555556  0.56222222  0.332
  0.33833333  0.5         0.76944444  0.65375     0.75111111  0.5
  0.66111111  0.5         0.49888889  0.5         0.5         0.716       0.5975
  0.5         0.5375      0.41333333  0.34125     0.5         0.5
  0.56222222  0.532       0.5         0.8425      0.65444444  0.5
  0.58222222]"
2,HNU_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_deter_csd_con_ROIv_scale60,mean,degrees,standard,SGD,0.483333333333,0.116904519445,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.436,0.134922199804,"[ 0.4         0.41666667  0.45        0.53333333  0.58333333  0.5         0.7
  0.43333333  0.36666667  0.4         0.35        0.33333333  0.4
  0.48333333  0.13333333  0.33333333  0.25        0.38333333  0.55
  0.38333333  0.33333333  0.65        0.36666667  0.18333333  0.6
  0.43333333  0.68333333  0.18333333  0.38333333  0.43333333  0.6
  0.31666667  0.68333333  0.41666667  0.41666667  0.31666667  0.45        0.55
  0.43333333  0.53333333  0.43333333  0.61666667  0.36666667  0.58333333
  0.31666667  0.61666667  0.35        0.6         0.2         0.36666667]",0.560888888889,0.130239025272,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.533951666667,0.223110625678,"[ 0.84        0.902       0.49888889  0.60125     0.56111111  0.3125
  0.63625     0.5725      0.3925      0.72375     0.644       0.22125
  0.75875     0.47375     0.026       0.854       0.27        0.688
  0.41777778  0.29875     0.30375     0.65777778  0.41444444  0.67
  0.49222222  0.43111111  0.93222222  0.07375     0.56333333  0.82
  0.62222222  0.44625     0.88222222  0.49125     0.41        0.322
  0.96875     0.49111111  0.42625     0.39888889  0.62875     0.81333333
  0.22625     0.57888889  0.582       0.60333333  0.44        0.68444444
  0.04555556  0.58444444]"
4,HNU_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,LR,0.523333333333,0.174355957742,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.522666666667,0.143440270186,"[ 0.35        0.45        0.61666667  0.63333333  0.46666667  0.53333333
  0.46666667  0.73333333  0.66666667  0.66666667  0.58333333  0.4
  0.53333333  0.58333333  0.4         0.48333333  0.25        0.48333333
  0.55        0.48333333  0.6         0.76666667  0.58333333  0.53333333
  0.46666667  0.23333333  0.7         0.6         0.73333333  0.43333333
  0.46666667  0.35        0.65        0.68333333  0.43333333  0.68333333
  0.65        0.61666667  0.43333333  0.3         0.48333333  0.51666667
  0.55        0.76666667  0.51666667  0.48333333  0.35        0.7
  0.08333333  0.43333333]",0.534458333333,0.161354404424,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.539801666667,0.206803498722,"[ 0.565       0.736       0.51888889  0.73125     0.44888889  0.5025
  0.4475      0.76625     0.7275      0.61875     0.978       0.35        0.50625
  0.71875     0.452       0.226       0.1025      0.418       0.53333333
  0.5175      0.611875    0.655       0.68        0.998       0.72222222
  0.06555556  0.74722222  0.46125     0.76666667  0.448       0.40444444
  0.4         0.82888889  0.530625    0.40375     0.358       0.71625
  0.61777778  0.35125     0.38777778  0.565       0.58333333  0.481875
  0.76333333  0.679       0.60166667  0.233125    0.65444444  0.00222222
  0.40666667]"
5,HNU_1_deter_csd_con_ROIv_scale60,mean,closeness_centrality,standard,SGD,0.556666666667,0.196242480394,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.542666666667,0.141663137211,"[ 0.35        0.5         0.63333333  0.71666667  0.53333333  0.68333333
  0.43333333  0.66666667  0.56666667  0.76666667  0.65        0.46666667
  0.65        0.58333333  0.21666667  0.58333333  0.2         0.4
  0.58333333  0.41666667  0.66666667  0.65        0.56666667  0.58333333
  0.5         0.23333333  0.71666667  0.61666667  0.7         0.45
  0.51666667  0.31666667  0.68333333  0.8         0.41666667  0.6
  0.66666667  0.6         0.41666667  0.4         0.55        0.6
  0.56666667  0.61666667  0.53333333  0.58333333  0.4         0.73333333
  0.3         0.55      ]",0.572152777778,0.240808213479,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.545732777778,0.217931987486,"[ 0.5475      0.812       0.50111111  0.89375     0.47111111  0.7625
  0.42375     0.68375     0.5425      0.645       0.78        0.41875
  0.59375     0.515       0.23        0.568       0.08875     0.268
  0.55777778  0.2625      0.781875    0.64611111  0.64444444  1.
  0.68888889  0.08111111  0.83277778  0.4925      0.74777778  0.396       0.54
  0.40125     0.73444444  0.810625    0.30375     0.118       0.69125
  0.57222222  0.33375     0.41444444  0.7425      0.58777778  0.408125
  0.76555556  0.747       0.67055556  0.330625    0.67666667  0.11222222
  0.44888889]"
6,HNU_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,LR,0.603333333333,0.161382912492,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.582333333333,0.129718070359,"[ 0.6         0.4         0.81666667  0.33333333  0.58333333  0.63333333
  0.58333333  0.7         0.78333333  0.51666667  0.76666667  0.53333333
  0.7         0.61666667  0.45        0.53333333  0.63333333  0.66666667
  0.51666667  0.65        0.63333333  0.48333333  0.68333333  0.58333333
  0.7         0.58333333  0.7         0.71666667  0.66666667  0.56666667
  0.58333333  0.68333333  0.76666667  0.75        0.46666667  0.18333333
  0.63333333  0.55        0.56666667  0.41666667  0.7         0.53333333
  0.56666667  0.41666667  0.45        0.51666667  0.5         0.75        0.35
  0.4       ]",0.633638888889,0.203055715154,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70331,0.200294659742,"[ 0.90125     0.93        0.77777778  0.47        0.54        0.925       0.7275
  0.77125     0.56625     0.72875     0.896       0.6125      0.7625
  0.7325      0.43        0.402       0.8025      0.528       0.48333333
  0.67375     0.82625     0.90555556  0.92222222  0.982       0.83222222
  0.63111111  0.81666667  0.875       0.75111111  0.722       0.77111111
  0.79375     0.79444444  0.985       0.44        0.192       0.83625
  0.72555556  0.6425      0.53777778  0.86125     0.76666667  0.76875
  0.55333333  0.986       0.82333333  0.395       0.81555556  0.05444444
  0.49777778]"
7,HNU_1_deter_csd_con_ROIv_scale60,mean,betweenness_centrality,standard,SGD,0.626666666667,0.12409673646,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.551333333333,0.140864000606,"[ 0.63333333  0.21666667  0.56666667  0.68333333  0.46666667  0.68333333
  0.6         0.61666667  0.66666667  0.56666667  0.83333333  0.58333333
  0.53333333  0.36666667  0.21666667  0.36666667  0.38333333  0.65
  0.51666667  0.73333333  0.66666667  0.36666667  0.51666667  0.68333333
  0.63333333  0.53333333  0.66666667  0.78333333  0.5         0.53333333
  0.58333333  0.65        0.78333333  0.78333333  0.56666667  0.35        0.5
  0.65        0.61666667  0.48333333  0.68333333  0.61666667  0.36666667
  0.5         0.43333333  0.41666667  0.41666667  0.56666667  0.35
  0.48333333]",0.702777777778,0.127422725312,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.639917222222,0.214252427237,"[ 0.75875     0.837       0.70111111  0.39875     0.52777778  0.844375
  0.715       0.59875     0.474375    0.72125     0.932       0.595
  0.66125     0.5375      0.382       0.265       0.80125     0.034       0.56
  0.638125    0.87125     0.93222222  0.81833333  0.799       0.84
  0.47888889  0.71333333  0.89125     0.83        0.5         0.66388889
  0.83        0.88111111  0.5         0.371875    0.536       0.63125
  0.51888889  0.64375     0.51666667  0.92        0.665       0.6675
  0.61777778  0.891       0.87111111  0.2325      0.83555556  0.05444444
  0.49      ]"
8,HNU_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,LR,0.55,0.0641179468722,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.521,0.131943169584,"[ 0.51666667  0.51666667  0.56666667  0.41666667  0.55        0.25
  0.46666667  0.4         0.6         0.76666667  0.75        0.41666667
  0.66666667  0.51666667  0.36666667  0.5         0.28333333  0.55
  0.36666667  0.41666667  0.61666667  0.7         0.71666667  0.31666667
  0.61666667  0.4         0.6         0.51666667  0.45        0.51666667
  0.65        0.55        0.76666667  0.68333333  0.51666667  0.43333333
  0.68333333  0.53333333  0.46666667  0.43333333  0.6         0.43333333
  0.58333333  0.48333333  0.48333333  0.5         0.58333333  0.65
  0.13333333  0.55      ]",0.543777777778,0.141953288483,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.586838888889,0.207856501426,"[ 0.4675      0.984       0.6         0.48125     0.6         0.24875     0.61
  0.5575      0.7325      0.61875     0.966       0.4825      0.65375
  0.8125      0.408       0.572       0.19625     0.524       0.39666667
  0.28875     0.685       0.67444444  0.72        0.998       0.90333333
  0.50222222  0.76111111  0.485       0.51222222  0.512       0.54555556
  0.63        0.97777778  0.95125     0.55875     0.332       0.73        0.72
  0.535       0.25888889  0.7425      0.37111111  0.55625     0.49555556
  0.684       0.68333333  0.59375     0.52111111  0.00666667  0.49444444]"
9,HNU_1_deter_csd_con_ROIv_scale60,mean,eigenvector_centrality,standard,SGD,0.553333333333,0.116141675935,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.522666666667,0.141136655606,"[ 0.45        0.51666667  0.45        0.61666667  0.38333333  0.31666667
  0.56666667  0.55        0.71666667  0.8         0.71666667  0.36666667
  0.75        0.6         0.53333333  0.71666667  0.33333333  0.41666667
  0.3         0.66666667  0.46666667  0.6         0.53333333  0.58333333
  0.76666667  0.36666667  0.5         0.48333333  0.48333333  0.5         0.5
  0.6         0.83333333  0.58333333  0.63333333  0.43333333  0.48333333
  0.61666667  0.56666667  0.5         0.5         0.4         0.51666667
  0.41666667  0.33333333  0.5         0.61666667  0.5         0.06666667
  0.48333333]",0.633777777778,0.175729331187,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.505671666667,0.200566344177,"[ 0.68125     0.944       0.49333333  0.42        0.34        0.11125
  0.305       0.6775      0.66625     0.76125     0.488       0.2875      0.715
  0.62875     0.422       0.42        0.2425      0.484       0.21444444
  0.3425      0.73125     0.66666667  0.31        0.942       0.62333333
  0.52444444  0.69222222  0.40625     0.31222222  0.248       0.50555556
  0.74375     0.88111111  0.78375     0.4075      0.216       0.69375
  0.65444444  0.58        0.47333333  0.345       0.24888889  0.42875
  0.43555556  0.67        0.51222222  0.5275      0.43888889  0.19777778
  0.43888889]"
