,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_deter_csd_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.506666666667,0.13646326327,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.434666666667,0.150327050867,"[ 0.38333333  0.31666667  0.33333333  0.38333333  0.71666667  0.36666667
  0.73333333  0.6         0.48333333  0.5         0.66666667  0.4
  0.53333333  0.4         0.26666667  0.43333333  0.43333333  0.26666667
  0.53333333  0.23333333  0.63333333  0.46666667  0.28333333  0.26666667
  0.56666667  0.31666667  0.56666667  0.26666667  0.3         0.35
  0.53333333  0.53333333  0.46666667  0.5         0.23333333  0.4
  0.33333333  0.66666667  0.35        0.53333333  0.23333333  0.61666667
  0.61666667  0.3         0.38333333  0.61666667  0.18333333  0.66666667
  0.11666667  0.45      ]",0.581805555556,0.173731558218,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.507864444444,0.207108245885,"[ 0.45625     0.852       0.37333333  0.5525      0.40333333  0.37375
  0.91125     0.76875     0.52375     0.44375     0.384       0.1675
  0.6375      0.2725      0.342       0.532       0.38125     0.634
  0.50333333  0.3525      0.5825      0.62555556  0.49        0.96
  0.72444444  0.43444444  0.69222222  0.82375     0.37444444  0.306       0.4
  0.58875     0.32777778  0.4825      0.28875     0.154       0.615
  0.87333333  0.73375     0.28777778  0.28125     0.67222222  0.6425
  0.33333333  0.672       0.86777778  0.225       0.49555556  0.12444444
  0.44888889]"
2,HNU_1_deter_csd_con_aparc68+subcort,mean,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.513638888889,0.185831805342,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.528651111111,0.197804971224,"[ 0.4825      0.972       0.48333333  0.51125     0.79333333  0.49        0.65625
  0.35        0.39625     0.78125     0.634       0.2825      0.6625
  0.5475      0.302       0.864       0.4975      0.648       0.28555556
  0.35375     0.38625     0.64666667  0.32222222  0.676       0.73555556
  0.43333333  0.84111111  0.33125     0.28444444  0.876       0.23222222
  0.67        0.70333333  0.67125     0.3025      0.098       0.4575
  0.77666667  0.4725      0.51555556  0.66375     0.61666667  0.4825
  0.62444444  0.142       0.65555556  0.41625     0.59111111  0.32333333
  0.49111111]"
3,HNU_1_deter_csd_con_aparc68+subcort,mean,degrees,standard,SGD,0.503333333333,0.0609188896083,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.464,0.133971804662,"[ 0.38333333  0.45        0.53333333  0.4         0.45        0.36666667
  0.68333333  0.43333333  0.48333333  0.55        0.43333333  0.21666667
  0.6         0.58333333  0.18333333  0.46666667  0.33333333  0.3
  0.33333333  0.25        0.53333333  0.5         0.33333333  0.41666667
  0.73333333  0.43333333  0.7         0.56666667  0.41666667  0.5
  0.41666667  0.6         0.5         0.5         0.48333333  0.25
  0.46666667  0.66666667  0.5         0.31666667  0.58333333  0.75
  0.53333333  0.56666667  0.23333333  0.45        0.46666667  0.63333333
  0.26666667  0.45      ]",0.516777777778,0.103301309255,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.501233333333,0.187452428368,"[ 0.50625     0.978       0.42888889  0.32375     0.53666667  0.4625
  0.6175      0.45125     0.43625     0.53875     0.324       0.14        0.705
  0.55375     0.302       0.91        0.43125     0.61        0.26666667
  0.15875     0.6275      0.53        0.27555556  0.81        0.72555556
  0.45111111  0.73666667  0.54        0.38        0.712       0.27444444
  0.605       0.64222222  0.53375     0.275       0.144       0.51
  0.66555556  0.44375     0.43555556  0.58125     0.76777778  0.4225
  0.56333333  0.51        0.56111111  0.42125     0.55        0.13333333
  0.55222222]"
4,HNU_1_deter_csd_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_deter_csd_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.5,0.0836660026534,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.473666666667,0.127718875313,"[ 0.46666667  0.31666667  0.58333333  0.53333333  0.33333333  0.41666667
  0.46666667  0.68333333  0.48333333  0.63333333  0.55        0.31666667
  0.4         0.41666667  0.3         0.58333333  0.3         0.33333333
  0.36666667  0.36666667  0.53333333  0.7         0.61666667  0.55
  0.58333333  0.35        0.46666667  0.53333333  0.55        0.31666667
  0.43333333  0.55        0.46666667  0.55        0.55        0.46666667
  0.68333333  0.38333333  0.56666667  0.3         0.56666667  0.35        0.5
  0.71666667  0.55        0.48333333  0.41666667  0.6         0.06666667
  0.43333333]",0.524069444444,0.16756961194,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.499613055556,0.185888683669,"[ 0.3025      0.67        0.49111111  0.4975      0.35444444  0.5675
  0.38125     0.665       0.675       0.75125     0.838       0.315       0.415
  0.65875     0.388       0.33        0.1575      0.516       0.49944444
  0.5275      0.461875    0.64        0.50777778  0.996       0.43333333
  0.26777778  0.66444444  0.41        0.60444444  0.57        0.33        0.3
  0.67666667  0.315       0.4375      0.734       0.63875     0.77888889
  0.4         0.40444444  0.49125     0.37888889  0.3525      0.75111111
  0.564       0.57555556  0.15625     0.65944444  0.03444444  0.44555556]"
6,HNU_1_deter_csd_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.573333333333,0.137679176187,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.447,0.144978542474,"[ 0.36666667  0.2         0.48333333  0.51666667  0.7         0.35
  0.38333333  0.53333333  0.33333333  0.46666667  0.33333333  0.56666667
  0.46666667  0.48333333  0.2         0.23333333  0.38333333  0.35
  0.53333333  0.45        0.38333333  0.75        0.26666667  0.36666667
  0.66666667  0.45        0.3         0.48333333  0.88333333  0.3
  0.31666667  0.48333333  0.5         0.5         0.35        0.35
  0.53333333  0.61666667  0.41666667  0.3         0.35        0.38333333
  0.3         0.5         0.4         0.63333333  0.4         0.76666667
  0.6         0.46666667]",0.587833333333,0.170275208427,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.578828888889,0.217761692388,"[ 0.44625     0.82        0.76777778  0.5775      0.68555556  0.13125
  0.29125     0.5025      0.81125     0.645       0.61        0.82375     0.54
  0.68875     0.594       0.996       0.26125     0.66        0.45333333
  0.6975      0.5025      0.75555556  0.12444444  0.76        0.72222222
  0.47888889  0.11444444  0.61375     0.93        0.636       0.33        0.585
  0.17777778  0.48875     0.495       0.598       0.885       0.76111111
  0.4925      0.24444444  0.72125     0.46        0.22875     0.54222222
  0.688       0.65666667  0.92625     0.82666667  0.69888889  0.49444444]"
7,HNU_1_deter_csd_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.546666666667,0.168457050247,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.446,0.148532076596,"[ 0.36666667  0.2         0.35        0.58333333  0.6         0.35
  0.38333333  0.5         0.33333333  0.38333333  0.4         0.38333333
  0.43333333  0.45        0.23333333  0.21666667  0.35        0.23333333
  0.53333333  0.38333333  0.48333333  0.73333333  0.26666667  0.38333333
  0.75        0.46666667  0.5         0.58333333  0.78333333  0.23333333
  0.3         0.48333333  0.43333333  0.48333333  0.35        0.4
  0.46666667  0.76666667  0.41666667  0.31666667  0.43333333  0.38333333
  0.3         0.5         0.48333333  0.63333333  0.38333333  0.78333333
  0.66666667  0.46666667]",0.592888888889,0.181215192486,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.584866111111,0.211184295187,"[ 0.44375     0.82        0.83111111  0.58125     0.68444444  0.13375
  0.29125     0.50375     0.80875     0.66625     0.612       0.82375
  0.53875     0.69375     0.594       0.976       0.2575      0.638       0.45
  0.69875     0.505       0.75777778  0.12666667  0.76        0.72888889
  0.47777778  0.14111111  0.6175      0.93666667  0.63        0.33111111
  0.585       0.40222222  0.495       0.495       0.598       0.89625
  0.76111111  0.49        0.24666667  0.715       0.46        0.23125
  0.53888889  0.676       0.65111111  0.9225      0.82777778  0.69888889
  0.49333333]"
8,HNU_1_deter_csd_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.513333333333,0.0618241233033,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.525666666667,0.119824408569,"[ 0.51666667  0.66666667  0.48333333  0.45        0.55        0.5
  0.63333333  0.71666667  0.46666667  0.65        0.8         0.5
  0.58333333  0.48333333  0.36666667  0.56666667  0.33333333  0.51666667
  0.38333333  0.36666667  0.56666667  0.61666667  0.61666667  0.63333333
  0.75        0.33333333  0.68333333  0.53333333  0.35        0.43333333
  0.46666667  0.65        0.63333333  0.6         0.33333333  0.66666667
  0.63333333  0.56666667  0.46666667  0.48333333  0.53333333  0.56666667
  0.48333333  0.51666667  0.48333333  0.58333333  0.46666667  0.51666667
  0.2         0.38333333]",0.5085,0.105589409776,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.540703888889,0.195921966358,"[ 0.45        0.988       0.52666667  0.52        0.53666667  0.1925
  0.6925      0.65375     0.47        0.54375     0.88        0.1025
  0.7475      0.65        0.442       0.666       0.31625     0.628
  0.39555556  0.3125      0.675       0.65888889  0.72555556  0.898
  0.76333333  0.52        0.68333333  0.5275      0.41888889  0.434
  0.29555556  0.71375     0.70666667  0.71125     0.3425      0.238
  0.66875     0.64666667  0.43375     0.40111111  0.58625     0.42777778
  0.40125     0.45888889  0.728       0.69444444  0.4275      0.50444444
  0.00888889  0.62111111]"
9,HNU_1_deter_csd_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.543333333333,0.0646357314322,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.496333333333,0.146412279388,"[ 0.41666667  0.45        0.48333333  0.43333333  0.68333333  0.3         0.7
  0.68333333  0.5         0.61666667  0.56666667  0.35        0.65        0.65
  0.33333333  0.31666667  0.35        0.41666667  0.35        0.4
  0.41666667  0.68333333  0.71666667  0.5         0.76666667  0.5
  0.61666667  0.3         0.4         0.45        0.58333333  0.48333333
  0.66666667  0.63333333  0.46666667  0.3         0.75        0.68333333
  0.38333333  0.43333333  0.45        0.53333333  0.48333333  0.5         0.35
  0.68333333  0.43333333  0.5         0.05        0.45      ]",0.537166666667,0.115654091269,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.510166666667,0.204412922993,"[ 0.4275      0.986       0.44444444  0.51625     0.71444444  0.2275
  0.5125      0.68125     0.47        0.63125     0.932       0.16375     0.71
  0.65        0.358       0.298       0.31        0.696       0.32333333
  0.21875     0.57125     0.66333333  0.71666667  0.65        0.80888889
  0.56666667  0.76888889  0.44        0.23777778  0.458       0.49777778
  0.585       0.70888889  0.6325      0.31875     0.16        0.6025      0.74
  0.375       0.32222222  0.56        0.37888889  0.3325      0.52555556
  0.542       0.78111111  0.43875     0.44444444  0.00777778  0.40222222]"
