,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.546666666667,0.105619863452,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.537333333333,0.116024901542,"[ 0.68333333  0.48333333  0.4         0.56666667  0.55        0.4
  0.51666667  0.58333333  0.53333333  0.68333333  0.58333333  0.46666667
  0.51666667  0.33333333  0.48333333  0.56666667  0.35        0.56666667
  0.51666667  0.43333333  0.71666667  0.6         0.55        0.75
  0.68333333  0.36666667  0.61666667  0.53333333  0.3         0.58333333
  0.7         0.7         0.4         0.56666667  0.36666667  0.71666667
  0.53333333  0.66666667  0.68333333  0.5         0.65        0.51666667
  0.53333333  0.55        0.55        0.55        0.58333333  0.48333333
  0.23333333  0.46666667]",0.530611111111,0.136260592521,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.579838333333,0.194568361601,"[ 0.68        0.76        0.35666667  0.59125     0.61        0.29625
  0.6475      0.60125     0.53125     0.7975      0.874       0.28125     0.49
  0.34375     0.414       0.672       0.365       0.668       0.55777778
  0.40375     0.84        0.49888889  0.57111111  0.964       0.85222222
  0.25666667  0.70666667  0.7225      0.37666667  0.61        0.71444444
  0.88875     0.45555556  0.60875     0.30875     0.684       0.62375     0.9
  0.77375     0.50888889  0.78625     0.50555556  0.4175      0.59        0.858
  0.40222222  0.5925      0.47333333  0.07        0.49      ]"
1,HNU_1_deter_dti_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.576666666667,0.0573488351136,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493,0.112747998258,"[ 0.56666667  0.5         0.3         0.68333333  0.48333333  0.41666667
  0.66666667  0.56666667  0.45        0.55        0.38333333  0.35
  0.46666667  0.23333333  0.31666667  0.6         0.53333333  0.55
  0.58333333  0.43333333  0.51666667  0.46666667  0.5         0.63333333
  0.58333333  0.38333333  0.48333333  0.33333333  0.25        0.48333333
  0.51666667  0.71666667  0.43333333  0.48333333  0.4         0.38333333
  0.5         0.58333333  0.36666667  0.56666667  0.7         0.58333333
  0.56666667  0.5         0.63333333  0.46666667  0.45        0.56666667
  0.35        0.61666667]",0.583083333333,0.104858237635,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.507945833333,0.0819003868968,"[ 0.5725      0.568       0.49888889  0.476875    0.5         0.525       0.5
  0.5275      0.7025      0.41375     0.554       0.425       0.48875
  0.385       0.5         0.476       0.525       0.52        0.49777778
  0.655       0.5625      0.32222222  0.50833333  0.554       0.41666667
  0.60666667  0.45722222  0.475       0.46111111  0.688       0.55444444
  0.53875     0.46555556  0.3975      0.355       0.5         0.536875
  0.65222222  0.51125     0.37888889  0.525       0.63        0.37
  0.53333333  0.5         0.52166667  0.516875    0.55        0.59666667
  0.4       ]"
2,HNU_1_deter_dti_con_aparc68+subcort,mean,degrees,standard,LR,0.67,0.0571547606649,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.654,0.1181599669,"[ 0.61666667  0.65        0.71666667  0.46666667  0.61666667  0.71666667
  0.76666667  0.76666667  0.7         0.81666667  0.78333333  0.66666667
  0.78333333  0.68333333  0.45        0.75        0.61666667  0.7         0.45
  0.61666667  0.5         0.58333333  0.7         0.7         0.7         0.5
  0.83333333  0.68333333  0.56666667  0.9         0.58333333  0.65
  0.68333333  0.56666667  0.45        0.58333333  0.83333333  0.81666667
  0.61666667  0.85        0.65        0.53333333  0.56666667  0.68333333
  0.53333333  0.71666667  0.65        0.81666667  0.5         0.41666667]",0.753833333333,0.107637996412,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.758109444444,0.151191693221,"[ 0.7475      0.958       0.68666667  0.78875     0.67555556  0.87375
  0.86875     0.815       0.7275      0.89625     0.908       0.66125
  0.8925      0.71375     0.492       0.964       0.76        0.834
  0.52333333  0.65625     0.78625     0.72666667  0.83777778  0.96        0.89
  0.58333333  0.92111111  0.945       0.61888889  0.994       0.55444444
  0.8425      0.85666667  0.56875     0.4225      0.802       0.97125
  0.89444444  0.60625     0.91        0.83375     0.59888889  0.61125
  0.79555556  0.79        0.82333333  0.6425      0.73888889  0.54444444
  0.39222222]"
3,HNU_1_deter_dti_con_aparc68+subcort,mean,degrees,standard,SGD,0.68,0.0452155332208,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.685,0.117437926866,"[ 0.68333333  0.58333333  0.76666667  0.56666667  0.65        0.61666667
  0.78333333  0.78333333  0.75        0.75        0.88333333  0.76666667
  0.8         0.76666667  0.45        0.78333333  0.56666667  0.73333333
  0.58333333  0.65        0.53333333  0.68333333  0.7         0.73333333
  0.7         0.61666667  0.9         0.86666667  0.58333333  0.88333333
  0.53333333  0.7         0.73333333  0.55        0.56666667  0.53333333
  0.86666667  0.81666667  0.63333333  0.85        0.7         0.56666667
  0.63333333  0.71666667  0.51666667  0.7         0.63333333  0.83333333
  0.63333333  0.41666667]",0.766611111111,0.124641974927,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.753132777778,0.149401580624,"[ 0.72625     0.934       0.68555556  0.7725      0.71        0.80125
  0.86375     0.76875     0.75125     0.9275      0.932       0.68375
  0.845       0.735       0.408       0.902       0.7         0.834
  0.68333333  0.62625     0.85375     0.75888889  0.81333333  0.976
  0.84555556  0.58444444  0.85        0.9625      0.59333333  0.99
  0.51555556  0.8325      0.82888889  0.48625     0.42875     0.78        0.9375
  0.83444444  0.655       0.91222222  0.8675      0.61555556  0.72875
  0.78333333  0.858       0.76444444  0.6         0.78111111  0.56777778
  0.36111111]"
4,HNU_1_deter_dti_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.61,0.179691092959,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.580333333333,0.120908137765,"[ 0.53333333  0.73333333  0.48333333  0.76666667  0.6         0.75        0.7
  0.58333333  0.75        0.71666667  0.58333333  0.66666667  0.65
  0.56666667  0.41666667  0.35        0.48333333  0.5         0.55
  0.61666667  0.6         0.66666667  0.7         0.65        0.66666667
  0.3         0.6         0.6         0.66666667  0.76666667  0.66666667
  0.53333333  0.65        0.51666667  0.46666667  0.68333333  0.73333333
  0.56666667  0.61666667  0.6         0.33333333  0.5         0.53333333
  0.58333333  0.53333333  0.55        0.46666667  0.63333333  0.25
  0.38333333]",0.661416666667,0.253351187236,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.630342777778,0.195573580578,"[ 0.74        0.898       0.60222222  0.89875     0.72888889  0.86125     0.8
  0.61125     0.98375     0.84        0.472       0.6975      0.64875
  0.54625     0.418       0.222       0.48375     0.42        0.58        0.45875
  0.8275      0.78333333  0.80666667  0.912       0.84444444  0.19222222
  0.68        0.61625     0.73        0.674       0.75333333  0.53875
  0.77333333  0.43625     0.4925      0.842       0.87125     0.73666667
  0.6425      0.59888889  0.285       0.41333333  0.39125     0.68777778
  0.734       0.55888889  0.44        0.73611111  0.25777778  0.35      ]"
5,HNU_1_deter_dti_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.62,0.197596671137,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.505,0.128376616078,"[ 0.45        0.31666667  0.5         0.63333333  0.7         0.51666667
  0.68333333  0.56666667  0.55        0.68333333  0.46666667  0.65
  0.53333333  0.45        0.33333333  0.31666667  0.45        0.43333333
  0.53333333  0.51666667  0.38333333  0.65        0.7         0.33333333
  0.7         0.26666667  0.6         0.55        0.65        0.36666667
  0.65        0.48333333  0.65        0.45        0.48333333  0.41666667
  0.66666667  0.56666667  0.45        0.56666667  0.26666667  0.51666667
  0.53333333  0.61666667  0.36666667  0.5         0.31666667  0.63333333
  0.25        0.38333333]",0.705833333333,0.256103202457,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.635035555556,0.204394302202,"[ 0.5675      0.836       0.68        0.5925      0.88333333  0.8575
  0.86125     0.635       0.5875      0.5         0.556       0.82875
  0.96875     0.7575      0.292       0.114       0.68375     0.426
  0.69666667  0.525       0.85875     0.78        0.5         0.992
  0.88222222  0.32777778  0.85333333  0.82625     0.5         0.674
  0.31555556  0.58125     0.83555556  0.5925      0.52625     0.842       0.5
  0.77        0.67875     0.65666667  0.19875     0.65666667  0.60875
  0.68777778  0.742       0.47444444  0.75875     0.73611111  0.25555556
  0.29111111]"
6,HNU_1_deter_dti_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.593333333333,0.15477582355,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.547,0.161096589384,"[ 0.45        0.5         0.86666667  0.6         0.58333333  0.66666667
  0.41666667  0.58333333  0.78333333  0.65        0.41666667  0.81666667
  0.56666667  0.56666667  0.16666667  0.48333333  0.46666667  0.43333333
  0.53333333  0.66666667  0.66666667  0.65        0.21666667  0.36666667
  0.71666667  0.5         0.5         0.51666667  0.7         0.51666667
  0.28333333  0.53333333  0.9         0.55        0.28333333  0.56666667
  0.6         0.78333333  0.41666667  0.31666667  0.63333333  0.41666667
  0.33333333  0.53333333  0.41666667  0.7         0.48333333  0.78333333
  0.68333333  0.56666667]",0.62675,0.184979136294,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.649535555556,0.194329521994,"[ 0.5         0.768       0.90444444  0.65875     0.85333333  0.93875
  0.39625     0.6         0.88125     0.45125     0.65        0.87375
  0.56625     0.6425      0.656       0.98        0.36875     0.746
  0.59333333  0.65625     0.58375     0.81444444  0.16666667  0.674       0.72
  0.42444444  0.89777778  0.5125      0.87555556  0.686       0.38        0.74
  0.96222222  0.635       0.4725      0.628       0.37125     0.83666667
  0.4925      0.28777778  0.7575      0.39111111  0.33375     0.59        0.636
  0.76        0.9025      0.84444444  0.77444444  0.64111111]"
7,HNU_1_deter_dti_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.69,0.100332779622,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.492666666667,0.153701008455,"[ 0.16666667  0.18333333  0.7         0.65        0.6         0.35
  0.66666667  0.63333333  0.58333333  0.48333333  0.41666667  0.68333333
  0.53333333  0.41666667  0.2         0.35        0.63333333  0.31666667
  0.61666667  0.5         0.28333333  0.66666667  0.35        0.16666667
  0.53333333  0.53333333  0.6         0.53333333  0.56666667  0.3
  0.36666667  0.65        0.5         0.46666667  0.36666667  0.71666667
  0.41666667  0.53333333  0.5         0.51666667  0.33333333  0.43333333
  0.36666667  0.53333333  0.68333333  0.73333333  0.4         0.73333333
  0.6         0.56666667]",0.646833333333,0.223299444637,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.567022222222,0.189407985332,"[ 0.1875      0.358       0.76222222  0.45875     0.76666667  0.92        0.46375
  0.3875      0.62        0.7         0.788       0.7175      0.67625
  0.73625     0.75        0.782       0.345       0.392       0.73333333
  0.67375     0.29125     0.81666667  0.27        0.302       0.51444444
  0.53555556  0.72888889  0.54125     0.61555556  0.194       0.36555556
  0.5475      0.54444444  0.4725      0.65875     0.182       0.5975
  0.45555556  0.75875     0.30111111  0.71375     0.37444444  0.505       0.68
  0.712       0.82222222  0.6275      0.77444444  0.55111111  0.67888889]"
8,HNU_1_deter_dti_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.676666666667,0.0969535971483,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681666666667,0.146562462983,"[ 0.58333333  0.63333333  0.78333333  0.5         0.86666667  0.95
  0.68333333  0.7         0.78333333  0.5         0.71666667  0.8         0.7
  0.61666667  0.45        0.6         0.68333333  0.65        0.76666667
  0.75        0.53333333  0.6         0.8         0.63333333  0.83333333
  0.58333333  0.9         0.76666667  0.56666667  0.83333333  0.68333333
  0.8         0.78333333  0.95        0.33333333  0.56666667  0.8         0.65
  0.7         0.66666667  0.81666667  0.65        0.6         0.68333333
  0.65        0.8         0.75        0.78333333  0.16666667  0.48333333]",0.640722222222,0.1362249354,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.681369444444,0.200352671022,"[ 0.6875      0.948       0.72777778  0.68375     0.92222222  0.98375
  0.6675      0.7075      0.62625     0.56375     0.852       0.57125
  0.695       0.4925      0.406       0.982       0.77125     0.656
  0.65666667  0.55125     0.5325      0.59222222  0.96888889  0.684
  0.87111111  0.66555556  0.99555556  0.88        0.59444444  0.598
  0.63222222  0.93625     0.74777778  1.          0.27875     0.622
  0.74125     0.71        0.79125     0.33666667  0.89375     0.33333333
  0.515       0.7         0.602       0.77        0.81625     0.73111111
  0.13444444  0.24222222]"
9,HNU_1_deter_dti_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.67,0.117094453802,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.641333333333,0.14260434776,"[ 0.68333333  0.56666667  0.73333333  0.5         0.68333333  0.8
  0.53333333  0.75        0.76666667  0.43333333  0.65        0.7
  0.66666667  0.58333333  0.46666667  0.43333333  0.58333333  0.63333333
  0.8         0.66666667  0.36666667  0.61666667  0.83333333  0.58333333
  0.83333333  0.58333333  0.93333333  0.56666667  0.45        0.71666667
  0.68333333  0.73333333  0.81666667  0.91666667  0.4         0.4
  0.78333333  0.65        0.68333333  0.66666667  0.68333333  0.61666667
  0.55        0.66666667  0.63333333  0.78333333  0.71666667  0.8
  0.28333333  0.48333333]",0.692944444444,0.123027599032,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.731593333333,0.207609648908,"[ 0.74625     0.956       0.93444444  0.6975      0.97666667  1.          0.66375
  0.69        0.805       0.65375     0.842       0.59625     0.81375
  0.51125     0.478       0.974       0.795       0.648       0.69888889
  0.56625     0.5075      0.76        0.99111111  0.694       0.92
  0.67555556  0.98666667  0.98        0.63888889  0.744       0.72        0.9425
  0.90111111  1.          0.30875     0.648       0.75125     0.67111111
  0.805       0.42444444  1.          0.42444444  0.60125     0.69        0.694
  0.82222222  0.96        0.92        0.04444444  0.30666667]"
