,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_ROIv_scale33,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csa_con_ROIv_scale33,mean,bag_of_edges,standard,SGD,0.53,0.117567947257,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.448666666667,0.152637551809,"[ 0.5         0.41666667  0.28333333  0.31666667  0.58333333  0.4
  0.73333333  0.38333333  0.55        0.48333333  0.38333333  0.48333333
  0.48333333  0.58333333  0.18333333  0.4         0.2         0.33333333
  0.28333333  0.56666667  0.46666667  0.61666667  0.7         0.18333333
  0.73333333  0.21666667  0.55        0.35        0.48333333  0.58333333
  0.76666667  0.45        0.5         0.36666667  0.46666667  0.38333333
  0.58333333  0.45        0.46666667  0.26666667  0.53333333  0.5
  0.36666667  0.56666667  0.55        0.4         0.31666667  0.41666667
  0.01666667  0.63333333]",0.638305555556,0.218275939587,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.585476666667,0.214099843759,"[ 0.5         0.958       0.29222222  0.17125     0.53444444  0.82125
  0.86625     0.85375     0.6475      0.4475      0.746       0.71        0.74125
  0.55125     0.566       0.676       0.17375     0.552       0.25444444
  0.64375     0.89875     0.74111111  0.5         0.5         0.87444444
  0.07666667  0.67333333  0.7425      0.61555556  0.5         0.5         0.4225
  0.66666667  0.5         0.58625     0.5         0.7075      0.60111111
  0.615       0.44444444  0.91625     0.73666667  0.38375     0.78555556
  0.5         0.88222222  0.6925      0.43111111  0.          0.57333333]"
2,HNU_1_proba_csa_con_ROIv_scale33,mean,degrees,standard,LR,0.523333333333,0.197933771191,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.460666666667,0.160615482857,"[ 0.35        0.5         0.28333333  0.11666667  0.56666667  0.51666667
  0.81666667  0.38333333  0.31666667  0.3         0.53333333  0.46666667
  0.63333333  0.53333333  0.45        0.31666667  0.13333333  0.35        0.35
  0.45        0.45        0.65        0.65        0.48333333  0.46666667
  0.08333333  0.63333333  0.45        0.66666667  0.61666667  0.6
  0.28333333  0.53333333  0.58333333  0.56666667  0.83333333  0.48333333
  0.5         0.48333333  0.46666667  0.5         0.46666667  0.36666667
  0.56666667  0.43333333  0.65        0.33333333  0.31666667  0.13333333
  0.41666667]",0.526777777778,0.319528037372,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.405885555556,0.225710091604,"[ 0.5075      0.626       0.33888889  0.025       0.33        0.49875
  0.87875     0.3675      0.315       0.2325      0.814       0.20125
  0.5375      0.48625     0.8         0.044       0.12625     0.254
  0.15222222  0.55        0.3125      0.64111111  0.59888889  0.202
  0.38333333  0.00666667  0.52666667  0.77        0.62777778  0.172
  0.41222222  0.27375     0.47777778  0.355       0.60375     0.808       0.3325
  0.51555556  0.43625     0.49888889  0.64625     0.17444444  0.23125
  0.72777778  0.344       0.48        0.065       0.15222222  0.07111111
  0.36222222]"
3,HNU_1_proba_csa_con_ROIv_scale33,mean,degrees,standard,SGD,0.536666666667,0.22045407685,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.419333333333,0.1490473452,"[ 0.33333333  0.45        0.26666667  0.16666667  0.61666667  0.46666667
  0.73333333  0.41666667  0.48333333  0.31666667  0.38333333  0.45        0.5
  0.5         0.16666667  0.23333333  0.16666667  0.21666667  0.33333333
  0.4         0.46666667  0.63333333  0.53333333  0.4         0.5
  0.11666667  0.56666667  0.35        0.55        0.61666667  0.46666667
  0.31666667  0.48333333  0.53333333  0.46666667  0.61666667  0.48333333
  0.41666667  0.45        0.61666667  0.5         0.5         0.33333333
  0.5         0.48333333  0.58333333  0.18333333  0.33333333  0.03333333
  0.33333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csa_con_ROIv_scale33,mean,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csa_con_ROIv_scale33,mean,closeness_centrality,standard,SGD,0.48,0.157550697308,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.405666666667,0.130324807905,"[ 0.4         0.33333333  0.46666667  0.41666667  0.41666667  0.26666667
  0.21666667  0.5         0.41666667  0.65        0.35        0.53333333
  0.53333333  0.48333333  0.4         0.38333333  0.36666667  0.33333333
  0.35        0.38333333  0.33333333  0.35        0.63333333  0.36666667
  0.48333333  0.25        0.63333333  0.5         0.58333333  0.2
  0.51666667  0.36666667  0.58333333  0.5         0.48333333  0.33333333
  0.38333333  0.7         0.4         0.45        0.3         0.31666667
  0.33333333  0.38333333  0.26666667  0.58333333  0.1         0.23333333
  0.11666667  0.4       ]",0.505583333333,0.160471825534,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.464395,0.191356399943,"[ 0.6375      0.234       0.55777778  0.83875     0.54888889  0.44125
  0.08875     0.8025      0.4925      0.5         0.828       0.51        0.46625
  0.48        0.544       0.2         0.355       0.662       0.22333333
  0.10375     0.695       0.39666667  0.64333333  0.5         0.50555556
  0.28        0.5         0.5975      0.52666667  0.406       0.45777778
  0.37        0.5         0.33125     0.2325      0.788       0.7775      0.5
  0.285       0.66333333  0.395       0.40777778  0.27125     0.60222222
  0.254       0.59777778  0.1225      0.29666667  0.18444444  0.61777778]"
6,HNU_1_proba_csa_con_ROIv_scale33,mean,betweenness_centrality,standard,LR,0.626666666667,0.12,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.511666666667,0.144462605696,"[ 0.58333333  0.65        0.41666667  0.33333333  0.63333333  0.48333333
  0.55        0.63333333  0.63333333  0.61666667  0.55        0.35
  0.43333333  0.58333333  0.51666667  0.43333333  0.3         0.43333333
  0.83333333  0.63333333  0.4         0.8         0.65        0.3
  0.51666667  0.43333333  0.56666667  0.46666667  0.66666667  0.6
  0.48333333  0.53333333  0.41666667  0.46666667  0.63333333  0.71666667
  0.38333333  0.41666667  0.55        0.38333333  0.43333333  0.73333333
  0.23333333  0.68333333  0.31666667  0.4         0.36666667  0.7
  0.16666667  0.56666667]",0.620472222222,0.159348393446,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.58084,0.180996081531,"[ 0.6275      0.868       0.72222222  0.37125     0.69444444  0.28375
  0.39625     0.75375     0.61375     0.46        0.918       0.28875
  0.5625      0.59625     0.496       0.282       0.33875     0.544
  0.80444444  0.66625     0.6725      0.80111111  0.59444444  0.364
  0.61222222  0.45666667  0.64111111  0.3775      0.77777778  0.648
  0.59222222  0.765       0.70555556  0.57875     0.71375     0.756
  0.48875     0.48666667  0.73625     0.32777778  0.645       0.76777778
  0.37875     0.85222222  0.736       0.42444444  0.525       0.71666667
  0.07333333  0.53888889]"
7,HNU_1_proba_csa_con_ROIv_scale33,mean,betweenness_centrality,standard,SGD,0.66,0.182452429112,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.520666666667,0.122091040712,"[ 0.38333333  0.61666667  0.7         0.35        0.53333333  0.43333333
  0.61666667  0.55        0.58333333  0.5         0.7         0.66666667
  0.5         0.65        0.35        0.36666667  0.36666667  0.7
  0.46666667  0.51666667  0.48333333  0.51666667  0.53333333  0.46666667
  0.61666667  0.58333333  0.53333333  0.51666667  0.76666667  0.46666667
  0.63333333  0.45        0.66666667  0.58333333  0.61666667  0.63333333
  0.53333333  0.51666667  0.41666667  0.28333333  0.36666667  0.56666667
  0.48333333  0.56666667  0.66666667  0.51666667  0.55        0.48333333
  0.13333333  0.33333333]",0.686694444444,0.128678120292,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.553171111111,0.169529891057,"[ 0.61125     0.806       0.69        0.43        0.58666667  0.4225
  0.41125     0.71625     0.65625     0.5075      0.814       0.3175
  0.52375     0.51875     0.546       0.602       0.2725      0.586
  0.50777778  0.5425      0.64375     0.74444444  0.60666667  0.386
  0.65555556  0.37        0.55        0.545       0.75222222  0.654
  0.74555556  0.67        0.75777778  0.53375     0.54        0.64        0.4825
  0.62888889  0.72375     0.33444444  0.6825      0.36777778  0.09125
  0.89111111  0.624       0.51333333  0.4925      0.57555556  0.04777778
  0.34      ]"
8,HNU_1_proba_csa_con_ROIv_scale33,mean,eigenvector_centrality,standard,LR,0.53,0.157550697308,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.503,0.188994121014,"[ 0.36666667  0.56666667  0.63333333  0.68333333  0.36666667  0.23333333
  0.46666667  0.5         0.76666667  0.78333333  0.76666667  0.56666667
  0.36666667  0.38333333  0.5         0.5         0.26666667  0.18333333
  0.41666667  0.66666667  0.63333333  0.68333333  0.46666667  0.43333333
  0.48333333  0.15        0.8         0.96666667  0.43333333  0.36666667
  0.4         0.51666667  0.61666667  0.68333333  0.65        0.68333333
  0.61666667  0.61666667  0.53333333  0.4         0.71666667  0.2
  0.51666667  0.53333333  0.4         0.6         0.41666667  0.06666667
  0.1         0.48333333]",0.521805555556,0.22783654391,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.557803333333,0.240855465012,"[ 0.4075      0.548       0.59888889  0.91375     0.54111111  0.3225
  0.6025      0.48875     0.89625     0.955       0.962       0.56375
  0.4775      0.30375     0.804       0.424       0.1625      0.19        0.46
  0.52875     0.69625     0.85666667  0.45        0.552       0.53666667
  0.21222222  0.83        1.          0.48888889  0.248       0.40222222
  0.49375     0.77333333  0.81375     0.69625     0.932       0.7625      0.72
  0.37        0.47777778  0.74125     0.16444444  0.43875     0.55444444
  0.626       0.69111111  0.4925      0.03111111  0.04222222  0.64555556]"
9,HNU_1_proba_csa_con_ROIv_scale33,mean,eigenvector_centrality,standard,SGD,0.526666666667,0.178138522878,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.497333333333,0.182219647678,"[ 0.36666667  0.56666667  0.56666667  0.78333333  0.35        0.35
  0.43333333  0.31666667  0.7         0.66666667  0.51666667  0.6
  0.21666667  0.53333333  0.46666667  0.53333333  0.21666667  0.43333333
  0.53333333  0.68333333  0.65        0.73333333  0.5         0.31666667
  0.41666667  0.18333333  0.73333333  0.9         0.5         0.33333333
  0.35        0.43333333  0.63333333  0.66666667  0.58333333  0.76666667
  0.65        0.66666667  0.5         0.33333333  0.68333333  0.18333333
  0.45        0.55        0.43333333  0.55        0.53333333  0.15
  0.03333333  0.61666667]",0.525777777778,0.204322910737,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.489558333333,0.210865883393,"[ 0.385       0.908       0.38        0.8625      0.62777778  0.3775
  0.54125     0.08125     0.56        0.47875     0.768       0.51375
  0.43375     0.6525      0.436       0.31        0.1925      0.294
  0.39888889  0.44875     0.49        0.71888889  0.52111111  0.926
  0.44111111  0.34222222  0.55777778  0.69        0.73666667  0.696
  0.19222222  0.42125     0.81444444  0.54375     0.5875      0.598       0.5275
  0.76        0.27125     0.39333333  0.63875     0.18333333  0.415
  0.46444444  0.174       0.68888889  0.39875     0.13666667  0.00444444
  0.49444444]"
