,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc68+subcort,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csa_con_aparc68+subcort,mean,bag_of_edges,standard,SGD,0.523333333333,0.144760338337,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.375,0.154353490404,"[ 0.33333333  0.18333333  0.45        0.38333333  0.51666667  0.33333333
  0.71666667  0.33333333  0.6         0.51666667  0.25        0.48333333
  0.33333333  0.45        0.16666667  0.48333333  0.3         0.28333333
  0.21666667  0.51666667  0.51666667  0.56666667  0.15        0.16666667
  0.51666667  0.18333333  0.51666667  0.18333333  0.5         0.16666667
  0.5         0.33333333  0.68333333  0.2         0.41666667  0.16666667
  0.35        0.53333333  0.33333333  0.36666667  0.33333333  0.53333333
  0.4         0.53333333  0.16666667  0.45        0.4         0.31666667
  0.          0.41666667]",0.561972222222,0.188667239235,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.494950555556,0.221211584535,"[ 0.8775      0.844       0.28444444  0.2         0.57444444  0.88        0.80625
  0.075       0.5825      0.37375     0.746       0.56        0.7225
  0.55875     0.56        0.436       0.26375     0.48        0.28666667
  0.43625     0.50125     0.63888889  0.56111111  0.536       0.75111111
  0.02888889  0.44        0.28        0.39        0.66        0.5         0.45
  0.71222222  0.04375     0.56875     0.658       0.6625      0.61        0.61875
  0.27333333  0.31875     0.51111111  0.25        0.41777778  0.966       0.38
  0.49375     0.47222222  0.          0.50555556]"
2,HNU_1_proba_csa_con_aparc68+subcort,mean,degrees,standard,LR,0.516666666667,0.226813677816,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.451666666667,0.161872720919,"[ 0.36666667  0.56666667  0.23333333  0.08333333  0.58333333  0.46666667
  0.78333333  0.38333333  0.35        0.25        0.48333333  0.43333333
  0.66666667  0.43333333  0.48333333  0.28333333  0.15        0.3
  0.41666667  0.51666667  0.53333333  0.55        0.56666667  0.53333333
  0.33333333  0.1         0.61666667  0.55        0.63333333  0.56666667
  0.5         0.26666667  0.51666667  0.51666667  0.53333333  0.71666667
  0.5         0.56666667  0.48333333  0.6         0.53333333  0.58333333
  0.35        0.55        0.43333333  0.65        0.28333333  0.23333333
  0.06666667  0.48333333]",0.503111111111,0.322224875468,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.421514444444,0.238234384293,"[ 0.60375     0.586       0.22777778  0.02875     0.44222222  0.48375
  0.9325      0.39875     0.34625     0.2725      0.85        0.17125
  0.50375     0.48        0.844       0.07        0.23375     0.154
  0.20777778  0.74625     0.4625      0.59666667  0.61222222  0.176       0.35
  0.          0.55888889  0.7575      0.75        0.208       0.43666667
  0.2925      0.49777778  0.36375     0.60875     0.772       0.34625
  0.50222222  0.4325      0.68555556  0.615       0.27111111  0.19875
  0.70333333  0.276       0.45111111  0.01875     0.13666667  0.02555556
  0.38666667]"
3,HNU_1_proba_csa_con_aparc68+subcort,mean,degrees,standard,SGD,0.54,0.236784008469,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.413333333333,0.167232373261,"[ 0.35        0.48333333  0.28333333  0.08333333  0.53333333  0.45        0.9
  0.31666667  0.41666667  0.15        0.26666667  0.41666667  0.65
  0.43333333  0.31666667  0.21666667  0.15        0.21666667  0.33333333
  0.41666667  0.48333333  0.61666667  0.53333333  0.3         0.38333333
  0.08333333  0.55        0.36666667  0.63333333  0.46666667  0.48333333
  0.3         0.48333333  0.53333333  0.5         0.65        0.4
  0.48333333  0.45        0.61666667  0.45        0.58333333  0.31666667
  0.51666667  0.48333333  0.61666667  0.13333333  0.35        0.08333333
  0.43333333]",0.505083333333,0.324824187964,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.410187222222,0.236713650319,"[ 0.62125     0.588       0.25        0.0525      0.35444444  0.51125     0.93
  0.33375     0.21        0.19875     0.836       0.20375     0.48125
  0.48125     0.764       0.06        0.15875     0.178       0.27111111
  0.75375     0.43625     0.55        0.48777778  0.07        0.32666667
  0.          0.51333333  0.74125     0.72444444  0.162       0.41333333
  0.27        0.48777778  0.305       0.62125     0.762       0.4
  0.58888889  0.45625     0.64777778  0.615       0.29        0.1925
  0.70222222  0.342       0.42777778  0.0025      0.22777778  0.00333333
  0.50444444]"
4,HNU_1_proba_csa_con_aparc68+subcort,mean,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csa_con_aparc68+subcort,mean,closeness_centrality,standard,SGD,0.446666666667,0.128840987267,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.359333333333,0.151149668284,"[ 0.3         0.18333333  0.4         0.4         0.4         0.3         0.15
  0.46666667  0.33333333  0.33333333  0.21666667  0.31666667  0.36666667
  0.38333333  0.21666667  0.16666667  0.38333333  0.2         0.33333333
  0.4         0.25        0.56666667  0.61666667  0.16666667  0.46666667
  0.3         0.8         0.48333333  0.7         0.16666667  0.41666667
  0.33333333  0.55        0.31666667  0.36666667  0.23333333  0.41666667
  0.51666667  0.38333333  0.45        0.43333333  0.33333333  0.21666667
  0.5         0.28333333  0.6         0.08333333  0.08333333  0.2
  0.48333333]",0.504305555556,0.141636652594,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.404906666667,0.158665596184,"[ 0.285       0.31        0.42777778  0.40875     0.55222222  0.23375
  0.045       0.5         0.5         0.35125     0.5         0.3575      0.355
  0.50375     0.5         0.5         0.3475      0.266       0.29333333
  0.30625     0.55125     0.50111111  0.61222222  0.5         0.37555556
  0.28        0.5         0.6075      0.73333333  0.54        0.43666667
  0.28        0.32222222  0.21875     0.36125     0.5         0.61375
  0.54888889  0.47625     0.61666667  0.315       0.30555556  0.24875
  0.50333333  0.276       0.66777778  0.06375     0.13333333  0.04111111
  0.57222222]"
6,HNU_1_proba_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_proba_csa_con_aparc68+subcort,mean,betweenness_centrality,standard,SGD,0.52,0.143913554299,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.469,0.132790980283,"[ 0.36666667  0.35        0.51666667  0.53333333  0.33333333  0.31666667
  0.51666667  0.35        0.65        0.31666667  0.18333333  0.56666667
  0.41666667  0.61666667  0.36666667  0.6         0.56666667  0.55
  0.43333333  0.55        0.66666667  0.51666667  0.56666667  0.58333333
  0.45        0.43333333  0.51666667  0.61666667  0.38333333  0.63333333
  0.45        0.38333333  0.5         0.38333333  0.18333333  0.31666667
  0.35        0.65        0.48333333  0.7         0.51666667  0.46666667
  0.43333333  0.48333333  0.56666667  0.5         0.25        0.3
  0.78333333  0.28333333]",0.548055555556,0.212999304468,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.51876,0.192028165273,"[ 0.4925      0.196       0.51666667  0.48875     0.75888889  0.71625
  0.645       0.49375     0.60375     0.2775      0.444       0.59        0.525
  0.1925      0.392       0.92        0.675       0.734       0.38777778
  0.4325      0.48625     0.65        0.86        0.694       0.45444444
  0.27444444  0.40111111  0.54125     0.47666667  0.464       0.84666667
  0.515       0.50555556  0.48125     0.2375      0.364       0.40875
  0.52888889  0.9325      0.73555556  0.66625     0.35333333  0.57375
  0.57777778  0.25        0.39555556  0.165       0.38111111  0.91111111
  0.32444444]"
8,HNU_1_proba_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,LR,0.51,0.156560247544,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.511666666667,0.18157490037,"[ 0.36666667  0.56666667  0.65        0.66666667  0.41666667  0.33333333
  0.53333333  0.55        0.78333333  0.73333333  0.7         0.55        0.45
  0.36666667  0.51666667  0.45        0.23333333  0.11666667  0.43333333
  0.68333333  0.61666667  0.68333333  0.46666667  0.46666667  0.56666667
  0.2         0.71666667  1.          0.41666667  0.43333333  0.43333333
  0.56666667  0.7         0.61666667  0.53333333  0.73333333  0.63333333
  0.65        0.6         0.4         0.68333333  0.3         0.51666667
  0.55        0.35        0.61666667  0.41666667  0.08333333  0.1
  0.43333333]",0.508194444444,0.205382697589,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.518534444444,0.206415262077,"[ 0.45875     0.86        0.46333333  0.84375     0.66222222  0.385       0.5875
  0.09        0.52        0.40875     0.81        0.5375      0.53625
  0.7425      0.414       0.398       0.2675      0.382       0.50555556
  0.4375      0.55        0.67333333  0.6         0.918       0.54222222
  0.36666667  0.59888889  0.76        0.70111111  0.642       0.25555556
  0.4675      0.85222222  0.74875     0.53125     0.59        0.51125
  0.73222222  0.305       0.37666667  0.8075      0.31333333  0.4075
  0.39555556  0.348       0.74666667  0.27875     0.10555556  0.
  0.49111111]"
9,HNU_1_proba_csa_con_aparc68+subcort,mean,eigenvector_centrality,standard,SGD,0.52,0.12265579662,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.420666666667,0.178155986584,"[ 0.38333333  0.56666667  0.66666667  0.58333333  0.4         0.28333333
  0.35        0.23333333  0.66666667  0.31666667  0.73333333  0.43333333
  0.36666667  0.41666667  0.46666667  0.48333333  0.2         0.08333333
  0.23333333  0.66666667  0.46666667  0.53333333  0.58333333  0.3
  0.53333333  0.08333333  0.78333333  0.91666667  0.35        0.33333333
  0.36666667  0.55        0.66666667  0.4         0.36666667  0.41666667
  0.5         0.48333333  0.43333333  0.43333333  0.53333333  0.31666667
  0.28333333  0.23333333  0.23333333  0.4         0.2         0.16666667
  0.13333333  0.5       ]",0.513083333333,0.190843287788,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493435555556,0.210703793789,"[ 0.36625     0.854       0.37555556  0.8675      0.68222222  0.37125
  0.5925      0.07        0.55125     0.44125     0.746       0.525
  0.46375     0.7575      0.428       0.384       0.235       0.252
  0.42222222  0.4675      0.5425      0.70111111  0.55888889  0.944       0.43
  0.36888889  0.57        0.7025      0.75333333  0.682       0.24666667
  0.46875     0.77333333  0.5125      0.5425      0.546       0.5225
  0.76777778  0.3475      0.41666667  0.6175      0.25222222  0.4175
  0.47333333  0.078       0.70333333  0.3375      0.10555556  0.
  0.43666667]"
