,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
1,HNU_1_proba_csd_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.523333333333,0.156914697279,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.478,0.135213411564,"[ 0.48333333  0.55        0.43333333  0.5         0.38333333  0.5
  0.46666667  0.58333333  0.73333333  0.63333333  0.63333333  0.31666667
  0.58333333  0.4         0.31666667  0.71666667  0.41666667  0.45
  0.66666667  0.43333333  0.4         0.66666667  0.35        0.56666667
  0.45        0.31666667  0.68333333  0.5         0.38333333  0.51666667
  0.56666667  0.36666667  0.66666667  0.5         0.28333333  0.43333333
  0.43333333  0.58333333  0.43333333  0.38333333  0.6         0.35        0.5
  0.5         0.18333333  0.45        0.16666667  0.76666667  0.4         0.3       ]",0.618694444444,0.121856637585,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.586213611111,0.132929677202,"[ 0.704375    0.5         0.37        0.5         0.76555556  0.495
  0.83125     0.590625    0.59875     0.5         0.524       0.54        0.95875
  0.511875    0.596       0.562       0.75625     0.876       0.70722222
  0.511875    0.5         0.46666667  0.73        0.831       0.58666667
  0.5         0.49944444  0.59625     0.5         0.5         0.58444444
  0.5         0.49944444  0.5         0.5625      0.524       0.444375    0.5
  0.64625     0.36555556  0.76        0.5         0.475       0.74388889
  0.784       0.5         0.5         0.73444444  0.435       0.64222222]"
2,HNU_1_proba_csd_con_aparc150+subcort,mean,degrees,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,HNU_1_proba_csd_con_aparc150+subcort,mean,degrees,standard,SGD,0.496666666667,0.138804418758,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.437666666667,0.123009033092,"[ 0.5         0.48333333  0.46666667  0.26666667  0.48333333  0.23333333
  0.55        0.6         0.36666667  0.4         0.51666667  0.26666667
  0.56666667  0.56666667  0.38333333  0.5         0.11666667  0.4
  0.61666667  0.51666667  0.46666667  0.48333333  0.41666667  0.5         0.6
  0.35        0.3         0.36666667  0.5         0.46666667  0.53333333
  0.4         0.63333333  0.48333333  0.46666667  0.33333333  0.56666667
  0.36666667  0.66666667  0.5         0.55        0.48333333  0.35
  0.41666667  0.13333333  0.31666667  0.3         0.5         0.41666667
  0.21666667]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
4,HNU_1_proba_csd_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
5,HNU_1_proba_csd_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.44,0.0879393730552,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.385333333333,0.143164241345,"[ 0.33333333  0.16666667  0.46666667  0.66666667  0.4         0.33333333
  0.45        0.33333333  0.33333333  0.38333333  0.16666667  0.53333333
  0.33333333  0.33333333  0.16666667  0.16666667  0.11666667  0.16666667
  0.5         0.33333333  0.66666667  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.16666667
  0.5         0.33333333  0.5         0.33333333  0.66666667  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.33333333  0.41666667  0.16666667  0.5         0.33333333  0.5         0.5
  0.5       ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
6,HNU_1_proba_csd_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.57,0.0725718035236,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.566666666667,0.134907375632,"[ 0.26666667  0.45        0.63333333  0.73333333  0.56666667  0.75        0.6
  0.66666667  0.53333333  0.61666667  0.83333333  0.65        0.75        0.7
  0.41666667  0.55        0.5         0.53333333  0.61666667  0.41666667
  0.81666667  0.65        0.55        0.48333333  0.6         0.4
  0.56666667  0.43333333  0.63333333  0.53333333  0.46666667  0.26666667
  0.56666667  0.76666667  0.36666667  0.53333333  0.65        0.61666667
  0.41666667  0.43333333  0.51666667  0.51666667  0.63333333  0.5
  0.78333333  0.71666667  0.56666667  0.73333333  0.3         0.53333333]",0.598166666667,0.153879597594,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.573903333333,0.188202714988,"[ 0.5275      0.358       0.67111111  0.745       0.61333333  0.83375     0.46
  0.67375     0.4775      0.4925      0.91        0.7675      0.92875
  0.6725      0.388       0.567       0.54375     0.368       0.81388889
  0.12875     0.95        0.63888889  0.58444444  0.45        0.62666667
  0.32111111  0.53666667  0.394375    0.73888889  0.342       0.415
  0.42625     0.59111111  0.85875     0.3775      0.36        0.760625
  0.70333333  0.39875     0.60111111  0.51        0.52388889  0.54875     0.52
  0.823       0.68444444  0.53125     0.83222222  0.17        0.53555556]"
7,HNU_1_proba_csd_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.633333333333,0.057735026919,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.466,0.153657628078,"[ 0.3         0.2         0.63333333  0.45        0.43333333  0.35        0.6
  0.61666667  0.28333333  0.6         0.58333333  0.53333333  0.56666667
  0.63333333  0.16666667  0.36666667  0.51666667  0.8         0.66666667
  0.35        0.6         0.51666667  0.63333333  0.35        0.4         0.55
  0.31666667  0.26666667  0.6         0.18333333  0.51666667  0.28333333
  0.43333333  0.43333333  0.13333333  0.55        0.41666667  0.56666667
  0.36666667  0.71666667  0.33333333  0.46666667  0.33333333  0.55
  0.53333333  0.36666667  0.46666667  0.76666667  0.5         0.5       ]",0.641222222222,0.183701196593,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.596481388889,0.193067115254,"[ 0.52375     0.448       0.67555556  0.75375     0.69444444  0.83375
  0.54125     0.67375     0.58875     0.55625     0.898       0.795       0.975
  0.68        0.434       0.567       0.6225      0.373       0.81388889
  0.118125    0.95        0.70111111  0.6         0.646       0.65888889
  0.36444444  0.61777778  0.466875    0.76388889  0.376       0.42777778
  0.50625     0.64888889  0.858125    0.36875     0.112       0.760625
  0.70611111  0.435       0.60666667  0.511875    0.52388889  0.593125
  0.52111111  0.5         0.77444444  0.528125    0.96888889  0.22388889
  0.53777778]"
8,HNU_1_proba_csd_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_proba_csd_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.5,0.0894427191,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.413333333333,0.138242942356,"[ 0.35        0.61666667  0.38333333  0.3         0.5         0.43333333
  0.58333333  0.38333333  0.6         0.53333333  0.3         0.46666667
  0.56666667  0.48333333  0.41666667  0.48333333  0.15        0.35
  0.46666667  0.48333333  0.6         0.46666667  0.43333333  0.55        0.3
  0.18333333  0.7         0.2         0.4         0.5         0.41666667
  0.45        0.5         0.51666667  0.18333333  0.16666667  0.46666667
  0.5         0.65        0.38333333  0.51666667  0.33333333  0.15
  0.33333333  0.43333333  0.48333333  0.21666667  0.33333333  0.16666667
  0.28333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.482258333333,0.0703945823905,"[ 0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.18625     0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.19444444  0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.5
  0.23222222  0.5       ]"
