,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,LR,0.61,0.0975249255889,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.615,0.120933866224,"[ 0.63333333  0.66666667  0.5         0.56666667  0.51666667  0.65
  0.81666667  0.63333333  0.66666667  0.46666667  0.76666667  0.41666667
  0.7         0.7         0.58333333  0.53333333  0.51666667  0.48333333
  0.43333333  0.63333333  0.53333333  0.66666667  0.9         0.75
  0.61666667  0.53333333  0.78333333  0.61666667  0.68333333  0.7
  0.66666667  0.55        0.5         0.7         0.55        0.51666667
  0.7         0.78333333  0.86666667  0.5         0.7         0.58333333
  0.66666667  0.53333333  0.5         0.68333333  0.51666667  0.66666667
  0.25        0.65      ]",0.588277777778,0.130131747106,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.647431666667,0.184280171258,"[ 0.78875     0.852       0.63444444  0.8425      0.71111111  0.40875
  0.6775      0.555       0.67625     0.75625     0.952       0.31875
  0.7225      0.635       0.562       0.348       0.3475      0.744
  0.68111111  0.37375     0.92125     0.59444444  0.74444444  0.996
  0.57666667  0.42555556  0.88111111  0.555       0.74666667  0.778
  0.61333333  0.6625      0.62222222  0.81125     0.35        0.358
  0.90875     0.88888889  0.6         0.61111111  0.7825      0.58666667
  0.6275      0.77555556  0.882       0.66777778  0.495       0.60666667
  0.17777778  0.53777778]"
1,HNU_1_deter_csa_con_ROIv_scale33,no_norm,bag_of_edges,standard,SGD,0.636666666667,0.105092551803,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.607333333333,0.122617743867,"[ 0.56666667  0.48333333  0.53333333  0.63333333  0.61666667  0.43333333
  0.83333333  0.58333333  0.71666667  0.68333333  0.75        0.38333333
  0.8         0.71666667  0.51666667  0.5         0.45        0.58333333
  0.6         0.61666667  0.53333333  0.66666667  0.9         0.46666667
  0.66666667  0.5         0.8         0.58333333  0.66666667  0.65
  0.66666667  0.58333333  0.53333333  0.71666667  0.56666667  0.53333333
  0.55        0.76666667  0.88333333  0.61666667  0.55        0.56666667
  0.66666667  0.53333333  0.5         0.66666667  0.43333333  0.66666667
  0.3         0.63333333]",0.633055555556,0.126569650956,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.681618888889,0.196362535403,"[ 0.83        0.86        0.49444444  0.6625      0.82666667  0.52125
  0.99375     0.63        0.20125     0.62375     0.978       0.54625     0.88
  0.82        0.772       0.752       0.44        0.706       0.36555556
  0.67        0.76125     0.56222222  0.94888889  0.964       0.67666667
  0.54666667  0.97        0.52375     0.94222222  0.87        0.79        0.6725
  0.57888889  0.67375     0.40125     0.358       0.8725      0.68444444
  0.87625     0.74444444  0.74375     0.62333333  0.76625     0.68111111
  0.704       0.70333333  0.5925      0.64777778  0.04888889  0.57888889]"
2,HNU_1_deter_csa_con_ROIv_scale33,no_norm,degrees,standard,LR,0.676666666667,0.0928559218479,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.692333333333,0.114368313405,"[ 0.56666667  0.8         0.61666667  0.61666667  0.75        0.56666667
  0.86666667  0.5         0.81666667  0.65        0.93333333  0.65
  0.83333333  0.73333333  0.71666667  0.63333333  0.6         0.68333333
  0.56666667  0.75        0.56666667  0.65        0.78333333  0.75        0.75
  0.75        0.86666667  0.55        0.75        0.86666667  0.63333333
  0.75        0.68333333  0.73333333  0.65        0.48333333  0.83333333
  0.75        0.78333333  0.75        0.78333333  0.66666667  0.66666667
  0.76666667  0.48333333  0.8         0.6         0.66666667  0.36666667
  0.63333333]",0.726277777778,0.161631663832,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.718487222222,0.153765945295,"[ 0.66375     0.802       0.62        0.6825      0.81        0.50625
  0.96375     0.57625     0.52125     0.5825      0.984       0.445       0.82
  0.84875     0.79        0.904       0.56875     0.76        0.69666667
  0.65375     0.77        0.66555556  0.83111111  0.982       0.68666667
  0.74444444  0.97111111  0.65375     0.93555556  0.946       0.61666667
  0.8125      0.75444444  0.7925      0.58125     0.42        0.845
  0.71888889  0.7925      0.77444444  0.8975      0.67555556  0.6175
  0.82777778  0.494       0.72666667  0.65625     0.59666667  0.28888889
  0.65      ]"
3,HNU_1_deter_csa_con_ROIv_scale33,no_norm,degrees,standard,SGD,0.676666666667,0.195391345197,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.643666666667,0.124627890583,"[ 0.66666667  0.53333333  0.61666667  0.56666667  0.55        0.58333333
  0.93333333  0.48333333  0.55        0.65        0.85        0.63333333
  0.75        0.65        0.66666667  0.46666667  0.51666667  0.51666667
  0.55        0.63333333  0.51666667  0.61666667  0.96666667  0.68333333
  0.76666667  0.58333333  0.83333333  0.6         0.75        0.6
  0.63333333  0.58333333  0.68333333  0.91666667  0.5         0.5
  0.63333333  0.8         0.73333333  0.71666667  0.73333333  0.71666667
  0.68333333  0.61666667  0.45        0.71666667  0.6         0.66666667
  0.35        0.66666667]",0.753722222222,0.165022010316,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.748844444444,0.151517664089,"[ 0.67625     0.804       0.60666667  0.73        0.84111111  0.55625
  0.995       0.5925      0.53        0.605       0.996       0.495
  0.82875     0.87        0.844       0.924       0.57375     0.762       0.75
  0.735       0.82875     0.69444444  0.89111111  0.986       0.69888889
  0.77        0.99        0.715       0.97555556  0.89        0.70555556
  0.87625     0.77        0.92125     0.6025      0.442       0.84375
  0.73333333  0.84875     0.79777778  0.93125     0.74222222  0.65875
  0.84111111  0.572       0.74111111  0.65625     0.59222222  0.32555556
  0.68555556]"
4,HNU_1_deter_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.520138888889,0.0968185269486,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.629147777778,0.178114109322,"[ 0.7625      0.914       0.60888889  0.53875     0.68888889  0.5975
  0.80125     0.78        0.5575      0.41375     0.836       0.53        0.83625
  0.54        0.708       0.576       0.4275      0.638       0.56222222
  0.60375     0.5225      0.65333333  0.81111111  0.78        0.89666667
  0.50333333  0.69222222  0.41875     0.94777778  0.79        0.52111111
  0.7175      0.78222222  0.265       0.49        0.204       0.55
  0.59222222  0.65125     0.55777778  0.9125      0.63777778  0.53875
  0.88111111  0.8         0.73222222  0.4175      0.58333333  0.13111111
  0.55555556]"
5,HNU_1_deter_csa_con_ROIv_scale33,no_norm,closeness_centrality,standard,SGD,0.583333333333,0.0666666666667,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.635333333333,0.144516050627,"[ 0.66666667  0.65        0.6         0.6         0.76666667  0.43333333
  0.93333333  0.61666667  0.6         0.31666667  0.71666667  0.63333333
  0.73333333  0.56666667  0.56666667  0.65        0.53333333  0.53333333
  0.66666667  0.71666667  0.56666667  0.78333333  0.88333333  0.58333333
  0.81666667  0.61666667  0.85        0.51666667  0.93333333  0.48333333
  0.71666667  0.8         0.71666667  0.51666667  0.5         0.36666667
  0.55        0.71666667  0.63333333  0.61666667  0.78333333  0.71666667
  0.58333333  0.81666667  0.35        0.73333333  0.61666667  0.61666667
  0.28333333  0.6       ]",0.639527777778,0.103219605875,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.712081111111,0.181040299879,"[ 0.935       0.95        0.61888889  0.59875     0.90222222  0.63375
  0.97625     0.82875     0.60625     0.40125     0.826       0.69625     0.86
  0.54875     0.788       0.768       0.51875     0.72        0.61111111
  0.845       0.72875     0.69111111  0.86555556  0.788       0.9
  0.53222222  0.91        0.47875     0.96444444  0.824       0.86555556
  0.8525      0.83222222  0.55625     0.51        0.198       0.5825
  0.67555556  0.74875     0.63888889  0.99125     0.73        0.61
  0.87555556  0.804       0.89777778  0.495       0.58555556  0.23333333
  0.60555556]"
6,HNU_1_deter_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_deter_csa_con_ROIv_scale33,no_norm,betweenness_centrality,standard,SGD,0.55,0.107496769977,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.448666666667,0.143598204879,"[ 0.46666667  0.33333333  0.41666667  0.23333333  0.63333333  0.33333333
  0.86666667  0.56666667  0.66666667  0.43333333  0.2         0.5
  0.18333333  0.46666667  0.36666667  0.61666667  0.28333333  0.61666667
  0.35        0.63333333  0.46666667  0.5         0.6         0.28333333
  0.66666667  0.26666667  0.36666667  0.26666667  0.38333333  0.46666667
  0.63333333  0.43333333  0.5         0.4         0.48333333  0.33333333
  0.48333333  0.45        0.45        0.6         0.4         0.41666667
  0.35        0.45        0.73333333  0.51666667  0.31666667  0.3         0.3
  0.45      ]",0.564527777778,0.106821126592,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.474049444444,0.1908389832,"[ 0.48375     0.658       0.33555556  0.18125     0.6         0.32        0.2125
  0.40125     0.68        0.5625      0.8         0.26        0.37        0.65
  0.388       0.372       0.38375     0.882       0.63666667  0.24875
  0.5975      0.66777778  0.41666667  0.654       0.77333333  0.20222222
  0.59777778  0.25625     0.43555556  0.69        0.57888889  0.325
  0.24888889  0.05125     0.36875     0.362       0.555       0.55555556
  0.7775      0.45888889  0.39        0.34888889  0.55875     0.43        0.828
  0.51333333  0.2825      0.20333333  0.65111111  0.49777778]"
8,HNU_1_deter_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,LR,0.506666666667,0.0620035841258,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.472666666667,0.115217668398,"[ 0.43333333  0.51666667  0.55        0.38333333  0.43333333  0.4
  0.58333333  0.6         0.46666667  0.48333333  0.51666667  0.33333333
  0.71666667  0.63333333  0.43333333  0.45        0.28333333  0.56666667
  0.3         0.5         0.45        0.46666667  0.65        0.58333333
  0.51666667  0.31666667  0.6         0.5         0.51666667  0.46666667
  0.46666667  0.5         0.55        0.6         0.46666667  0.36666667
  0.56666667  0.63333333  0.45        0.35        0.43333333  0.4
  0.53333333  0.46666667  0.43333333  0.46666667  0.33333333  0.61666667
  0.06666667  0.28333333]",0.508805555556,0.1229645889,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.506017777778,0.198302842098,"[ 0.44375     0.984       0.49666667  0.62375     0.40444444  0.21625
  0.53375     0.51625     0.395       0.52875     0.812       0.26125
  0.84875     0.575       0.484       0.54        0.26125     0.638
  0.33444444  0.2975      0.73875     0.58444444  0.72888889  0.934
  0.59888889  0.24555556  0.59666667  0.69125     0.33333333  0.62
  0.29333333  0.59875     0.76555556  0.565       0.315       0.214
  0.63875     0.76222222  0.4725      0.35222222  0.365       0.25222222
  0.35875     0.38888889  0.736       0.61555556  0.295       0.50222222
  0.13777778  0.40555556]"
9,HNU_1_deter_csa_con_ROIv_scale33,no_norm,eigenvector_centrality,standard,SGD,0.523333333333,0.121837779217,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.457,0.114798857911,"[ 0.48333333  0.35        0.51666667  0.48333333  0.51666667  0.35
  0.58333333  0.56666667  0.46666667  0.51666667  0.48333333  0.33333333
  0.75        0.51666667  0.56666667  0.61666667  0.3         0.43333333
  0.38333333  0.41666667  0.4         0.46666667  0.76666667  0.51666667
  0.46666667  0.35        0.56666667  0.61666667  0.5         0.4
  0.53333333  0.53333333  0.53333333  0.41666667  0.35        0.26666667
  0.38333333  0.58333333  0.48333333  0.46666667  0.41666667  0.25        0.5
  0.31666667  0.36666667  0.35        0.31666667  0.51666667  0.21666667
  0.36666667]",0.569416666667,0.169646609816,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.511928888889,0.20374381337,"[ 0.47625     0.976       0.51222222  0.71625     0.40888889  0.24625
  0.5625      0.67        0.39        0.565       0.842       0.2875      0.88
  0.5925      0.552       0.74        0.12625     0.548       0.44111111
  0.2375      0.7425      0.59888889  0.80111111  0.828       0.63
  0.22555556  0.54        0.645       0.33444444  0.382       0.31888889
  0.66875     0.78111111  0.4675      0.30875     0.202       0.715
  0.78777778  0.47625     0.42777778  0.3775      0.30555556  0.36625
  0.38666667  0.622       0.60555556  0.1825      0.44111111  0.33555556
  0.32222222]"
