,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csa_con_aparc150+subcort,no_norm,bag_of_edges,standard,LR,0.683333333333,0.14944341181,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.635,0.134917670369,"[ 0.66666667  0.63333333  0.55        0.48333333  0.73333333  0.4
  0.73333333  0.75        0.76666667  0.56666667  0.8         0.55        0.75
  0.66666667  0.61666667  0.51666667  0.56666667  0.45        0.53333333
  0.68333333  0.65        0.48333333  0.95        0.6         0.68333333
  0.36666667  0.71666667  0.76666667  0.55        0.8         0.86666667
  0.56666667  0.68333333  0.91666667  0.5         0.26666667  0.58333333
  0.66666667  0.65        0.61666667  0.78333333  0.65        0.63333333
  0.55        0.75        0.8         0.6         0.65        0.5
  0.53333333]",0.732861111111,0.141431929707,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.673083888889,0.21159389734,"[ 0.8         0.988       0.47        0.78875     0.90555556  0.61875
  0.865       0.90125     0.58375     0.64375     0.982       0.69125     0.97
  0.49125     0.822       0.546       0.4525      0.376       0.46333333
  0.67        0.7675      0.24888889  0.98333333  0.914       0.69333333
  0.41111111  0.74777778  0.68625     0.65777778  0.282       0.94333333
  0.4675      0.64222222  0.995       0.395       0.168       0.73375     0.73
  0.6875      0.63222222  0.89375     0.67111111  0.4175      0.77555556
  0.888       0.84111111  0.67375     0.64444444  0.29666667  0.73666667]"
1,HNU_1_deter_csa_con_aparc150+subcort,no_norm,bag_of_edges,standard,SGD,0.65,0.0849836585599,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.601666666667,0.138774397254,"[ 0.6         0.63333333  0.55        0.41666667  0.63333333  0.51666667
  0.76666667  0.66666667  0.66666667  0.58333333  0.8         0.58333333
  0.76666667  0.63333333  0.38333333  0.6         0.51666667  0.45
  0.41666667  0.78333333  0.58333333  0.43333333  0.96666667  0.38333333
  0.68333333  0.35        0.63333333  0.76666667  0.51666667  0.53333333
  0.76666667  0.55        0.66666667  0.95        0.5         0.33333333
  0.7         0.66666667  0.63333333  0.66666667  0.68333333  0.63333333
  0.48333333  0.53333333  0.61666667  0.75        0.58333333  0.58333333
  0.4         0.56666667]",0.702972222222,0.110650001534,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.679445555556,0.206602092059,"[ 0.8725      1.          0.41333333  0.665       0.82111111  0.6975
  0.82375     0.68125     0.70625     0.65        0.93        0.62625
  0.98375     0.49875     0.796       0.638       0.6325      0.448
  0.38777778  0.875       0.85625     0.47111111  0.98888889  0.758
  0.81555556  0.42        0.73        0.6475      0.44444444  0.312
  0.90222222  0.57875     0.65        0.99375     0.35        0.376       0.735
  0.70333333  0.7175      0.72444444  0.96625     0.74333333  0.33375     0.64
  0.854       0.91777778  0.72125     0.70555556  0.06777778  0.70111111]"
2,HNU_1_deter_csa_con_aparc150+subcort,no_norm,degrees,standard,LR,0.706666666667,0.105725010181,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.726333333333,0.119261151354,"[ 0.7         0.68333333  0.6         0.73333333  0.75        0.66666667
  0.9         0.61666667  0.83333333  0.66666667  0.98333333  0.65
  0.81666667  0.73333333  0.81666667  0.61666667  0.55        0.6
  0.78333333  0.7         0.76666667  0.81666667  0.95        0.83333333
  0.68333333  0.61666667  1.          0.61666667  0.7         0.71666667
  0.8         0.68333333  0.63333333  0.98333333  0.66666667  0.5
  0.83333333  0.66666667  0.83333333  0.71666667  0.86666667  0.7         0.65
  0.83333333  0.5         0.83333333  0.58333333  0.66666667  0.6
  0.66666667]",0.763277777778,0.152038123671,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.783627777778,0.150060229883,"[ 0.88625     0.894       0.61888889  0.895       0.91        0.51        0.9825
  0.6         0.53875     0.62625     1.          0.59375     0.88125
  0.87125     0.896       0.976       0.62        0.626       0.87888889
  0.8625      0.89        0.67        0.99777778  0.9         0.76555556
  0.65666667  1.          0.6675      0.99444444  0.756       0.82222222
  0.7875      0.74555556  0.9975      0.57875     0.526       0.83125
  0.79777778  0.89625     0.85555556  1.          0.89888889  0.57875
  0.88555556  0.746       0.76333333  0.6475      0.59111111  0.64222222
  0.62444444]"
3,HNU_1_deter_csa_con_aparc150+subcort,no_norm,degrees,standard,SGD,0.743333333333,0.10677078252,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.695,0.140880169727,"[ 0.8         0.71666667  0.66666667  0.76666667  0.78333333  0.38333333
  0.76666667  0.48333333  0.73333333  0.61666667  0.98333333  0.38333333
  0.83333333  0.68333333  0.78333333  0.45        0.43333333  0.51666667
  0.8         0.66666667  0.81666667  0.83333333  0.88333333  0.8
  0.68333333  0.66666667  0.95        0.46666667  0.8         0.8         0.8
  0.65        0.46666667  0.9         0.65        0.58333333  0.76666667
  0.66666667  0.83333333  0.73333333  0.76666667  0.71666667  0.66666667
  0.83333333  0.6         0.66666667  0.61666667  0.66666667  0.66666667
  0.55      ]",0.777,0.15505491361,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.800537777778,0.146260493109,"[ 0.9025      0.914       0.61222222  0.91125     0.91111111  0.53875
  0.99375     0.62        0.55375     0.6725      1.          0.63875
  0.8875      0.875       0.91        0.992       0.62375     0.624
  0.88555556  0.925       0.90875     0.68111111  1.          0.916
  0.81111111  0.69111111  1.          0.71875     1.          0.782
  0.83888889  0.82375     0.79777778  1.          0.62375     0.538       0.8325
  0.80444444  0.92        0.86222222  1.          0.91333333  0.66375
  0.90222222  0.762       0.77222222  0.61625     0.59444444  0.61
  0.65111111]"
4,HNU_1_deter_csa_con_aparc150+subcort,no_norm,closeness_centrality,standard,LR,0.6,0.114503760249,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.640333333333,0.100060537232,"[ 0.48333333  0.61666667  0.61666667  0.65        0.68333333  0.53333333
  0.65        0.73333333  0.65        0.58333333  0.73333333  0.51666667
  0.55        0.65        0.73333333  0.63333333  0.43333333  0.58333333
  0.75        0.63333333  0.58333333  0.78333333  0.78333333  0.81666667
  0.65        0.4         0.78333333  0.48333333  0.66666667  0.61666667
  0.78333333  0.6         0.63333333  0.53333333  0.73333333  0.63333333
  0.76666667  0.61666667  0.75        0.61666667  0.7         0.66666667
  0.7         0.81666667  0.66666667  0.6         0.45        0.66666667
  0.6         0.5       ]",0.648666666667,0.149764362241,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.698139444444,0.163897780973,"[ 0.97        0.95        0.61111111  0.80125     0.80666667  0.6075
  0.71875     0.835       0.56625     0.64875     0.73        0.61875
  0.7025      0.595       0.748       0.808       0.29375     0.564
  0.72555556  0.645       0.8475      0.66777778  0.86222222  0.902
  0.79666667  0.28888889  0.93777778  0.3325      0.91333333  0.616       0.93
  0.5825      0.70222222  0.605       0.48125     0.536       0.84125
  0.79222222  0.6625      0.64111111  0.8225      0.77888889  0.69
  0.83777778  0.942       0.76777778  0.51625     0.60166667  0.61
  0.45555556]"
5,HNU_1_deter_csa_con_aparc150+subcort,no_norm,closeness_centrality,standard,SGD,0.633333333333,0.0809663853433,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.663333333333,0.0943986817234,"[ 0.61666667  0.58333333  0.63333333  0.61666667  0.85        0.51666667
  0.78333333  0.53333333  0.66666667  0.58333333  0.66666667  0.7
  0.66666667  0.65        0.71666667  0.58333333  0.55        0.6
  0.63333333  0.73333333  0.65        0.66666667  0.73333333  0.61666667
  0.73333333  0.46666667  0.78333333  0.6         0.68333333  0.61666667
  0.88333333  0.65        0.71666667  0.73333333  0.73333333  0.56666667
  0.6         0.66666667  0.75        0.83333333  0.68333333  0.81666667
  0.75        0.73333333  0.45        0.76666667  0.51666667  0.56666667
  0.65        0.66666667]",0.77175,0.159762014367,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.79554,0.121567165574,"[ 0.96625     0.926       0.63777778  0.73875     0.9         0.72625
  0.99875     0.79375     0.72625     0.66        0.77        0.78875
  0.8875      0.69375     0.928       0.86        0.6525      0.696
  0.75555556  0.88        0.93125     0.68        0.87444444  0.882
  0.90222222  0.60888889  0.92111111  0.575       0.85111111  0.904
  0.94777778  0.73        0.83222222  0.9825      0.53875     0.558       0.7975
  0.8         0.77375     0.83777778  0.965       0.89888889  0.73875
  0.81444444  0.918       0.88333333  0.655       0.60722222  0.65888889
  0.72333333]"
6,HNU_1_deter_csa_con_aparc150+subcort,no_norm,betweenness_centrality,standard,LR,0.613333333333,0.127540843131,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.633666666667,0.132475993632,"[ 0.48333333  0.55        0.65        0.86666667  0.5         0.76666667
  0.58333333  0.7         0.81666667  0.65        0.81666667  0.63333333
  0.68333333  0.8         0.7         0.6         0.45        0.65
  0.73333333  0.53333333  0.85        0.78333333  0.46666667  0.75
  0.71666667  0.38333333  0.63333333  0.51666667  0.75        0.65
  0.41666667  0.6         0.65        0.68333333  0.68333333  0.36666667
  0.83333333  0.68333333  0.51666667  0.48333333  0.45        0.58333333
  0.58333333  0.65        0.83333333  0.5         0.53333333  0.83333333
  0.45        0.68333333]",0.635833333333,0.177574254161,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.635186666667,0.209482468239,"[ 0.653125    0.664       0.75444444  0.938125    0.45333333  0.83125
  0.6025      0.7625      0.89875     0.675       0.766       0.6075      0.72
  0.86        0.718       0.26        0.34125     0.25        0.92        0.4875
  0.93375     0.85777778  0.52555556  0.628       0.84111111  0.38888889
  0.59777778  0.38125     0.85888889  0.296       0.33888889  0.7075
  0.73555556  0.74375     0.74375     0.09        0.86        0.69055556
  0.4775      0.51        0.47        0.59222222  0.59125     0.70555556
  0.944       0.47888889  0.59875     0.93222222  0.31555556  0.76111111]"
7,HNU_1_deter_csa_con_aparc150+subcort,no_norm,betweenness_centrality,standard,SGD,0.643333333333,0.163842743033,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.536333333333,0.135592936558,"[ 0.4         0.28333333  0.6         0.68333333  0.46666667  0.65
  0.51666667  0.65        0.61666667  0.58333333  0.36666667  0.5
  0.36666667  0.58333333  0.35        0.71666667  0.3         0.66666667
  0.78333333  0.45        0.56666667  0.73333333  0.41666667  0.38333333
  0.53333333  0.41666667  0.51666667  0.38333333  0.61666667  0.5         0.5
  0.7         0.45        0.7         0.46666667  0.8         0.71666667
  0.53333333  0.31666667  0.58333333  0.46666667  0.56666667  0.56666667
  0.61666667  0.76666667  0.36666667  0.5         0.73333333  0.4
  0.46666667]",0.636083333333,0.18677614184,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.617686111111,0.190702594408,"[ 0.6625      0.638       0.74333333  0.89375     0.42444444  0.82        0.60125
  0.7225      0.83        0.67125     0.674       0.56125     0.72125
  0.82125     0.646       0.29        0.34875     0.286       0.95111111
  0.4075      0.93375     0.86666667  0.41444444  0.592       0.78222222
  0.35777778  0.55555556  0.37375     0.82777778  0.334       0.32333333
  0.61875     0.63666667  0.7525      0.67625     0.39        0.82875
  0.64444444  0.47        0.51777778  0.44        0.59666667  0.5875
  0.69333333  0.94        0.46666667  0.58625     0.9         0.31111111
  0.75222222]"
8,HNU_1_deter_csa_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,LR,0.626666666667,0.0501109879279,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.553,0.134523438685,"[ 0.43333333  0.65        0.55        0.35        0.68333333  0.38333333
  0.66666667  0.5         0.76666667  0.6         0.51666667  0.48333333
  0.51666667  0.65        0.58333333  0.46666667  0.26666667  0.5         0.6
  0.55        0.55        0.36666667  0.76666667  0.61666667  0.65
  0.36666667  0.73333333  0.43333333  0.43333333  0.53333333  0.75
  0.61666667  0.6         0.83333333  0.55        0.31666667  0.66666667
  0.46666667  0.78333333  0.65        0.76666667  0.53333333  0.56666667
  0.56666667  0.6         0.58333333  0.51666667  0.43333333  0.26666667
  0.41666667]",0.627,0.0745915627572,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.604738888889,0.197994402901,"[ 0.59125     0.992       0.58333333  0.3525      0.76111111  0.25875
  0.69375     0.4875      0.5575      0.5575      0.97        0.445       0.5625
  0.7725      0.578       0.97        0.30625     0.252       0.66333333
  0.52125     0.64875     0.51666667  0.85777778  0.71        0.67666667
  0.42444444  0.83333333  0.43125     0.48222222  0.554       0.85333333
  0.68        0.56        0.90625     0.5975      0.31        0.7025
  0.42555556  0.82375     0.78777778  0.98625     0.61333333  0.4975
  0.48777778  0.814       0.59222222  0.5625      0.39555556  0.25333333
  0.37666667]"
9,HNU_1_deter_csa_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,SGD,0.63,0.0590668171556,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.506666666667,0.145869043247,"[ 0.45        0.51666667  0.6         0.33333333  0.83333333  0.43333333
  0.58333333  0.31666667  0.4         0.23333333  0.33333333  0.46666667
  0.53333333  0.66666667  0.58333333  0.43333333  0.4         0.45        0.35
  0.5         0.4         0.41666667  0.76666667  0.5         0.63333333
  0.46666667  0.8         0.51666667  0.46666667  0.65        0.81666667
  0.5         0.45        0.66666667  0.45        0.28333333  0.56666667
  0.4         0.7         0.61666667  0.68333333  0.71666667  0.36666667
  0.51666667  0.31666667  0.5         0.65        0.38333333  0.3
  0.41666667]",0.68675,0.0689210050585,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.586557777778,0.218909130187,"[ 0.52625     0.95        0.66333333  0.48625     0.91111111  0.24375     0.65
  0.37125     0.615       0.25625     0.956       0.46125     0.5575      0.465
  0.734       0.678       0.355       0.278       0.45111111  0.59375
  0.56875     0.60333333  0.83444444  0.716       0.63        0.38888889
  0.77111111  0.275       0.72666667  0.698       0.80111111  0.67875
  0.46444444  0.9825      0.58875     0.258       0.94375     0.49111111
  0.89875     0.94333333  0.98        0.41777778  0.2625      0.45111111
  0.676       0.35222222  0.605       0.37666667  0.44222222  0.29888889]"
