,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_csd_con_aparc150+subcort,no_norm,bag_of_edges,standard,LR,0.64,0.151143787317,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.651,0.112665187367,"[ 0.6         0.65        0.41666667  0.58333333  0.63333333  0.53333333
  0.81666667  0.63333333  0.7         0.63333333  0.65        0.63333333
  0.76666667  0.66666667  0.66666667  0.73333333  0.5         0.5
  0.76666667  0.71666667  0.63333333  0.66666667  0.9         0.61666667
  0.65        0.45        0.65        0.78333333  0.56666667  0.76666667
  0.85        0.58333333  0.55        0.91666667  0.45        0.55
  0.78333333  0.66666667  0.73333333  0.63333333  0.78333333  0.66666667
  0.63333333  0.73333333  0.56666667  0.78333333  0.53333333  0.61666667
  0.5         0.53333333]",0.665833333333,0.174544535157,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.689094444444,0.200799181897,"[ 0.97125     0.804       0.42666667  0.755       0.77333333  0.595
  0.79125     0.6775      0.56        0.69375     0.918       0.4425
  0.8725      0.5425      0.846       0.76        0.3725      0.546
  0.75777778  0.6475      0.995       0.64888889  0.96888889  0.982
  0.54111111  0.42444444  0.79888889  0.74125     0.42444444  0.208
  0.94888889  0.6125      0.46777778  0.995       0.38125     0.514       0.92
  0.83555556  0.74875     0.69111111  0.82625     0.62555556  0.5625
  0.89777778  0.992       0.87888889  0.65875     0.60666667  0.32333333
  0.48222222]"
1,HNU_1_deter_csd_con_aparc150+subcort,no_norm,bag_of_edges,standard,SGD,0.653333333333,0.0858939915115,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.584666666667,0.148505143944,"[ 0.41666667  0.66666667  0.55        0.63333333  0.48333333  0.68333333
  0.68333333  0.65        0.88333333  0.6         0.53333333  0.16666667
  0.68333333  0.55        0.83333333  0.55        0.33333333  0.45        0.7
  0.75        0.76666667  0.8         0.4         0.46666667  0.63333333
  0.45        0.58333333  0.33333333  0.65        0.5         0.86666667
  0.48333333  0.58333333  0.81666667  0.28333333  0.48333333  0.63333333
  0.71666667  0.58333333  0.61666667  0.7         0.6         0.56666667
  0.6         0.61666667  0.55        0.68333333  0.61666667  0.4         0.45      ]",0.6995,0.131320971405,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.542370555556,0.166131681243,"[ 0.54375     0.634       0.44888889  0.75625     0.64222222  0.29        0.6325
  0.57875     0.5125      0.73375     0.652       0.26875     0.65        0.5575
  0.562       0.418       0.37875     0.51        0.45555556  0.41125
  0.71375     0.62555556  0.82666667  0.948       0.42333333  0.55333333
  0.76222222  0.3425      0.46666667  0.24        0.63555556  0.61375
  0.63777778  0.63625     0.335       0.652       0.47125     0.63888889
  0.25875     0.81777778  0.56875     0.66444444  0.25875     0.46222222
  0.746       0.61222222  0.56625     0.26111111  0.32777778  0.41555556]"
2,HNU_1_deter_csd_con_aparc150+subcort,no_norm,degrees,standard,LR,0.683333333333,0.111554670205,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.714666666667,0.118022596706,"[ 0.66666667  0.66666667  0.61666667  0.75        0.75        0.65
  0.93333333  0.46666667  0.83333333  0.63333333  0.95        0.66666667
  0.8         0.73333333  0.8         0.58333333  0.53333333  0.61666667
  0.63333333  0.7         0.76666667  0.81666667  0.93333333  0.81666667
  0.66666667  0.61666667  1.          0.61666667  0.73333333  0.71666667
  0.75        0.68333333  0.61666667  0.9         0.63333333  0.53333333
  0.81666667  0.66666667  0.83333333  0.73333333  0.86666667  0.71666667
  0.65        0.8         0.53333333  0.83333333  0.63333333  0.63333333
  0.56666667  0.66666667]",0.746666666667,0.158195066334,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.769712777778,0.156061971963,"[ 0.845       0.85        0.63222222  0.83        0.89111111  0.51375
  0.99875     0.54125     0.51125     0.58125     1.          0.53875     0.79
  0.85375     0.93        1.          0.62125     0.634       0.81        0.8475
  0.85125     0.66666667  0.99        0.96        0.77333333  0.66333333
  1.          0.73625     0.98333333  0.716       0.83777778  0.7625
  0.70222222  0.96875     0.49125     0.584       0.8775      0.72666667
  0.89375     0.87888889  0.99125     0.86        0.6325      0.90111111
  0.754       0.69888889  0.66125     0.58555556  0.51222222  0.60555556]"
3,HNU_1_deter_csd_con_aparc150+subcort,no_norm,degrees,standard,SGD,0.7,0.0948683298051,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.675333333333,0.117153270927,"[ 0.75        0.68333333  0.55        0.66666667  0.71666667  0.31666667
  0.83333333  0.68333333  0.73333333  0.56666667  0.95        0.51666667
  0.81666667  0.75        0.78333333  0.55        0.48333333  0.58333333
  0.6         0.65        0.71666667  0.76666667  0.71666667  0.83333333
  0.66666667  0.63333333  0.95        0.61666667  0.7         0.71666667
  0.6         0.71666667  0.55        0.63333333  0.71666667  0.51666667
  0.68333333  0.66666667  0.83333333  0.86666667  0.6         0.78333333
  0.63333333  0.71666667  0.73333333  0.61666667  0.55        0.65
  0.58333333  0.61666667]",0.804944444444,0.162017603067,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.760671666667,0.157123306702,"[ 0.86875     0.694       0.63888889  0.9825      0.85888889  0.5375
  0.98875     0.4775      0.6175      0.43375     1.          0.7025
  0.80625     0.87375     0.83        0.916       0.63875     0.612
  0.66888889  0.73875     0.99375     0.57        0.95555556  0.936
  0.83777778  0.72333333  0.99444444  0.81875     0.97888889  0.784
  0.91111111  0.67        0.67444444  0.8425      0.47875     0.566       0.765
  0.82888889  0.82375     0.89777778  0.86875     0.78111111  0.61375
  0.79444444  0.876       0.82888889  0.655       0.6         0.40777778
  0.67222222]"
4,HNU_1_deter_csd_con_aparc150+subcort,no_norm,closeness_centrality,standard,LR,0.54,0.0928559218479,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.613,0.131288063264,"[ 0.6         0.68333333  0.71666667  0.63333333  0.58333333  0.56666667
  0.71666667  0.56666667  0.56666667  0.61666667  0.66666667  0.58333333
  0.55        0.68333333  0.86666667  0.66666667  0.31666667  0.61666667
  0.75        0.4         0.56666667  0.65        0.73333333  0.81666667
  0.53333333  0.28333333  0.6         0.65        0.51666667  0.66666667
  0.93333333  0.45        0.7         0.58333333  0.65        0.61666667
  0.63333333  0.68333333  0.76666667  0.63333333  0.61666667  0.68333333
  0.6         0.55        0.83333333  0.63333333  0.36666667  0.58333333
  0.3         0.46666667]",0.591138888889,0.128022000906,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.665013055556,0.167911058642,"[ 0.96625     0.93        0.72333333  0.714375    0.65        0.628125
  0.765       0.6825      0.395       0.67        0.658       0.74875
  0.66375     0.611875    0.899       0.868       0.28375     0.634
  0.71055556  0.6075      0.8025      0.62777778  0.79777778  0.87
  0.74555556  0.16222222  0.77111111  0.6225      0.475       0.75
  0.96333333  0.4475      0.82888889  0.6125      0.449375    0.514
  0.63875     0.79666667  0.700625    0.655       0.7375      0.69333333
  0.6325      0.62777778  0.898       0.70444444  0.60125     0.48444444
  0.30444444  0.52611111]"
5,HNU_1_deter_csd_con_aparc150+subcort,no_norm,closeness_centrality,standard,SGD,0.56,0.124988888395,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.585333333333,0.125682138747,"[ 0.6         0.56666667  0.65        0.53333333  0.58333333  0.46666667
  0.66666667  0.46666667  0.61666667  0.63333333  0.58333333  0.55
  0.66666667  0.6         0.65        0.63333333  0.3         0.61666667
  0.75        0.45        0.61666667  0.66666667  0.73333333  0.66666667
  0.65        0.18333333  0.65        0.36666667  0.66666667  0.58333333
  0.93333333  0.46666667  0.73333333  0.56666667  0.55        0.51666667
  0.6         0.63333333  0.78333333  0.7         0.65        0.65
  0.56666667  0.7         0.41666667  0.53333333  0.35        0.51666667
  0.53333333  0.5       ]",0.649833333333,0.151959053736,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.718025833333,0.121561644996,"[ 0.9525      0.876       0.65666667  0.706875    0.83666667  0.689375
  0.8875      0.69375     0.52375     0.595       0.744       0.725       0.72
  0.668125    0.775       0.862       0.57        0.656       0.71277778
  0.87        0.88        0.62        0.75333333  0.824       0.81888889
  0.49222222  0.84444444  0.54375     0.725       0.776       0.94222222
  0.5575      0.84888889  0.685       0.500625    0.582       0.71125
  0.73222222  0.669375    0.77277778  0.66        0.86666667  0.6975
  0.77444444  0.894       0.74111111  0.60875     0.54222222  0.52333333
  0.59277778]"
6,HNU_1_deter_csd_con_aparc150+subcort,no_norm,betweenness_centrality,standard,LR,0.68,0.137598449604,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.628333333333,0.130735101127,"[ 0.46666667  0.5         0.65        0.76666667  0.58333333  0.85
  0.83333333  0.51666667  0.48333333  0.61666667  0.78333333  0.65
  0.76666667  0.7         0.55        0.48333333  0.6         0.6         0.8
  0.56666667  0.75        0.71666667  0.46666667  0.73333333  0.55
  0.36666667  0.65        0.58333333  0.8         0.5         0.48333333
  0.58333333  0.55        0.63333333  0.45        0.9         0.63333333
  0.76666667  0.66666667  0.71666667  0.5         0.56666667  0.5
  0.78333333  0.85        0.53333333  0.41666667  0.8         0.51666667
  0.68333333]",0.752305555556,0.153161276252,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.694821111111,0.178467959842,"[ 0.6725      0.838       0.67555556  1.          0.60777778  0.9125      0.865
  0.58375     0.4275      0.71        0.888       0.74        0.93375
  0.82625     0.436       0.348       0.68125     0.568       0.93        0.485
  0.9525      0.81777778  0.59777778  0.716       0.64666667  0.40444444
  0.71777778  0.59625     0.84555556  0.722       0.52333333  0.8225
  0.54444444  0.75625     0.27625     0.91        0.67        0.93        0.7275
  0.79444444  0.46875     0.61555556  0.555       0.85444444  0.922
  0.62888889  0.475       0.87333333  0.43333333  0.81444444]"
7,HNU_1_deter_csd_con_aparc150+subcort,no_norm,betweenness_centrality,standard,SGD,0.716666666667,0.11105554166,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.626333333333,0.125303631232,"[ 0.55        0.53333333  0.48333333  0.75        0.6         0.71666667
  0.71666667  0.55        0.4         0.63333333  0.75        0.63333333
  0.75        0.71666667  0.61666667  0.45        0.61666667  0.58333333
  0.8         0.56666667  0.65        0.7         0.6         0.81666667
  0.58333333  0.41666667  0.71666667  0.61666667  0.8         0.5         0.5
  0.56666667  0.46666667  0.63333333  0.43333333  0.88333333  0.63333333
  0.75        0.68333333  0.73333333  0.46666667  0.63333333  0.55
  0.78333333  0.88333333  0.46666667  0.41666667  0.8         0.53333333
  0.68333333]",0.765166666667,0.14030185162,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.700285,0.163861679833,"[ 0.7025      0.846       0.60333333  0.97125     0.57666667  0.8675
  0.87125     0.53375     0.3875      0.655       0.914       0.665
  0.90375     0.79625     0.456       0.362       0.70875     0.714
  0.89444444  0.57625     0.89125     0.80333333  0.73777778  0.69
  0.67666667  0.46666667  0.78444444  0.79625     0.83333333  0.716
  0.58777778  0.7525      0.54444444  0.74        0.28        0.916       0.645
  0.93        0.69875     0.79666667  0.5325      0.59666667  0.6         0.93
  0.914       0.55888889  0.52125     0.86111111  0.57222222  0.63555556]"
8,HNU_1_deter_csd_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,LR,0.54,0.077888809637,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.548,0.128480002767,"[ 0.41666667  0.55        0.66666667  0.31666667  0.61666667  0.33333333
  0.7         0.45        0.65        0.58333333  0.51666667  0.5         0.45
  0.63333333  0.58333333  0.6         0.38333333  0.48333333  0.56666667
  0.6         0.6         0.4         0.5         0.51666667  0.7
  0.41666667  0.7         0.5         0.41666667  0.55        0.75        0.65
  0.65        0.71666667  0.56666667  0.23333333  0.71666667  0.5
  0.78333333  0.7         0.78333333  0.6         0.6         0.53333333
  0.53333333  0.53333333  0.53333333  0.41666667  0.25        0.45      ]",0.548361111111,0.0899754081629,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.597759444444,0.211810571715,"[ 0.55375     0.98        0.62555556  0.38625     0.65        0.22875
  0.77875     0.32875     0.43125     0.6125      0.986       0.375
  0.55625     0.725       0.606       0.928       0.32        0.284
  0.58777778  0.63        0.81        0.62888889  0.52555556  0.812
  0.76777778  0.42333333  0.83111111  0.515       0.36222222  0.478
  0.79222222  0.79125     0.59444444  0.845       0.4525      0.234
  0.74875     0.48        0.83875     0.90333333  0.99        0.61        0.5675
  0.36333333  0.824       0.59555556  0.52875     0.36222222  0.19333333
  0.44555556]"
9,HNU_1_deter_csd_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,SGD,0.563333333333,0.0561743318212,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.527666666667,0.146689770907,"[ 0.41666667  0.33333333  0.73333333  0.31666667  0.73333333  0.48333333
  0.63333333  0.36666667  0.58333333  0.55        0.38333333  0.58333333
  0.41666667  0.63333333  0.63333333  0.36666667  0.38333333  0.3         0.5
  0.58333333  0.5         0.38333333  0.85        0.43333333  0.7
  0.41666667  0.66666667  0.65        0.55        0.36666667  0.8         0.45
  0.63333333  0.66666667  0.58333333  0.28333333  0.51666667  0.5
  0.61666667  0.65        0.65        0.75        0.75        0.5
  0.36666667  0.58333333  0.53333333  0.4         0.21666667  0.48333333]",0.604111111111,0.0801939008179,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.585744444444,0.217247248842,"[ 0.61375     0.79        0.68444444  0.46625     0.77555556  0.2175
  0.71875     0.21875     0.4025      0.485       1.          0.5275
  0.45875     0.745       0.596       0.982       0.285       0.15
  0.46666667  0.72        0.77875     0.46444444  0.76444444  0.94
  0.74333333  0.45666667  0.70666667  0.70375     0.49555556  0.568
  0.84333333  0.51        0.53333333  0.7775      0.46625     0.272       0.6275
  0.39333333  0.86875     0.86333333  0.895       0.77222222  0.345
  0.36777778  0.742       0.66333333  0.55375     0.29        0.27777778
  0.3       ]"
