,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_deter_dti_con_aparc150+subcort,no_norm,bag_of_edges,standard,LR,0.63,0.144683562761,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.556666666667,0.142009389361,"[ 0.51666667  0.56666667  0.5         0.53333333  0.66666667  0.51666667
  0.53333333  0.75        0.35        0.7         0.66666667  0.5
  0.81666667  0.58333333  0.53333333  0.31666667  0.26666667  0.56666667
  0.78333333  0.38333333  0.5         0.5         0.56666667  0.66666667
  0.66666667  0.25        0.28333333  0.63333333  0.65        0.63333333
  0.76666667  0.85        0.5         0.56666667  0.38333333  0.43333333
  0.51666667  0.61666667  0.75        0.63333333  0.58333333  0.63333333
  0.46666667  0.46666667  0.7         0.7         0.38333333  0.6
  0.36666667  0.51666667]",0.591166666667,0.0992921164178,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.636433888889,0.216746203912,"[ 0.7475      0.72        0.61777778  0.64625     0.66666667  0.64        0.60375
  0.7825      0.42625     0.715       0.854       0.055       0.52125
  0.50625     0.55        0.318       0.20875     0.478       0.93777778
  0.3575      0.90875     0.65555556  0.75777778  0.978       0.71333333
  0.28666667  0.78777778  0.63        0.67555556  0.62        0.81888889
  0.77        0.41444444  0.95125     0.43125     0.738       0.8375
  0.76444444  0.745       0.74888889  0.9325      0.76777778  0.72375
  0.70111111  1.          0.36222222  0.64125     0.58        0.09444444
  0.43333333]"
1,HNU_1_deter_dti_con_aparc150+subcort,no_norm,bag_of_edges,standard,SGD,0.64,0.107289846263,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.553,0.141566238913,"[ 0.56666667  0.61666667  0.46666667  0.5         0.68333333  0.4         0.5
  0.65        0.41666667  0.73333333  0.68333333  0.5         0.8
  0.48333333  0.56666667  0.46666667  0.31666667  0.46666667  0.9
  0.43333333  0.48333333  0.58333333  0.61666667  0.58333333  0.66666667
  0.25        0.38333333  0.53333333  0.63333333  0.55        0.8
  0.63333333  0.48333333  0.58333333  0.45        0.5         0.46666667
  0.66666667  0.68333333  0.75        0.73333333  0.58333333  0.38333333
  0.43333333  0.58333333  0.71666667  0.33333333  0.71666667  0.25
  0.46666667]",0.675444444444,0.14384765604,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.585448333333,0.23511105486,"[ 0.61125     0.9         0.40777778  0.83        0.83555556  0.4275
  0.57875     0.645       0.375       0.74375     0.926       0.275       0.7775
  0.40375     0.752       0.47        0.25125     0.33        0.94333333
  0.2425      0.70625     0.52888889  0.63888889  0.75        0.88
  0.24777778  0.4         0.77125     0.67666667  0.132       0.92444444
  0.73        0.34222222  0.4075      0.44875     0.916       0.45
  0.70333333  0.64375     0.76444444  0.80125     0.70111111  0.39125
  0.37555556  0.986       0.68        0.5425      0.65111111  0.
  0.35555556]"
2,HNU_1_deter_dti_con_aparc150+subcort,no_norm,degrees,standard,LR,0.71,0.0734846922835,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.727333333333,0.117177927387,"[ 0.58333333  0.7         0.63333333  0.66666667  0.81666667  0.63333333
  0.81666667  0.7         0.83333333  0.63333333  0.95        0.68333333
  0.76666667  0.78333333  0.86666667  0.68333333  0.48333333  0.63333333
  0.73333333  0.8         0.66666667  0.83333333  0.95        0.75
  0.61666667  0.51666667  0.8         0.61666667  0.71666667  0.78333333
  0.88333333  0.75        0.56666667  0.73333333  0.76666667  0.6         0.9
  0.63333333  0.81666667  0.86666667  0.85        0.83333333  0.78333333
  0.78333333  0.75        0.78333333  0.71666667  0.76666667  0.41666667
  0.51666667]",0.716972222222,0.0501394967646,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.786607222222,0.166235904629,"[ 0.76625     0.916       0.66555556  0.84125     0.93666667  0.80875
  0.93125     0.81375     0.605       0.67375     0.998       0.6125
  0.77375     0.7475      0.912       1.          0.43125     0.524
  0.91666667  0.86875     0.89125     0.67777778  0.99444444  0.956
  0.82777778  0.49        0.93333333  0.6525      0.83333333  0.712
  0.98666667  0.89        0.68888889  0.88375     0.51875     0.478       0.955
  0.76111111  0.885       0.99111111  0.9825      0.92        0.7375
  0.92777778  0.972       0.73333333  0.72125     0.66888889  0.42555556
  0.49222222]"
3,HNU_1_deter_dti_con_aparc150+subcort,no_norm,degrees,standard,SGD,0.706666666667,0.0833999733546,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.684333333333,0.117350850965,"[ 0.63333333  0.66666667  0.7         0.68333333  0.68333333  0.7
  0.88333333  0.63333333  0.76666667  0.55        0.83333333  0.63333333
  0.83333333  0.78333333  0.9         0.68333333  0.56666667  0.66666667
  0.66666667  0.71666667  0.63333333  0.75        0.8         0.56666667
  0.56666667  0.33333333  0.6         0.73333333  0.66666667  0.78333333
  0.93333333  0.81666667  0.55        0.5         0.78333333  0.5
  0.81666667  0.61666667  0.85        0.65        0.73333333  0.76666667
  0.6         0.71666667  0.63333333  0.56666667  0.6         0.81666667
  0.56666667  0.58333333]",0.766694444444,0.0992962272231,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.719011666667,0.192432687854,"[ 0.92125     0.96        0.67444444  0.7025      0.90777778  0.775
  0.99875     0.7775      0.54875     0.61875     0.932       0.53125
  0.80625     0.74625     0.716       0.996       0.47375     0.442
  0.94111111  0.70375     0.9025      0.66666667  0.96333333  0.65
  0.76444444  0.36888889  0.79555556  0.68875     0.72555556  0.67
  0.98222222  0.8625      0.63222222  0.1375      0.53625     0.424       0.89
  0.70888889  0.775       0.97111111  0.8525      0.75777778  0.67
  0.84111111  0.926       0.60111111  0.5625      0.68        0.31444444
  0.45666667]"
4,HNU_1_deter_dti_con_aparc150+subcort,no_norm,closeness_centrality,standard,LR,0.52,0.135973853696,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.529666666667,0.106212052047,"[ 0.41666667  0.55        0.65        0.53333333  0.53333333  0.5         0.45
  0.7         0.45        0.53333333  0.7         0.56666667  0.43333333
  0.51666667  0.65        0.73333333  0.31666667  0.55        0.48333333
  0.55        0.4         0.71666667  0.53333333  0.65        0.53333333
  0.28333333  0.6         0.61666667  0.46666667  0.56666667  0.73333333
  0.28333333  0.56666667  0.53333333  0.63333333  0.6         0.48333333
  0.55        0.56666667  0.55        0.43333333  0.56666667  0.51666667
  0.51666667  0.55        0.48333333  0.38333333  0.58333333  0.4
  0.36666667]",0.577416666667,0.143145322429,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.569404722222,0.178353991362,"[ 0.73375     0.722       0.53        0.5125      0.8         0.6125
  0.59125     0.805625    0.52125     0.54125     0.738       0.67        0.56625
  0.4225      0.482       0.833       0.22        0.574       0.40222222
  0.62        0.51125     0.72555556  0.52        0.744       0.83222222
  0.01555556  0.70555556  0.40375     0.53111111  0.59        0.88277778
  0.65375     0.64222222  0.10125     0.36        0.598       0.63125
  0.74666667  0.6125      0.49        0.6275      0.61666667  0.43375
  0.61444444  0.72        0.51111111  0.45625     0.64111111  0.47055556
  0.18333333]"
5,HNU_1_deter_dti_con_aparc150+subcort,no_norm,closeness_centrality,standard,SGD,0.563333333333,0.138001610297,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.499666666667,0.133478670789,"[ 0.46666667  0.61666667  0.63333333  0.4         0.66666667  0.35        0.35
  0.68333333  0.68333333  0.51666667  0.58333333  0.4         0.48333333
  0.41666667  0.45        0.51666667  0.33333333  0.3         0.6
  0.53333333  0.4         0.73333333  0.55        0.48333333  0.6
  0.13333333  0.63333333  0.45        0.51666667  0.31666667  0.75
  0.56666667  0.38333333  0.48333333  0.45        0.46666667  0.7         0.7
  0.58333333  0.41666667  0.43333333  0.48333333  0.53333333  0.43333333
  0.58333333  0.53333333  0.41666667  0.6         0.51666667  0.15      ]",0.633444444444,0.131074688915,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.650834722222,0.175167392479,"[ 0.9675      0.812       0.63333333  0.57375     0.8         0.72375
  0.62375     0.856875    0.4975      0.58125     0.798       0.71        0.5875
  0.57375     0.704       0.833       0.27625     0.702       0.61444444
  0.8225      0.57875     0.71888889  0.59888889  0.762       0.86333333
  0.06777778  0.86888889  0.49625     0.67888889  0.686       0.88944444
  0.74875     0.8         0.275       0.43        0.698       0.6625      0.82
  0.69625     0.58888889  0.70625     0.68        0.5125      0.69777778
  0.87        0.55111111  0.465       0.62444444  0.51166667  0.30333333]"
6,HNU_1_deter_dti_con_aparc150+subcort,no_norm,betweenness_centrality,standard,LR,0.543333333333,0.099777530314,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.506666666667,0.163095064303,"[ 0.38333333  0.36666667  0.48333333  0.11666667  0.48333333  0.73333333
  0.58333333  0.76666667  0.66666667  0.75        0.4         0.73333333
  0.5         0.55        0.73333333  0.46666667  0.63333333  0.45
  0.68333333  0.48333333  0.33333333  0.53333333  0.15        0.38333333
  0.6         0.33333333  0.58333333  0.15        0.7         0.63333333
  0.46666667  0.48333333  0.6         0.33333333  0.55        0.36666667
  0.71666667  0.66666667  0.6         0.58333333  0.35        0.53333333
  0.35        0.58333333  0.3         0.4         0.36666667  0.71666667
  0.35        0.65      ]",0.599111111111,0.117652895008,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.4829325,0.223298623996,"[ 0.635       0.142       0.39        0.0475      0.37555556  0.76375
  0.6875      0.8375      0.645       0.515       0.428       0.67125
  0.4625      0.64375     0.938       0.324       0.55875     0.112
  0.79333333  0.30875     0.443125    0.37111111  0.04666667  0.182
  0.68111111  0.33555556  0.62555556  0.0425      0.80222222  0.46
  0.49111111  0.63375     0.56111111  0.3875      0.55        0.3         0.50625
  0.68333333  0.7325      0.63166667  0.17875     0.46444444  0.34125
  0.65666667  0.58        0.30222222  0.25375     0.80555556  0.21333333
  0.60444444]"
7,HNU_1_deter_dti_con_aparc150+subcort,no_norm,betweenness_centrality,standard,SGD,0.563333333333,0.10295630141,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.516333333333,0.137294897534,"[ 0.4         0.41666667  0.45        0.41666667  0.28333333  0.81666667
  0.66666667  0.7         0.38333333  0.63333333  0.56666667  0.46666667
  0.65        0.63333333  0.16666667  0.53333333  0.56666667  0.83333333
  0.71666667  0.53333333  0.7         0.45        0.51666667  0.4
  0.58333333  0.45        0.56666667  0.28333333  0.6         0.55
  0.66666667  0.35        0.5         0.45        0.4         0.46666667
  0.6         0.46666667  0.36666667  0.66666667  0.3         0.58333333
  0.38333333  0.51666667  0.43333333  0.51666667  0.46666667  0.71666667
  0.5         0.53333333]",0.577027777778,0.109944977821,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.45233,0.213004241875,"[ 0.60375     0.114       0.36444444  0.11375     0.37555556  0.75        0.54375
  0.8375      0.62        0.51        0.828       0.71125     0.4625
  0.6175      0.58        0.322       0.355       0.092       0.77111111
  0.28875     0.7525      0.33888889  0.15555556  0.17        0.49222222
  0.25111111  0.60777778  0.0775      0.72111111  0.464       0.46222222
  0.61375     0.49111111  0.36875     0.5575      0.354       0.4625
  0.51222222  0.61875     0.60277778  0.10875     0.45666667  0.34125
  0.46111111  0.21        0.28444444  0.2025      0.82555556  0.16666667
  0.62444444]"
8,HNU_1_deter_dti_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,LR,0.606666666667,0.077888809637,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.584,0.145180347614,"[ 0.51666667  0.43333333  0.75        0.3         0.75        0.7         0.7
  0.66666667  0.75        0.51666667  0.6         0.65        0.43333333
  0.48333333  0.65        0.78333333  0.43333333  0.5         0.5
  0.61666667  0.56666667  0.5         0.8         0.53333333  0.68333333
  0.31666667  0.63333333  0.8         0.48333333  0.65        0.91666667
  0.61666667  0.65        0.71666667  0.5         0.23333333  0.58333333
  0.55        0.75        0.51666667  0.81666667  0.6         0.55        0.6
  0.51666667  0.55        0.63333333  0.56666667  0.31666667  0.31666667]",0.608388888889,0.0964136455559,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.656479444444,0.198936189193,"[ 0.885       1.          0.74        0.53875     0.80444444  0.75125
  0.825       0.75125     0.52        0.475       0.972       0.60875
  0.535       0.49625     0.656       0.994       0.40375     0.382
  0.58888889  0.695       0.755       0.6         0.87        0.658
  0.82444444  0.25888889  0.76777778  0.8625      0.43555556  0.552
  0.96444444  0.8675      0.49666667  0.66625     0.4725      0.29        0.6275
  0.63333333  0.86375     0.62555556  0.9325      0.61888889  0.54625
  0.66444444  0.954       0.64222222  0.645       0.59888889  0.36
  0.14777778]"
9,HNU_1_deter_dti_con_aparc150+subcort,no_norm,eigenvector_centrality,standard,SGD,0.593333333333,0.0827311576399,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.575,0.144616350697,"[ 0.51666667  0.43333333  0.76666667  0.3         0.76666667  0.7
  0.73333333  0.63333333  0.61666667  0.51666667  0.6         0.6
  0.46666667  0.51666667  0.56666667  0.68333333  0.43333333  0.45
  0.51666667  0.66666667  0.56666667  0.55        0.8         0.41666667
  0.68333333  0.35        0.66666667  0.75        0.51666667  0.56666667
  0.91666667  0.61666667  0.66666667  0.75        0.51666667  0.21666667
  0.6         0.5         0.71666667  0.61666667  0.85        0.63333333
  0.56666667  0.56666667  0.41666667  0.53333333  0.55        0.55        0.3
  0.31666667]",0.624583333333,0.107062416894,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.687492777778,0.190345520772,"[ 0.85875     1.          0.79        0.5375      0.85111111  0.8075
  0.80625     0.82        0.51        0.55        0.996       0.61        0.5575
  0.5675      0.73        0.996       0.45875     0.394       0.60666667
  0.74875     0.76875     0.64888889  0.89777778  0.728       0.86333333
  0.31222222  0.78        0.895       0.51777778  0.518       0.97333333
  0.83        0.6         0.76375     0.57        0.376       0.66
  0.63333333  0.8325      0.62777778  0.9625      0.66888889  0.60375
  0.67333333  0.984       0.67444444  0.685       0.61666667  0.33777778
  0.17555556]"
