,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_ROIv_scale125,no_norm,bag_of_edges,standard,LR,0.606666666667,0.220504472114,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.492333333333,0.177238383102,"[ 0.46666667  0.53333333  0.51666667  0.48333333  0.61666667  0.41666667
  0.7         0.36666667  0.66666667  0.6         0.35        0.5         0.8
  0.66666667  0.35        0.48333333  0.28333333  0.55        0.18333333
  0.61666667  0.56666667  0.28333333  0.6         0.61666667  0.5
  0.11666667  0.78333333  0.48333333  0.5         0.68333333  0.78333333
  0.58333333  0.61666667  0.51666667  0.23333333  0.5         0.35
  0.61666667  0.71666667  0.63333333  0.55        0.31666667  0.26666667
  0.33333333  0.05        0.5         0.38333333  0.66666667  0.11666667
  0.6       ]",0.580333333333,0.250607065412,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.515026666667,0.236071830455,"[ 0.7375      0.466       0.60666667  0.6025      0.56111111  0.69375
  0.57875     0.52125     0.19        0.54125     0.532       0.735       0.9125
  0.64        0.366       0.314       0.0375      0.592       0.13555556
  0.635       0.50625     0.05555556  0.75888889  0.616       0.64666667
  0.06111111  0.94666667  0.46125     0.63        0.806       0.76777778
  0.67375     0.81444444  0.425       0.06625     0.464       0.3025
  0.72777778  0.5075      0.88555556  0.65375     0.27333333  0.1675
  0.43666667  0.202       0.58444444  0.49125     0.64        0.13333333
  0.64777778]"
1,HNU_1_proba_csa_con_ROIv_scale125,no_norm,bag_of_edges,standard,SGD,0.55,0.1788854382,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.47,0.173941241675,"[ 0.56666667  0.5         0.35        0.46666667  0.55        0.4
  0.43333333  0.53333333  0.63333333  0.45        0.36666667  0.5
  0.76666667  0.48333333  0.4         0.5         0.3         0.56666667
  0.1         0.56666667  0.53333333  0.26666667  0.81666667  0.55
  0.53333333  0.23333333  0.81666667  0.41666667  0.4         0.73333333
  0.71666667  0.43333333  0.5         0.5         0.1         0.45        0.35
  0.58333333  0.51666667  0.73333333  0.6         0.26666667  0.3
  0.38333333  0.08333333  0.46666667  0.31666667  0.66666667  0.16666667
  0.63333333]",0.622138888889,0.131326435709,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.597104444444,0.239608293696,"[ 0.90375     0.572       0.32444444  0.46625     0.62444444  0.77625
  0.8125      0.5625      0.033125    0.86125     0.834       0.88875     1.
  0.715625    0.636       0.666       0.525       0.512       0.2         0.826875
  0.85625     0.46888889  0.425       0.261       0.70555556  0.42888889
  0.89944444  0.5775      0.82277778  0.5         0.44777778  0.915625
  0.86666667  0.25875     0.14875     0.612       0.7725      0.83
  0.905625    0.51444444  0.616875    0.44111111  0.19375     0.47333333
  0.11        0.66444444  0.3575      0.65333333  0.57444444  0.81222222]"
2,HNU_1_proba_csa_con_ROIv_scale125,no_norm,degrees,standard,LR,0.68,0.156843871414,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.637666666667,0.13923640967,"[ 0.45        0.55        0.46666667  0.81666667  0.53333333  0.65        1.
  0.5         0.8         0.58333333  0.71666667  0.63333333  0.83333333
  0.66666667  0.78333333  0.63333333  0.63333333  0.55        0.5
  0.66666667  0.55        0.61666667  0.71666667  0.83333333  0.53333333
  0.5         0.95        0.71666667  0.8         0.65        0.51666667
  0.66666667  0.5         0.56666667  0.68333333  0.71666667  0.8
  0.61666667  0.81666667  0.68333333  0.63333333  0.38333333  0.43333333
  0.78333333  0.5         0.7         0.38333333  0.55        0.45
  0.66666667]",0.737527777778,0.143077732909,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.606762222222,0.195253796549,"[ 0.80125     0.27        0.41222222  0.83125     0.21333333  0.505
  0.97375     0.64625     0.545       0.58625     0.568       0.52875
  0.77875     0.65625     0.992       0.506       0.67375     0.6         0.34
  0.695       0.68875     0.34555556  0.52333333  0.814       0.77666667
  0.53444444  0.94555556  0.415       0.69444444  0.926       0.55777778
  0.7025      0.69222222  0.735       0.74        0.756       0.7575
  0.68777778  0.55875     0.76777778  0.575       0.32666667  0.28375
  0.72333333  0.19        0.68777778  0.2575      0.55222222  0.47666667
  0.52333333]"
3,HNU_1_proba_csa_con_ROIv_scale125,no_norm,degrees,standard,SGD,0.693333333333,0.133583099397,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.641666666667,0.145382636897,"[ 0.58333333  0.6         0.46666667  0.78333333  0.51666667  0.58333333
  0.98333333  0.5         0.78333333  0.65        0.53333333  0.56666667
  0.83333333  0.66666667  0.8         0.48333333  0.65        0.56666667
  0.48333333  0.78333333  0.66666667  0.38333333  0.65        0.83333333
  0.53333333  0.58333333  1.          0.7         0.71666667  0.8         0.55
  0.66666667  0.65        0.5         0.68333333  0.71666667  0.83333333
  0.66666667  0.75        0.83333333  0.61666667  0.55        0.38333333
  0.75        0.41666667  0.71666667  0.31666667  0.63333333  0.51666667
  0.65      ]",0.752694444444,0.147072554951,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.664087222222,0.174730995453,"[ 0.7725      0.598       0.40222222  0.805       0.44222222  0.6675      0.995
  0.695       0.585       0.61375     0.854       0.64625     0.955
  0.69125     1.          0.428       0.6425      0.6         0.24888889
  0.7175      0.7025      0.32555556  0.77777778  0.84        0.74444444
  0.64111111  1.          0.73        0.74222222  0.914       0.63222222
  0.72        0.57888889  0.70375     0.65375     0.736       0.8425
  0.71444444  0.5525      0.80111111  0.69375     0.54111111  0.5125
  0.71555556  0.362       0.77777778  0.29375     0.52111111  0.46222222
  0.61222222]"
4,HNU_1_proba_csa_con_ROIv_scale125,no_norm,closeness_centrality,standard,LR,0.576666666667,0.155134350376,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.606333333333,0.146813941209,"[ 0.75        0.68333333  0.18333333  0.6         0.68333333  0.31666667
  0.96666667  0.58333333  0.8         0.51666667  0.78333333  0.48333333
  0.73333333  0.65        0.81666667  0.5         0.48333333  0.55        0.5
  0.78333333  0.48333333  0.58333333  0.73333333  0.68333333  0.45
  0.61666667  0.63333333  0.66666667  0.81666667  0.75        0.4         0.65
  0.58333333  0.6         0.8         0.63333333  0.6         0.48333333
  0.56666667  0.68333333  0.68333333  0.61666667  0.56666667  0.65
  0.56666667  0.68333333  0.26666667  0.46666667  0.41666667  0.61666667]",0.645277777778,0.200086304681,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.624902222222,0.182332648387,"[ 0.8025      0.738       0.22555556  0.685       0.76555556  0.5325
  0.99125     0.6075      0.71375     0.515       0.774       0.56375
  0.885       0.70875     0.924       0.396       0.6675      0.602
  0.25222222  0.625       0.51        0.76111111  0.79888889  0.852
  0.52444444  0.72111111  0.63777778  0.68        0.95111111  0.83
  0.39333333  0.44625     0.58666667  0.4275      0.8125      0.678       0.605
  0.57555556  0.38375     0.78111111  0.78        0.49444444  0.475
  0.70666667  0.27        0.70777778  0.3725      0.57555556  0.33444444
  0.59777778]"
5,HNU_1_proba_csa_con_ROIv_scale125,no_norm,closeness_centrality,standard,SGD,0.656666666667,0.126754355612,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.639333333333,0.137548375329,"[ 0.76666667  0.66666667  0.2         0.65        0.7         0.56666667
  0.88333333  0.6         0.75        0.55        0.75        0.55
  0.76666667  0.75        0.63333333  0.51666667  0.5         0.55
  0.51666667  0.96666667  0.46666667  0.68333333  0.73333333  0.66666667
  0.51666667  0.71666667  0.66666667  0.73333333  0.85        0.4         0.55
  0.56666667  0.6         0.55        0.8         0.68333333  0.7
  0.53333333  0.65        0.78333333  0.78333333  0.75        0.75
  0.76666667  0.46666667  0.71666667  0.5         0.48333333  0.46666667
  0.6       ]",0.789861111111,0.157805699798,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.706487222222,0.170104147946,"[ 0.81125     0.714       0.17222222  0.79625     0.77111111  0.6025      1.
  0.69        0.7075      0.5025      0.792       0.56125     0.9275
  0.76375     0.96        0.548       0.7725      0.668       0.38666667
  0.99125     0.44375     0.82666667  0.88333333  0.804       0.62222222
  0.74        0.72111111  0.73875     0.95777778  0.958       0.53444444
  0.74        0.62444444  0.46125     0.90375     0.698       0.74625
  0.55888889  0.55375     0.79444444  0.89375     0.71222222  0.85875
  0.77666667  0.52        0.78444444  0.645       0.60888889  0.45222222
  0.62333333]"
6,HNU_1_proba_csa_con_ROIv_scale125,no_norm,betweenness_centrality,standard,LR,0.543333333333,0.139283882772,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.443333333333,0.134701315675,"[ 0.5         0.13333333  0.3         0.7         0.43333333  0.56666667
  0.2         0.65        0.48333333  0.56666667  0.6         0.38333333
  0.56666667  0.45        0.33333333  0.45        0.3         0.28333333
  0.58333333  0.45        0.36666667  0.55        0.28333333  0.4         0.55
  0.23333333  0.46666667  0.65        0.55        0.21666667  0.48333333
  0.6         0.45        0.43333333  0.56666667  0.33333333  0.51666667
  0.48333333  0.63333333  0.38333333  0.45        0.45        0.43333333
  0.51666667  0.55        0.28333333  0.11666667  0.45        0.48333333
  0.35      ]",0.627277777778,0.258446220855,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.479618888889,0.180897191749,"[ 0.5975      0.136       0.36888889  0.76375     0.46555556  0.57125
  0.33625     0.81625     0.49375     0.4925      0.584       0.405       0.475
  0.58375     0.74        0.604       0.2725      0.106       0.80444444
  0.45375     0.37125     0.78333333  0.33333333  0.704       0.76888889
  0.28888889  0.25555556  0.36375     0.56666667  0.144       0.62333333
  0.54125     0.45777778  0.56125     0.58625     0.1         0.57625
  0.51333333  0.555       0.49666667  0.4025      0.53111111  0.36
  0.41111111  0.716       0.38222222  0.20375     0.35222222  0.46222222
  0.49888889]"
7,HNU_1_proba_csa_con_ROIv_scale125,no_norm,betweenness_centrality,standard,SGD,0.626666666667,0.185771663908,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.45,0.134494940012,"[ 0.63333333  0.25        0.38333333  0.48333333  0.31666667  0.51666667
  0.45        0.56666667  0.66666667  0.58333333  0.41666667  0.33333333
  0.45        0.38333333  0.56666667  0.51666667  0.33333333  0.61666667
  0.53333333  0.38333333  0.7         0.33333333  0.31666667  0.4
  0.43333333  0.21666667  0.31666667  0.46666667  0.63333333  0.26666667
  0.55        0.65        0.46666667  0.4         0.48333333  0.61666667
  0.61666667  0.58333333  0.55        0.3         0.4         0.43333333
  0.31666667  0.43333333  0.66666667  0.25        0.23333333  0.41666667
  0.5         0.16666667]",0.643833333333,0.227317363265,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.482781111111,0.216791004682,"[ 0.63375     0.108       0.25444444  0.96125     0.50111111  0.77625     0.34
  0.75        0.7075      0.38375     0.712       0.3875      0.825
  0.54625     0.748       0.61        0.33125     0.038       0.71555556
  0.46125     0.45625     0.80444444  0.38        0.63        0.68888889
  0.23        0.27333333  0.51875     0.74        0.052       0.62333333
  0.55        0.42666667  0.54        0.5775      0.04        0.57625
  0.53333333  0.55        0.43111111  0.3775      0.44444444  0.365
  0.38222222  0.628       0.21666667  0.1425      0.58222222  0.33222222
  0.25555556]"
8,HNU_1_proba_csa_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_proba_csa_con_ROIv_scale125,no_norm,eigenvector_centrality,standard,SGD,0.433333333333,0.0816496580928,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.366666666667,0.120185042515,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.33333333  0.33333333  0.33333333  0.33333333  0.16666667  0.33333333
  0.33333333  0.33333333  0.16666667  0.16666667  0.33333333  0.16666667
  0.5         0.33333333  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.16666667
  0.5         0.33333333  0.5         0.33333333  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.33333333  0.5         0.16666667  0.5         0.33333333  0.5         0.5
  0.5       ]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
