,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csa_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.57,0.162412369534,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.588666666667,0.147740011883,"[ 0.68333333  0.66666667  0.61666667  0.43333333  0.71666667  0.61666667
  0.85        0.65        0.56666667  0.38333333  0.58333333  0.6
  0.76666667  0.78333333  0.48333333  0.55        0.21666667  0.46666667
  0.53333333  0.83333333  0.66666667  0.48333333  0.76666667  0.65        0.65
  0.33333333  0.66666667  0.5         0.76666667  0.6         0.75
  0.68333333  0.5         0.73333333  0.35        0.65        0.65        0.5
  0.83333333  0.38333333  0.61666667  0.45        0.61666667  0.68333333
  0.33333333  0.65        0.33333333  0.71666667  0.43333333  0.48333333]",0.673944444444,0.220189673427,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.631468888889,0.187962339086,"[ 0.8575      0.776       0.51333333  0.53125     0.88        0.8025
  0.9875      0.755       0.42625     0.35125     0.652       0.8025
  0.95375     0.75375     0.806       0.558       0.15        0.424
  0.33777778  0.605       0.7675      0.51666667  0.71666667  0.594
  0.76777778  0.26111111  0.75777778  0.5175      0.95222222  0.628
  0.69666667  0.52875     0.91888889  0.535       0.6175      0.774
  0.74125     0.61555556  0.54125     0.48444444  0.4675      0.64111111
  0.40625     0.80555556  0.432       0.71666667  0.57625     0.72666667
  0.30555556  0.64      ]"
1,HNU_1_proba_csa_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.603333333333,0.187498148139,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.524333333333,0.16630661108,"[ 0.48333333  0.66666667  0.48333333  0.6         0.66666667  0.48333333
  0.78333333  0.6         0.56666667  0.48333333  0.51666667  0.8
  0.78333333  0.7         0.43333333  0.38333333  0.2         0.36666667
  0.2         0.65        0.5         0.41666667  0.71666667  0.16666667
  0.66666667  0.3         0.78333333  0.36666667  0.68333333  0.33333333
  0.73333333  0.53333333  0.55        0.6         0.48333333  0.56666667
  0.63333333  0.61666667  0.4         0.51666667  0.55        0.6         0.4
  0.78333333  0.31666667  0.55        0.28333333  0.58333333  0.18333333
  0.55      ]",0.720805555556,0.175202493077,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.597265555556,0.20725384806,"[ 0.6675      0.754       0.57222222  0.55        0.82        0.63375     0.92
  0.69875     0.38375     0.4275      0.784       0.90875     0.9075
  0.73375     0.916       0.454       0.09875     0.348       0.28222222
  0.67375     0.50375     0.53444444  0.67111111  0.456       0.73777778
  0.31444444  0.80777778  0.4825      0.87333333  0.464       0.63555556
  0.53        0.91666667  0.58875     0.61125     0.814       0.7775
  0.68888889  0.50125     0.61444444  0.52625     0.78111111  0.29875
  0.70555556  0.298       0.56222222  0.33375     0.61555556  0.05444444
  0.63      ]"
2,HNU_1_proba_csa_con_aparc68+subcort,no_norm,degrees,standard,LR,0.73,0.143139403691,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.667,0.132013888158,"[ 0.53333333  0.78333333  0.43333333  0.8         0.58333333  0.6         0.95
  0.51666667  0.83333333  0.61666667  0.8         0.51666667  0.83333333
  0.71666667  0.71666667  0.56666667  0.45        0.63333333  0.53333333
  0.68333333  0.6         0.76666667  0.81666667  0.81666667  0.65
  0.56666667  0.88333333  0.78333333  0.81666667  0.8         0.55
  0.66666667  0.51666667  0.56666667  0.8         0.7         0.81666667
  0.65        0.66666667  0.71666667  0.8         0.58333333  0.61666667
  0.81666667  0.51666667  0.73333333  0.48333333  0.51666667  0.38333333
  0.65      ]",0.736944444444,0.194739934208,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.709301111111,0.159790340002,"[ 0.65125     0.79        0.40666667  0.81875     0.74444444  0.64375
  0.9925      0.68625     0.57125     0.58625     0.992       0.46875
  0.865       0.79625     0.998       0.59        0.60125     0.598
  0.48111111  0.985       0.60125     0.67444444  0.80444444  0.876
  0.60444444  0.69333333  0.98555556  0.87        0.97111111  0.748
  0.61222222  0.71125     0.73333333  0.67375     0.5825      0.708       0.8225
  0.77222222  0.67875     0.86888889  0.9125      0.65444444  0.65375
  0.84777778  0.442       0.66333333  0.535       0.49222222  0.41111111
  0.59444444]"
3,HNU_1_proba_csa_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.723333333333,0.186964048832,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.689,0.127915336584,"[ 0.83333333  0.66666667  0.41666667  0.8         0.66666667  0.63333333
  0.93333333  0.65        0.78333333  0.56666667  0.53333333  0.53333333
  0.83333333  0.76666667  0.73333333  0.53333333  0.51666667  0.65        0.65
  0.7         0.56666667  0.73333333  0.83333333  0.73333333  0.83333333
  0.65        0.85        0.75        0.81666667  0.81666667  0.53333333
  0.75        0.63333333  0.75        0.73333333  0.53333333  0.85
  0.76666667  0.66666667  0.66666667  0.83333333  0.8         0.71666667
  0.85        0.46666667  0.81666667  0.55        0.46666667  0.41666667
  0.66666667]",0.767166666667,0.17335847396,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.719344444444,0.205683913002,"[ 0.9775      0.83        0.33555556  0.8         0.76888889  0.73        0.975
  0.9075      0.61875     0.63375     1.          0.67625     0.93375
  0.81875     0.984       0.156       0.75875     0.568       0.31555556
  0.94125     0.70875     0.66555556  0.59555556  0.7         0.76
  0.75111111  0.79555556  0.81625     0.97777778  0.922       0.54444444
  0.825       0.77888889  0.91625     0.56875     0.638       0.76875
  0.85444444  0.49875     0.75333333  0.8925      0.98666667  0.66125
  0.93666667  0.252       0.76111111  0.5475      0.44333333  0.28666667
  0.63111111]"
4,HNU_1_proba_csa_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.506666666667,0.0764489662745,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.562333333333,0.14113862374,"[ 0.51666667  0.51666667  0.18333333  0.56666667  0.5         0.5
  0.76666667  0.61666667  0.6         0.38333333  0.55        0.36666667
  0.76666667  0.75        0.63333333  0.43333333  0.51666667  0.66666667
  0.48333333  0.91666667  0.48333333  0.65        0.63333333  0.65        0.5
  0.6         0.76666667  0.56666667  0.8         0.63333333  0.35
  0.48333333  0.51666667  0.43333333  0.71666667  0.61666667  0.56666667
  0.48333333  0.58333333  0.8         0.68333333  0.53333333  0.43333333
  0.63333333  0.56666667  0.46666667  0.38333333  0.48333333  0.25
  0.61666667]",0.563916666667,0.11704325464,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.584023333333,0.202255306616,"[ 0.555       0.534       0.13777778  0.5525      0.53777778  0.57625
  0.82125     0.66875     0.6225      0.3225      0.896       0.54125     0.93
  0.77125     0.95        0.428       0.54625     0.668       0.41333333
  0.9475      0.3975      0.81111111  0.77333333  0.682       0.59666667
  0.71        0.85777778  0.455       0.86111111  0.658       0.36888889
  0.22625     0.74777778  0.425       0.7525      0.174       0.61625
  0.59111111  0.475       0.72333333  0.69625     0.51222222  0.3825
  0.68111111  0.512       0.53333333  0.31125     0.47222222  0.15555556
  0.62222222]"
5,HNU_1_proba_csa_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.553333333333,0.0951022841179,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.573666666667,0.132877972424,"[ 0.5         0.58333333  0.31666667  0.56666667  0.56666667  0.48333333
  0.66666667  0.65        0.63333333  0.45        0.73333333  0.43333333
  0.78333333  0.73333333  0.56666667  0.48333333  0.5         0.35        0.55
  0.63333333  0.46666667  0.53333333  0.7         0.63333333  0.51666667
  0.75        0.78333333  0.53333333  0.85        0.43333333  0.58333333
  0.41666667  0.65        0.41666667  0.8         0.61666667  0.53333333
  0.58333333  0.56666667  0.76666667  0.73333333  0.65        0.33333333
  0.73333333  0.61666667  0.56666667  0.36666667  0.5         0.31666667
  0.55      ]",0.654777777778,0.132042320423,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.647981111111,0.190142682004,"[ 0.535       0.704       0.23888889  0.6375      0.76333333  0.61875
  0.945       0.61375     0.7525      0.31875     0.876       0.50625
  0.9225      0.86125     0.92        0.412       0.605       0.5
  0.49333333  0.5         0.44875     0.90888889  0.81777778  0.618
  0.78444444  0.82        0.84        0.5025      0.93888889  0.77
  0.55666667  0.70875     0.65333333  0.6775      0.825       0.174
  0.61875     0.64333333  0.43875     0.77888889  0.97375     0.74222222
  0.47375     0.67888889  0.702       0.60777778  0.55375     0.55555556
  0.24        0.62333333]"
6,HNU_1_proba_csa_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,HNU_1_proba_csa_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.52,0.143913554299,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.469,0.132790980283,"[ 0.36666667  0.35        0.51666667  0.53333333  0.33333333  0.31666667
  0.51666667  0.35        0.65        0.31666667  0.18333333  0.56666667
  0.41666667  0.61666667  0.36666667  0.6         0.56666667  0.55
  0.43333333  0.55        0.66666667  0.51666667  0.56666667  0.58333333
  0.45        0.43333333  0.51666667  0.61666667  0.38333333  0.63333333
  0.45        0.38333333  0.5         0.38333333  0.18333333  0.31666667
  0.35        0.65        0.48333333  0.7         0.51666667  0.46666667
  0.43333333  0.48333333  0.56666667  0.5         0.25        0.3
  0.78333333  0.28333333]",0.548055555556,0.212999304468,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.51876,0.192028165273,"[ 0.4925      0.196       0.51666667  0.48875     0.75888889  0.71625
  0.645       0.49375     0.60375     0.2775      0.444       0.59        0.525
  0.1925      0.392       0.92        0.675       0.734       0.38777778
  0.4325      0.48625     0.65        0.86        0.694       0.45444444
  0.27444444  0.40111111  0.54125     0.47666667  0.464       0.84666667
  0.515       0.50555556  0.48125     0.2375      0.364       0.40875
  0.52888889  0.9325      0.73555556  0.66625     0.35333333  0.57375
  0.57777778  0.25        0.39555556  0.165       0.38111111  0.91111111
  0.32444444]"
8,HNU_1_proba_csa_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.51,0.156560247544,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.511666666667,0.18157490037,"[ 0.36666667  0.56666667  0.65        0.66666667  0.41666667  0.33333333
  0.53333333  0.55        0.78333333  0.73333333  0.7         0.55        0.45
  0.36666667  0.51666667  0.45        0.23333333  0.11666667  0.43333333
  0.68333333  0.61666667  0.68333333  0.46666667  0.46666667  0.56666667
  0.2         0.71666667  1.          0.41666667  0.43333333  0.43333333
  0.56666667  0.7         0.61666667  0.53333333  0.73333333  0.63333333
  0.65        0.6         0.4         0.68333333  0.3         0.51666667
  0.55        0.35        0.61666667  0.41666667  0.08333333  0.1
  0.43333333]",0.508194444444,0.205382697589,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.518534444444,0.206415262077,"[ 0.45875     0.86        0.46333333  0.84375     0.66222222  0.385       0.5875
  0.09        0.52        0.40875     0.81        0.5375      0.53625
  0.7425      0.414       0.398       0.2675      0.382       0.50555556
  0.4375      0.55        0.67333333  0.6         0.918       0.54222222
  0.36666667  0.59888889  0.76        0.70111111  0.642       0.25555556
  0.4675      0.85222222  0.74875     0.53125     0.59        0.51125
  0.73222222  0.305       0.37666667  0.8075      0.31333333  0.4075
  0.39555556  0.348       0.74666667  0.27875     0.10555556  0.
  0.49111111]"
9,HNU_1_proba_csa_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.52,0.12265579662,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.420666666667,0.178155986584,"[ 0.38333333  0.56666667  0.66666667  0.58333333  0.4         0.28333333
  0.35        0.23333333  0.66666667  0.31666667  0.73333333  0.43333333
  0.36666667  0.41666667  0.46666667  0.48333333  0.2         0.08333333
  0.23333333  0.66666667  0.46666667  0.53333333  0.58333333  0.3
  0.53333333  0.08333333  0.78333333  0.91666667  0.35        0.33333333
  0.36666667  0.55        0.66666667  0.4         0.36666667  0.41666667
  0.5         0.48333333  0.43333333  0.43333333  0.53333333  0.31666667
  0.28333333  0.23333333  0.23333333  0.4         0.2         0.16666667
  0.13333333  0.5       ]",0.513083333333,0.190843287788,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.493435555556,0.210703793789,"[ 0.36625     0.854       0.37555556  0.8675      0.68222222  0.37125
  0.5925      0.07        0.55125     0.44125     0.746       0.525
  0.46375     0.7575      0.428       0.384       0.235       0.252
  0.42222222  0.4675      0.5425      0.70111111  0.55888889  0.944       0.43
  0.36888889  0.57        0.7025      0.75333333  0.682       0.24666667
  0.46875     0.77333333  0.5125      0.5425      0.546       0.5225
  0.76777778  0.3475      0.41666667  0.6175      0.25222222  0.4175
  0.47333333  0.078       0.70333333  0.3375      0.10555556  0.
  0.43666667]"
