,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,HNU_1_proba_csd_con_aparc68+subcort,no_norm,bag_of_edges,standard,LR,0.616666666667,0.0930949336251,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.539333333333,0.125864124268,"[ 0.38333333  0.68333333  0.51666667  0.51666667  0.63333333  0.23333333
  0.68333333  0.41666667  0.6         0.66666667  0.76666667  0.46666667
  0.75        0.5         0.36666667  0.41666667  0.35        0.45
  0.51666667  0.68333333  0.66666667  0.66666667  0.51666667  0.58333333
  0.66666667  0.38333333  0.63333333  0.63333333  0.6         0.63333333
  0.51666667  0.48333333  0.5         0.61666667  0.35        0.51666667
  0.46666667  0.66666667  0.78333333  0.43333333  0.55        0.53333333
  0.5         0.58333333  0.5         0.68333333  0.5         0.35
  0.28333333  0.56666667]",0.593333333333,0.151636774629,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.558384444444,0.194891009377,"[ 0.63125     0.894       0.49222222  0.48875     0.77222222  0.3325
  0.79625     0.4975      0.26875     0.45125     0.75        0.48375
  0.83625     0.5725      0.536       0.418       0.44        0.55
  0.30777778  0.5725      0.83375     0.45333333  0.31444444  0.828
  0.85333333  0.19        0.77555556  0.43125     0.70777778  0.784
  0.66888889  0.34        0.41555556  0.6625      0.31125     0.316       0.7725
  0.75333333  0.92625     0.47444444  0.6         0.63        0.5775
  0.50333333  0.546       0.68555556  0.50875     0.41666667  0.07888889
  0.46888889]"
1,HNU_1_proba_csd_con_aparc68+subcort,no_norm,bag_of_edges,standard,SGD,0.623333333333,0.111355287257,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.52,0.148698053488,"[ 0.38333333  0.58333333  0.6         0.4         0.63333333  0.38333333
  0.73333333  0.41666667  0.43333333  0.68333333  0.73333333  0.61666667
  0.78333333  0.48333333  0.26666667  0.45        0.38333333  0.43333333
  0.55        0.43333333  0.55        0.61666667  0.35        0.41666667
  0.66666667  0.23333333  0.76666667  0.66666667  0.53333333  0.66666667
  0.46666667  0.48333333  0.58333333  0.56666667  0.26666667  0.5         0.5
  0.66666667  0.61666667  0.61666667  0.68333333  0.56666667  0.5
  0.61666667  0.5         0.61666667  0.5         0.38333333  0.
  0.51666667]",0.65375,0.160671574768,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.515281111111,0.187426068852,"[ 0.63625     0.706       0.54555556  0.3225      0.71888889  0.50875     0.87
  0.41125     0.465       0.40375     0.602       0.57625     0.8125      0.365
  0.43        0.434       0.39125     0.514       0.51888889  0.41625
  0.7075      0.41222222  0.16555556  0.414       0.82222222  0.17333333
  0.75666667  0.41875     0.56        0.752       0.60777778  0.67875
  0.54222222  0.3125      0.19        0.124       0.6625      0.64333333
  0.59125     0.49444444  0.60875     0.57        0.7275      0.59666667
  0.46        0.69666667  0.62625     0.47888889  0.          0.32222222]"
2,HNU_1_proba_csd_con_aparc68+subcort,no_norm,degrees,standard,LR,0.7,0.193218356616,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.684333333333,0.121993169208,"[ 0.8         0.7         0.65        0.63333333  0.65        0.56666667
  0.91666667  0.46666667  0.73333333  0.61666667  0.9         0.66666667
  0.78333333  0.75        0.63333333  0.58333333  0.66666667  0.51666667
  0.65        0.78333333  0.51666667  0.71666667  0.83333333  0.81666667
  0.71666667  0.51666667  0.9         0.65        0.73333333  0.86666667
  0.61666667  0.71666667  0.6         0.88333333  0.65        0.63333333
  0.81666667  0.7         0.65        0.66666667  0.8         0.68333333
  0.6         0.8         0.4         0.81666667  0.51666667  0.65
  0.41666667  0.66666667]",0.721388888889,0.200433846573,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.721018888889,0.15249346904,"[ 0.6175      0.816       0.56888889  0.74875     0.84111111  0.7275
  0.99875     0.53125     0.51625     0.615       1.          0.4475      0.81
  0.85875     0.8         0.898       0.61        0.618       0.53333333
  0.8125      0.76375     0.67222222  0.75555556  0.92        0.68444444
  0.77444444  1.          0.865       0.99777778  0.752       0.55888889
  0.60375     0.73222222  0.79        0.57375     0.498       0.82
  0.71666667  0.64125     0.83555556  0.98125     0.71333333  0.69625
  0.83222222  0.662       0.71777778  0.64375     0.54222222  0.33777778
  0.6       ]"
3,HNU_1_proba_csd_con_aparc68+subcort,no_norm,degrees,standard,SGD,0.7,0.103279555899,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.686333333333,0.129515764806,"[ 0.43333333  0.76666667  0.63333333  0.68333333  0.71666667  0.53333333
  0.91666667  0.41666667  0.83333333  0.63333333  0.95        0.66666667
  0.75        0.78333333  0.63333333  0.56666667  0.65        0.58333333
  0.66666667  0.81666667  0.58333333  0.83333333  0.75        0.61666667
  0.7         0.71666667  1.          0.81666667  0.81666667  0.76666667
  0.66666667  0.61666667  0.68333333  0.76666667  0.66666667  0.5
  0.76666667  0.81666667  0.78333333  0.66666667  0.7         0.66666667
  0.6         0.75        0.38333333  0.76666667  0.56666667  0.65
  0.41666667  0.65      ]",0.752722222222,0.237966202601,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.738616111111,0.163588453222,"[ 0.71125     0.748       0.59777778  0.86        0.80111111  0.6925
  0.99875     0.49625     0.51375     0.56875     1.          0.71375
  0.9575      0.875       0.928       0.696       0.63375     0.6
  0.64555556  0.9125      0.80125     0.76111111  0.78666667  0.934
  0.77555556  0.66111111  0.99666667  0.8025      0.98777778  0.878
  0.59555556  0.6         0.72111111  0.8775      0.6025      0.488       0.8225
  0.79666667  0.5825      0.82888889  0.965       0.87444444  0.59375
  0.76777778  0.592       0.76777778  0.67        0.60444444  0.17333333
  0.67222222]"
4,HNU_1_proba_csd_con_aparc68+subcort,no_norm,closeness_centrality,standard,LR,0.5,0.105409255339,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.466666666667,0.176383420738,"[ 0.33333333  0.16666667  0.5         0.33333333  0.5         0.33333333
  0.66666667  0.33333333  0.66666667  0.33333333  0.16666667  0.66666667
  0.33333333  0.66666667  0.16666667  0.83333333  0.66666667  0.83333333
  0.5         0.66666667  0.33333333  0.5         0.5         0.16666667
  0.5         0.5         0.5         0.33333333  0.5         0.83333333
  0.5         0.33333333  0.5         0.66666667  0.33333333  0.16666667
  0.33333333  0.5         0.33333333  0.5         0.33333333  0.5
  0.66666667  0.5         0.16666667  0.5         0.66666667  0.5         0.5
  0.5       ]",0.512777777778,0.285937433802,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.438431666667,0.215309625975,"[ 0.24125     0.632       0.4         0.1925      0.29        0.33        0.48
  0.51375     0.6925      0.95125     0.55        0.15375     0.41375
  0.3625      0.47        0.448       0.52875     0.566       0.47111111
  0.30125     0.39        0.62222222  0.67333333  1.          0.36222222
  0.21666667  0.28888889  0.755       0.58222222  0.308       0.16666667
  0.45875     0.22555556  0.17125     0.525       1.          0.59125
  0.27111111  0.50625     0.31555556  0.52625     0.14222222  0.38125
  0.75111111  0.358       0.45        0.3         0.25        0.
  0.34444444]"
5,HNU_1_proba_csd_con_aparc68+subcort,no_norm,closeness_centrality,standard,SGD,0.556666666667,0.24531159324,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.426333333333,0.123111963495,"[ 0.3         0.31666667  0.43333333  0.5         0.23333333  0.41666667
  0.48333333  0.33333333  0.38333333  0.4         0.6         0.2         0.25
  0.38333333  0.31666667  0.51666667  0.43333333  0.31666667  0.5
  0.28333333  0.45        0.7         0.56666667  0.41666667  0.45        0.4
  0.41666667  0.58333333  0.63333333  0.41666667  0.38333333  0.48333333
  0.51666667  0.41666667  0.41666667  0.56666667  0.43333333  0.41666667
  0.48333333  0.41666667  0.6         0.31666667  0.5         0.65        0.5
  0.36666667  0.48333333  0.35        0.          0.38333333]",0.551555555556,0.0759300055363,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.655642222222,0.160422963382,"[ 0.70625     0.76        0.60777778  0.58875     0.75222222  0.65625
  0.78625     0.68375     0.47375     0.4825      0.746       0.66375
  0.83375     0.65625     0.828       0.704       0.57625     0.626
  0.64888889  0.85375     0.6275      0.66111111  0.79777778  0.766
  0.86888889  0.50555556  0.77777778  0.5125      0.90777778  0.752
  0.70444444  0.7375      0.83333333  0.4675      0.5375      0.444       0.515
  0.61333333  0.6825      0.71        0.885       0.70222222  0.56
  0.72888889  0.7         0.75111111  0.19875     0.46        0.05555556
  0.68444444]"
6,HNU_1_proba_csd_con_aparc68+subcort,no_norm,betweenness_centrality,standard,LR,0.613333333333,0.219443741208,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.596666666667,0.135071997262,"[ 0.61666667  0.61666667  0.75        0.61666667  0.73333333  0.76666667
  0.48333333  0.68333333  0.8         0.43333333  0.56666667  0.65
  0.36666667  0.65        0.36666667  0.51666667  0.26666667  0.7
  0.68333333  0.71666667  0.63333333  0.76666667  0.46666667  0.41666667
  0.61666667  0.55        0.81666667  0.58333333  0.93333333  0.6
  0.48333333  0.5         0.8         0.43333333  0.66666667  0.63333333
  0.6         0.68333333  0.55        0.5         0.61666667  0.58333333
  0.43333333  0.55        0.51666667  0.53333333  0.38333333  0.65        0.8
  0.55      ]",0.642583333333,0.221935015792,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.677663333333,0.180356744167,"[ 0.6575      0.654       0.93777778  0.645625    0.81555556  0.87625     0.34
  0.66875     0.86        0.58875     0.569       0.7925      0.475
  0.76625     0.676       0.976       0.35875     0.968       0.62222222
  0.8025      0.60125     0.8         0.25777778  0.576       0.57444444
  0.54888889  0.95888889  0.59        0.99444444  0.766       0.53222222
  0.6425      0.89555556  0.42875     0.683125    0.45        0.88875
  0.84444444  0.7475      0.63666667  0.65        0.56777778  0.3325
  0.63444444  0.684       0.49777778  0.81125     0.79666667  0.92222222
  0.51888889]"
7,HNU_1_proba_csd_con_aparc68+subcort,no_norm,betweenness_centrality,standard,SGD,0.656666666667,0.0827311576399,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.564,0.142725844424,"[ 0.45        0.38333333  0.58333333  0.51666667  0.65        0.56666667
  0.66666667  0.51666667  0.71666667  0.51666667  0.5         0.46666667
  0.41666667  0.7         0.45        0.21666667  0.68333333  0.6
  0.68333333  0.65        0.78333333  0.63333333  0.56666667  0.41666667
  0.61666667  0.43333333  0.76666667  0.56666667  0.86666667  0.53333333
  0.68333333  0.61666667  0.56666667  0.85        0.45        0.18333333
  0.4         0.78333333  0.6         0.7         0.53333333  0.48333333
  0.58333333  0.45        0.6         0.61666667  0.43333333  0.43333333
  0.73333333  0.38333333]",0.67925,0.146046605955,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.653404444444,0.184468090114,"[ 0.4475      0.684       0.47888889  0.77        0.72111111  0.8675
  0.58875     0.5425      0.79875     0.65375     0.654       0.37125
  0.39875     0.695       0.786       0.192       0.74        0.622
  0.70555556  0.69625     0.895       0.57333333  0.89333333  0.528
  0.64444444  0.43        0.99777778  0.78        0.85555556  0.53
  0.84444444  0.73375     0.76        0.8275      0.56875     0.088
  0.78375     0.84444444  0.55        0.70777778  0.555       0.52222222
  0.70375     0.48222222  0.904       0.81111111  0.4225      0.63333333
  0.88777778  0.49888889]"
8,HNU_1_proba_csd_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,LR,0.52,0.169443533695,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.504333333333,0.141295985631,"[ 0.51666667  0.56666667  0.56666667  0.48333333  0.56666667  0.61666667
  0.63333333  0.7         0.46666667  0.5         0.65        0.46666667
  0.53333333  0.41666667  0.35        0.5         0.31666667  0.46666667
  0.45        0.33333333  0.51666667  0.71666667  0.66666667  0.7
  0.68333333  0.33333333  0.6         0.71666667  0.41666667  0.45
  0.61666667  0.46666667  0.5         0.66666667  0.21666667  0.85
  0.63333333  0.5         0.45        0.41666667  0.3         0.4         0.45
  0.45        0.38333333  0.51666667  0.46666667  0.58333333  0.06666667
  0.38333333]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,HNU_1_proba_csd_con_aparc68+subcort,no_norm,eigenvector_centrality,standard,SGD,0.513333333333,0.128840987267,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.452,0.14234699388,"[ 0.53333333  0.38333333  0.48333333  0.38333333  0.6         0.3
  0.51666667  0.61666667  0.41666667  0.38333333  0.55        0.36666667
  0.53333333  0.48333333  0.36666667  0.51666667  0.33333333  0.23333333
  0.4         0.28333333  0.36666667  0.71666667  0.66666667  0.58333333
  0.73333333  0.25        0.61666667  0.61666667  0.41666667  0.35
  0.68333333  0.5         0.48333333  0.53333333  0.21666667  0.71666667
  0.55        0.51666667  0.43333333  0.43333333  0.31666667  0.38333333
  0.5         0.41666667  0.23333333  0.46666667  0.38333333  0.45        0.05
  0.33333333]",0.5,0.0,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
