,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,standard,LR,0.826923076923,0.144026662106,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.827272727273,0.110968687416,"[ 0.81818182  0.81818182  0.72727273  0.81818182  0.90909091  1.
  0.72727273  0.90909091  1.          0.90909091  0.81818182  0.90909091
  0.72727273  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.90909091  0.72727273  0.54545455  0.72727273  1.          0.90909091
  0.63636364  0.90909091  0.90909091  0.81818182  0.90909091  1.
  0.81818182  0.81818182  0.90909091  0.63636364  0.81818182  0.63636364
  0.90909091  0.72727273  1.          0.72727273  0.81818182  0.54545455
  0.90909091  0.90909091  0.90909091  0.81818182  0.72727273  0.90909091
  0.81818182  0.90909091]",0.800995879121,0.128790890123,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.812083333333,0.142916666667,"[ 0.66666667  0.66666667  0.72916667  0.875       0.95833333  1.
  0.83333333  0.8125      1.          0.8125      0.66666667  0.83333333
  0.79166667  0.79166667  0.66666667  0.75        0.66666667  0.9375      1.
  0.5         0.875       0.6875      0.95833333  0.79166667  0.5
  0.77083333  0.83333333  1.          0.95833333  0.95833333  0.95833333
  0.79166667  1.          0.72916667  0.66666667  0.66666667  0.77083333
  0.70833333  1.          0.66666667  0.75        0.72916667  0.95833333
  0.83333333  0.95833333  0.66666667  1.          0.95833333  0.5         1.        ]"
1,IPCAS_1_deter_csa_con_ROIv_scale125,binar,bag_of_edges,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.758181818182,0.0694964176495,"[ 0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.90909091  0.72727273  0.90909091  0.72727273  0.72727273
  0.90909091  0.72727273  0.72727273  0.90909091  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  1.          0.90909091  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.90909091
  0.72727273  0.72727273]",0.672847985348,0.15111745779,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.855833333333,0.129155913531,"[ 0.83333333  0.66666667  0.79166667  0.75        1.          1.
  0.70833333  0.79166667  0.95833333  1.          0.625       1.          0.75
  0.875       0.875       0.91666667  0.875       0.54166667  0.91666667
  0.41666667  0.875       0.91666667  1.          0.75        0.66666667
  0.95833333  0.875       0.875       0.95833333  1.          0.91666667
  0.91666667  0.79166667  0.91666667  0.875       0.91666667  0.95833333
  0.91666667  0.83333333  0.875       0.70833333  0.75        0.79166667
  1.          0.91666667  0.95833333  0.95833333  1.          0.66666667
  0.95833333]"
2,IPCAS_1_deter_csa_con_ROIv_scale125,binar,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.678571428571,0.196989707992,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.92,0.149499163877,"[ 0.70833333  1.          1.          1.          1.          0.79166667
  1.          0.91666667  1.          1.          0.5         1.          1.
  1.          1.          1.          1.          0.66666667  0.41666667
  1.          0.91666667  1.          1.          0.875       1.          1.
  1.          0.83333333  0.79166667  0.875       1.          1.
  0.91666667  1.          1.          1.          1.          1.
  0.54166667  1.          1.          0.875       1.          1.          1.
  1.          0.95833333  0.91666667  0.5         1.        ]"
3,IPCAS_1_deter_csa_con_ROIv_scale125,binar,degrees,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9,0.103252879015,"[ 0.63636364  0.90909091  0.90909091  1.          0.90909091  0.81818182
  0.90909091  0.90909091  0.90909091  1.          0.72727273  0.81818182
  1.          1.          1.          1.          1.          0.72727273
  0.72727273  1.          0.72727273  1.          1.          0.90909091
  0.72727273  1.          0.90909091  0.90909091  0.90909091  0.90909091
  1.          0.81818182  0.81818182  0.90909091  1.          0.81818182
  1.          1.          0.81818182  0.90909091  1.          0.90909091
  0.81818182  1.          1.          1.          0.72727273  0.81818182
  0.72727273  1.        ]",0.759271978022,0.178954158918,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.92,0.148800761647,"[ 0.41666667  1.          1.          1.          1.          0.75        1.
  0.91666667  1.          1.          0.54166667  1.          1.          1.
  1.          1.          1.          0.79166667  0.41666667  1.
  0.91666667  1.          1.          0.875       1.          1.          1.
  0.95833333  0.83333333  0.83333333  1.          1.          0.875       1.
  1.          1.          1.          1.          0.66666667  1.
  0.95833333  0.91666667  1.          1.          1.          1.
  0.83333333  0.91666667  0.58333333  1.        ]"
4,IPCAS_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,standard,LR,0.75,0.0426173593297,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.705454545455,0.0644365278061,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.63636364
  0.72727273  0.63636364  0.72727273  0.45454545  0.63636364  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.45454545  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.81818182  0.72727273
  0.72727273  0.72727273  0.54545455  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.688072344322,0.182613216686,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.924166666667,0.142568209796,"[ 0.45833333  1.          0.91666667  1.          0.875       1.          1.
  1.          0.95833333  1.          0.5         1.          1.          1.
  1.          1.          1.          0.625       0.5         1.
  0.91666667  1.          1.          0.91666667  1.          1.          1.
  0.83333333  0.79166667  0.875       1.          0.95833333  0.875
  0.95833333  1.          1.          1.          1.          0.66666667
  1.          1.          0.95833333  1.          1.          1.          1.
  1.          0.95833333  0.66666667  1.        ]"
5,IPCAS_1_deter_csa_con_ROIv_scale125,binar,closeness_centrality,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.714545454545,0.0315442755871,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.63636364  0.72727273  0.63636364  0.63636364  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273
  0.72727273  0.72727273  0.63636364  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.687271062271,0.11739037385,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.834166666667,0.161049078096,"[ 0.70833333  0.91666667  0.83333333  0.83333333  0.83333333  1.          1.
  0.95833333  0.875       1.          0.625       1.          1.          1.
  0.91666667  0.83333333  1.          0.33333333  0.70833333  0.70833333
  0.95833333  0.5         1.          0.875       0.70833333  0.66666667
  0.875       0.75        0.54166667  0.83333333  0.91666667  0.83333333
  0.875       1.          1.          0.66666667  0.83333333  0.79166667
  0.45833333  0.95833333  0.75        0.625       1.          1.
  0.91666667  1.          0.95833333  0.66666667  0.875       0.79166667]"
6,IPCAS_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.616071428571,0.261390447806,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.690833333333,0.168755658341,"[ 0.29166667  0.54166667  0.83333333  0.66666667  0.58333333  0.79166667
  0.75        0.79166667  0.66666667  0.91666667  0.33333333  0.91666667
  0.83333333  1.          0.58333333  0.75        0.875       0.83333333
  0.625       0.5         0.58333333  0.79166667  0.75        0.625
  0.29166667  0.83333333  0.75        0.625       0.58333333  0.875
  0.83333333  0.79166667  0.875       0.83333333  1.          0.58333333
  0.54166667  0.45833333  0.45833333  0.91666667  0.70833333  0.79166667
  0.66666667  0.58333333  0.625       0.75        0.54166667  0.5         0.625
  0.66666667]"
7,IPCAS_1_deter_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,SGD,0.730769230769,0.161183796843,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.707272727273,0.133966814689,"[ 0.63636364  0.72727273  0.81818182  0.54545455  0.63636364  0.72727273
  0.72727273  0.81818182  0.72727273  0.90909091  0.63636364  0.72727273
  0.72727273  0.90909091  0.72727273  0.63636364  0.90909091  0.72727273
  0.63636364  0.72727273  0.72727273  0.63636364  0.72727273  0.54545455
  0.54545455  0.90909091  0.72727273  0.72727273  0.63636364  1.
  0.63636364  0.63636364  0.90909091  0.72727273  0.90909091  0.81818182
  0.45454545  0.36363636  0.72727273  0.90909091  0.63636364  0.90909091
  0.54545455  0.63636364  0.45454545  0.54545455  0.63636364  0.72727273
  0.63636364  0.72727273]",0.682692307692,0.306529922454,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.695,0.16758911394,"[ 0.29166667  0.54166667  0.83333333  0.58333333  0.66666667  0.75        0.75
  0.70833333  0.70833333  0.91666667  0.375       0.83333333  0.79166667
  1.          0.58333333  0.75        0.875       0.91666667  0.66666667
  0.45833333  0.66666667  0.95833333  0.70833333  0.625       0.54166667
  0.75        0.83333333  0.66666667  0.70833333  0.875       0.83333333
  0.79166667  0.70833333  0.875       1.          0.58333333  0.58333333
  0.41666667  0.45833333  0.95833333  0.66666667  0.75        0.45833333
  0.79166667  0.41666667  0.75        0.625       0.54166667  0.5
  0.70833333]"
8,IPCAS_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.612980769231,0.213592981271,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.906666666667,0.14614490526,"[ 0.58333333  1.          0.95833333  1.          0.91666667  0.75
  0.91666667  0.95833333  1.          1.          0.58333333  1.          1.
  1.          1.          1.          1.          0.70833333  0.375       1.
  0.91666667  1.          1.          0.875       0.875       1.
  0.91666667  0.875       0.79166667  0.91666667  1.          0.91666667
  0.875       0.95833333  1.          1.          1.          1.
  0.58333333  0.95833333  1.          0.91666667  0.95833333  1.          1.
  1.          0.875       0.875       0.5         1.        ]"
9,IPCAS_1_deter_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810909090909,0.0789183069608,"[ 0.72727273  1.          0.81818182  0.72727273  0.90909091  0.72727273
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.90909091  0.90909091  1.          0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.81818182  0.72727273  0.72727273  0.81818182  0.90909091  0.72727273
  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182
  0.72727273  0.90909091]",0.64010989011,0.209408077956,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.91,0.161666666667,"[ 0.41666667  1.          1.          1.          1.          0.83333333
  0.95833333  1.          1.          0.95833333  0.33333333  1.
  0.91666667  0.95833333  1.          1.          1.          0.70833333
  0.375       0.95833333  0.75        1.          1.          0.875
  0.83333333  1.          1.          1.          0.79166667  1.
  0.95833333  1.          0.95833333  0.95833333  1.          1.          1.
  1.          0.66666667  0.91666667  1.          0.875       0.95833333
  1.          1.          1.          0.95833333  0.91666667  0.66666667
  1.        ]"
