,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_ROIv_scale250,binar,bag_of_edges,standard,LR,0.769230769231,0.048172011637,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.736363636364,0.0913625056466,"[ 0.72727273  0.81818182  0.72727273  0.72727273  0.45454545  0.81818182
  0.63636364  0.81818182  0.72727273  0.63636364  0.72727273  0.81818182
  0.63636364  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.63636364
  0.54545455  0.90909091  0.90909091  0.63636364  0.72727273  0.63636364
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.63636364  0.72727273
  0.81818182  0.81818182  0.54545455  0.72727273  0.81818182  0.72727273
  0.72727273  0.63636364]",0.574175824176,0.192165916691,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.943333333333,0.146903218329,"[ 0.33333333  1.          1.          1.          0.83333333  0.95833333
  1.          1.          1.          1.          0.375       1.
  0.95833333  1.          1.          1.          1.          0.66666667
  0.58333333  1.          0.875       1.          1.          1.          1.
  1.          1.          0.95833333  0.91666667  1.          1.          1.
  1.          1.          1.          1.          1.          1.          0.75
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          0.95833333  1.        ]"
1,IPCAS_1_deter_csd_con_ROIv_scale250,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723636363636,0.0312811827892,"[ 0.63636364  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.81818182
  0.72727273  0.72727273]",0.679945054945,0.189096189216,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.918333333333,0.14067298564,"[ 0.66666667  1.          1.          1.          0.70833333  0.95833333
  1.          0.95833333  1.          1.          0.5         1.
  0.83333333  1.          1.          0.91666667  1.          0.58333333
  0.58333333  1.          0.83333333  1.          1.          1.
  0.91666667  1.          1.          0.79166667  1.          1.          1.
  1.          0.75        1.          1.          1.          1.          1.
  0.58333333  1.          0.625       1.          0.95833333  1.
  0.91666667  1.          1.          0.83333333  1.          1.        ]"
2,IPCAS_1_deter_csd_con_ROIv_scale250,binar,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.576236263736,0.130660881343,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.944166666667,0.103953114431,"[ 0.70833333  1.          1.          1.          0.83333333  0.75        1.
  1.          1.          1.          0.625       1.          0.875       1.
  1.          1.          1.          0.79166667  0.58333333  1.          1.
  1.          1.          0.875       0.79166667  0.95833333  1.          1.
  1.          1.          1.          1.          0.91666667  0.95833333
  1.          1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          1.          1.          0.91666667
  1.          0.79166667  1.        ]"
3,IPCAS_1_deter_csd_con_ROIv_scale250,binar,degrees,standard,SGD,0.769230769231,0.048172011637,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.754545454545,0.0489560437012,"[ 0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.90909091  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.729967948718,0.157567504194,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9325,0.145509163514,"[ 0.33333333  1.          1.          1.          0.75        1.          1.
  1.          1.          1.          0.41666667  1.          0.95833333
  1.          1.          1.          1.          0.75        0.58333333
  1.          0.875       1.          1.          0.91666667  0.83333333
  1.          1.          1.          0.91666667  1.          1.          1.
  0.95833333  1.          1.          1.          1.          0.91666667
  0.70833333  1.          1.          1.          1.          1.          1.
  1.          0.91666667  1.          0.79166667  1.        ]"
4,IPCAS_1_deter_csd_con_ROIv_scale250,binar,closeness_centrality,standard,LR,0.75,0.0728885643482,"{'C': 0.05, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.823636363636,0.137762521742,"[ 0.63636364  0.81818182  1.          1.          0.63636364  0.72727273
  1.          1.          0.81818182  0.81818182  0.72727273  1.
  0.81818182  0.81818182  0.72727273  0.54545455  0.72727273  0.63636364
  0.63636364  0.90909091  0.72727273  0.90909091  0.81818182  0.90909091
  0.72727273  0.81818182  0.81818182  0.63636364  0.54545455  0.72727273
  1.          1.          0.54545455  1.          1.          0.72727273
  0.81818182  1.          0.72727273  1.          0.81818182  0.90909091
  0.81818182  1.          0.90909091  0.90909091  0.81818182  0.81818182
  0.72727273  1.        ]",0.675881410256,0.154268306722,"{'C': 0.35000000000000003, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.8625,0.146723473847,"[ 0.58333333  0.83333333  1.          1.          0.79166667  0.75        1.
  1.          1.          0.75        0.52083333  1.          1.
  0.70833333  0.79166667  0.83333333  0.83333333  0.75        0.5         0.6875
  0.75        0.66666667  0.83333333  0.91666667  0.66666667  1.          1.
  0.875       0.58333333  0.75        1.          1.          1.          1.
  1.          0.66666667  0.79166667  1.          0.83333333  1.          1.
  0.91666667  0.875       1.          1.          1.          0.91666667
  0.95833333  0.79166667  1.        ]"
5,IPCAS_1_deter_csd_con_ROIv_scale250,binar,closeness_centrality,standard,SGD,0.769230769231,0.0703059053532,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.772727272727,0.119572240345,"[ 0.72727273  0.72727273  0.90909091  0.90909091  0.72727273  0.72727273
  1.          1.          0.81818182  0.81818182  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.54545455  0.90909091  0.54545455
  0.63636364  0.72727273  0.72727273  0.63636364  0.81818182  0.81818182
  0.63636364  0.81818182  0.90909091  0.63636364  0.81818182  0.72727273
  0.54545455  0.81818182  0.54545455  0.90909091  0.72727273  0.72727273
  0.81818182  1.          0.72727273  0.72727273  0.90909091  0.72727273
  0.72727273  1.          0.63636364  0.90909091  0.81818182  0.72727273
  0.72727273  0.90909091]",0.766082875458,0.097007128669,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.801666666667,0.214946698819,"[ 0.45833333  0.66666667  1.          1.          0.79166667  0.70833333
  1.          1.          1.          0.70833333  0.4375      0.875       1.
  0.70833333  0.70833333  0.45833333  0.66666667  0.5         0.41666667
  0.60416667  0.75        0.45833333  0.79166667  0.95833333  0.33333333
  0.95833333  1.          0.91666667  0.45833333  0.625       1.          1.
  0.625       1.          1.          0.375       0.66666667  1.          1.
  1.          1.          0.95833333  0.91666667  1.          1.
  0.79166667  1.          1.          0.91666667  0.875     ]"
6,IPCAS_1_deter_csd_con_ROIv_scale250,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
7,IPCAS_1_deter_csd_con_ROIv_scale250,binar,betweenness_centrality,standard,SGD,0.730769230769,0.105175098985,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.614545454545,0.1129030887,"[ 0.63636364  0.72727273  0.63636364  0.72727273  0.63636364  0.36363636
  0.63636364  0.63636364  0.72727273  0.81818182  0.72727273  0.63636364
  0.54545455  0.45454545  0.72727273  0.63636364  0.63636364  0.63636364
  0.63636364  0.63636364  0.63636364  0.27272727  0.63636364  0.63636364
  0.72727273  0.72727273  0.63636364  0.63636364  0.45454545  0.63636364
  0.54545455  0.72727273  0.72727273  0.63636364  0.63636364  0.54545455
  0.54545455  0.63636364  0.45454545  0.63636364  0.54545455  0.54545455
  0.45454545  0.72727273  0.72727273  0.63636364  0.54545455  0.27272727
  0.63636364  0.72727273]",0.623168498168,0.155598517377,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.618333333333,0.217204460769,"[ 0.58333333  0.5         0.66666667  0.625       0.79166667  0.54166667
  0.5         0.41666667  0.70833333  0.5         0.70833333  0.70833333
  1.          0.45833333  0.875       0.66666667  0.41666667  0.75        0.375
  0.16666667  0.75        0.375       1.          0.33333333  0.375
  0.79166667  0.75        0.08333333  0.16666667  0.54166667  0.58333333
  0.79166667  0.625       0.79166667  0.70833333  0.66666667  0.83333333
  0.75        0.70833333  0.75        0.625       0.33333333  0.875       0.875
  0.83333333  0.875       0.375       0.45833333  0.375       0.95833333]"
8,IPCAS_1_deter_csd_con_ROIv_scale250,binar,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.527358058608,0.279489627692,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.885,0.143749396134,"[ 0.58333333  0.91666667  1.          1.          1.          0.91666667
  0.875       1.          0.91666667  0.95833333  0.5         0.91666667
  0.875       0.875       0.95833333  0.91666667  1.          0.79166667
  0.54166667  0.95833333  0.91666667  0.91666667  1.          0.70833333
  0.625       1.          0.95833333  0.91666667  1.          1.          1.
  0.95833333  0.83333333  0.95833333  0.95833333  0.95833333  1.
  0.95833333  0.625       0.91666667  1.          0.95833333  0.95833333
  0.91666667  1.          0.875       0.75        0.41666667  0.75
  0.91666667]"
9,IPCAS_1_deter_csd_con_ROIv_scale250,binar,eigenvector_centrality,standard,SGD,0.769230769231,0.0380317871133,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.765454545455,0.0548175033879,"[ 0.63636364  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182
  0.72727273  0.72727273]",0.743017399267,0.162810744367,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.914166666667,0.167582898226,"[ 0.375       1.          1.          1.          0.83333333  0.79166667
  1.          1.          1.          1.          0.41666667  1.          1.
  1.          1.          1.          1.          0.75        0.83333333
  1.          0.95833333  1.          1.          0.79166667  0.625       1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.58333333
  1.          0.875       0.95833333  1.          0.83333333  1.          1.
  0.70833333  1.          0.375       1.        ]"
