,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.578296703297,0.17925363663,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.641666666667,0.170375402502,"[ 0.66666667  0.39583333  0.95833333  0.625       0.70833333  0.5
  0.91666667  0.72916667  0.70833333  1.          0.1875      0.625       0.6875
  0.75        0.875       0.77083333  0.70833333  0.58333333  0.625
  0.54166667  0.33333333  0.5         0.41666667  0.4375      0.58333333
  0.75        0.70833333  0.66666667  0.58333333  0.54166667  0.625
  0.79166667  0.25        0.625       0.75        0.5         0.45833333
  0.70833333  0.41666667  0.66666667  0.875       0.5         0.83333333
  0.79166667  0.875       0.625       0.64583333  0.70833333  0.72916667
  0.625     ]"
1,IPCAS_1_deter_csd_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.72,0.0509090909091,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.36363636  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.550824175824,0.164047901226,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.659166666667,0.205934523035,"[ 0.41666667  0.625       0.41666667  0.79166667  0.58333333  0.58333333
  0.83333333  0.75        0.79166667  0.875       0.16666667  0.91666667
  0.625       0.83333333  0.79166667  0.75        0.5         0.125
  0.41666667  0.33333333  0.58333333  0.45833333  0.54166667  0.625
  0.20833333  0.79166667  0.75        0.66666667  0.79166667  0.58333333
  0.75        0.91666667  0.66666667  0.83333333  0.875       0.5         0.625
  0.875       0.45833333  0.95833333  0.54166667  0.79166667  0.66666667
  0.95833333  0.875       0.58333333  0.95833333  0.41666667  0.75
  0.83333333]"
2,IPCAS_1_deter_csd_con_aparc150+subcort,binar,degrees,standard,LR,0.769230769231,0.0852872948248,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.774545454545,0.119558416166,"[ 0.72727273  0.81818182  0.81818182  0.90909091  0.72727273  0.90909091
  0.72727273  1.          0.81818182  0.90909091  0.72727273  0.63636364
  0.45454545  0.90909091  0.90909091  0.90909091  0.63636364  0.63636364
  0.72727273  0.72727273  0.63636364  0.63636364  0.81818182  0.81818182
  0.63636364  0.63636364  0.81818182  0.63636364  0.72727273  0.90909091
  0.90909091  0.90909091  0.63636364  0.90909091  0.90909091  0.63636364
  0.72727273  0.90909091  0.72727273  0.63636364  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182  0.54545455
  0.72727273  0.90909091]",0.774038461538,0.108614245155,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.8075,0.166226502099,"[ 0.29166667  0.875       0.83333333  1.          0.79166667  1.
  0.66666667  1.          0.95833333  0.91666667  0.375       0.66666667
  0.33333333  0.95833333  0.83333333  0.95833333  0.79166667  0.75
  0.91666667  0.75        0.66666667  0.875       0.91666667  0.79166667
  0.54166667  0.875       0.83333333  0.875       0.79166667  0.83333333
  1.          0.83333333  0.66666667  0.875       0.75        0.70833333
  0.875       0.83333333  0.75        0.75        0.95833333  0.95833333
  0.75        0.91666667  0.83333333  0.66666667  1.          0.58333333
  1.          1.        ]"
3,IPCAS_1_deter_csd_con_aparc150+subcort,binar,degrees,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781818181818,0.070417879022,"[ 0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.72727273
  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182  0.63636364
  0.72727273  0.72727273  0.72727273  0.81818182  0.90909091  0.63636364
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273
  0.90909091  0.90909091  0.72727273  0.72727273  0.90909091  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.90909091]",0.808951465201,0.130259884433,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.790833333333,0.169658562347,"[ 0.29166667  0.91666667  0.95833333  0.91666667  0.95833333  1.
  0.70833333  1.          0.91666667  0.83333333  0.33333333  0.625
  0.41666667  0.95833333  0.83333333  0.79166667  0.66666667  0.66666667
  0.66666667  0.91666667  0.58333333  0.95833333  0.70833333  0.70833333
  0.58333333  0.91666667  0.75        0.875       0.83333333  0.83333333
  1.          0.83333333  0.66666667  0.83333333  1.          0.70833333
  0.70833333  0.875       0.70833333  0.625       0.91666667  0.79166667
  0.875       0.875       0.91666667  0.70833333  0.83333333  0.54166667
  1.          1.        ]"
4,IPCAS_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.769230769231,0.0852872948248,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.776363636364,0.119516934033,"[ 0.63636364  0.72727273  0.90909091  0.81818182  0.72727273  0.90909091
  0.72727273  0.81818182  0.90909091  0.63636364  0.63636364  0.63636364
  0.45454545  0.90909091  0.90909091  0.90909091  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.63636364  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  1.          0.81818182  0.63636364  0.90909091  0.90909091  0.63636364
  0.81818182  0.90909091  0.72727273  0.63636364  0.90909091  0.81818182
  0.81818182  0.81818182  0.72727273  0.63636364  0.81818182  0.54545455
  1.          1.        ]",0.774381868132,0.0986210884669,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.815,0.166073946047,"[ 0.25        0.91666667  0.83333333  1.          0.79166667  1.
  0.70833333  1.          1.          0.875       0.375       0.70833333
  0.33333333  1.          0.83333333  1.          0.75        0.79166667
  0.875       0.79166667  0.79166667  0.83333333  0.91666667  0.875
  0.58333333  0.875       0.83333333  0.875       0.79166667  0.79166667
  1.          0.875       0.70833333  0.875       0.75        0.625
  0.91666667  0.83333333  0.75        0.75        0.95833333  0.91666667
  0.75        0.91666667  0.83333333  0.75        0.95833333  0.58333333
  1.          1.        ]"
5,IPCAS_1_deter_csd_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.758181818182,0.0825422506387,"[ 0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.81818182  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273
  0.54545455  0.81818182  0.72727273  0.72727273  0.90909091  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.54545455  0.90909091  0.72727273  0.72727273  0.81818182  0.72727273
  0.81818182  0.72727273  0.72727273  0.90909091  0.81818182  0.54545455
  0.81818182  0.81818182  0.72727273  0.63636364  0.90909091  0.72727273
  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.852907509158,0.0797258178786,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.826666666667,0.174276281296,"[ 0.33333333  0.95833333  1.          0.91666667  0.91666667  1.          0.875
  0.95833333  0.875       1.          0.375       0.58333333  0.75        1.
  1.          0.95833333  0.83333333  0.5         0.58333333  0.91666667
  0.66666667  0.91666667  0.875       1.          0.375       0.91666667
  0.83333333  0.95833333  0.95833333  0.91666667  0.91666667  0.91666667
  0.70833333  0.91666667  0.75        0.83333333  0.91666667  0.95833333
  0.70833333  0.625       0.79166667  0.66666667  0.95833333  0.95833333
  0.625       1.          0.875       0.75        0.75        0.95833333]"
6,IPCAS_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.683379120879,0.0649751733515,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.776666666667,0.171747553759,"[ 0.29166667  0.83333333  0.79166667  0.70833333  0.75        1.
  0.91666667  0.79166667  0.91666667  1.          0.16666667  0.70833333
  0.83333333  0.91666667  0.75        0.91666667  0.79166667  0.75        0.875
  0.5         0.79166667  0.70833333  0.66666667  0.70833333  0.375       1.
  0.625       0.875       0.875       0.875       0.95833333  0.70833333
  0.75        0.70833333  0.83333333  0.625       0.875       0.75        1.
  0.875       0.91666667  0.75        0.75        0.79166667  0.70833333
  0.58333333  0.95833333  0.70833333  0.875       1.        ]"
7,IPCAS_1_deter_csd_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.750909090909,0.0868360286273,"[ 0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273
  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.63636364  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.63636364  0.63636364  0.72727273  0.54545455  0.72727273  0.90909091
  0.72727273  0.81818182  0.54545455  0.90909091  0.90909091  0.72727273
  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273  0.63636364
  0.81818182  0.90909091  0.63636364  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182]",0.703411172161,0.141845861374,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.754166666667,0.155735263259,"[ 0.41666667  0.83333333  0.875       0.75        0.66666667  1.
  0.79166667  0.83333333  0.91666667  0.875       0.08333333  0.54166667
  0.66666667  0.79166667  0.70833333  0.91666667  0.58333333  0.79166667
  0.75        0.45833333  0.83333333  0.75        0.58333333  0.70833333
  0.625       0.70833333  0.625       0.875       0.66666667  0.875       0.875
  0.70833333  0.79166667  0.79166667  0.83333333  0.625       0.875       0.75
  0.83333333  0.95833333  0.875       0.75        0.875       0.83333333
  0.70833333  0.75        0.95833333  0.79166667  0.875       0.75      ]"
8,IPCAS_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.794528388278,0.12716965367,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.780833333333,0.157632219634,"[ 0.58333333  0.875       0.83333333  0.875       0.79166667  1.          0.875
  0.91666667  0.875       0.91666667  0.45833333  0.66666667  0.33333333
  0.83333333  0.70833333  0.75        0.70833333  0.75        0.83333333
  0.91666667  0.75        0.5         0.95833333  0.75        0.54166667
  0.95833333  0.83333333  0.91666667  0.625       0.91666667  0.91666667
  0.875       0.54166667  0.70833333  0.95833333  0.70833333  0.83333333
  0.79166667  0.5         0.66666667  0.95833333  0.95833333  0.70833333
  0.83333333  0.83333333  0.625       0.91666667  0.54166667  0.91666667
  1.        ]"
9,IPCAS_1_deter_csd_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.788461538462,0.0348005064552,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.770909090909,0.0732706970168,"[ 0.72727273  0.81818182  0.72727273  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.90909091  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273  0.54545455
  0.90909091  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  0.72727273  0.81818182
  0.72727273  0.90909091]",0.794528388278,0.12716965367,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.729166666667,0.217506385602,"[ 0.33333333  0.91666667  0.79166667  0.95833333  0.79166667  1.
  0.66666667  0.91666667  0.83333333  0.91666667  0.375       0.66666667
  0.33333333  0.83333333  0.75        0.79166667  0.75        0.625
  0.54166667  0.91666667  0.79166667  0.125       0.29166667  0.45833333
  0.54166667  0.91666667  0.95833333  1.          0.625       0.91666667
  0.91666667  0.875       0.58333333  0.79166667  0.875       0.70833333
  0.95833333  0.45833333  0.5         0.70833333  0.95833333  0.875       0.875
  0.33333333  0.83333333  0.625       0.83333333  0.54166667  0.875       1.        ]"
