,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_ROIv_scale60,binar,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.637019230769,0.202527319892,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.770416666667,0.177193103233,"[ 0.79166667  1.          0.91666667  0.83333333  0.58333333  0.79166667
  0.91666667  0.70833333  1.          0.875       0.5         0.875
  0.70833333  0.83333333  0.95833333  0.70833333  0.91666667  0.16666667
  0.5         1.          0.54166667  0.75        0.91666667  0.625
  0.79166667  0.83333333  0.91666667  0.60416667  0.66666667  0.66666667
  0.66666667  0.95833333  0.625       0.91666667  0.91666667  1.          0.875
  0.83333333  0.375       0.83333333  0.75        1.          0.66666667
  0.625       0.79166667  0.83333333  0.54166667  0.625       1.
  0.79166667]"
1,IPCAS_1_deter_dti_con_ROIv_scale60,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.729090909091,0.0221937374832,"[ 0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.662431318681,0.166352957877,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9275,0.143326065707,"[ 0.54166667  1.          1.          1.          1.          1.          1.
  1.          1.          0.91666667  0.45833333  1.          0.95833333
  1.          1.          1.          1.          0.375       0.70833333
  1.          0.875       1.          1.          1.          0.83333333
  0.91666667  1.          0.83333333  1.          1.          1.          1.
  0.875       1.          1.          1.          1.          1.
  0.79166667  1.          0.875       1.          1.          1.          1.
  0.95833333  0.70833333  1.          0.75        1.        ]"
2,IPCAS_1_deter_dti_con_ROIv_scale60,binar,degrees,standard,LR,0.788461538462,0.0348005064552,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.812727272727,0.108193276704,"[ 0.72727273  0.63636364  0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.72727273  0.90909091  0.90909091  0.63636364  0.81818182
  0.54545455  0.90909091  0.81818182  0.72727273  0.90909091  0.63636364
  0.81818182  0.90909091  0.72727273  0.90909091  0.63636364  0.72727273
  0.63636364  0.72727273  0.81818182  1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.63636364  0.81818182  1.          0.81818182
  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182  0.72727273
  0.81818182  0.90909091  1.          0.72727273  0.81818182  0.72727273
  0.81818182  0.90909091]",0.766483516484,0.109803747352,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.781666666667,0.174316124071,"[ 0.70833333  0.79166667  0.66666667  0.95833333  0.83333333  0.45833333
  0.75        0.75        0.75        0.95833333  0.25        0.70833333
  0.66666667  0.75        0.91666667  0.79166667  0.95833333  0.58333333
  0.95833333  1.          0.625       0.79166667  0.91666667  0.70833333
  0.70833333  0.83333333  0.875       1.          1.          0.75
  0.66666667  0.95833333  0.58333333  0.875       1.          0.83333333
  0.625       1.          0.95833333  1.          0.75        0.83333333
  1.          0.66666667  1.          0.625       0.5         0.5
  0.45833333  0.83333333]"
3,IPCAS_1_deter_dti_con_ROIv_scale60,binar,degrees,standard,SGD,0.807692307692,0.0610949440963,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.827272727273,0.0949118773537,"[ 0.81818182  0.81818182  0.90909091  0.72727273  1.          0.81818182
  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182  0.81818182
  0.72727273  0.90909091  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.90909091  0.63636364  0.81818182  0.90909091  0.81818182
  0.63636364  0.72727273  0.81818182  0.81818182  0.90909091  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  1.          0.90909091
  0.81818182  0.90909091  0.81818182  0.72727273  1.          0.81818182
  0.90909091  0.90909091  1.          0.63636364  0.72727273  0.72727273
  0.72727273  0.90909091]",0.834249084249,0.116270167837,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.769166666667,0.181278254503,"[ 0.79166667  0.75        0.70833333  1.          0.83333333  0.5
  0.66666667  0.79166667  0.70833333  0.83333333  0.29166667  0.70833333
  0.95833333  0.70833333  0.83333333  0.75        0.91666667  0.33333333
  0.83333333  0.95833333  0.375       0.79166667  0.70833333  0.70833333
  0.75        0.875       0.75        1.          0.95833333  0.79166667
  0.66666667  0.875       0.58333333  0.95833333  1.          0.91666667
  0.66666667  1.          0.91666667  0.95833333  0.95833333  0.79166667
  1.          0.66666667  0.91666667  0.83333333  0.5         0.66666667
  0.33333333  0.66666667]"
4,IPCAS_1_deter_dti_con_ROIv_scale60,binar,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.521405677656,0.160265363107,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.7975,0.196851960733,"[ 0.5         0.875       0.875       0.95833333  1.          0.41666667
  0.83333333  0.91666667  0.875       1.          0.29166667  0.75
  0.66666667  0.95833333  0.91666667  0.70833333  0.91666667  0.33333333
  0.79166667  0.95833333  0.45833333  1.          0.79166667  0.91666667
  0.70833333  0.75        0.75        0.70833333  0.83333333  0.79166667
  0.70833333  0.95833333  0.66666667  1.          0.95833333  0.95833333
  0.83333333  1.          0.91666667  0.91666667  0.83333333  0.91666667
  1.          0.95833333  0.875       0.83333333  0.33333333  0.75
  0.29166667  0.91666667]"
5,IPCAS_1_deter_dti_con_ROIv_scale60,binar,closeness_centrality,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.721818181818,0.0557740423643,"[ 0.72727273  0.54545455  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.54545455  0.72727273
  0.72727273  0.81818182  0.54545455  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273]",0.527815934066,0.0856376300639,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.776666666667,0.163460834589,"[ 0.45833333  0.83333333  0.79166667  0.95833333  0.91666667  0.70833333
  0.54166667  0.83333333  0.83333333  1.          0.33333333  0.75        0.75
  0.875       0.83333333  0.75        0.83333333  0.45833333  0.75
  0.83333333  0.45833333  0.91666667  0.83333333  0.875       0.75        0.75
  0.75        0.79166667  0.83333333  0.875       0.58333333  0.83333333
  0.45833333  1.          0.875       1.          0.79166667  1.
  0.83333333  0.83333333  0.83333333  0.875       1.          0.83333333
  0.875       0.83333333  0.58333333  0.70833333  0.375       0.83333333]"
6,IPCAS_1_deter_dti_con_ROIv_scale60,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.680631868132,0.170353824009,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.679166666667,0.14074454795,"[ 0.375       0.45833333  0.75        0.79166667  0.70833333  0.75
  0.54166667  0.625       0.5         0.45833333  0.625       0.875
  0.91666667  0.75        0.83333333  0.66666667  0.66666667  0.66666667
  0.70833333  0.70833333  0.83333333  0.70833333  0.70833333  0.79166667
  0.70833333  0.5         0.625       0.41666667  0.41666667  0.79166667
  0.625       0.70833333  0.83333333  0.66666667  0.66666667  0.75        0.5
  0.75        0.45833333  0.54166667  0.625       0.625       0.83333333
  0.70833333  0.79166667  0.875       0.875       1.          0.66666667
  0.58333333]"
7,IPCAS_1_deter_dti_con_ROIv_scale60,binar,betweenness_centrality,standard,SGD,0.769230769231,0.0902665416013,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.74,0.07274999645,"[ 0.63636364  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.54545455  0.72727273  0.90909091
  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273  0.63636364
  0.63636364  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.63636364  0.72727273  0.72727273  0.63636364  0.54545455  0.81818182
  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273]",0.774725274725,0.12886693067,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.694166666667,0.202349052108,"[ 0.5         0.83333333  0.70833333  0.41666667  0.875       0.91666667
  0.41666667  0.5         0.625       0.33333333  0.75        0.875       1.
  0.91666667  0.95833333  0.83333333  0.66666667  0.5         0.66666667
  0.66666667  0.83333333  0.875       0.79166667  0.58333333  0.75
  0.91666667  0.875       0.375       0.41666667  0.75        0.75
  0.79166667  0.75        0.625       0.625       0.70833333  0.83333333
  0.95833333  0.58333333  0.54166667  0.58333333  0.375       1.          0.625
  1.          0.83333333  0.91666667  0.25        0.58333333  0.25      ]"
8,IPCAS_1_deter_dti_con_ROIv_scale60,binar,eigenvector_centrality,standard,LR,0.807692307692,0.0153651780864,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.821818181818,0.104383273414,"[ 0.81818182  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182
  0.90909091  0.72727273  0.90909091  0.81818182  0.72727273  0.63636364
  0.72727273  0.81818182  0.90909091  0.90909091  1.          0.72727273
  0.72727273  1.          0.72727273  0.72727273  0.45454545  0.90909091
  0.72727273  0.90909091  0.90909091  0.90909091  0.81818182  0.72727273
  0.81818182  1.          0.72727273  0.81818182  0.90909091  1.
  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091  0.90909091
  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273
  0.63636364  0.81818182]",0.726648351648,0.153363674152,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.8325,0.150805706494,"[ 0.70833333  0.95833333  0.91666667  1.          1.          0.66666667
  0.95833333  0.83333333  0.75        0.79166667  0.70833333  0.70833333
  0.66666667  0.875       0.95833333  1.          1.          0.5
  0.83333333  1.          0.45833333  0.83333333  0.66666667  0.79166667
  0.79166667  0.83333333  0.91666667  1.          0.91666667  0.83333333
  0.75        1.          0.625       0.91666667  0.95833333  0.95833333
  0.83333333  1.          0.91666667  0.83333333  1.          1.
  0.83333333  0.83333333  1.          0.79166667  0.54166667  0.625
  0.45833333  0.875     ]"
9,IPCAS_1_deter_dti_con_ROIv_scale60,binar,eigenvector_centrality,standard,SGD,0.769230769231,0.0664713833395,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.787272727273,0.0762986736668,"[ 0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.72727273  0.90909091  0.90909091  0.90909091  0.63636364
  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273
  0.54545455  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  0.90909091  1.
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273
  0.72727273  0.81818182]",0.834249084249,0.186599838671,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.775,0.151152976227,"[ 0.66666667  0.875       1.          0.91666667  0.91666667  0.58333333
  0.95833333  0.79166667  0.70833333  0.83333333  0.45833333  0.70833333
  1.          0.79166667  0.75        1.          0.95833333  0.5         0.5
  0.875       0.45833333  0.66666667  0.66666667  0.75        0.70833333
  0.95833333  0.83333333  1.          0.83333333  0.83333333  0.70833333
  0.91666667  0.66666667  0.75        0.91666667  0.875       0.79166667
  1.          0.875       0.83333333  0.66666667  0.83333333  0.83333333
  0.75        0.79166667  0.58333333  0.54166667  0.70833333  0.5
  0.70833333]"
