,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,standard,LR,0.769230769231,0.0703059053532,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.745454545455,0.134839972493,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.27272727  0.90909091
  0.27272727  0.72727273  0.81818182  0.54545455  0.72727273  0.90909091
  0.81818182  0.81818182  0.72727273  0.54545455  0.81818182  0.63636364
  0.72727273  0.81818182  0.72727273  0.72727273  0.81818182  0.90909091
  0.54545455  0.63636364  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182  0.81818182
  0.81818182  0.72727273  0.54545455  0.72727273  0.90909091  0.90909091
  0.72727273  0.72727273]",0.717948717949,0.0782839835008,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.776666666667,0.15017582288,"[ 0.58333333  0.75        0.70833333  0.70833333  0.25        0.875       0.5
  0.75        1.          0.83333333  0.625       1.          0.95833333
  0.875       0.83333333  0.54166667  0.875       0.875       0.75        1.
  0.91666667  0.79166667  0.875       0.875       0.58333333  0.875
  0.91666667  0.625       0.875       0.875       0.75        0.95833333
  0.66666667  0.79166667  0.79166667  0.70833333  0.83333333  1.
  0.70833333  0.625       0.79166667  0.70833333  0.66666667  0.79166667
  0.45833333  0.79166667  0.875       0.875       0.75        0.79166667]"
1,IPCAS_1_proba_csa_con_ROIv_scale125,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.725454545455,0.0127272727273,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273]",0.7725503663,0.121642599719,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.870833333333,0.134951122839,"[ 0.625       1.          0.875       0.91666667  0.875       0.95833333
  0.75        0.83333333  1.          0.95833333  0.375       1.          1.
  0.91666667  1.          0.75        0.875       0.79166667  0.625
  0.95833333  1.          1.          0.875       1.          0.58333333
  1.          1.          0.66666667  0.875       0.875       0.875
  0.95833333  0.83333333  0.95833333  0.83333333  1.          0.95833333
  1.          0.625       0.75        0.83333333  0.875       0.83333333
  0.91666667  0.91666667  0.70833333  0.875       0.91666667  1.
  0.91666667]"
2,IPCAS_1_proba_csa_con_ROIv_scale125,binar,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.750686813187,0.0959057828416,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9475,0.0934708807894,"[ 0.83333333  1.          1.          1.          1.          0.91666667
  1.          0.91666667  1.          1.          0.58333333  1.          1.
  1.          1.          1.          1.          1.          0.66666667
  1.          1.          1.          1.          0.875       0.75        1.
  1.          0.79166667  1.          0.83333333  1.          1.          1.
  0.875       0.95833333  1.          0.95833333  1.          0.83333333
  0.95833333  1.          0.83333333  1.          1.          1.          1.
  0.875       0.91666667  1.          1.        ]"
3,IPCAS_1_proba_csa_con_ROIv_scale125,binar,degrees,standard,SGD,0.788461538462,0.0664545217022,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.769090909091,0.0796894800029,"[ 0.81818182  0.72727273  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.90909091  0.90909091  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.54545455  0.81818182  0.72727273  0.81818182  0.90909091  0.72727273
  0.81818182  0.81818182  0.72727273  0.63636364  0.72727273  0.81818182
  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182
  0.72727273  0.81818182  0.72727273  0.72727273  0.54545455  0.72727273
  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.72727273  0.72727273]",0.809981684982,0.137529660361,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.930833333333,0.140586568823,"[ 0.41666667  1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.70833333  1.          1.
  1.          1.          1.          1.          0.91666667  0.33333333
  1.          1.          1.          1.          1.          0.75        1.
  1.          0.66666667  0.95833333  1.          1.          1.
  0.91666667  1.          1.          1.          0.875       1.
  0.79166667  0.91666667  0.75        0.95833333  1.          0.95833333
  1.          1.          0.91666667  1.          0.91666667  0.875     ]"
4,IPCAS_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,standard,LR,0.769230769231,0.048172011637,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.914545454545,0.093437564782,"[ 0.81818182  1.          1.          1.          1.          0.81818182
  1.          0.90909091  0.90909091  0.90909091  0.81818182  1.          1.
  0.90909091  1.          0.90909091  1.          0.81818182  0.63636364
  1.          0.81818182  1.          1.          0.81818182  0.72727273
  1.          1.          0.72727273  0.90909091  0.90909091  0.90909091
  1.          0.81818182  0.81818182  0.90909091  1.          0.90909091
  1.          0.81818182  1.          1.          0.81818182  1.
  0.90909091  1.          1.          0.81818182  0.81818182  0.81818182
  1.        ]",0.784226190476,0.0814132790275,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9525,0.082078045515,"[ 0.875       1.          1.          1.          1.          1.          1.
  0.91666667  1.          1.          0.70833333  1.          1.
  0.95833333  1.          1.          1.          0.91666667  0.625       1.
  1.          1.          1.          0.875       0.79166667  1.          1.
  0.79166667  1.          0.83333333  1.          1.          0.91666667
  0.875       0.95833333  1.          0.95833333  1.          0.91666667
  1.          1.          0.875       1.          0.91666667  1.          1.
  1.          0.91666667  1.          1.        ]"
5,IPCAS_1_proba_csa_con_ROIv_scale125,binar,closeness_centrality,standard,SGD,0.807692307692,0.0506664684839,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.836363636364,0.0962091385842,"[ 0.81818182  0.81818182  0.90909091  0.90909091  0.81818182  0.81818182
  0.72727273  0.90909091  0.81818182  0.81818182  0.63636364  0.81818182
  0.90909091  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273
  0.54545455  1.          0.81818182  0.90909091  0.90909091  0.72727273
  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182  0.90909091
  1.          0.81818182  0.81818182  1.          0.72727273  0.81818182
  0.90909091  0.81818182  0.81818182  0.90909091  0.63636364  0.90909091
  1.          0.81818182  0.81818182  1.          0.81818182  0.81818182
  0.72727273  0.72727273]",0.895947802198,0.0745601891682,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.893333333333,0.15233369803,"[ 0.66666667  1.          0.91666667  1.          1.          0.875       0.75
  0.95833333  1.          1.          0.625       1.          1.          1.
  1.          0.95833333  1.          0.625       0.29166667  1.          0.875
  1.          0.875       0.75        0.79166667  1.          0.875
  0.66666667  0.95833333  0.95833333  1.          1.          1.
  0.91666667  0.75        1.          0.91666667  1.          0.75        0.875
  0.5         0.95833333  1.          1.          1.          1.
  0.83333333  1.          0.79166667  0.95833333]"
6,IPCAS_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,LR,0.846153846154,0.109524867547,"{'C': 0.5, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.930909090909,0.0863588515421,"[ 0.72727273  1.          1.          0.90909091  0.90909091  0.90909091
  1.          0.90909091  0.90909091  1.          0.72727273  1.          1.
  1.          1.          1.          0.90909091  0.81818182  0.90909091
  1.          0.72727273  1.          1.          0.90909091  1.          1.
  1.          1.          0.90909091  0.81818182  1.          0.90909091
  1.          0.72727273  1.          0.90909091  0.81818182  1.
  0.81818182  1.          0.90909091  0.81818182  1.          1.          1.
  1.          0.90909091  0.81818182  1.          0.90909091]",0.809065934066,0.224047121983,"{'C': 0.55, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.960833333333,0.0879591129762,"[ 0.625       1.          1.          0.95833333  0.95833333  1.          1.
  1.          1.          1.          0.58333333  1.          1.          1.
  1.          1.          1.          0.83333333  1.          1.          0.75
  1.          1.          0.91666667  1.          1.          1.          1.
  0.95833333  0.875       1.          0.95833333  1.          0.875       1.
  1.          0.95833333  1.          0.95833333  1.          1.
  0.91666667  1.          1.          1.          1.          0.95833333
  0.95833333  1.          1.        ]"
7,IPCAS_1_proba_csa_con_ROIv_scale125,binar,betweenness_centrality,standard,SGD,0.903846153846,0.0906505947742,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.838181818182,0.0896088838571,"[ 0.54545455  0.81818182  0.90909091  0.72727273  0.81818182  1.
  0.81818182  0.72727273  0.81818182  0.90909091  0.72727273  0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  1.          0.81818182
  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273
  0.72727273  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182
  0.90909091  0.81818182  0.90909091  0.72727273  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182
  1.          1.          0.72727273  1.          0.81818182  0.90909091
  0.72727273  0.81818182]",0.950549450549,0.108089646005,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.895833333333,0.13520817283,"[ 0.625       0.91666667  0.83333333  0.875       0.75        1.          1.
  1.          1.          0.95833333  0.45833333  1.          0.95833333
  1.          0.95833333  0.83333333  1.          0.83333333  0.875       1.
  0.45833333  1.          1.          0.70833333  0.875       1.
  0.83333333  0.95833333  0.91666667  1.          1.          1.          1.
  0.91666667  0.91666667  0.58333333  0.95833333  1.          0.75
  0.91666667  0.75        0.95833333  1.          1.          0.91666667
  1.          0.83333333  0.83333333  0.95833333  0.875     ]"
8,IPCAS_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,LR,0.807692307692,0.0977757537513,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.907272727273,0.0862247687373,"[ 0.63636364  1.          1.          1.          1.          0.81818182
  1.          0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.90909091  0.81818182  1.          1.          1.          1.
  0.81818182  1.          0.81818182  1.          0.90909091  0.90909091
  0.72727273  1.          1.          0.81818182  0.90909091  0.90909091
  0.81818182  1.          0.81818182  0.81818182  0.90909091  1.          1.
  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182  0.90909091
  1.        ]",0.798649267399,0.126865125186,"{'C': 0.75, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9525,0.0909097537855,"[ 0.79166667  1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.625       0.95833333
  1.          0.95833333  1.          1.          1.          1.
  0.58333333  1.          1.          1.          1.          0.91666667
  0.75        1.          1.          0.83333333  0.95833333  0.95833333
  0.95833333  1.          0.91666667  0.95833333  1.          1.          1.
  1.          0.875       1.          1.          0.91666667  1.
  0.91666667  1.          1.          0.875       0.95833333  1.          1.        ]"
9,IPCAS_1_proba_csa_con_ROIv_scale125,binar,eigenvector_centrality,standard,SGD,0.807692307692,0.0832929792915,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810909090909,0.0906177148682,"[ 0.72727273  1.          0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  1.
  0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273
  0.63636364  0.72727273  0.72727273  0.90909091  1.          0.72727273
  0.81818182  0.90909091  0.72727273  0.63636364  0.72727273  0.72727273
  0.90909091  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273  0.72727273
  0.72727273  0.81818182]",0.872367216117,0.175427969711,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.918333333333,0.135902334213,"[ 1.          1.          1.          1.          1.          0.75        0.875
  1.          1.          1.          0.375       0.95833333  1.
  0.91666667  0.95833333  0.875       0.95833333  0.91666667  0.375       1.
  0.91666667  1.          1.          1.          0.75        1.          1.
  0.83333333  1.          1.          1.          1.          0.95833333
  1.          1.          1.          0.83333333  1.          0.91666667
  0.95833333  0.83333333  0.875       0.91666667  0.91666667  1.          1.
  0.875       0.875       0.66666667  0.83333333]"
