,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.732142857143,0.17201802657,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.774583333333,0.135316629716,"[ 0.58333333  0.875       0.75        0.6875      0.70833333  0.72916667
  0.79166667  0.70833333  0.91666667  0.91666667  0.70833333  0.83333333
  0.75        0.75        0.875       0.91666667  0.83333333  0.79166667
  0.70833333  0.79166667  0.6875      0.95833333  0.83333333  0.83333333
  0.66666667  0.89583333  0.72916667  0.72916667  0.625       0.91666667
  0.77083333  1.          0.75        0.64583333  0.95833333  0.8125      1.
  0.70833333  0.375       0.79166667  0.66666667  0.91666667  0.58333333
  0.75        0.39583333  0.66666667  0.8125      0.66666667  0.95833333
  1.        ]"
1,IPCAS_1_proba_csa_con_aparc150+subcort,binar,bag_of_edges,standard,SGD,0.75,0.0426173593297,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723636363636,0.0312811827892,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.54545455  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182
  0.72727273  0.72727273]",0.763850732601,0.135909350859,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.746666666667,0.148800761647,"[ 0.9375      0.66666667  0.875       0.58333333  0.95833333  0.60416667
  0.66666667  0.95833333  0.95833333  0.8125      0.625       0.85416667
  0.70833333  0.91666667  0.75        0.77083333  0.70833333  0.58333333
  0.45833333  0.875       0.8125      0.91666667  0.77083333  0.79166667
  0.79166667  0.83333333  0.83333333  0.5         0.58333333  0.70833333
  0.875       0.91666667  0.66666667  0.66666667  0.875       0.77083333
  0.875       0.83333333  0.52083333  0.70833333  0.66666667  0.83333333
  0.5         0.4375      0.4375      0.58333333  0.875       0.66666667
  0.83333333  0.97916667]"
2,IPCAS_1_proba_csa_con_aparc150+subcort,binar,degrees,standard,LR,0.769230769231,0.135017160444,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.809090909091,0.1,"[ 0.81818182  0.81818182  0.90909091  0.72727273  0.72727273  0.90909091
  0.81818182  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182
  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.45454545  0.72727273  0.81818182  0.81818182  1.          0.72727273
  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182
  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182
  0.90909091  0.81818182  1.          0.90909091  0.63636364  0.81818182
  0.81818182  0.63636364  0.81818182  0.72727273  1.          0.63636364
  0.90909091  0.81818182]",0.938301282051,0.0901611451368,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.922916666667,0.075375218813,"[ 1.          0.91666667  0.95833333  0.79166667  1.          1.          0.9375
  0.83333333  0.95833333  0.91666667  1.          0.85416667  1.
  0.97916667  0.95833333  0.9375      0.85416667  0.91666667  1.          0.875
  0.89583333  0.9375      1.          0.85416667  0.79166667  0.89583333
  1.          0.97916667  1.          1.          0.9375      0.91666667
  0.97916667  0.8125      0.75        0.91666667  1.          0.95833333
  1.          0.95833333  0.77083333  0.95833333  0.95833333  0.83333333
  0.91666667  0.75        1.          0.79166667  1.          0.89583333]"
3,IPCAS_1_proba_csa_con_aparc150+subcort,binar,degrees,standard,SGD,0.826923076923,0.118006345505,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.810909090909,0.0767953166616,"[ 0.81818182  0.72727273  0.81818182  0.81818182  0.81818182  0.90909091
  0.90909091  0.81818182  0.81818182  0.90909091  0.81818182  0.63636364
  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.90909091  0.90909091  0.63636364
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.90909091
  0.81818182  0.72727273  0.81818182  0.72727273  0.63636364  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182
  0.90909091  0.72727273  0.81818182  0.72727273  0.72727273  0.90909091
  0.90909091  0.90909091]",0.933894230769,0.0906006961448,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.910416666667,0.0945796621901,"[ 1.          0.91666667  0.95833333  0.79166667  1.          1.          0.9375
  0.83333333  0.95833333  0.91666667  0.91666667  0.85416667  1.
  0.91666667  0.95833333  0.9375      0.85416667  0.91666667  1.          0.875
  0.89583333  0.5         1.          0.83333333  0.79166667  0.89583333
  1.          1.          0.95833333  1.          0.9375      0.91666667
  0.97916667  0.8125      0.75        0.91666667  1.          0.95833333
  1.          0.95833333  0.77083333  0.95833333  0.95833333  0.83333333
  0.91666667  0.75        1.          0.79166667  1.          0.89583333]"
4,IPCAS_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,standard,LR,0.769230769231,0.135017160444,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.812727272727,0.101899318321,"[ 0.90909091  0.81818182  0.81818182  0.72727273  0.72727273  0.90909091
  0.81818182  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182
  1.          0.81818182  0.90909091  0.90909091  0.72727273  0.81818182
  0.45454545  0.72727273  0.81818182  0.81818182  0.90909091  0.72727273
  0.81818182  0.90909091  0.90909091  0.72727273  0.81818182  0.81818182
  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273  0.72727273
  0.90909091  0.81818182  1.          0.90909091  0.63636364  0.72727273
  0.90909091  0.63636364  0.81818182  0.72727273  1.          0.72727273
  0.90909091  0.81818182]",0.933894230769,0.0906006961448,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.907916666667,0.0812329041843,"[ 1.          0.875       0.95833333  0.79166667  0.95833333  1.          0.9375
  0.83333333  0.89583333  0.89583333  0.95833333  0.85416667  1.
  0.91666667  0.95833333  0.91666667  0.85416667  0.89583333  1.
  0.85416667  0.89583333  0.9375      1.          0.83333333  0.79166667
  0.89583333  1.          0.95833333  0.95833333  1.          0.91666667
  0.91666667  0.95833333  0.75        0.66666667  0.91666667  1.
  0.95833333  1.          0.91666667  0.77083333  0.95833333  0.95833333
  0.77083333  0.875       0.75        1.          0.79166667  1.
  0.89583333]"
5,IPCAS_1_proba_csa_con_aparc150+subcort,binar,closeness_centrality,standard,SGD,0.807692307692,0.116287583105,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.805454545455,0.0909272709095,"[ 0.63636364  0.90909091  0.90909091  0.81818182  0.90909091  0.90909091
  0.90909091  0.81818182  0.81818182  0.63636364  0.81818182  0.72727273
  0.81818182  0.81818182  1.          0.63636364  0.90909091  0.72727273
  0.81818182  0.81818182  0.72727273  0.81818182  1.          0.72727273
  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182  0.81818182
  0.72727273  0.81818182  0.81818182  0.63636364  0.63636364  0.81818182
  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  1.          0.72727273  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.90909091]",0.925080128205,0.093817605199,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.88625,0.119184876231,"[ 0.41666667  0.875       0.95833333  0.79166667  0.95833333  1.          0.9375
  0.83333333  0.89583333  0.89583333  0.91666667  0.85416667  1.
  0.91666667  0.95833333  0.91666667  0.85416667  0.89583333  1.
  0.85416667  0.89583333  0.5         1.          0.79166667  0.79166667
  0.91666667  1.          0.95833333  0.95833333  1.          0.91666667
  0.91666667  0.95833333  0.75        0.66666667  0.91666667  1.
  0.95833333  1.          0.91666667  0.77083333  0.95833333  0.95833333
  0.77083333  0.875       0.75        1.          0.79166667  1.
  0.89583333]"
6,IPCAS_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.717834249084,0.203101025922,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.809166666667,0.172620730698,"[ 0.75        0.83333333  0.66666667  0.95833333  0.875       0.83333333
  0.91666667  0.95833333  0.91666667  0.91666667  0.83333333  0.66666667
  1.          1.          0.91666667  1.          0.66666667  0.79166667
  0.04166667  1.          0.66666667  0.75        0.91666667  0.83333333
  0.66666667  0.95833333  0.70833333  0.54166667  0.66666667  0.91666667
  0.95833333  0.83333333  0.70833333  0.70833333  0.70833333  0.66666667
  0.91666667  0.83333333  0.45833333  1.          1.          1.          1.
  0.79166667  0.91666667  0.83333333  0.70833333  0.66666667  0.75
  0.83333333]"
7,IPCAS_1_proba_csa_con_aparc150+subcort,binar,betweenness_centrality,standard,SGD,0.769230769231,0.0889659951867,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.769090909091,0.0608751601556,"[ 0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.63636364
  0.90909091  0.81818182  0.81818182  0.72727273  0.72727273  0.63636364
  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.72727273
  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182
  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.72727273  0.90909091]",0.776098901099,0.261290472383,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.7625,0.194052183703,"[ 0.5         0.75        0.70833333  0.91666667  0.70833333  0.75
  0.54166667  0.875       0.875       1.          0.95833333  0.41666667
  0.875       1.          0.83333333  0.95833333  0.875       0.83333333
  0.75        0.66666667  0.95833333  0.70833333  0.95833333  0.66666667
  0.5         1.          1.          0.41666667  0.33333333  0.91666667
  1.          0.45833333  0.70833333  0.625       0.83333333  0.875
  0.58333333  0.83333333  0.66666667  1.          0.75        1.          0.875
  0.79166667  0.33333333  0.83333333  0.375       0.625       0.75
  0.95833333]"
8,IPCAS_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.894230769231,0.123511851718,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.8825,0.0876744293141,"[ 0.91666667  0.875       0.95833333  0.79166667  0.95833333  1.
  0.91666667  0.83333333  0.875       0.83333333  0.91666667  0.83333333
  1.          0.91666667  0.95833333  0.91666667  0.83333333  0.95833333
  0.79166667  0.875       0.875       0.91666667  1.          0.83333333
  0.75        0.875       1.          0.79166667  0.91666667  1.
  0.91666667  0.875       0.95833333  0.66666667  0.70833333  0.83333333
  0.91666667  0.95833333  0.91666667  0.91666667  0.75        0.91666667
  0.95833333  0.66666667  0.875       0.75        1.          0.75        1.
  0.875     ]"
9,IPCAS_1_proba_csa_con_aparc150+subcort,binar,eigenvector_centrality,standard,SGD,0.769230769231,0.169982261659,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.830909090909,0.0872158905834,"[ 0.81818182  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091
  0.90909091  0.72727273  0.81818182  0.90909091  0.90909091  0.72727273
  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273  0.81818182
  0.72727273  0.81818182  0.72727273  0.90909091  1.          0.72727273
  0.72727273  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091
  0.90909091  0.72727273  0.90909091  0.72727273  0.72727273  0.81818182
  0.90909091  1.          0.81818182  0.72727273  0.72727273  0.81818182
  1.          0.90909091  0.63636364  0.72727273  0.90909091  0.90909091
  0.81818182  0.81818182]",0.929487179487,0.0985804903797,"{'alpha': 1.0, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.851666666667,0.138232895265,"[ 0.5         0.875       0.95833333  0.79166667  0.95833333  1.
  0.91666667  0.83333333  0.875       0.83333333  1.          0.83333333
  1.          0.91666667  0.95833333  0.91666667  0.83333333  0.95833333
  0.70833333  0.875       0.875       0.5         1.          0.79166667
  0.75        0.875       1.          0.91666667  0.95833333  0.95833333
  0.91666667  0.875       0.95833333  0.66666667  0.70833333  0.83333333
  1.          0.5         0.5         0.91666667  0.75        0.91666667
  0.95833333  0.66666667  0.875       0.75        1.          0.75        1.
  0.875     ]"
