,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_ROIv_scale250,binar,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.687957875458,0.166757996602,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.833333333333,0.156790731019,"[ 0.58333333  0.91666667  1.          0.91666667  0.54166667  0.91666667
  0.95833333  0.875       0.75        0.875       0.45833333  0.95833333
  0.875       1.          0.83333333  0.91666667  0.79166667  0.83333333
  0.58333333  0.95833333  0.91666667  0.95833333  0.95833333  0.58333333
  0.45833333  0.95833333  0.91666667  0.83333333  0.95833333  0.875       1.
  0.91666667  0.83333333  0.83333333  0.75        1.          0.75        1.
  0.79166667  0.95833333  0.66666667  0.75        0.875       0.875
  0.91666667  1.          0.33333333  0.75        0.875       0.83333333]"
1,IPCAS_1_proba_csd_con_ROIv_scale250,binar,bag_of_edges,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.734545454545,0.0246630181205,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182
  0.72727273  0.72727273]",0.646062271062,0.16495912616,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.889166666667,0.151522367252,"[ 0.5         0.95833333  1.          1.          0.625       0.875       1.
  0.91666667  1.          1.          0.33333333  1.          0.91666667
  0.91666667  1.          0.91666667  1.          0.625       0.66666667
  1.          0.875       1.          0.95833333  0.625       0.70833333
  0.95833333  1.          0.83333333  0.79166667  0.83333333  1.          1.
  0.79166667  0.95833333  0.91666667  1.          0.95833333  1.          0.625
  1.          0.83333333  1.          0.95833333  1.          1.
  0.95833333  0.79166667  0.875       1.          0.95833333]"
2,IPCAS_1_proba_csd_con_ROIv_scale250,binar,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.55608974359,0.117702717735,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.9625,0.0875,"[ 0.75        1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.625       1.          1.
  1.          1.          1.          1.          1.          0.70833333
  1.          1.          1.          1.          0.79166667  0.83333333
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.83333333  1.          1.          1.          1.          1.          1.
  1.          0.79166667  1.          0.875       1.        ]"
3,IPCAS_1_proba_csd_con_ROIv_scale250,binar,degrees,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.82,0.0802681456533,"[ 0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182
  0.90909091  0.90909091  0.72727273  0.81818182  0.72727273  0.90909091
  0.72727273  0.81818182  0.81818182  0.81818182  1.          0.72727273
  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182  0.72727273
  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182  0.90909091
  0.81818182  0.81818182  0.90909091  0.81818182  0.90909091  0.72727273
  0.90909091  1.          0.72727273  1.          0.72727273  0.72727273
  0.90909091  0.81818182  0.72727273  0.90909091  0.81818182  0.90909091
  0.72727273  0.72727273]",0.709134615385,0.135423730073,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.920833333333,0.16099732572,"[ 0.625       1.          1.          1.          0.83333333  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.58333333  0.54166667  0.95833333
  0.54166667  1.          1.          0.83333333  0.70833333  1.          1.
  1.          1.          1.          1.          1.          1.          1.
  0.91666667  1.          1.          1.          0.5         1.          1.
  1.          1.          1.          0.91666667  1.          0.91666667
  0.95833333  0.875       1.        ]"
4,IPCAS_1_proba_csd_con_ROIv_scale250,binar,closeness_centrality,standard,LR,0.769230769231,0.0380317871133,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.758181818182,0.0845210130849,"[ 0.81818182  0.72727273  0.72727273  0.72727273  0.72727273  0.90909091
  0.72727273  0.72727273  0.81818182  0.81818182  0.63636364  0.72727273
  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182  0.81818182
  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273  0.81818182
  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  1.          0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.36363636  0.72727273
  0.72727273  0.72727273]",0.756982600733,0.0893751166708,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.965,0.0887255443614,"[ 0.66666667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.54166667  1.          1.          1.
  1.          1.          1.          0.79166667  0.83333333  1.
  0.83333333  1.          1.          0.95833333  0.91666667  1.          1.
  1.          0.875       1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          1.          1.          0.91666667
  0.95833333  1.          1.        ]"
5,IPCAS_1_proba_csd_con_ROIv_scale250,binar,closeness_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.909090909091,0.0813115628182,"[ 0.72727273  0.90909091  1.          0.90909091  1.          0.81818182
  1.          0.81818182  1.          1.          0.81818182  0.81818182
  0.90909091  0.81818182  1.          0.90909091  1.          0.81818182
  0.81818182  0.90909091  0.81818182  1.          0.90909091  0.81818182
  0.81818182  0.90909091  1.          0.90909091  0.90909091  0.90909091
  0.81818182  1.          1.          0.90909091  0.90909091  1.          1.
  1.          0.81818182  1.          0.81818182  0.81818182  1.          1.
  1.          0.90909091  0.81818182  0.81818182  0.81818182  1.        ]",0.791208791209,0.194037387347,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.95,0.108333333333,"[ 0.79166667  1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.625       1.          1.          1.
  1.          1.          1.          0.66666667  0.75        0.95833333
  0.5         1.          1.          0.95833333  0.83333333  1.          1.
  1.          0.91666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.83333333  1.          1.
  0.95833333  1.          1.          1.          1.          0.83333333
  0.95833333  0.91666667  1.        ]"
6,IPCAS_1_proba_csd_con_ROIv_scale250,binar,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.518086080586,0.127482551327,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.446666666667,0.107056579018,"[ 0.20833333  0.58333333  0.5         0.5         0.33333333  0.5         0.5
  0.5         0.5         0.41666667  0.25        0.5         0.5
  0.54166667  0.5         0.25        0.5         0.20833333  0.25        0.375
  0.33333333  0.33333333  0.5         0.5         0.5         0.5         0.5
  0.58333333  0.125       0.41666667  0.5         0.5         0.5         0.5
  0.45833333  0.5         0.5         0.5         0.58333333  0.5         0.375
  0.5         0.5         0.5         0.45833333  0.5         0.25        0.5
  0.5         0.5       ]"
7,IPCAS_1_proba_csd_con_ROIv_scale250,binar,betweenness_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.718181818182,0.0552978411845,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.63636364  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.63636364  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.36363636  0.72727273
  0.72727273  0.72727273]",0.644574175824,0.217765725413,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.640833333333,0.170556686569,"[ 0.33333333  0.41666667  0.79166667  0.70833333  0.45833333  0.79166667
  0.83333333  0.20833333  0.66666667  0.75        0.41666667  0.75        0.875
  0.70833333  0.58333333  0.83333333  0.66666667  0.875       0.70833333
  0.70833333  0.45833333  0.41666667  0.83333333  0.66666667  0.33333333
  0.83333333  0.5         0.79166667  0.33333333  0.66666667  0.66666667
  0.66666667  0.83333333  0.75        0.66666667  0.58333333  0.83333333
  0.66666667  0.5         0.75        0.66666667  0.625       0.5
  0.79166667  0.54166667  0.625       0.25        0.66666667  0.83333333
  0.70833333]"
8,IPCAS_1_proba_csd_con_ROIv_scale250,binar,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.582532051282,0.161184314901,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.965833333333,0.0797957461968,"[ 0.83333333  1.          1.          1.          1.          0.95833333
  1.          1.          1.          1.          0.66666667  1.          1.
  1.          1.          1.          1.          0.95833333  0.70833333
  1.          1.          1.          1.          0.75        0.875       1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.875       1.
  1.          1.          1.          1.          1.          1.
  0.83333333  1.          0.83333333  1.        ]"
9,IPCAS_1_proba_csd_con_ROIv_scale250,binar,eigenvector_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9,0.0895350709254,"[ 0.72727273  0.90909091  0.90909091  1.          0.90909091  0.81818182
  1.          0.90909091  1.          0.90909091  0.81818182  1.
  0.81818182  0.90909091  1.          0.90909091  1.          0.72727273
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.72727273
  0.72727273  0.90909091  0.90909091  0.90909091  1.          1.
  0.81818182  0.90909091  1.          0.81818182  1.          0.81818182
  0.90909091  1.          0.81818182  1.          0.81818182  0.81818182
  1.          0.90909091  1.          1.          0.81818182  1.
  0.72727273  1.        ]",0.693452380952,0.181686429849,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.945,0.134226177278,"[ 0.625       1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.375       1.          1.          1.
  1.          1.          1.          0.5         0.70833333  1.
  0.83333333  1.          1.          0.91666667  0.875       1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          0.79166667  1.          1.
  1.          1.          1.          1.          1.          0.70833333
  1.          0.91666667  1.        ]"
