,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_ROIv_scale250,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.69081959707,0.149072174169,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9475,0.122703911918,"[ 0.70833333  1.          1.          1.          1.          1.
  0.95833333  1.          1.          1.          0.33333333  1.
  0.95833333  1.          1.          1.          1.          0.79166667
  0.66666667  1.          1.          1.          1.          1.          0.875
  1.          1.          0.875       1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.79166667  1.          0.83333333  1.          1.          1.          1.
  1.          0.875       1.          0.70833333  1.        ]"
1,IPCAS_1_deter_dti_con_ROIv_scale250,max,bag_of_edges,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.725732600733,0.236878317988,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9425,0.131995896401,"[ 0.625       1.          1.          1.          1.          1.
  0.95833333  1.          1.          1.          0.33333333  1.
  0.95833333  1.          1.          1.          1.          0.66666667
  0.625       1.          0.79166667  1.          1.          1.          0.875
  1.          1.          0.95833333  1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.
  0.79166667  1.          0.83333333  1.          1.          1.          1.
  1.          0.95833333  1.          0.75        1.        ]"
2,IPCAS_1_deter_dti_con_ROIv_scale250,max,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
3,IPCAS_1_deter_dti_con_ROIv_scale250,max,degrees,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.885454545455,0.0788554488807,"[ 0.72727273  0.90909091  0.90909091  1.          0.81818182  0.72727273
  0.90909091  0.90909091  1.          0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182  0.81818182
  0.81818182  1.          0.81818182  0.90909091  0.90909091  1.
  0.81818182  1.          0.81818182  0.90909091  0.90909091  0.81818182
  0.81818182  0.90909091  1.          1.          1.          0.90909091
  0.90909091  1.          0.81818182  0.90909091  0.81818182  1.
  0.90909091  0.90909091  0.90909091  0.90909091  0.81818182  1.
  0.72727273  0.81818182]",0.680975274725,0.230147985801,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.928333333333,0.164578586429,"[ 0.41666667  1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.41666667  1.          1.
  1.          1.          1.          1.          0.54166667  0.41666667
  1.          0.75        1.          1.          1.          0.875       1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          0.625       1.
  1.          1.          1.          1.          1.          1.
  0.66666667  1.          0.79166667  1.        ]"
4,IPCAS_1_deter_dti_con_ROIv_scale250,max,closeness_centrality,standard,LR,0.788461538462,0.0456640024928,"{'C': 0.45, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.785454545455,0.10083945181,"[ 0.72727273  0.72727273  0.81818182  0.81818182  0.72727273  0.63636364
  0.63636364  0.90909091  0.90909091  0.54545455  0.72727273  0.81818182
  0.72727273  0.81818182  0.81818182  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.81818182  0.63636364  0.81818182  1.
  0.72727273  0.81818182  0.81818182  0.54545455  0.81818182  0.90909091
  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.54545455  0.81818182  0.63636364  0.90909091
  0.81818182  0.90909091  0.72727273  0.72727273  0.90909091  0.81818182
  0.90909091  0.90909091]",0.707760989011,0.189954139556,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70375,0.189722476411,"[ 0.41666667  0.5         0.95833333  0.79166667  0.60416667  0.58333333
  0.5         0.79166667  0.875       0.70833333  0.25        0.79166667
  0.75        0.83333333  0.75        0.4375      0.6875      0.29166667
  0.875       0.79166667  0.41666667  0.52083333  0.79166667  1.
  0.70833333  0.66666667  0.75        0.41666667  0.41666667  0.95833333
  0.58333333  0.91666667  0.75        0.91666667  0.625       0.83333333
  0.72916667  0.875       0.54166667  0.54166667  0.54166667  0.91666667
  0.95833333  0.75        0.58333333  0.70833333  0.95833333  1.
  0.83333333  0.79166667]"
5,IPCAS_1_deter_dti_con_ROIv_scale250,max,closeness_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8,0.112080254599,"[ 0.81818182  0.72727273  0.90909091  0.72727273  0.81818182  0.45454545
  0.90909091  0.90909091  0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.54545455  0.90909091  0.63636364
  0.63636364  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091
  0.72727273  0.90909091  0.90909091  0.54545455  0.90909091  0.63636364
  0.63636364  0.90909091  0.72727273  0.90909091  0.81818182  0.81818182
  0.81818182  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182
  0.90909091  0.63636364  0.90909091  0.81818182  0.81818182  0.90909091
  0.81818182  0.72727273]",0.805402930403,0.0828457285839,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.883333333333,0.155679514102,"[ 0.91666667  1.          1.          0.875       0.83333333  0.625       1.
  1.          0.95833333  1.          0.95833333  0.91666667  1.
  0.91666667  1.          0.60416667  0.97916667  0.5         0.5         0.875
  0.54166667  0.97916667  0.875       1.          0.875       1.          1.
  0.625       1.          0.79166667  0.75        1.          0.95833333
  1.          1.          1.          0.97916667  1.          0.41666667
  0.91666667  0.875       1.          0.95833333  0.75        0.91666667
  0.95833333  0.875       1.          0.91666667  0.75      ]"
6,IPCAS_1_deter_dti_con_ROIv_scale250,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.598786630037,0.132031536283,"{'C': 0.8, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.599166666667,0.170352983211,"[ 0.125       0.83333333  0.66666667  0.79166667  0.54166667  0.58333333
  0.45833333  0.75        0.54166667  0.58333333  0.29166667  0.5         0.375
  0.54166667  0.54166667  0.54166667  0.91666667  0.58333333  0.375       0.75
  0.5         0.625       0.58333333  0.83333333  0.58333333  0.70833333
  0.79166667  0.625       0.66666667  0.58333333  0.5         0.5
  0.54166667  0.66666667  0.70833333  0.79166667  0.66666667  0.33333333
  0.41666667  0.66666667  0.5         0.91666667  0.375       0.875
  0.70833333  0.75        0.58333333  0.79166667  0.625       0.25      ]"
7,IPCAS_1_deter_dti_con_ROIv_scale250,max,betweenness_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.725454545455,0.0127272727273,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.63636364  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.588141025641,0.0494998101203,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.614166666667,0.202383368333,"[ 0.25        0.91666667  0.54166667  0.75        0.79166667  0.79166667
  0.45833333  0.83333333  0.625       0.54166667  0.29166667  0.5         0.5
  0.5         0.66666667  0.83333333  0.95833333  0.625       0.08333333
  0.70833333  0.41666667  0.41666667  0.58333333  0.70833333  0.45833333
  0.75        0.79166667  0.83333333  0.5         0.83333333  0.66666667
  0.45833333  0.91666667  0.79166667  0.70833333  0.29166667  0.66666667
  0.29166667  0.125       0.66666667  0.66666667  0.83333333  0.58333333
  0.75        0.83333333  0.625       0.5         0.79166667  0.54166667
  0.54166667]"
8,IPCAS_1_deter_dti_con_ROIv_scale250,max,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.53331043956,0.303744787316,"{'C': 0.1, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.904166666667,0.183569923099,"[ 0.33333333  1.          1.          0.875       1.          0.91666667
  1.          0.83333333  1.          1.          0.33333333  0.95833333
  0.91666667  1.          1.          0.95833333  1.          0.33333333
  0.625       1.          0.41666667  0.91666667  1.          1.
  0.70833333  1.          1.          0.91666667  0.875       0.95833333
  1.          1.          1.          1.          1.          1.          1.
  0.91666667  0.83333333  1.          1.          1.          1.          1.
  1.          1.          0.66666667  1.          0.91666667  1.        ]"
9,IPCAS_1_deter_dti_con_ROIv_scale250,max,eigenvector_centrality,standard,SGD,0.807692307692,0.0153651780864,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.807272727273,0.0826023032116,"[ 0.72727273  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182
  0.90909091  0.72727273  0.90909091  0.90909091  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.90909091  0.81818182
  0.72727273  1.          0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.72727273  0.90909091  0.72727273  0.90909091  0.81818182
  0.72727273  0.81818182  1.          0.90909091  0.81818182  0.72727273
  0.81818182  0.63636364  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182]",0.594665750916,0.243069209373,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.885833333333,0.185743625582,"[ 0.33333333  1.          0.91666667  0.91666667  0.95833333  0.79166667
  1.          0.83333333  1.          0.95833333  0.33333333  1.
  0.83333333  1.          0.95833333  0.91666667  1.          0.58333333
  0.375       1.          0.41666667  0.91666667  1.          1.
  0.66666667  1.          1.          0.66666667  0.91666667  0.91666667
  0.95833333  1.          1.          1.          1.          0.95833333
  1.          0.83333333  0.83333333  1.          1.          1.          1.
  1.          1.          1.          0.625       1.          0.875       1.        ]"
