,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_dti_con_aparc150+subcort,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.65831043956,0.0974045291011,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.9125,0.117629951779,"[ 0.83333333  0.83333333  0.95833333  1.          0.95833333  1.          1.
  1.          1.          0.91666667  0.95833333  0.875       0.79166667
  1.          1.          1.          1.          0.375       0.70833333
  1.          0.66666667  1.          1.          1.          0.83333333
  0.91666667  0.91666667  0.83333333  0.95833333  1.          1.          1.
  0.70833333  0.91666667  1.          1.          0.95833333  0.875
  0.79166667  1.          0.83333333  0.875       0.875       1.
  0.79166667  0.95833333  0.95833333  1.          0.875       0.875     ]"
1,IPCAS_1_deter_dti_con_aparc150+subcort,max,bag_of_edges,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.706272893773,0.113671444091,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9125,0.119968167074,"[ 0.79166667  0.79166667  0.95833333  1.          1.          1.          1.
  1.          1.          1.          0.79166667  0.875       0.875       1.
  1.          1.          1.          0.41666667  0.66666667  1.          0.625
  1.          0.95833333  1.          0.79166667  0.91666667  0.91666667
  0.83333333  0.95833333  0.95833333  1.          1.          0.75        1.
  1.          1.          0.875       0.875       0.79166667  1.
  0.91666667  0.95833333  0.875       1.          0.75        0.95833333
  1.          1.          0.875       0.875     ]"
2,IPCAS_1_deter_dti_con_aparc150+subcort,max,degrees,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.658882783883,0.272821163854,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.889166666667,0.1634289686,"[ 0.33333333  0.83333333  0.83333333  1.          0.75        0.95833333
  1.          1.          1.          1.          0.41666667  0.83333333
  0.625       1.          0.91666667  0.79166667  0.91666667  0.375
  0.79166667  1.          0.625       1.          0.95833333  1.          0.75
  1.          1.          0.875       1.          0.91666667  0.95833333
  1.          1.          1.          1.          1.          0.83333333
  0.91666667  0.75        1.          1.          1.          0.91666667
  1.          0.83333333  0.91666667  0.95833333  1.          0.875       1.        ]"
3,IPCAS_1_deter_dti_con_aparc150+subcort,max,degrees,standard,SGD,0.788461538462,0.126772296302,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.887272727273,0.095450216352,"[ 0.72727273  0.81818182  0.90909091  0.90909091  0.81818182  0.72727273
  0.90909091  1.          1.          1.          0.81818182  0.81818182
  0.90909091  1.          0.90909091  0.81818182  1.          0.81818182
  0.81818182  1.          0.81818182  1.          1.          1.
  0.63636364  0.72727273  0.81818182  1.          1.          0.81818182
  0.90909091  0.90909091  1.          1.          0.81818182  0.90909091
  1.          1.          0.81818182  0.90909091  0.72727273  0.90909091
  0.90909091  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091
  0.72727273  0.90909091]",0.705471611722,0.262311565894,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.913333333333,0.14973124071,"[ 0.33333333  1.          0.95833333  1.          0.91666667  0.83333333
  0.95833333  1.          1.          1.          0.41666667  0.83333333
  0.95833333  1.          0.83333333  1.          1.          0.58333333
  0.66666667  1.          0.70833333  1.          1.          1.          0.75
  1.          1.          1.          1.          1.          0.95833333
  1.          0.83333333  1.          1.          0.95833333  1.          1.
  0.70833333  1.          0.875       1.          0.91666667  1.          0.875
  1.          0.95833333  1.          0.83333333  1.        ]"
4,IPCAS_1_deter_dti_con_aparc150+subcort,max,closeness_centrality,standard,LR,0.769230769231,0.135663033982,"{'C': 0.6000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.901818181818,0.0906177148682,"[ 0.81818182  0.90909091  1.          1.          0.90909091  0.90909091
  0.81818182  1.          0.90909091  1.          0.63636364  0.90909091
  0.81818182  1.          1.          0.90909091  0.90909091  0.54545455
  1.          0.90909091  0.81818182  0.90909091  0.90909091  0.81818182
  0.81818182  0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.81818182  1.          0.90909091  0.90909091
  0.90909091  0.90909091  0.90909091  0.90909091  1.          1.
  0.90909091  1.          0.81818182  0.90909091  0.81818182  0.90909091
  0.81818182  0.81818182]",0.761904761905,0.198927521957,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.853333333333,0.163562764032,"[ 0.66666667  0.83333333  0.83333333  0.91666667  0.83333333  0.83333333
  0.79166667  1.          1.          1.          0.45833333  0.91666667
  0.29166667  1.          0.91666667  1.          0.95833333  0.375       1.
  1.          0.75        0.91666667  0.875       0.91666667  0.91666667
  0.83333333  0.75        1.          1.          1.          1.
  0.95833333  0.875       0.95833333  0.79166667  0.625       1.          1.
  0.79166667  0.83333333  0.79166667  1.          0.66666667  0.58333333
  0.79166667  0.83333333  0.91666667  0.75        1.          0.91666667]"
5,IPCAS_1_deter_dti_con_aparc150+subcort,max,closeness_centrality,standard,SGD,0.826923076923,0.0706398516691,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869090909091,0.0981818181818,"[ 0.81818182  0.63636364  0.81818182  0.90909091  0.72727273  0.81818182
  0.90909091  1.          0.90909091  1.          0.72727273  0.72727273
  0.72727273  1.          0.81818182  0.90909091  0.81818182  0.81818182
  0.81818182  1.          0.72727273  0.90909091  0.90909091  1.
  0.72727273  0.90909091  1.          1.          1.          0.81818182
  1.          0.90909091  0.90909091  1.          0.81818182  0.72727273
  0.81818182  1.          0.72727273  0.90909091  0.81818182  1.
  0.90909091  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091
  0.81818182  0.81818182]",0.825434981685,0.162206985492,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.906666666667,0.139582711441,"[ 0.58333333  0.83333333  0.95833333  1.          1.          0.91666667
  0.95833333  1.          1.          1.          0.45833333  1.
  0.58333333  1.          1.          1.          0.95833333  0.41666667
  0.91666667  1.          0.875       0.91666667  0.875       0.875
  0.83333333  0.875       0.83333333  1.          1.          1.          1.
  1.          0.83333333  1.          0.875       0.625       0.95833333
  1.          0.83333333  0.91666667  1.          1.          0.91666667
  0.875       1.          1.          0.91666667  1.          0.91666667
  1.        ]"
6,IPCAS_1_deter_dti_con_aparc150+subcort,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.69184981685,0.266961810992,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.843333333333,0.172715244132,"[ 0.33333333  1.          1.          1.          0.79166667  0.58333333
  0.91666667  0.91666667  1.          0.95833333  0.33333333  1.
  0.91666667  0.66666667  1.          0.83333333  0.91666667  0.875
  0.83333333  0.91666667  0.66666667  0.91666667  1.          0.91666667
  0.70833333  0.83333333  0.83333333  0.91666667  0.91666667  0.95833333
  1.          1.          0.75        0.79166667  1.          1.          1.
  0.75        0.75        0.66666667  0.875       0.95833333  0.66666667
  0.91666667  0.83333333  0.875       0.41666667  1.          0.5
  0.95833333]"
7,IPCAS_1_deter_dti_con_aparc150+subcort,max,betweenness_centrality,standard,SGD,0.788461538462,0.144998603659,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.82,0.0899770402302,"[ 0.72727273  0.72727273  1.          0.90909091  0.81818182  0.81818182
  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.90909091  0.72727273  0.81818182  1.          0.72727273  0.72727273
  0.81818182  0.90909091  0.63636364  0.81818182  0.81818182  0.90909091
  0.72727273  0.72727273  0.90909091  0.72727273  0.90909091  0.90909091
  0.81818182  0.81818182  0.63636364  0.81818182  0.81818182  0.81818182
  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273  0.90909091
  0.81818182  0.81818182  0.90909091  1.          0.63636364  0.90909091
  0.72727273  0.72727273]",0.787431318681,0.210498095551,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.881666666667,0.152151240547,"[ 0.375       0.875       1.          1.          0.95833333  0.875       1.
  0.91666667  1.          0.95833333  0.375       1.          0.875
  0.70833333  0.75        1.          1.          0.83333333  0.79166667
  0.95833333  0.66666667  0.95833333  0.95833333  0.95833333  0.66666667
  0.91666667  0.95833333  0.91666667  1.          1.          0.91666667
  0.95833333  0.75        0.95833333  1.          1.          1.          0.75
  0.875       0.91666667  0.83333333  1.          0.83333333  1.
  0.83333333  1.          0.625       1.          0.58333333  1.        ]"
8,IPCAS_1_deter_dti_con_aparc150+subcort,max,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.698946886447,0.261509926934,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.7975,0.194366849597,"[ 0.58333333  0.875       1.          0.875       0.5         0.95833333
  0.625       0.83333333  0.875       0.83333333  0.625       0.91666667
  0.58333333  0.95833333  0.875       0.70833333  0.79166667  0.04166667
  0.79166667  0.79166667  0.83333333  0.83333333  0.91666667  0.95833333
  1.          0.66666667  0.75        0.70833333  1.          0.91666667
  0.58333333  1.          0.83333333  1.          0.66666667  0.79166667
  0.91666667  1.          0.25        0.625       0.875       0.91666667
  0.79166667  1.          0.5         0.875       0.75        1.
  0.91666667  0.95833333]"
9,IPCAS_1_deter_dti_con_aparc150+subcort,max,eigenvector_centrality,standard,SGD,0.769230769231,0.149751253117,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.838181818182,0.0798552409309,"[ 0.72727273  0.81818182  0.81818182  0.81818182  0.72727273  0.72727273
  0.81818182  1.          0.90909091  1.          0.72727273  0.81818182
  0.81818182  0.90909091  0.90909091  0.81818182  0.81818182  0.72727273
  0.81818182  0.90909091  0.72727273  0.81818182  0.81818182  1.
  0.81818182  0.81818182  0.81818182  0.90909091  0.81818182  0.72727273
  0.90909091  0.90909091  0.72727273  0.81818182  0.81818182  0.81818182
  0.81818182  0.90909091  0.72727273  0.90909091  0.90909091  1.
  0.90909091  0.90909091  0.72727273  0.90909091  0.81818182  0.90909091
  0.72727273  0.81818182]",0.753205128205,0.224680658225,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.728333333333,0.192973803634,"[ 0.33333333  0.70833333  0.70833333  0.66666667  0.33333333  0.58333333
  0.95833333  0.875       0.79166667  0.625       0.16666667  0.91666667
  0.625       0.83333333  0.70833333  0.5         0.95833333  0.33333333
  0.79166667  0.75        0.66666667  0.79166667  0.91666667  0.70833333
  0.875       0.875       0.70833333  0.5         0.91666667  0.83333333
  0.70833333  0.95833333  0.91666667  0.79166667  0.66666667  0.45833333
  0.75        0.83333333  0.45833333  0.91666667  0.79166667  0.95833333
  0.95833333  0.91666667  0.45833333  0.79166667  0.625       0.83333333
  1.          0.66666667]"
