,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csa_con_ROIv_scale33,max,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.655563186813,0.238909518892,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.903333333333,0.183227242031,"[ 0.33333333  1.          1.          1.          0.83333333  1.          1.
  0.95833333  1.          1.          0.33333333  1.          0.95833333
  0.875       0.91666667  0.91666667  1.          0.75        0.20833333
  1.          0.875       0.91666667  1.          0.91666667  0.83333333
  1.          1.          0.83333333  0.75        0.79166667  1.          1.
  0.95833333  1.          1.          1.          1.          1.          0.5
  1.          0.75        0.95833333  1.          1.          1.          1.
  1.          1.          1.          1.        ]"
1,IPCAS_1_proba_csa_con_ROIv_scale33,max,bag_of_edges,standard,SGD,0.788461538462,0.0456640024928,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.805454545455,0.0927272727273,"[ 0.72727273  0.72727273  1.          0.90909091  0.90909091  0.72727273
  1.          0.90909091  0.72727273  0.81818182  0.72727273  1.
  0.90909091  0.81818182  0.72727273  0.81818182  0.72727273  0.72727273
  0.63636364  0.90909091  0.81818182  0.72727273  0.81818182  0.72727273
  0.81818182  0.72727273  0.72727273  0.90909091  0.81818182  0.81818182
  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.63636364  0.72727273
  0.90909091  0.72727273  0.90909091  0.81818182  0.81818182  1.
  0.72727273  0.90909091]",0.724015567766,0.237505074578,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.895833333333,0.166718741865,"[ 0.33333333  1.          1.          1.          0.95833333  0.875       1.
  0.875       0.95833333  0.95833333  0.33333333  1.          0.95833333
  0.875       1.          1.          0.91666667  0.83333333  0.375       0.875
  0.79166667  1.          1.          0.83333333  0.79166667  1.          1.
  0.75        0.75        0.875       1.          1.          1.          1.
  1.          1.          0.91666667  1.          0.58333333  1.          0.75
  0.91666667  1.          1.          1.          1.          0.83333333
  1.          0.875       1.        ]"
2,IPCAS_1_proba_csa_con_ROIv_scale33,max,degrees,standard,LR,0.826923076923,0.141578171687,"{'C': 0.2, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.863636363636,0.0838140405208,"[ 0.81818182  0.90909091  1.          0.90909091  0.81818182  0.63636364
  0.81818182  0.90909091  0.63636364  0.72727273  0.81818182  1.
  0.90909091  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182
  0.72727273  0.90909091  1.          0.90909091  0.90909091  0.81818182
  0.90909091  0.90909091  1.          0.81818182  0.81818182  0.81818182
  0.81818182  1.          0.81818182  0.90909091  1.          0.90909091
  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182  0.81818182
  0.90909091  0.81818182]",0.890453296703,0.202808948748,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.881666666667,0.12865759899,"[ 0.70833333  1.          1.          0.91666667  1.          0.54166667
  0.95833333  0.83333333  0.66666667  0.91666667  0.75        1.          0.875
  0.95833333  0.70833333  0.91666667  0.91666667  0.95833333  0.875       1.
  1.          1.          0.95833333  0.75        1.          1.
  0.95833333  0.66666667  0.75        0.95833333  0.625       1.          0.875
  1.          1.          1.          0.91666667  0.875       0.625       1.
  0.75        0.75        0.91666667  0.95833333  0.95833333  0.875       0.625
  1.          0.83333333  0.95833333]"
3,IPCAS_1_proba_csa_con_ROIv_scale33,max,degrees,standard,SGD,0.826923076923,0.074259438244,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.829090909091,0.0695677326171,"[ 0.81818182  0.81818182  0.81818182  0.90909091  0.72727273  0.72727273
  0.81818182  0.90909091  0.72727273  0.81818182  0.72727273  1.
  0.81818182  0.72727273  0.81818182  0.81818182  0.90909091  0.81818182
  0.72727273  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.90909091  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273
  0.81818182  1.          0.81818182  0.90909091  0.90909091  0.90909091
  0.81818182  0.81818182  0.72727273  0.90909091  0.81818182  0.90909091
  0.81818182  0.81818182  0.81818182  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182]",0.909111721612,0.142767043591,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.894166666667,0.114628021589,"[ 0.79166667  1.          1.          0.95833333  1.          0.79166667
  0.91666667  0.95833333  0.75        0.91666667  0.75        1.
  0.91666667  0.95833333  0.70833333  0.95833333  0.91666667  1.
  0.91666667  0.95833333  1.          0.95833333  0.95833333  0.875
  0.91666667  1.          0.91666667  0.75        0.66666667  0.83333333
  0.875       1.          1.          1.          0.5         0.95833333
  0.91666667  0.95833333  0.625       1.          0.70833333  0.75        1.
  0.95833333  0.95833333  0.83333333  0.83333333  0.95833333  0.875
  0.95833333]"
4,IPCAS_1_proba_csa_con_ROIv_scale33,max,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.666437728938,0.286109791738,"{'C': 0.9500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.843333333333,0.169672887902,"[ 0.29166667  1.          0.91666667  1.          0.75        0.95833333
  0.875       0.79166667  1.          1.          0.375       0.875
  0.95833333  1.          0.83333333  0.91666667  0.91666667  0.41666667
  0.70833333  1.          0.91666667  0.75        0.875       0.79166667
  0.83333333  0.95833333  0.91666667  0.79166667  0.79166667  0.875       1.
  0.95833333  0.70833333  0.875       0.95833333  1.          0.91666667
  0.75        0.58333333  0.875       1.          1.          0.875
  0.95833333  0.79166667  1.          0.54166667  0.58333333  0.70833333
  1.        ]"
5,IPCAS_1_proba_csa_con_ROIv_scale33,max,closeness_centrality,standard,SGD,0.75,0.0666229460368,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.743636363636,0.124236511315,"[ 0.81818182  0.72727273  0.63636364  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.63636364  0.81818182
  0.81818182  0.63636364  0.90909091  0.90909091  1.          0.72727273
  0.36363636  0.81818182  0.81818182  0.72727273  0.81818182  0.54545455
  0.72727273  0.72727273  0.81818182  0.54545455  0.63636364  0.81818182
  0.90909091  0.81818182  0.45454545  0.63636364  0.81818182  0.81818182
  0.81818182  0.72727273  0.63636364  0.72727273  0.81818182  0.81818182
  0.72727273  0.90909091  0.90909091  0.81818182  0.45454545  0.63636364
  0.72727273  0.81818182]",0.564789377289,0.208949422135,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.87,0.182505707673,"[ 0.66666667  1.          1.          0.91666667  0.83333333  0.83333333
  1.          1.          0.91666667  1.          0.375       0.91666667
  1.          1.          0.875       0.95833333  1.          0.41666667
  0.45833333  1.          0.5         0.875       0.91666667  0.66666667
  0.58333333  1.          1.          0.66666667  0.95833333  0.95833333
  0.875       1.          0.79166667  0.95833333  1.          1.          1.
  1.          0.375       1.          1.          0.95833333  0.91666667
  1.          1.          0.91666667  0.66666667  0.875       0.875       1.        ]"
6,IPCAS_1_proba_csa_con_ROIv_scale33,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.608516483516,0.253694614936,"{'C': 0.9, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.901666666667,0.156293882727,"[ 0.70833333  1.          0.91666667  0.875       0.875       0.75        1.
  1.          1.          0.91666667  0.875       1.          1.          1.
  1.          1.          1.          0.45833333  0.58333333  1.
  0.58333333  0.875       0.91666667  0.95833333  0.33333333  1.          1.
  0.91666667  0.95833333  1.          0.95833333  1.          0.91666667
  1.          1.          1.          0.95833333  1.          0.5         1.
  0.75        0.91666667  0.83333333  0.95833333  1.          1.
  0.95833333  0.95833333  0.875       1.        ]"
7,IPCAS_1_proba_csa_con_ROIv_scale33,max,betweenness_centrality,standard,SGD,0.807692307692,0.0566402389618,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.781818181818,0.0749655568294,"[ 0.54545455  0.81818182  0.81818182  0.81818182  0.72727273  0.63636364
  0.90909091  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.72727273  0.72727273  0.81818182  0.81818182  0.72727273
  0.90909091  0.72727273  0.72727273  0.72727273  0.81818182  0.72727273
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  1.
  0.81818182  0.72727273  0.81818182  0.72727273  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  0.90909091  0.72727273  0.72727273
  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182  0.81818182
  0.72727273  0.72727273]",0.578525641026,0.221936324761,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.911666666667,0.173333333333,"[ 0.75        1.          0.91666667  1.          0.79166667  0.875       1.
  0.91666667  0.95833333  0.875       0.33333333  1.          1.          1.
  1.          1.          1.          0.45833333  0.83333333  1.
  0.33333333  0.83333333  0.95833333  0.91666667  0.33333333  1.          1.
  1.          1.          1.          0.91666667  1.          0.95833333
  0.95833333  1.          1.          1.          1.          0.83333333
  1.          0.95833333  1.          0.91666667  1.          1.          1.
  1.          0.95833333  1.          1.        ]"
8,IPCAS_1_proba_csa_con_ROIv_scale33,max,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.5,0.0,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.5,0.0,"[ 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5
  0.5  0.5  0.5  0.5  0.5]"
9,IPCAS_1_proba_csa_con_ROIv_scale33,max,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.529761904762,0.24317497876,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.751666666667,0.191659420153,"[ 0.625       0.75        0.70833333  0.75        0.79166667  0.875
  0.70833333  0.875       0.66666667  0.875       0.41666667  0.875       0.75
  1.          0.625       0.91666667  0.95833333  0.58333333  0.54166667
  0.625       0.91666667  0.875       1.          0.54166667  0.375       0.75
  0.91666667  0.70833333  0.45833333  0.70833333  0.875       0.875
  0.79166667  0.91666667  0.95833333  0.95833333  0.91666667  0.83333333
  0.33333333  0.95833333  0.41666667  0.625       0.79166667  0.83333333
  0.875       0.95833333  0.20833333  0.75        0.54166667  1.        ]"
