,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_proba_csd_con_aparc68+subcort,max,bag_of_edges,standard,LR,0.865384615385,0.11468643991,"{'C': 0.4, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.956363636364,0.0776514781966,"[ 0.81818182  1.          1.          1.          0.90909091  1.          1.
  1.          1.          1.          0.81818182  1.          1.
  0.72727273  1.          1.          1.          0.72727273  0.81818182
  0.90909091  0.81818182  1.          0.90909091  1.          1.          1.
  1.          0.81818182  0.90909091  1.          1.          1.
  0.81818182  1.          0.90909091  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          1.          1.        ]",0.911858974359,0.106434871265,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.979166666667,0.0554338945652,"[ 0.91666667  1.          1.          1.          0.875       1.          1.
  1.          1.          1.          1.          1.          1.          0.875
  1.          1.          1.          0.66666667  0.95833333  1.
  0.91666667  1.          0.95833333  1.          1.          1.          1.
  0.91666667  0.91666667  1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          0.95833333  1.          1.          1.
  1.          1.        ]"
1,IPCAS_1_proba_csd_con_aparc68+subcort,max,bag_of_edges,standard,SGD,0.807692307692,0.119256457618,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.854545454545,0.089072354283,"[ 0.72727273  0.81818182  0.90909091  0.81818182  0.90909091  0.72727273
  1.          0.81818182  0.81818182  0.90909091  0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091  0.81818182
  0.63636364  1.          0.72727273  0.81818182  0.90909091  0.90909091
  0.81818182  0.81818182  0.81818182  0.90909091  0.90909091  0.90909091
  0.72727273  0.81818182  0.90909091  0.90909091  0.90909091  1.
  0.90909091  1.          0.72727273  1.          0.72727273  0.81818182
  0.90909091  0.81818182  0.81818182  0.90909091  0.72727273  1.
  0.72727273  0.81818182]",0.858974358974,0.164682468957,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.963333333333,0.0788986691903,"[ 0.83333333  1.          1.          1.          0.91666667  1.          1.
  1.          1.          1.          0.70833333  1.          1.
  0.91666667  1.          1.          1.          0.91666667  0.66666667
  1.          1.          1.          0.95833333  1.          1.          1.
  1.          0.875       1.          1.          1.          1.          0.75
  1.          1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          0.95833333  0.95833333
  1.          0.79166667  1.          1.          1.        ]"
2,IPCAS_1_proba_csd_con_aparc68+subcort,max,degrees,standard,LR,0.769230769231,0.221356871101,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.825454545455,0.102594443488,"[ 0.81818182  0.81818182  0.90909091  0.81818182  0.81818182  0.45454545
  1.          0.81818182  0.72727273  0.81818182  0.72727273  0.90909091
  0.90909091  0.81818182  0.81818182  0.90909091  0.90909091  0.81818182
  0.72727273  0.81818182  0.90909091  0.81818182  0.81818182  0.81818182
  0.90909091  0.90909091  0.90909091  0.81818182  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.90909091  0.81818182  0.90909091
  0.81818182  1.          0.81818182  0.90909091  0.81818182  0.81818182
  0.90909091  0.90909091  0.81818182  0.81818182  0.45454545  0.90909091
  0.81818182  0.90909091]",0.84168956044,0.129088147837,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.913333333333,0.0960468635615,"[ 0.75        0.95833333  1.          0.91666667  0.95833333  0.66666667
  1.          0.91666667  0.95833333  1.          0.75        1.          1.
  0.875       0.91666667  1.          0.95833333  0.91666667  0.83333333
  0.91666667  0.875       0.875       0.875       0.91666667  0.95833333
  1.          1.          0.91666667  0.95833333  0.70833333  0.79166667
  0.95833333  0.83333333  0.95833333  0.91666667  0.91666667  0.83333333
  1.          0.91666667  1.          0.875       0.91666667  1.
  0.95833333  1.          0.95833333  0.54166667  1.          0.91666667
  1.        ]"
3,IPCAS_1_proba_csd_con_aparc68+subcort,max,degrees,standard,SGD,0.788461538462,0.148963405669,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.865454545455,0.0931363525445,"[ 0.72727273  1.          0.90909091  0.90909091  0.90909091  0.72727273
  0.81818182  0.81818182  0.90909091  1.          0.72727273  0.90909091
  0.90909091  0.81818182  0.90909091  0.81818182  1.          0.72727273
  0.63636364  0.90909091  0.72727273  0.81818182  0.90909091  0.81818182
  1.          0.90909091  0.90909091  0.72727273  0.90909091  0.90909091
  0.81818182  0.90909091  0.81818182  0.90909091  0.90909091  0.90909091
  0.90909091  0.90909091  0.72727273  1.          0.72727273  0.81818182
  0.90909091  1.          0.81818182  0.90909091  0.81818182  1.
  0.72727273  1.        ]",0.871222527473,0.165204985208,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.918333333333,0.126095202129,"[ 0.79166667  1.          1.          0.91666667  1.          0.75        0.875
  0.91666667  1.          1.          0.83333333  0.91666667  1.
  0.91666667  1.          1.          1.          0.91666667  0.66666667
  1.          0.41666667  1.          0.79166667  1.          1.          1.
  1.          0.83333333  1.          0.91666667  0.95833333  1.
  0.83333333  1.          1.          1.          0.91666667  1.
  0.70833333  1.          0.70833333  1.          0.91666667  1.          1.
  1.          0.83333333  1.          0.58333333  1.        ]"
4,IPCAS_1_proba_csd_con_aparc68+subcort,max,closeness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.653502747253,0.245695811771,"{'C': 0.8500000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.925,0.140188365344,"[ 0.83333333  1.          1.          0.95833333  1.          0.875
  0.91666667  1.          1.          0.95833333  0.875       1.          1.
  1.          1.          1.          1.          0.41666667  0.375       1.
  0.75        0.875       1.          0.91666667  0.95833333  1.          1.
  0.83333333  0.91666667  1.          1.          0.95833333  0.91666667
  1.          1.          0.95833333  1.          1.          0.5         1.
  0.91666667  1.          1.          1.          1.          1.
  0.79166667  0.875       0.875       1.        ]"
5,IPCAS_1_proba_csd_con_aparc68+subcort,max,closeness_centrality,standard,SGD,0.769230769231,0.0380317871133,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.834545454545,0.128165698535,"[ 0.81818182  0.81818182  1.          0.63636364  1.          0.72727273
  0.63636364  0.81818182  0.90909091  0.81818182  0.72727273  1.
  0.90909091  0.81818182  0.90909091  0.81818182  0.90909091  0.45454545
  0.72727273  0.81818182  0.72727273  0.63636364  0.90909091  0.54545455
  0.81818182  0.90909091  1.          0.72727273  0.81818182  0.90909091
  0.63636364  0.81818182  0.90909091  1.          1.          0.81818182
  0.90909091  1.          0.81818182  0.90909091  0.81818182  1.          1.
  0.72727273  1.          0.90909091  0.81818182  0.72727273  0.72727273
  0.90909091]",0.74027014652,0.217065898483,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.876666666667,0.181613141962,"[ 0.79166667  1.          1.          0.91666667  0.875       0.91666667
  0.75        1.          1.          0.91666667  0.41666667  1.
  0.95833333  0.91666667  0.91666667  1.          1.          0.29166667
  0.375       1.          0.54166667  0.95833333  1.          0.75        0.75
  1.          0.95833333  0.83333333  0.79166667  1.          1.
  0.79166667  0.91666667  1.          1.          0.95833333  0.95833333
  1.          0.41666667  1.          0.95833333  0.95833333  1.          1.
  1.          1.          0.625       0.83333333  0.79166667  1.        ]"
6,IPCAS_1_proba_csd_con_aparc68+subcort,max,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.637133699634,0.151599134492,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.869166666667,0.14719837333,"[ 0.41666667  0.66666667  0.91666667  0.75        0.70833333  0.91666667
  1.          0.70833333  0.95833333  1.          0.625       1.
  0.95833333  0.91666667  1.          0.875       1.          1.
  0.66666667  0.83333333  1.          1.          0.83333333  0.625
  0.41666667  0.875       0.95833333  0.875       0.875       0.75        0.875
  1.          0.875       0.95833333  1.          1.          0.91666667
  1.          0.75        1.          0.875       0.75        0.83333333
  1.          1.          0.75        1.          0.79166667  1.
  0.95833333]"
7,IPCAS_1_proba_csd_con_aparc68+subcort,max,betweenness_centrality,standard,SGD,0.807692307692,0.0957684584461,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.787272727273,0.0825422506387,"[ 0.63636364  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182
  0.90909091  0.72727273  0.72727273  0.81818182  0.72727273  0.90909091
  0.81818182  0.72727273  0.81818182  0.72727273  0.90909091  0.81818182
  0.72727273  0.81818182  1.          0.81818182  0.72727273  0.81818182
  0.54545455  0.81818182  0.81818182  0.63636364  0.81818182  0.81818182
  0.81818182  0.72727273  0.81818182  0.81818182  0.81818182  0.72727273
  0.81818182  0.81818182  0.72727273  1.          0.81818182  0.72727273
  0.63636364  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182
  0.81818182  0.72727273]",0.760645604396,0.162612319034,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.855833333333,0.158159992834,"[ 0.58333333  0.5         0.875       0.91666667  0.875       0.95833333
  1.          0.79166667  0.95833333  1.          0.45833333  1.          1.
  0.83333333  0.95833333  1.          0.95833333  0.83333333  0.54166667
  0.75        1.          0.95833333  0.79166667  0.625       0.375
  0.83333333  1.          0.83333333  0.75        0.83333333  0.95833333
  1.          0.83333333  1.          1.          0.91666667  0.875       1.
  0.66666667  1.          0.79166667  0.70833333  0.79166667  1.          1.
  0.83333333  1.          0.75        0.91666667  0.95833333]"
8,IPCAS_1_proba_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.683035714286,0.185888237279,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.91,0.129196233175,"[ 0.75        0.79166667  1.          1.          0.79166667  0.95833333
  0.83333333  0.91666667  1.          0.875       0.70833333  1.          0.875
  1.          0.95833333  1.          1.          0.625       0.45833333
  1.          0.875       1.          1.          0.91666667  0.70833333
  1.          1.          0.95833333  1.          1.          0.95833333
  1.          0.75        1.          1.          1.          1.          1.
  0.58333333  1.          0.79166667  0.95833333  0.875       1.
  0.95833333  1.          0.70833333  0.91666667  1.          1.        ]"
9,IPCAS_1_proba_csd_con_aparc68+subcort,max,eigenvector_centrality,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.2, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.745421245421,0.231701042965,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.9025,0.142060726452,"[ 0.58333333  0.875       1.          0.91666667  0.875       0.875
  0.79166667  1.          1.          0.91666667  0.54166667  1.
  0.91666667  0.91666667  0.95833333  1.          1.          0.625
  0.58333333  1.          0.54166667  1.          1.          0.91666667
  0.91666667  1.          1.          1.          1.          1.
  0.91666667  1.          0.70833333  1.          1.          1.          1.
  1.          0.58333333  1.          0.83333333  0.91666667  0.83333333
  1.          1.          1.          0.66666667  0.95833333  0.95833333
  1.        ]"
