,Dataset,Normalizer,Featurizer,Scaler,Classifier,grid_accuracy_mean,grid_accuracy_std,grid_accuracy_best_params,eval_accuracy_mean,eval_accuracy_std,eval_accuracy_scores,grid_roc_auc_mean,grid_roc_auc_std,grid_roc_auc_best_params,eval_roc_auc_mean,eval_roc_auc_std,eval_roc_auc_scores
0,IPCAS_1_deter_csa_con_aparc150+subcort,mean,bag_of_edges,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.534455128205,0.161822662446,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.915,0.168316830874,"[ 0.33333333  1.          0.875       1.          1.          1.          1.
  1.          1.          1.          0.29166667  1.          1.          1.
  0.95833333  0.95833333  1.          0.5         0.5         1.
  0.66666667  0.91666667  1.          1.          0.875       0.95833333
  0.95833333  0.70833333  0.91666667  1.          1.          1.          0.875
  0.875       1.          1.          1.          1.          0.875       1.
  0.91666667  1.          1.          1.          1.          1.
  0.83333333  1.          0.95833333  1.        ]"
1,IPCAS_1_deter_csa_con_aparc150+subcort,mean,bag_of_edges,standard,SGD,0.730769230769,0.0239226034726,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.613782051282,0.195701053969,"{'alpha': 0.01, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.88,0.17709852876,"[ 0.33333333  1.          0.875       1.          0.83333333  0.875       1.
  1.          1.          1.          0.33333333  0.91666667  0.875       1.
  1.          0.91666667  0.95833333  0.5         0.45833333  1.
  0.54166667  0.91666667  1.          1.          0.79166667  0.95833333
  0.875       0.66666667  0.54166667  1.          1.          1.          0.75
  0.875       1.          1.          0.95833333  0.91666667  0.875       1.
  0.95833333  1.          1.          1.          0.875       1.          0.875
  0.95833333  0.83333333  0.95833333]"
2,IPCAS_1_deter_csa_con_aparc150+subcort,mean,degrees,standard,LR,0.826923076923,0.0911683440977,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.834545454545,0.0696864287154,"[ 0.81818182  0.81818182  0.90909091  0.81818182  0.90909091  0.81818182
  1.          0.81818182  0.90909091  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273
  0.81818182  0.72727273  0.81818182  0.81818182  0.90909091  0.81818182
  0.63636364  0.72727273  0.81818182  1.          0.81818182  0.81818182
  0.90909091  0.90909091  0.81818182  0.90909091  0.72727273  0.81818182
  0.81818182  0.81818182  0.72727273  0.90909091  0.90909091  0.81818182
  0.90909091  0.81818182  0.81818182  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091]",0.770833333333,0.262062109328,"{'C': 0.25, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.883333333333,0.130437298687,"[ 0.33333333  0.91666667  0.95833333  0.95833333  0.91666667  0.83333333
  0.95833333  0.95833333  1.          1.          0.375       0.83333333
  0.83333333  0.95833333  1.          0.91666667  0.95833333  0.83333333
  0.79166667  0.83333333  0.83333333  0.79166667  0.875       1.          0.75
  0.79166667  0.875       1.          0.83333333  1.          0.95833333
  1.          0.91666667  0.95833333  0.875       0.83333333  0.91666667
  0.91666667  0.875       0.91666667  1.          0.91666667  0.83333333
  0.95833333  0.75        0.79166667  0.91666667  1.          1.
  0.91666667]"
3,IPCAS_1_deter_csa_con_aparc150+subcort,mean,degrees,standard,SGD,0.807692307692,0.0610949440963,"{'alpha': 0.0001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'log', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.869090909091,0.0981818181818,"[ 0.81818182  1.          1.          0.90909091  0.90909091  0.72727273
  0.90909091  0.72727273  0.90909091  0.72727273  0.81818182  0.90909091
  0.81818182  0.90909091  0.90909091  0.90909091  1.          0.72727273
  0.54545455  0.90909091  0.72727273  0.90909091  0.90909091  0.90909091
  0.72727273  0.90909091  0.81818182  0.63636364  0.90909091  0.90909091
  0.90909091  1.          0.90909091  1.          0.72727273  0.90909091
  1.          0.81818182  0.81818182  0.90909091  0.81818182  0.90909091
  0.90909091  0.90909091  0.90909091  1.          0.90909091  0.81818182
  0.90909091  0.90909091]",0.894230769231,0.0929763442587,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 1.0, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.8425,0.165262837793,"[ 0.33333333  0.83333333  0.95833333  1.          1.          0.79166667
  0.95833333  1.          0.95833333  1.          0.33333333  0.5         0.875
  0.875       0.95833333  0.91666667  0.91666667  0.875       0.79166667
  0.95833333  0.75        0.875       0.75        0.83333333  0.54166667
  0.875       0.875       0.66666667  0.91666667  0.95833333  1.
  0.91666667  0.91666667  0.91666667  0.79166667  0.75        1.          0.625
  0.45833333  0.91666667  0.91666667  0.83333333  0.79166667  0.75
  0.83333333  0.95833333  1.          1.          1.          0.875     ]"
4,IPCAS_1_deter_csa_con_aparc150+subcort,mean,closeness_centrality,standard,LR,0.884615384615,0.0725031661575,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.949090909091,0.077481002737,"[ 0.72727273  1.          1.          1.          0.81818182  1.
  0.90909091  0.90909091  0.90909091  1.          0.72727273  1.
  0.90909091  1.          1.          1.          1.          0.81818182
  0.90909091  1.          0.90909091  1.          1.          0.81818182
  0.90909091  0.90909091  1.          0.90909091  1.          0.90909091
  1.          1.          0.72727273  1.          1.          1.          1.
  1.          0.90909091  1.          1.          1.          1.          1.
  1.          1.          0.90909091  1.          0.90909091  1.        ]",0.831501831502,0.221322996309,"{'C': 0.30000000000000004, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.969166666667,0.11143321368,"[ 0.45833333  1.          1.          1.          0.95833333  1.
  0.91666667  1.          1.          1.          0.41666667  1.          1.
  1.          1.          1.          1.          0.875       0.95833333
  1.          1.          1.          1.          1.          0.91666667
  1.          1.          1.          1.          1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.          1.          1.          1.
  1.          1.          1.          1.        ]"
5,IPCAS_1_deter_csa_con_aparc150+subcort,mean,closeness_centrality,standard,SGD,0.923076923077,0.0716636329635,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.932727272727,0.0923700785155,"[ 0.72727273  1.          1.          1.          0.81818182  1.
  0.90909091  1.          1.          0.90909091  0.81818182  1.          1.
  1.          1.          1.          1.          0.72727273  0.72727273
  0.90909091  0.90909091  0.90909091  1.          0.81818182  0.63636364
  0.81818182  1.          0.90909091  0.90909091  0.90909091  1.          1.
  1.          1.          0.90909091  1.          1.          0.90909091
  0.81818182  0.90909091  1.          1.          1.          1.          1.
  1.          0.81818182  1.          0.90909091  1.        ]",0.929487179487,0.136133080651,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.934166666667,0.131785284122,"[ 0.45833333  0.95833333  1.          0.95833333  1.          0.79166667
  0.91666667  1.          0.95833333  1.          0.33333333  1.          1.
  1.          1.          0.875       0.91666667  0.70833333  0.75        1.
  0.95833333  1.          0.875       0.91666667  0.83333333  1.          1.
  1.          1.          1.          1.          1.          0.95833333
  1.          1.          1.          1.          0.95833333  0.875
  0.91666667  1.          1.          1.          1.          1.          1.
  0.79166667  1.          1.          1.        ]"
6,IPCAS_1_deter_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.633585164835,0.196353678771,"{'C': 0.15000000000000002, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.70125,0.181171438913,"[ 0.41666667  0.79166667  0.64583333  0.95833333  0.66666667  0.58333333
  0.83333333  0.83333333  0.66666667  0.75        0.33333333  0.79166667
  0.79166667  0.79166667  0.54166667  0.70833333  0.66666667  0.91666667
  0.54166667  0.45833333  0.875       0.625       0.66666667  0.60416667
  0.20833333  0.875       0.875       0.70833333  0.5         0.79166667
  0.83333333  0.70833333  0.58333333  1.          0.91666667  0.66666667
  0.70833333  0.91666667  0.375       0.75        0.66666667  0.91666667
  0.83333333  0.54166667  0.95833333  0.83333333  0.45833333  0.60416667
  0.41666667  0.95833333]"
7,IPCAS_1_deter_csa_con_aparc150+subcort,mean,betweenness_centrality,standard,SGD,0.769230769231,0.0762695627473,"{'alpha': 0.1, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.8, 'learning_rate': 'optimal', 'loss': 'modified_huber', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.723636363636,0.0978445385242,"[ 0.63636364  0.90909091  0.72727273  0.72727273  0.63636364  0.63636364
  0.63636364  0.72727273  0.63636364  0.72727273  0.81818182  0.72727273
  0.63636364  0.81818182  0.72727273  0.72727273  0.90909091  0.90909091
  0.63636364  0.72727273  0.72727273  0.81818182  0.72727273  0.72727273
  0.63636364  0.72727273  0.72727273  0.72727273  0.81818182  0.54545455
  0.81818182  0.81818182  0.72727273  0.72727273  0.81818182  0.72727273
  0.63636364  0.90909091  0.54545455  0.72727273  0.45454545  0.72727273
  0.81818182  0.63636364  0.63636364  0.81818182  0.54545455  0.72727273
  0.72727273  0.81818182]",0.74255952381,0.234847570702,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.4, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.735,0.188563649731,"[ 0.33333333  0.75        0.3125      0.5         0.83333333  0.79166667
  0.79166667  1.          0.66666667  0.83333333  0.20833333  0.79166667
  0.83333333  0.75        0.54166667  0.66666667  0.66666667  0.91666667
  0.79166667  0.58333333  0.875       0.75        0.70833333  0.60416667
  0.875       0.91666667  0.58333333  0.875       0.625       0.66666667
  0.875       0.625       0.70833333  0.95833333  1.          0.83333333
  0.70833333  0.91666667  0.5         0.70833333  1.          0.91666667
  1.          0.54166667  0.95833333  0.91666667  0.33333333  0.66666667
  0.66666667  0.875     ]"
8,IPCAS_1_deter_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,LR,0.730769230769,0.0239226034726,"{'C': 0.01, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l1', 'random_state': 0, 'solver': 'liblinear'}",0.727272727273,0.0,"[ 0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273  0.72727273
  0.72727273  0.72727273]",0.744276556777,0.240922888536,"{'C': 0.7000000000000001, 'fit_intercept': True, 'max_iter': 100, 'n_jobs': -1, 'penalty': 'l2', 'random_state': 0, 'solver': 'liblinear'}",0.945833333333,0.144637957981,"[ 0.375       1.          1.          1.          0.95833333  1.          1.
  1.          1.          1.          0.33333333  1.          1.          1.
  1.          1.          1.          0.625       0.66666667  1.          1.
  1.          1.          1.          0.95833333  1.          1.          0.75
  1.          1.          1.          1.          0.875       1.          1.
  1.          1.          1.          0.91666667  1.          1.          1.
  1.          1.          1.          1.          0.875       0.95833333
  1.          1.        ]"
9,IPCAS_1_deter_csa_con_aparc150+subcort,mean,eigenvector_centrality,standard,SGD,0.826923076923,0.0706398516691,"{'alpha': 0.001, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0.6, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 100, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.812727272727,0.0879706938429,"[ 0.81818182  0.72727273  0.90909091  0.81818182  0.90909091  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  0.72727273  0.81818182
  0.81818182  0.81818182  0.81818182  0.81818182  1.          0.72727273
  0.72727273  0.81818182  0.72727273  0.72727273  0.72727273  0.81818182
  0.81818182  0.81818182  0.72727273  0.45454545  0.81818182  0.72727273
  0.81818182  0.81818182  0.90909091  1.          0.81818182  0.81818182
  0.90909091  0.81818182  0.72727273  0.81818182  0.81818182  0.90909091
  0.81818182  0.90909091  1.          0.90909091  0.81818182  0.81818182
  0.72727273  0.72727273]",0.804258241758,0.255183629813,"{'alpha': 0.5, 'class_weight': None, 'epsilon': 0.1, 'eta0': 0.0, 'fit_intercept': True, 'l1_ratio': 0, 'learning_rate': 'optimal', 'loss': 'hinge', 'n_iter': 200, 'n_jobs': -1, 'penalty': 'elasticnet', 'power_t': 0.5, 'random_state': 0, 'shuffle': True, 'verbose': 0}",0.934166666667,0.145079001467,"[ 0.33333333  0.875       0.95833333  1.          1.          0.95833333
  0.79166667  1.          1.          1.          0.33333333  0.95833333
  1.          1.          1.          1.          1.          0.79166667
  0.83333333  1.          1.          1.          1.          1.          0.875
  0.95833333  0.91666667  0.75        1.          1.          1.          1.
  0.95833333  1.          1.          1.          1.          1.
  0.91666667  1.          1.          1.          1.          1.          1.
  1.          0.625       0.91666667  0.95833333  1.        ]"
